Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
17betaHSD1_actives0000001_docked,-25.4296,5.07932,8.30872,-1.04997,0,0,-16.7277,952.357,0,0.577984,4,0.319515,0.763753,0.236247,4497,1110,1175,79,889,222,236,17,172,43,43,4,599,151,169,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,10.0,3.0,0.0,13.0,0.0,-4745.70314985,0.0,15.0,0.0,0.0,0.0,0.0,4.3,67.94,0.38,51.97,650.61,8.255716987502046,7.865031012043501,7.202075611222122,7.661370366522373,4.552154062716204,6.409270509641199,5.076899999999999,-9.02974368692046,1,6.00291820638
17betaHSD1_actives0000002_docked,-18.198,3.75263,6.88086,-1.69521,0,-1.24727,-12.8941,625.913,1,0.587326,2,0.319935,0.791358,0.208642,3103,748,787,59,572,137,136,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,2.0,4.0,5.0,1.0,0.0,-35960.8454168,3.0,6.0,0.0,0.0,0.0,0.0,2.5,15.26,0.88,30.71,429.57,5.851141425305503,7.044889692973692,6.576197569446896,6.536358273060271,3.894582312719186,5.940676618167777,5.2224,-7.109760614993083,1,5.97411429977
17betaHSD1_actives0000003_docked,-19.1703,2.26636,-0.338587,-4.63351,0,-1.21583,-24.0302,651.946,1,0.600612,1,0.306117,0.796676,0.203324,2956,724,754,57,0,0,0,0,348,87,93,7,175,46,48,4,0,0,0,0,195,47,53,3,0,0,0,0,0,0,0,0,0,0,0,0,27.0,6.0,10.0,2.0,0.0,0.0,-106096.059696,1.0,10.0,0.0,0.0,0.0,0.0,0,39.77,0.00,40.46,357.40,5.961400803555451,6.287005830280831,6.1757233642468625,6.145929391219893,4.921318865880393,5.368688655186838,6.7939,-7.633265460082179,1,5.95907071605
17betaHSD1_actives0000004_docked,-30.1031,4.67391,5.21919,0.189154,0,0,-23.2264,794.524,0,0.6221,4,0.340969,0.800279,0.199721,4061,1003,1107,72,352,88,92,6,359,90,102,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,13.0,5.0,3.0,16.0,0.0,-4758.50422081,0.0,17.0,0.0,0.0,0.0,0.0,1.2,30.89,0.39,49.41,546.55,6.653879519054142,7.370783320013322,6.539169323996267,6.878776207070711,4.508654309815965,5.670974061583892,5.658400000000001,-7.95803599935466,1,5.9541101847
17betaHSD1_actives0000005_docked,-20.7413,8.44522,-0.17553,-2.13545,0,-1.19686,-19.8859,636.197,1,0.596876,1,0.310512,0.796513,0.203487,2991,730,767,57,0,0,0,0,346,84,81,6,352,88,96,7,0,0,0,0,202,50,53,3,0,0,0,0,0,0,0,0,0,0,0,0,37.0,0.0,11.0,2.0,0.0,0.0,-116542.925664,2.0,9.0,0.0,0.0,0.0,0.0,-1.9,45.88,0.00,40.46,361.79,6.711334180450706,6.406399398490393,6.31600712842713,6.069170609834607,4.965300395601101,6.1255093719077935,6.8251,-8.213460129208308,1,5.96313664937
17betaHSD1_actives0000006_docked,-22.4289,4.06787,-5.97627,-1.48869,0,0,-27.8483,712.835,0,0.5991,2,0.326523,0.849727,0.150273,4070,1003,1061,77,0,0,0,0,336,83,86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,5.0,9.0,2.0,0.0,0.0,25456.7687177,0.0,18.0,0.0,0.0,0.0,0.0,1.3,38.87,0.00,40.46,432.71,5.737216444034704,7.481172339216342,6.9283707283272316,6.77907368725719,5.637061106314395,5.390487610596381,6.575500000000001,-9.362583357886688,1,6.0548510865
17betaHSD1_actives0000007_docked,-27.7863,5.7193,5.68161,-6.05947,0,0,-25.7132,919.402,0,0.601667,6,0.357339,0.762486,0.237514,4868,1195,1312,76,327,84,94,3,459,117,124,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,10.0,7.0,1.0,10.0,3.0,-38818.0868299,1.0,16.0,0.0,0.0,0.0,0.0,.4,40.44,0.54,79.29,685.30,6.895738332813451,7.951581401376401,7.321218164391168,7.314683387556886,5.873861961255587,5.8454489386035835,6.469500000000002,-8.73890000288664,1,5.95292402044
17betaHSD1_actives0000008_docked,-21.9349,4.6603,2.63888,0.365931,0,0,-16.3838,691.176,0,0.608154,0,0.324952,0.838067,0.161933,3354,810,851,61,0,0,0,0,328,80,81,6,170,43,43,4,0,0,0,0,0,0,0,0,170,42,40,3,0,0,0,0,0,0,0,0,29.0,2.0,2.0,2.0,0.0,0.0,29876.8274623,0.0,8.0,0.0,0.0,0.0,0.0,3.2,30.41,0.61,37.30,440.44,6.064628569567551,6.78510008441558,6.38534241053391,6.412843599844606,4.3504637342133945,6.3776976855894185,5.8843,-8.907674305927443,1,5.97917216525
17betaHSD1_actives0000009_docked,-20.8012,15.8887,1.25813,-3.0074,0,-1.0999,-15.0207,707.894,1,0.594312,1,0.287188,0.755997,0.244003,3160,794,813,59,0,0,0,0,342,84,81,6,452,127,117,7,0,0,0,0,201,50,52,3,0,0,0,0,0,0,0,0,0,0,0,0,36.0,0.0,10.0,2.0,0.0,3.0,-44690.402734,2.0,14.0,0.0,0.0,1.0,0.0,-1.1,54.16,0.06,40.46,398.32,6.947832770691089,6.44307668553668,6.414826305194809,6.17361211799312,4.7675232177133635,5.323301243474902,6.4884,-8.102140401316221,1,5.96177399603
17betaHSD1_actives0000010_docked,-15.9737,48.7895,0.00966571,-3.35473,0,-1.65825,6.29957,667.128,2,0.59459,0,0.287815,0.779139,0.220861,3005,729,783,54,0,0,0,0,340,88,88,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,44,43,2,0,0,0,0,46.0,0.0,9.0,1.0,0.0,1.0,-39812.7633556,2.0,11.0,0.0,0.0,0.0,0.0,-.7,33.50,0.00,40.46,342.98,5.930359001610954,6.880893918803415,6.181526645021646,6.212129073981578,3.4898599277960076,5.695157053314787,6.018900000000001,-7.170087570276026,1,5.95
