Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
ACE2_actives0000001_docked,-25.2621,9.24226,16.856,-31.1635,0,0,-35.3738,839.694,0,0.524919,6,0.313284,0.439802,0.560198,3554,1026,1068,37,360,99,109,3,925,277,276,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,1.0,33.0,3.0,1.0,0.0,339466.526878,0.0,20.0,0.0,0.0,0.0,3.0,.1,33.15,0.55,95.94,593.97,6.876777312403641,6.9094562245532245,6.457705674547677,6.356757726551227,3.446997170190701,4.17168552760107,6.494199999999999,-6.179795280981271,1,5.95511727661
ACE2_actives0000002_docked,-21.0373,8.77861,15.4209,-20.3635,0,0,-21.9695,795.96,0,0.525662,4,0.308249,0.593044,0.406956,3305,942,997,32,369,105,112,3,964,285,297,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,1.0,33.0,1.0,0.0,0.0,305982.555996,0.0,15.0,0.0,0.0,1.0,4.0,-.5,33.15,0.50,106.94,524.76,6.798836261671492,6.743513161838152,6.09306311993562,6.332787966810965,2.732730843416967,3.1991018285052917,6.4563000000000015,-5.987361381369557,1,5.95
ACE2_actives0000003_docked,-19.6974,9.96469,15.6053,-22.1575,0,0,-22.3963,783.946,0,0.494529,6,0.300662,0.524628,0.475372,3334,935,993,36,382,105,109,4,984,258,272,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,2.0,40.0,0.0,0.0,0.0,-38063.1805473,0.0,15.0,0.0,0.0,0.0,5.0,-2.0,33.15,0.50,106.94,523.67,6.752631352649713,6.659609085137083,6.1834746437320876,6.272485777444781,2.0224114379580125,3.8188989874330366,5.7167,-6.175386863569252,1,5.95835144143
ACE2_actives0000004_docked,-26.195,10.028,18.8329,-28.1488,0,-0.361845,-31.0798,883.991,1,0.552393,11,0.326565,0.505367,0.494633,4484,1180,1310,60,378,99,104,4,945,260,270,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,0.0,39.0,7.0,0.0,6.0,-47418.6084835,2.0,21.0,0.0,0.0,0.0,3.0,-.5,43.23,0.38,106.94,628.39,7.169621546846895,7.243941665279163,6.995754554945054,7.10366778660229,3.098674820001457,4.4796876829985175,5.5054,-7.636517004460032,1,5.98486283227
ACE2_actives0000005_docked,-22.64,7.89145,14.1135,-25.7663,0,0,-30.8987,928.366,0,0.511357,7,0.300064,0.613257,0.386743,4343,1181,1286,59,376,104,111,4,954,264,278,7,0,0,0,0,0,0,0,0,182,53,58,2,0,0,0,0,0,0,0,0,0,0,0,0,26.0,1.0,32.0,5.0,0.0,8.0,56959.7984596,0.0,23.0,0.0,0.0,0.0,3.0,-1.0,46.69,0.35,106.94,619.44,6.890641039718543,7.975023539682538,7.438637163780657,7.102519730880236,2.726299395819873,4.847925169406807,5.438399999999999,-7.133158641015995,1,5.98703586871
ACE2_actives0000006_docked,-21.1103,3.0657,8.83172,-1.03077,0,0,-12.6351,942,0,0.516369,4,0.27516,0.796335,0.203665,4469,1180,1300,75,387,103,111,5,934,251,275,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,1.0,40.0,4.0,0.0,6.0,-128091.670621,0.0,22.0,0.0,0.0,0.0,1.0,-2.7,43.69,0.38,106.94,627.69,6.333046124546958,7.3733106838716855,6.897690272227771,7.061401324952825,2.2109545308006378,4.178256294976287,5.857099999999999,-7.734378756238164,1,5.96499283388
ACE2_actives0000007_docked,-26.7969,6.56571,18.3033,-30.1964,0,-2.69308,-38.1263,893.122,2,0.513127,8,0.327066,0.609978,0.390022,4291,1156,1215,57,379,103,102,5,903,253,254,11,0,0,0,0,0,0,0,0,187,48,55,1,0,0,0,0,0,0,0,0,0,0,0,0,39.0,3.0,52.0,1.0,0.0,0.0,-265785.397164,2.0,19.0,1.0,0.0,0.0,4.0,-2.0,46.65,0.35,106.94,620.06,7.745222991573574,7.7527679308469315,7.545444970418472,7.080483081529587,3.332055706920188,4.811845010611819,5.643600000000001,-7.896512485619219,1,5.96704600341
ACE2_actives0000008_docked,-29.4497,30.7601,18.7071,-43.427,0,-1.41235,-39.792,992.972,1,0.509826,10,0.265965,0.550904,0.449096,5138,1386,1480,68,383,101,111,2,758,215,210,4,0,0,0,0,0,0,0,0,177,49,55,3,0,0,0,0,0,0,0,0,0,0,0,0,40.0,0.0,64.0,2.0,0.0,0.0,-38091.6273707,2.0,16.0,0.0,0.0,0.0,3.0,1.2,50.26,0.30,86.71,668.29,8.078316607388533,8.371906679209676,8.118179901709407,7.7935539136974095,2.758259644350023,3.884947145912604,6.285299999999999,-8.239024303515256,1,6.0187625292
ACE2_actives0000009_docked,-18.3976,43.2138,13.1549,-27.6692,-1.03497,-0.777205,-10.3139,518.161,2,0.545817,4,0.34703,0.313995,0.686005,1604,454,426,9,173,51,45,1,552,165,153,3,0,0,0,0,0,0,0,0,191,51,51,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,10.0,14.0,0.0,18.0,0.0,-114640.783247,2.0,7.0,0.0,0.0,0.0,2.0,-4.5,17.49,0.78,57.61,320.32,4.974545873643819,6.040240134865134,6.002257689754694,5.46734262043512,3.554911382824338,4.0388457553490795,5.5384,-4.999795789853371,1,5.99356499234
ACE2_actives0000010_docked,-28.5358,33.8442,16.2861,-36.3623,0,-1.28169,-32.7654,991.134,1,0.507147,9,0.302034,0.497576,0.502424,5159,1395,1508,63,383,102,105,2,759,207,215,6,0,0,0,0,0,0,0,0,166,48,57,3,0,0,0,0,0,0,0,0,0,0,0,0,35.0,1.0,62.0,5.0,0.0,0.0,-179971.955648,2.0,19.0,0.0,0.0,0.0,3.0,-1.1,50.25,0.30,86.71,668.36,8.417149749217048,8.469312355255848,8.171109074314577,7.71239919380618,3.3490079217420954,3.8555992303412197,5.7886,-8.687369347007088,1,6.08674911934
