Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
ACE_actives0000001_docked,-26.0604,11.1636,21.2249,-46.9817,0,-3.49608,-49.1499,733.194,3,0.652903,6,0.356871,0.529115,0.470885,3503,969,991,3,410,112,124,0,994,283,289,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,3.0,48.0,0.0,6.0,0.0,-610550.048443,6.0,15.0,0.0,0.0,0.0,6.0,-5.8,33.15,0.50,106.94,524.76,7.5417379821657295,7.039941001720493,6.529029936618929,6.692468673826171,4.160786875322553,6.23104284167655,6.065600000000001,-7.101627414607649,1,5.96859280867
ACE_actives0000002_docked,-25.005,36.0093,14.8965,-18.247,0,-0.537728,-8.3805,886.4,2,0.648106,6,0.197142,0.522799,0.477201,3636,964,1089,20,204,48,62,0,617,161,181,0,0,0,0,0,0,0,0,0,421,113,126,4,0,0,0,0,0,0,0,0,0,0,0,0,34.0,2.0,33.0,3.0,0.0,0.0,-551190.701133,1.0,16.0,0.0,0.0,0.0,3.0,-.2,30.57,0.56,57.61,538.64,7.1660909894827345,6.9680643618473015,6.907019996392497,6.571886334221333,4.638514354151951,5.197639418044249,6.127600000000001,-5.536221350639663,1,6.01551044823
ACE_actives0000003_docked,-24.6835,26.3309,13.9484,-17.9381,0,-0.974354,-14.5116,825.3,2,0.651993,8,0.251643,0.573942,0.426058,3433,904,1028,18,202,51,61,0,636,162,180,0,0,0,0,0,0,0,0,0,404,113,122,3,0,0,0,0,0,0,0,0,0,0,0,0,27.0,5.0,38.0,3.0,1.0,0.0,-486179.952131,3.0,16.0,0.0,0.0,0.0,3.0,.1,30.57,0.53,57.61,508.30,7.19338052209319,6.925561838759278,6.8591775108225095,6.550667083749582,5.05579130007798,5.762043769379697,5.7581000000000016,-5.538796622447852,1,6.07411960065
ACE_actives0000004_docked,-16.071,7.36776,18.3989,-26.7502,-1.32955,-0.331011,-22.1752,487.596,2,0.675668,6,0.394717,0.0964863,0.903514,1696,463,463,4,177,52,46,0,596,168,158,2,582,157,162,5,0,0,0,0,205,46,53,1,0,0,0,0,0,0,0,0,0,0,0,0,39.0,5.0,13.0,0.0,10.0,0.0,-66820.1299188,2.0,1.0,0.0,0.0,0.0,2.0,-3.3,35.49,0.78,57.61,337.59,4.600464645531396,6.434187786047276,6.191143503274508,5.732218183205687,2.5562989714557953,5.075134233496957,5.370799999999999,-4.875820395197223,1,5.95963234633
ACE_actives0000005_docked,-35.0395,9.78374,29.3225,-44.2526,0,-2.90496,-46.1378,965.667,4,0.65806,12,0.325581,0.413812,0.586188,4446,1197,1267,10,590,159,170,3,993,273,280,1,0,0,0,0,0,0,0,0,415,114,123,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0,11.0,76.0,0.0,7.0,0.0,-1204208.18828,8.0,22.0,0.0,0.0,0.0,9.0,-3.5,40.15,0.61,132.96,712.22,8.303349211511748,7.961522803030302,7.652106240703741,7.453863239260737,6.608073247207859,6.953121802334514,5.899799999999998,-8.252194406441543,1,6.02048252711
ACE_actives0000006_docked,-32.025,10.1599,24.0749,-46.0603,0,-3.69655,-51.4296,853.544,4,0.656347,9,0.339381,0.545057,0.454943,3926,1082,1119,6,409,108,120,0,995,281,278,2,0,0,0,0,0,0,0,0,432,123,128,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0,4.0,55.0,0.0,13.0,0.0,-853163.916704,7.0,17.0,0.0,0.0,0.0,7.0,-3.4,39.15,0.55,106.94,605.61,8.736247130668428,7.89112599128649,7.48558310461761,7.2846859860139785,5.621919200463527,6.610660822409803,6.2133,-8.183267814834831,1,5.97800155618
ACE_actives0000007_docked,-22.4427,24.6669,10.6682,-10.9623,0,-0.243177,-10.1433,857.669,1,0.651776,10,0.225831,0.62175,0.37825,3533,945,1052,16,205,56,60,0,615,158,174,1,0,0,0,0,0,0,0,0,418,113,123,3,0,0,0,0,0,0,0,0,0,0,0,0,14.0,14.0,25.0,1.0,0.0,0.0,-200296.497781,1.0,14.0,0.0,0.0,1.0,3.0,1.2,33.07,0.53,57.61,509.59,6.570889907199307,7.048406736306174,7.0028745526695495,6.616390152403153,4.240871035875303,5.2285089994171186,6.534800000000001,-6.674143514052226,1,6.0740454491
ACE_actives0000008_docked,-24.5577,9.62895,24.0907,-47.1316,0,-1.93755,-43.5874,878.764,3,0.638121,8,0.311743,0.247356,0.752644,4272,1140,1203,7,407,105,119,0,1003,272,287,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,4.0,51.0,0.0,5.0,0.0,-431589.960574,5.0,14.0,0.0,0.0,0.0,7.0,-.7,33.15,0.59,106.94,613.67,7.625138672253955,7.593154295093792,6.92887581396381,7.1675703286158265,4.38770357776202,6.294271414030608,6.150800000000001,-7.379849307515847,1,6.00420422242
ACE_actives0000009_docked,-34.7457,11.8817,27.8773,-52.9794,-0.661037,-7.41544,-61.1155,904.722,8,0.672219,10,0.350721,0.393913,0.606087,4861,1314,1344,12,399,110,114,1,1199,336,329,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,7.0,60.0,0.0,9.0,0.0,-358566.032293,7.0,22.0,0.0,0.0,0.0,3.0,-2.7,47.92,0.40,127.17,670.25,8.589885948124214,7.628544389110887,7.610357718559215,7.564030842740594,5.117888306421532,6.9043137895380395,6.639300000000004,-8.862431040468413,1,6.08282599811
ACE_actives0000010_docked,-35.2719,9.78351,25.8756,-52.5359,0,-2.65576,-57.0084,1024.66,4,0.659078,13,0.326444,0.609987,0.390013,4787,1316,1385,10,625,170,184,0,1201,336,342,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,3.0,49.0,0.0,12.0,0.0,-706056.42507,7.0,16.0,0.0,0.0,1.0,7.0,-4.8,40.81,0.58,127.25,727.26,9.069051220024036,7.826405626984134,7.401161329892324,7.717148266233772,6.2487540934117956,6.489763584213143,6.459099999999996,-7.488924085223132,1,6.07440085593
