Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
ACHE_actives0000001_docked,-38.9157,13.303,15.4055,-2.30974,0,0,-19.8211,1162.31,0,0.693656,14,0.283149,0.647719,0.352281,5844,1199,1502,25,763,154,192,4,185,40,46,0,0,0,0,0,0,0,0,0,0,0,0,0,494,104,126,3,0,0,0,0,0,0,0,0,26.0,3.0,60.0,15.0,0.0,7.0,56034.7728056,2.0,39.0,3.0,0.0,0.0,0.0,-.3,43.31,0.43,68.95,742.76,8.072690361090933,8.127109400654897,8.00399028427129,7.779193001443005,7.070482901855601,6.595992534569349,6.678299999999999,-10.485277761647966,1,6.70415427686
ACHE_actives0000002_docked,-41.3104,6.65547,11.5974,0.326864,0,0,-27.1818,1035.28,0,0.689812,10,0.351642,0.713896,0.286104,5886,1248,1548,21,800,172,211,3,228,47,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,12.0,69.0,2.0,6.0,16.0,-37558.1554478,1.0,77.0,8.0,0.0,0.0,0.0,-1.3,37.89,0.43,68.95,746.21,7.713219602642857,8.25190791147741,8.019187827922083,7.866766080752585,8.625196491934986,9.61698130598918,7.308499999999997,-10.230269711188988,1,6.2696483611
ACHE_actives0000003_docked,-42.0281,10.539,12.5437,-1.46619,0,0,-26.6082,1132.53,0,0.68828,17,0.322762,0.666333,0.333667,6514,1379,1676,30,1008,210,250,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,4.0,91.0,5.0,1.0,11.0,-367191.646978,2.0,58.0,3.0,0.0,0.0,1.0,-3.6,28.01,0.52,51.36,758.96,7.691825253992173,8.391469334942851,8.228083854034862,8.11111099811301,8.639961526830731,6.712807291532992,6.039899999999997,-10.61702258232712,1,6.58204849435
ACHE_actives0000004_docked,-44.2962,19.5851,17.2484,-0.290754,0,0,-18.9325,1166.94,0,0.68872,14,0.229784,0.644486,0.355514,6824,1405,1727,30,826,175,206,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,95,106,2,0,0,0,0,0,0,0,0,52.0,1.0,70.0,3.0,0.0,19.0,-84155.1852146,1.0,57.0,2.0,0.0,0.0,0.0,-1.3,37.74,0.52,48.12,798.40,7.558291099719712,8.242855975135978,8.458346058330568,8.051647522089029,7.85119494921221,7.861403173428131,6.643000000000002,-12.069764269526841,1,7.44326330303
ACHE_actives0000005_docked,-45.1382,31.7646,18.1164,-1.39952,0,0,-12.8762,1052.2,0,0.686926,17,0.28002,0.656598,0.343402,6213,1305,1580,36,860,174,213,5,213,49,58,3,0,0,0,0,0,0,0,0,0,0,0,0,169,33,40,0,0,0,0,0,0,0,0,0,38.0,12.0,83.0,9.0,7.0,24.0,-54512.4898323,2.0,65.0,5.0,0.0,0.0,0.0,-2.4,42.55,0.43,68.95,764.67,8.121054173965138,8.267192399156398,8.25268258008659,8.031922937673441,6.9977131297622845,8.193505313161607,7.2615,-11.082424386618587,1,6.18476007296
ACHE_actives0000006_docked,-45.7147,8.77775,12.8369,-4.07782,0,0,-33.7726,1191.04,0,0.709692,15,0.333268,0.665838,0.334162,6643,1406,1723,29,985,206,245,4,218,41,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,6.0,65.0,11.0,2.0,8.0,-103706.474344,0.0,63.0,7.0,0.0,0.0,0.0,-2.6,36.55,0.51,68.43,847.29,8.101738670832882,8.258151711177721,8.16106414912866,8.193131528416028,9.323258776229608,6.878612792090475,6.580500000000004,-11.300160038188107,1,6.58089631603
ACHE_actives0000007_docked,-31.2302,3.84076,9.18074,-7.43933,-0.798057,0,-29.4247,899.698,1,0.678447,12,0.302994,0.659866,0.340134,4869,1030,1205,21,596,131,148,2,332,80,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,4.0,47.0,2.0,1.0,13.0,-81218.6032125,2.0,47.0,5.0,0.0,1.0,0.0,1.7,39.12,0.39,58.37,557.67,7.882195481728873,7.85964461616163,7.476175258574763,7.470001662393166,7.732973506507875,7.909281523848866,7.2496,-11.711417054945418,1,6.28858369657
ACHE_actives0000008_docked,-33.1744,4.66772,7.84118,-8.82998,-1.30705,0,-34.0367,915.762,1,0.689899,10,0.303912,0.663375,0.336625,5014,1060,1248,21,598,131,148,2,328,80,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,4.0,52.0,2.0,1.0,13.0,-85327.0361432,2.0,53.0,5.0,0.0,1.0,0.0,1.9,39.12,0.42,49.58,590.22,8.100323612624198,7.848731711399724,7.531473514410425,7.540864836496842,8.20638455895296,8.346078053838442,7.441400000000001,-11.998092496430617,1,6.23119224131
ACHE_actives0000009_docked,-35.7881,5.1893,9.57738,-1.44257,0,0,-25.9578,1121.9,0,0.689961,12,0.313451,0.625736,0.374264,6197,1321,1572,29,775,157,194,3,173,40,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,7.0,79.0,1.0,0.0,8.0,-158636.002188,1.0,64.0,2.0,0.0,1.0,0.0,-1.4,37.67,0.47,69.21,776.30,7.510246458788835,8.482127653846161,7.862924178571435,7.804366257853267,7.186947638594154,8.049108192107353,6.901100000000001,-9.973073717319641,1,6.41205953048
ACHE_actives0000010_docked,-23.9312,8.55309,6.20624,-6.76287,0,-0.967017,-21.1817,778.214,1,0.693348,7,0.225735,0.677119,0.322881,4117,864,1009,22,462,93,110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,37,51,0,0,0,0,0,0,0,0,0,32.0,1.0,35.0,0.0,3.0,5.0,-40784.5772798,1.0,25.0,0.0,0.0,0.0,0.0,.8,22.12,0.44,38.05,410.00,7.4646114365828655,6.65140823010323,6.542384484293477,6.563739550283052,5.504017113903749,6.570136725050103,6.457200000000004,-8.815815724411511,1,6.02500700603
