Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
ADAM17_actives0000001_docked,-33.156,15.832,12.703,-46.147,-1.44623,0,-60.6327,937.899,2,0.725485,3,0.324304,0.827902,0.172098,3328,887,985,28,384,97,100,6,962,265,285,10,0,0,0,0,0,0,0,0,262,69,69,3,0,0,0,0,0,0,0,0,0,0,0,0,12.0,9.0,35.0,0.0,8.0,30.0,-76802.7889248,1.0,28.0,0.0,0.0,0.0,0.0,-.6,61.12,0.38,133.32,679.98,7.296352934321783,6.596551216672213,6.804444114663112,7.114749711288708,7.161205311664885,7.467672682904031,6.808899999999999,-7.83349676443862,1,5.97068388825
ADAM17_actives0000002_docked,-33.0967,16.215,23.1323,-32.8643,-2.49271,-3.85034,-40.7233,774.6,4,0.701866,9,0.360589,0.697144,0.302856,2925,785,873,29,523,142,146,6,919,250,269,8,0,0,0,0,0,0,0,0,162,42,43,2,0,0,0,0,0,0,0,0,0,0,0,0,54.0,11.0,37.0,0.0,17.0,27.0,-153899.527709,6.0,18.0,1.0,0.0,0.0,1.0,-4.3,62.12,0.21,141.18,565.51,8.379881011040142,6.993975141414147,6.8993447330447255,6.789768411310912,7.215254222232881,7.633077681861542,6.220100000000001,-8.035236815812638,1,6.25763750817
ADAM17_actives0000003_docked,-29.3622,8.42099,11.9325,-31.6652,-0.680245,-1.32999,-47.2387,879.201,2,0.709068,9,0.320805,0.838307,0.161693,2799,725,815,28,276,79,80,4,901,236,274,8,0,0,0,0,0,0,0,0,122,31,35,1,0,0,0,0,106,27,30,2,0,0,0,0,24.0,9.0,47.0,1.0,5.0,11.0,64040.8326892,2.0,19.0,0.0,0.0,1.0,1.0,-1.2,59.99,0.21,116.17,563.43,6.4561774945141295,6.378273328060828,6.142277782994785,6.289379103341099,4.305588245321485,5.90567892718534,5.714600000000001,-6.904705856012594,1,5.95294043281
ADAM17_actives0000004_docked,-36.8905,6.74719,21.5836,-13.6186,0,0,-27.3672,836.584,0,0.736955,8,0.325086,0.428295,0.571705,3023,804,929,22,520,144,156,3,938,248,275,7,0,0,0,0,0,0,0,0,211,53,56,1,0,0,0,0,0,0,0,0,0,0,0,0,22.0,6.0,44.0,7.0,0.0,52.0,-67550.7460639,1.0,20.0,0.0,0.0,0.0,0.0,-4.5,53.35,0.22,108.83,521.22,8.153077354747417,6.631444456820954,6.7935397770562815,6.845308195859698,7.764087210883713,7.9634007443859085,6.591999999999998,-8.305684947975626,1,5.98359558476
ADAM17_actives0000005_docked,-42.0574,13.3872,19.9845,-21.4619,0,0,-39.8812,875.91,0,0.7349,10,0.294141,0.550662,0.449338,3492,935,1110,18,714,194,232,5,737,194,219,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,9.0,25.0,7.0,4.0,28.0,65686.886562,1.0,29.0,0.0,0.0,1.0,1.0,-3.4,39.71,0.45,123.32,576.17,7.389342387271268,7.549489551504064,7.560014176878675,7.117351127761133,4.687707173712683,5.992219069654885,6.4835,-8.347268092915357,1,6.00069462731
ADAM17_actives0000006_docked,-39.0162,10.5009,13.879,-21.7455,0,0,-43.7987,902.78,0,0.707542,9,0.305669,0.589653,0.410347,4115,1083,1242,30,431,108,121,4,574,150,160,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,7.0,38.0,7.0,3.0,42.0,95764.0976008,3.0,43.0,1.0,0.0,1.0,0.0,-.9,49.16,0.32,100.55,618.84,7.770582535706497,7.52266964757465,7.719181658313902,7.393862145687642,8.262557729676935,8.67317893079902,6.901200000000001,-9.548826689766134,1,6.14342001724
ADAM17_actives0000007_docked,-30.2676,9.01419,17.0398,-22.2586,-1.24648,-1.22952,-33.1361,830.117,2,0.676678,12,0.476655,0.285607,0.714393,3398,915,1009,32,560,146,163,7,713,188,201,9,0,0,0,0,0,0,0,0,154,41,41,2,0,0,0,0,0,0,0,0,0,0,0,0,29.0,14.0,35.0,0.0,10.0,19.0,-151554.327856,4.0,28.0,2.0,0.0,0.0,0.0,.8,51.89,0.56,157.80,854.82,6.942047964495616,7.358538449328446,6.817733217005217,6.897676737928734,7.180789244701693,6.758602690541326,6.565100000000004,-4.7794359859585835,1,5.95
ADAM17_actives0000008_docked,-43.8214,30.5102,23.0764,-21.9077,0,0,-27.3268,1187.1,0,0.71728,14,0.321792,0.622688,0.377312,4609,1288,1404,36,704,183,210,5,1111,290,337,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,14.0,71.0,4.0,8.0,24.0,1735.15920356,4.0,27.0,0.0,0.0,0.0,0.0,-2.3,66.79,0.45,158.25,902.35,7.913989663803693,7.1174729320124355,7.271421157398158,7.2754971426906465,5.154800398862436,5.467700972627746,6.710999999999999,-7.386128129286949,1,6.08029606135
ADAM17_actives0000009_docked,-29.8155,7.77485,19.1522,-24.1627,0,0,-31.3237,825.467,0,0.711124,11,0.359119,0.555477,0.444523,3235,838,966,29,434,117,123,5,650,177,180,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,13.0,19.0,4.0,8.0,14.0,-91773.2651451,0.0,15.0,1.0,0.0,0.0,1.0,-1.7,39.57,0.50,99.18,592.37,7.025197017303158,7.387505694805189,6.8555871267621225,6.838560978576977,5.891968886537763,6.184505735830391,6.927600000000001,-7.372061133816027,1,5.95250300596
ADAM17_actives0000010_docked,-37.264,6.40492,18.0216,-36.8373,-1.6833,-3.20058,-58.0784,899.126,4,0.730996,9,0.351833,0.147036,0.852964,2907,730,840,30,390,101,116,4,602,163,175,6,0,0,0,0,0,0,0,0,352,93,112,2,0,0,0,0,0,0,0,0,0,0,0,0,38.0,6.0,42.0,4.0,2.0,31.0,-157966.014285,7.0,15.0,1.0,0.0,1.0,1.0,-3.0,46.62,0.43,107.53,677.75,8.376417622909692,7.105173263902768,6.999607470473975,7.259149967976467,6.194998608357415,6.300113980921155,6.584100000000001,-6.716628919126004,1,5.98570763574
