Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
ADRB2_actives0000001_docked,-31.2376,48.6287,12.463,-7.81668,0,0,-2.22489,968.411,0,0.677648,10,0.247599,0.688206,0.311794,4180,950,1142,59,683,136,190,7,809,175,219,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,0.0,12.0,6.0,0.0,7.0,-482700.323545,3.0,24.0,1.0,0.0,1.0,0.0,1.6,41.65,0.38,91.85,595.41,7.753186626489805,7.750107813131311,7.478949511488509,7.145651955988451,5.312867888990789,6.096367933727725,6.4099999999999975,-8.376815431113211,1,5.97365738723
ADRB2_actives0000002_docked,-35.0832,28.1025,10.4934,-4.38899,0,0,-14.7571,932.075,0,0.683799,7,0.306555,0.60797,0.39203,3971,895,1064,22,189,42,55,0,579,129,157,2,0,0,0,0,0,0,0,0,0,0,0,0,458,99,128,3,0,0,0,0,0,0,0,0,103.0,0.0,23.0,7.0,0.0,1.0,-255885.913295,3.0,42.0,2.0,0.0,1.0,0.0,1.8,39.57,0.40,50.72,585.57,8.509073195613908,7.7616518735708775,7.7134153897213835,7.600378657287157,4.864242098082231,6.061700071333594,6.4699,-8.523252801322533,1,6.03474651815
ADRB2_actives0000003_docked,-37.5007,5.45635,21.4117,2.67493,0,-0.522564,-12.3316,1417.14,1,0.678539,13,0.216373,0.67602,0.32398,5828,1297,1490,96,717,160,185,10,1089,250,273,26,0,0,0,0,0,0,0,0,145,36,38,3,0,0,0,0,0,0,0,0,0,0,0,0,118.0,0.0,20.0,4.0,0.0,3.0,-193435.580541,5.0,38.0,1.0,0.0,1.0,0.0,-.8,52.17,0.57,140.23,941.24,7.985481529036261,8.094492757020767,8.062916570596064,7.779683726107228,6.938951176541148,5.885904706146395,6.807099999999999,-8.199985108008546,1,6.19757990806
ADRB2_actives0000004_docked,-32.6477,31.1147,11.2998,-1.75865,0,0,-7.57402,882.444,0,0.663462,6,0.234752,0.663281,0.336719,3965,899,1080,46,219,47,61,1,840,181,231,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0,0.0,13.0,5.0,0.0,4.0,-307533.481663,4.0,30.0,3.0,0.0,1.0,0.0,-1.1,35.66,0.37,81.95,523.45,7.759575601816064,6.478469592518599,6.569535026862027,6.838722367576866,7.009898284067751,6.868060851759277,6.4963,-8.232714459274826,1,6.03192526763
ADRB2_actives0000005_docked,-32.6698,4.81567,13.189,-8.29758,-1.58918,0,-28.7004,915.91,1,0.671148,12,0.250459,0.67624,0.32376,3853,882,1056,34,427,94,116,2,756,175,208,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,0.0,38.0,3.0,0.0,15.0,-344758.165853,3.0,22.0,3.0,0.0,0.0,0.0,-1.1,38.57,0.32,90.82,529.35,7.278016114668543,7.4580852927627905,6.749801150849144,6.966289878066374,5.697832714560111,6.159833313564428,6.457799999999996,-7.564719001617791,1,6.07002907995
ADRB2_actives0000006_docked,-20.3282,5.42804,10.7638,-1.7855,0,-0.00271147,-9.20452,1079.48,1,0.564775,7,0.29066,0.622692,0.377308,4859,1077,1301,52,351,78,100,1,776,164,209,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0.0,2.0,3.0,0.0,4.0,14428.1390078,2.0,12.0,2.0,0.0,0.0,0.0,1.3,46.00,0.38,91.58,754.38,6.250277996468006,7.633082802752792,6.815016301365303,7.180103236818736,3.669445309478451,5.076143678928637,6.2049,-6.199782275174984,1,6.02947679385
ADRB2_actives0000007_docked,-36.8873,29.5433,17.1793,-11.2793,-0.797226,-1.82491,-17.751,1049.69,4,0.649055,8,0.238484,0.5927,0.4073,5150,1126,1330,82,444,93,120,7,1036,218,263,13,0,0,0,0,0,0,0,0,210,44,48,5,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,22.0,9.0,0.0,15.0,-94601.2351913,6.0,27.0,0.0,0.0,0.0,0.0,-1.6,55.11,0.25,107.89,673.17,8.051649006799323,7.436165879398373,7.569814870129871,7.690436405039404,3.980046099129559,4.547314251051333,6.5161,-8.589958482449996,1,6.03481781487
ADRB2_actives0000008_docked,-43.0044,6.82403,21.6011,-9.40678,0,-0.372076,-29.3007,1078.34,1,0.665358,11,0.269926,0.656086,0.343914,4555,1021,1249,36,720,170,193,7,867,185,230,10,0,0,0,0,0,0,0,0,230,45,60,2,0,0,0,0,0,0,0,0,236,48,64,4,134.0,0.0,28.0,13.0,0.0,12.0,-243795.851837,2.0,39.0,1.0,0.0,1.0,0.0,-2.4,52.44,0.23,126.57,665.66,8.082715456666751,7.584950167388163,7.753809013875014,7.76409326473527,7.440393132463853,6.9204083951277084,7.1202000000000005,-9.349557652999843,1,6.05369753513
ADRB2_actives0000009_docked,-46.9889,9.91806,20.384,-7.33284,0,0,-31.5547,1201.51,0,0.674818,13,0.244084,0.690433,0.309567,5765,1309,1459,90,1103,241,276,22,417,96,110,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.0,0.0,53.0,2.0,0.0,18.0,-688039.103474,3.0,35.0,0.0,0.0,1.0,1.0,-2.8,57.04,0.14,114.59,703.34,8.478472617761062,8.056327336496837,7.9266761677211806,7.894425227272728,7.747453316483959,6.249257929522796,6.824300000000003,-10.417776773677103,1,6.04233887334
ADRB2_actives0000010_docked,-41.7886,8.43068,21.4379,-8.50736,0,-1.42505,-27.1455,1048.46,2,0.673526,14,0.233262,0.66373,0.33627,5041,1110,1358,64,861,189,249,3,678,143,186,5,0,0,0,0,0,0,0,0,236,50,65,2,0,0,0,0,0,0,0,0,0,0,0,0,99.0,0.0,24.0,8.0,0.0,2.0,-196626.919271,4.0,24.0,0.0,0.0,0.0,0.0,-.2,47.27,0.42,70.67,657.84,9.225704464515172,8.169563488067485,7.884656040570538,7.949018425296926,6.1228417840988785,5.595692682264478,6.9941,-9.122608686929416,1,5.99716241723
