Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
AKT1_actives0000001_docked,-23.3682,15.0931,11.4178,3.49389,0,0,-0.84057,866.281,0,0.612416,6,0.346354,0.641913,0.358087,3667,863,1086,47,991,234,299,13,146,32,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,12.0,41.0,0.0,16.0,14.0,-451975.218944,3.0,17.0,0.0,0.0,0.0,1.0,-3.9,45.60,0.17,105.50,558.35,6.968870093682997,7.660273170052163,7.625014481240983,7.118378905039411,4.845501329421724,4.866103514482724,5.789299999999998,-6.961484981840821,1,6.05396901321
AKT1_actives0000002_docked,-21.074,4.90105,13.5663,4.50167,0,0,-1.18192,733.571,0,0.590903,4,0.368602,0.646618,0.353382,3069,729,925,36,810,192,240,7,144,30,41,2,0,0,0,0,0,0,0,0,0,0,0,0,208,51,64,2,0,0,0,0,0,0,0,0,17.0,13.0,45.0,0.0,13.0,0.0,-558554.381411,2.0,24.0,2.0,0.0,0.0,1.0,-1.4,35.21,0.37,80.06,525.64,6.467256137976193,7.145446915251416,7.0489229725274685,7.2885443883893855,4.007488596485684,5.805204779916409,6.852799999999998,-6.797773510685351,1,6.07168251422
AKT1_actives0000003_docked,-30.1747,23.5427,9.26046,2.16642,0,0,-7.76451,851.348,0,0.594862,4,0.371502,0.723703,0.276297,4281,968,1179,47,608,139,171,9,294,69,81,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38.0,41.0,0.0,26.0,13.0,-413268.411433,1.0,31.0,1.0,0.0,0.0,2.0,-5.6,49.93,0.11,93.03,597.33,7.808894436750968,7.472303353535353,7.059558229437228,6.9534177538017525,4.885649285886863,6.336330691363587,6.365000000000001,-7.918058631766284,1,6.02992921935
AKT1_actives0000004_docked,-33.161,21.9796,16.3744,-0.896552,0,0,-8.45237,1006.75,0,0.610296,9,0.323014,0.656572,0.343428,4470,1002,1257,66,1191,272,349,14,294,67,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,24.0,40.0,4.0,17.0,18.0,-503938.202289,3.0,27.0,2.0,0.0,1.0,1.0,-1.9,57.78,0.19,131.53,663.10,6.996229782984815,7.546323763791752,7.804666685703184,7.585394086635591,5.4054029287181455,5.2742995060726825,5.860700000000004,-8.448284440703713,1,6.14107799686
AKT1_actives0000005_docked,-25.3352,4.28863,16.8298,-3.71913,0,-1.21097,-11.3397,880.088,1,0.612989,7,0.320738,0.677726,0.322274,3739,867,1065,45,1024,221,291,14,0,0,0,0,632,142,178,8,0,0,0,0,155,34,49,2,0,0,0,0,0,0,0,0,0,0,0,0,32.0,54.0,19.0,10.0,1.0,2.0,-538524.661584,6.0,13.0,0.0,0.0,1.0,1.0,-3.6,59.69,0.25,92.51,550.78,7.562980738832252,7.763872526695525,7.4868143473748425,7.438016326673316,5.6368191533310705,7.161246189468718,6.280200000000001,-8.03366420578628,1,6.09487984048
AKT1_actives0000006_docked,-25.09,24.3814,9.24067,1.87055,0,0,-1.90053,728.407,0,0.614257,5,0.393921,0.640591,0.359409,3413,811,1027,37,561,135,171,8,137,36,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,12.0,56.0,0.0,16.0,13.0,-479601.116161,2.0,29.0,2.0,0.0,0.0,2.0,-2.1,40.08,0.13,76.82,526.66,6.334443560462033,7.158411574869572,6.582081637806632,6.537280006327007,4.825760821597831,5.826154831289538,6.080799999999998,-7.116374065808568,1,6.06388327993
AKT1_actives0000007_docked,-26.3314,6.89428,11.981,-0.864108,-1.62982,0,-13.8234,788.893,1,0.586193,5,0.364939,0.698894,0.301106,3601,830,1026,41,719,152,206,9,429,101,122,4,525,121,142,3,0,0,0,0,192,43,52,2,0,0,0,0,0,0,0,0,0,0,0,0,9.0,46.0,35.0,0.0,17.0,0.0,-551437.2063,3.0,18.0,1.0,0.0,0.0,1.0,-4.0,62.35,0.20,89.27,533.23,5.807285207771277,7.791299436276138,7.432903475690975,7.358287813242311,6.009319889067573,5.48090931835557,7.363400000000002,-8.354320602708208,1,5.9808069789
AKT1_actives0000008_docked,-26.5478,5.58272,15.6886,-8.06597,0,0,-17.8494,949.303,0,0.619414,10,0.350769,0.609442,0.390558,4502,1015,1286,62,1330,311,384,13,291,62,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,28.0,40.0,2.0,17.0,9.0,-404561.887743,2.0,21.0,2.0,0.0,0.0,1.0,-.5,59.40,0.19,157.55,678.64,6.576060081874632,7.5614637510822424,7.765447154234653,7.610122309801312,3.2921793451165815,4.959379187507372,5.827000000000005,-7.885748779313754,1,6.35343433295
AKT1_actives0000010_docked,-28.6831,6.82026,11.4803,3.43759,0,0,-11.392,1048.23,0,0.620601,8,0.310091,0.676681,0.323319,4525,1068,1294,47,1213,283,366,12,470,111,141,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,13.0,35.0,0.0,30.0,10.0,-158793.361637,2.0,26.0,2.0,0.0,0.0,1.0,.8,58.69,0.26,127.51,706.86,7.688614259351152,7.806199002553003,7.802611790209788,7.6873940558330585,5.267130411614221,5.788513404053499,7.2425999999999995,-8.11570253508375,1,6.15765073645
AKT1_actives0000011_docked,-34.6416,7.75924,16.2764,2.14635,0,0,-14.5946,1199.87,0,0.615714,9,0.333768,0.645696,0.354304,5613,1348,1628,59,1489,382,452,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,22.0,68.0,0.0,7.0,5.0,-645065.205922,4.0,29.0,1.0,0.0,0.0,1.0,-1.0,60.32,0.21,121.65,793.59,7.979914781431657,8.171649941613946,8.033899275446787,7.967437490620495,7.639472209089479,7.012819371563675,7.233299999999999,-11.491810271514302,1,6.67321273633
