Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
ALR2_actives0000001_docked,-26.7248,13.1556,3.69999,-4.90752,0,-0.822724,-21.1191,642.798,1,0.681103,4,0.317266,0.766944,0.233056,2432,548,531,42,320,74,71,4,756,175,170,10,0,0,0,0,0,0,0,0,194,47,48,3,184,41,42,4,0,0,0,0,0,0,0,0,0.0,2.0,78.0,0.0,0.0,2.0,3411.43444782,3.0,29.0,0.0,0.0,0.0,0.0,-2.8,45.02,0.08,88.74,359.35,6.623659604742569,6.972153820956825,6.499416446442441,6.573354543290051,4.340178431647709,4.9136777428189475,5.5492,-7.6994553439728675,1,5.98767429538
ALR2_actives0000002_docked,-35.0835,9.72974,8.30894,-1.35862,0,0,-23.4945,771.794,0,0.697926,7,0.352679,0.761259,0.238741,3400,784,747,59,608,135,130,11,604,142,133,11,341,81,71,2,0,0,0,0,184,43,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,108.0,0.0,0.0,4.0,47329.8122927,1.0,37.0,0.0,0.0,0.0,0.0,-4.2,64.93,0.16,82.86,481.55,7.9128070743593595,7.379910484126986,7.307777702908198,7.2650235145410145,6.538557760953432,7.121116812202992,6.398300000000001,-9.46719719054403,1,5.98292399416
ALR2_actives0000003_docked,-31.8442,9.23227,8.12411,-7.27102,0,-1.94556,-28.4873,802,2,0.659576,5,0.317369,0.753851,0.246149,3384,783,754,60,359,82,80,7,592,141,139,10,575,137,129,11,0,0,0,0,209,43,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.0,97.0,0.0,0.0,8.0,-45198.9492939,3.0,34.0,0.0,0.0,0.0,1.0,-4.0,63.19,0.16,64.35,488.86,5.8719231402402325,7.413917435009435,7.204199399211898,7.179627887834389,5.6008931087429845,7.435459048627943,6.569500000000001,-8.988481920546269,1,6.13278046947
ALR2_actives0000004_docked,-23.5333,4.93742,3.83546,-1.57403,0,-0.56416,-19.7085,598.972,1,0.689571,3,0.388901,0.891799,0.108201,2370,517,510,42,217,48,50,2,560,123,118,10,656,160,151,9,0,0,0,0,156,34,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,79.0,0.0,0.0,0.0,71041.8047301,1.0,33.0,0.0,0.0,0.0,0.0,-3.3,61.47,0.14,88.74,393.10,5.371915222875924,6.061230919400854,5.541636245532244,5.988804830447334,4.1161250603801065,5.2614200126169015,5.737900000000001,-8.300959993053084,1,5.97729609911
ALR2_actives0000005_docked,-26.9879,8.80882,4.98056,-4.07287,0,-1.67609,-22.622,732.994,2,0.66294,2,0.345779,0.798072,0.201928,2976,665,651,56,319,73,67,6,438,102,96,6,459,94,99,9,0,0,0,0,173,36,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,81.0,0.0,0.0,4.0,-121287.145006,2.0,36.0,3.0,0.0,0.0,1.0,-3.5,59.01,0.11,55.12,440.98,6.814437921757059,6.773953142357645,6.432542411976912,6.856323127372628,5.049155418041104,6.511997600692008,6.6100999999999965,-7.7482613040374595,1,6.00945943249
ALR2_actives0000006_docked,-30.2547,10.6233,7.19359,-5.40177,0,0,-22.93,747.985,1,0.68021,3,0.299653,0.795152,0.204848,3383,770,731,58,363,82,80,7,436,101,96,6,613,146,133,12,0,0,0,0,157,35,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,101.0,0.0,0.0,5.0,-98093.1472624,2.0,44.0,3.0,0.0,0.0,1.0,-2.7,65.24,0.16,55.12,471.25,5.955690516822767,7.158213266289262,6.976674351592852,7.151532884226883,4.471798052316761,6.640572020009662,6.1422000000000025,-9.840745155573815,1,6.029463848
ALR2_actives0000007_docked,-25.9553,6.26409,5.65812,-4.42347,0,-0.940053,-22.6714,660.439,1,0.672812,2,0.393198,0.818067,0.181933,2796,597,566,48,333,73,75,6,721,175,161,12,132,27,23,2,0,0,0,0,0,0,0,0,223,54,49,4,84,15,17,0,0,0,0,0,0.0,2.0,68.0,0.0,0.0,0.0,28521.9609624,1.0,30.0,1.0,0.0,0.0,1.0,-3.0,54.15,0.12,77.92,453.43,6.692883655839365,6.376778299644803,5.906394692585189,6.45499282461982,6.430931593924735,6.864879944547964,6.013000000000001,-8.177264598301296,1,6.06110381486
ALR2_actives0000008_docked,-30.6427,11.9217,4.25715,-5.5864,0,-0.36065,-25.9483,713.082,1,0.677173,5,0.320601,0.740794,0.259206,3249,756,711,53,386,85,86,5,444,106,101,5,217,52,52,4,0,0,0,0,168,37,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,93.0,0.0,0.0,5.0,-42959.0880542,1.0,38.0,0.0,0.0,0.0,1.0,-3.2,46.79,0.11,55.12,428.00,6.144312440685999,7.173419839882336,6.845318189366189,7.132047981629477,5.019622944635595,5.348186680420343,6.263700000000001,-9.01028320770912,1,5.96547513441
ALR2_actives0000009_docked,-34.014,9.67124,3.83816,-8.02056,0,-1.79914,-34.3979,723.681,2,0.69697,3,0.289884,0.834121,0.165879,3163,713,686,56,211,47,50,3,670,157,151,10,546,126,116,12,0,0,0,0,178,42,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.0,100.0,0.0,0.0,0.0,-144379.97101,3.0,42.0,1.0,0.0,0.0,1.0,-5.0,53.26,0.25,49.77,448.98,6.58306299703186,6.277556775502279,6.557242384226888,6.647228020757029,6.474205780815464,5.086870767755191,6.092799999999999,-9.733944944895207,1,6.04781044145
ALR2_actives0000010_docked,-30.0062,8.94001,0.890319,-3.57174,0,-0.992118,-28.5889,662.91,1,0.664752,3,0.331144,0.788113,0.211887,3179,703,687,58,338,75,75,5,797,182,170,12,0,0,0,0,0,0,0,0,208,48,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,83.0,0.0,0.0,1.0,23094.9552984,3.0,39.0,0.0,0.0,0.0,0.0,-1.7,47.25,0.00,88.74,406.92,6.354719553080355,7.1275251132756114,6.811564409812412,6.79556481385281,5.681727560135174,5.1590016967875885,5.6531,-10.126743549671078,1,5.9822446672
