Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
AR_actives0000001_docked,-35.0173,70.1993,19.9333,1.69101,0,-1.19318,24.2254,730.502,1,0.498887,5,0.310283,0.831616,0.168384,3366,767,744,106,641,144,145,21,445,101,94,13,673,162,147,22,0,0,0,0,0,0,0,0,231,50,51,6,0,0,0,0,0,0,0,0,80.0,0.0,5.0,25.0,0.0,1.0,-50433.2583374,3.0,21.0,0.0,0.0,0.0,0.0,.6,48.63,0.47,68.85,419.80,7.205890678246989,7.701403903485401,7.418450647130642,7.546513260504199,7.5260596522907,7.653636342001402,6.422199999999999,-7.711448140560446,1,6.32435693707
AR_actives0000002_docked,-37.6053,11.0447,8.6551,-3.23805,0,0,-26.4283,738.936,0,0.639175,4,0.313008,0.852014,0.147986,5063,1144,1140,152,0,0,0,0,668,147,150,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,0.0,7.0,4.0,0.0,1.0,-10610.0392061,0.0,23.0,0.0,0.0,0.0,0.0,1.0,14.14,0.82,43.37,560.01,7.795434898283597,8.002659205516705,7.696424023809528,7.863295747363742,7.54359677858452,7.739981369555868,6.494199999999999,-9.842928231062265,1,6.86651576673
AR_actives0000003_docked,-33.1235,9.78845,9.84957,-3.39402,0,0,-21.9363,673.12,0,0.647601,4,0.282303,0.841928,0.158072,4479,1017,1031,132,0,0,0,0,464,104,107,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,0.0,7.0,4.0,0.0,2.0,17852.6456217,0.0,17.0,0.0,0.0,0.0,0.0,2.6,8.00,0.95,37.30,493.68,7.451277982826037,8.156759363802863,7.462671669552674,7.647140787157287,8.03448459860095,7.930897996655744,7.295999999999998,-10.384750635562662,1,6.96843450407
AR_actives0000004_docked,-34.9381,7.20091,19.219,-1.46108,0,-1.88805,-15.2799,643.985,2,0.637959,3,0.31653,0.815142,0.184858,3285,745,751,98,473,103,106,14,226,53,49,8,1870,425,442,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0.0,8.0,16.0,0.0,1.0,-14995.6035201,2.0,20.0,0.0,0.0,0.0,0.0,-2.4,67.72,0.36,32.34,394.48,5.882804616706913,7.2656001563991515,7.080606764735262,7.132113068542569,5.981698868268317,6.090816497994163,5.741299999999998,-9.6718133509176,1,6.92505477959
AR_actives0000007_docked,-30.3727,17.583,12.373,-3.02937,0,-0.507688,-11.7968,671.044,1,0.508634,6,0.296039,0.837359,0.162641,3185,731,709,97,685,162,146,20,681,158,164,21,0,0,0,0,0,0,0,0,0,0,0,0,224,54,53,7,0,0,0,0,0,0,0,0,51.0,0.0,0.0,18.0,0.0,1.0,-78561.6281935,2.0,13.0,0.0,0.0,0.0,0.0,2.0,35.84,0.36,84.64,370.57,6.800770323522059,7.673775977133977,7.169989847763347,7.330696357753356,5.317185675795322,5.6708487522843205,6.529499999999998,-6.849386857649222,1,6.09744955575
AR_actives0000008_docked,-42.0772,13.3326,12.7897,-6.41481,0,-0.0222659,-29.1691,675.44,1,0.664734,7,0.31451,0.824336,0.175664,4242,965,970,125,714,164,161,21,921,215,216,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,0.0,12.0,15.0,0.0,3.0,-373170.833421,0.0,30.0,0.0,0.0,0.0,0.0,1.0,39.81,0.33,86.44,432.40,8.44030390515162,8.009598501553995,7.378182086913087,7.746975313242315,8.26846505106272,7.786610602931899,6.938300000000002,-9.889969875015506,1,6.18173894626
AR_actives0000009_docked,-29.0109,8.16682,10.9889,-4.66426,0,0,-18.9008,612.805,0,0.671891,4,0.313757,0.81828,0.18172,2601,596,599,75,481,116,112,14,233,52,58,6,703,152,165,19,0,0,0,0,0,0,0,0,470,107,104,15,0,0,0,0,0,0,0,0,46.0,0.0,7.0,22.0,0.0,0.0,-2325.11935474,2.0,14.0,0.0,0.0,0.0,0.0,-.8,48.59,0.18,48.91,320.71,6.536561150075373,7.208046924020421,6.793321022105351,7.015973521034512,6.603081814763754,5.831452495617263,5.719499999999998,-8.644379373033503,1,6.0931894063
AR_actives0000010_docked,-30.2413,7.88585,7.76858,-0.0221888,0,0,-18.4132,635.522,0,0.64836,5,0.306353,0.861297,0.138703,3307,744,767,97,462,106,105,14,458,103,104,14,722,179,168,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,0.0,6.0,16.0,0.0,0.0,84175.1267224,1.0,15.0,0.0,0.0,0.0,0.0,0,41.92,0.36,41.57,370.70,5.582337279454828,7.47093288999888,6.728688920357428,7.184525879509383,5.245164026998584,6.538879182039795,6.057800000000001,-7.692259870389083,1,6.24607548005
AR_actives0000011_docked,-39.493,38.1763,16.9221,-3.63536,0,-1.8963,-7.90997,702.461,2,0.674276,4,0.309697,0.84573,0.15427,4005,899,910,117,470,105,102,14,460,107,105,13,1431,344,326,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0.0,9.0,17.0,0.0,1.0,-39609.4911901,3.0,21.0,0.0,0.0,0.0,0.0,-.2,59.72,0.47,52.57,463.02,6.090595877514743,7.659831627927618,7.654444195915184,7.504791056319495,7.491614621715323,7.16307890273596,6.589399999999999,-10.764347250946962,1,6.82495554125
AR_actives0000013_docked,-33.7449,59.3284,10.1786,0.248348,0,0,8.74285,675.511,0,0.538584,6,0.306936,0.830159,0.169841,3453,801,792,105,921,217,210,28,231,48,57,6,0,0,0,0,0,0,0,0,0,0,0,0,226,54,54,7,0,0,0,0,0,0,0,0,68.0,0.0,8.0,11.0,0.0,0.0,-102681.828558,1.0,21.0,0.0,0.0,0.0,0.0,-.2,25.16,0.53,62.53,431.58,7.493766565390645,7.8691433242868225,7.447120705905209,7.5563492770987155,6.68108304644404,6.225130431199386,6.444099999999997,-8.271664658141649,1,6.09443036591
