Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
AURKA_actives0000001_docked,-29.1826,5.30023,16.6208,-8.46347,0,-1.29087,-19.6216,1042.27,1,0.64717,4,0.360952,0.549782,0.450218,4161,1091,1040,13,1128,299,284,1,682,171,162,3,0,0,0,0,0,0,0,0,0,0,0,0,92,25,21,0,0,0,0,0,0,0,0,0,4.0,50.0,33.0,0.0,10.0,17.0,-131365.492016,1.0,24.0,0.0,0.0,1.0,1.0,-4.7,59.10,0.30,123.62,741.70,6.8351199416929775,7.708282823898326,7.220888994949493,7.254680795815293,4.271809274006392,5.651104624446819,6.721200000000002,-6.22169307583939,1,5.9667232536
AURKA_actives0000002_docked,-35.8172,7.98063,4.46727,-6.31086,-1.84477,0,-36.15,827.358,2,0.677955,3,0.283419,0.609572,0.390428,3852,1019,974,1,948,236,234,1,171,47,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,49.0,15.0,0.0,24.0,23.0,-14687.4108173,3.0,26.0,0.0,0.0,0.0,0.0,-1.9,42.86,0.13,62.30,500.29,8.366726866091621,7.339827350427352,7.174451820290821,7.095291777444771,6.912545328387078,6.659195021194779,5.665699999999998,-8.605379294161937,1,6.0353986203
AURKA_actives0000003_docked,-28.6802,6.81922,1.72635,-3.99746,0,-1.40641,-29.4419,773.794,1,0.669663,5,0.264755,0.65882,0.34118,3922,1031,995,3,573,143,151,0,324,83,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,46.0,11.0,0.0,14.0,3.0,-14907.6447587,1.0,24.0,0.0,0.0,0.0,0.0,-.8,37.05,0.26,45.06,499.59,6.680853866725651,7.521086538073043,7.036317873570871,7.205724917748916,6.338827985684861,6.109830749324307,6.421200000000006,-8.712648634593695,1,5.99177626805
AURKA_actives0000004_docked,-35.741,8.61185,11.6181,-2.93517,0,0,-24.3413,1102.78,0,0.619989,8,0.381688,0.604652,0.395348,4226,1145,1070,5,822,218,202,1,548,146,138,1,73,23,18,0,0,0,0,0,233,64,60,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,33.0,18.0,0.0,16.0,21.0,-135940.865591,3.0,31.0,0.0,0.0,1.0,0.0,-3.2,59.60,0.43,91.24,799.79,7.464906988071412,8.310095826728828,7.820528245032744,7.514389365023868,6.33632571173559,6.288020359546646,7.129499999999998,-6.821066716956338,1,5.95945125602
AURKA_actives0000005_docked,-35.0534,45.0056,4.97031,-10.8033,-1.37231,-0.808168,-19.7537,889.889,2,0.672725,3,0.35168,0.62911,0.37089,4244,1146,1062,3,698,183,180,0,449,122,109,0,193,53,51,0,0,0,0,0,0,0,0,0,119,31,30,0,0,0,0,0,0,0,0,0,0.0,52.0,12.0,0.0,37.0,14.0,-260701.908789,4.0,24.0,0.0,0.0,1.0,1.0,-3.7,68.57,0.11,105.93,649.04,8.0576710701712,7.924453383505388,7.617312979242971,7.626762339105333,8.46566305169191,8.493991265227042,7.9188,-9.151786131979357,1,5.98187896278
AURKA_actives0000006_docked,-32.8315,5.13424,20.2253,-10.0092,0,-0.660956,-21.4135,1230.88,1,0.619611,6,0.315841,0.537249,0.462751,4164,1124,1082,13,815,220,216,4,550,157,144,1,209,51,52,0,0,0,0,0,149,38,39,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0,42.0,47.0,0.0,13.0,9.0,-45622.1349274,4.0,10.0,0.0,0.0,0.0,0.0,-1.8,63.38,0.38,121.73,804.94,8.036386629492121,7.9813501669996665,7.774606904817402,7.465257350149849,4.338595718623933,5.478041483075017,6.408599999999998,-6.919261320445798,1,5.9718719224
AURKA_actives0000007_docked,-32.3284,27.7124,14.8226,-8.90424,-1.62019,-1.20755,-15.7027,910.281,2,0.644812,3,0.297248,0.583298,0.416702,3309,874,832,4,1224,325,301,0,290,75,75,0,342,97,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,50.0,13.0,0.0,37.0,14.0,-96434.5525746,3.0,17.0,0.0,0.0,0.0,0.0,.3,59.99,0.23,110.96,589.55,7.342608328936143,7.509135253579753,7.178227361971365,7.587520185536683,7.348942298897503,7.722756067887049,6.8618999999999994,-7.818116306125883,1,6.14587379329
AURKA_actives0000008_docked,-35.9181,7.8193,14.081,-11.2688,-1.41805,-1.3489,-32.0963,1057.19,2,0.630236,3,0.341168,0.575447,0.424553,3707,991,955,4,1127,292,282,1,246,67,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,50,55,0,0,0,0,0,11.0,41.0,19.0,0.0,39.0,17.0,-160298.272075,2.0,21.0,0.0,0.0,1.0,0.0,-2.5,50.16,0.42,86.55,718.47,8.302088280674974,7.685991388444889,7.468793997280493,7.379924290820288,7.879703414892842,7.963921142402286,7.1921000000000035,-8.471700224395525,1,6.07533331678
AURKA_actives0000009_docked,-32.5156,23.4695,7.16643,-5.85629,0,-0.648355,-19.8123,895.198,1,0.612076,5,0.33631,0.604629,0.395371,3946,1027,978,1,717,184,192,0,715,194,182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67.0,21.0,0.0,10.0,29.0,-204417.75617,3.0,37.0,1.0,0.0,1.0,1.0,-3.0,58.23,0.09,132.55,561.53,6.899260481450187,7.341484939837944,7.202851284271285,7.044495422743924,5.555884313873343,6.5291394574432156,6.929700000000004,-8.97672212056148,1,5.98174484056
AURKA_actives0000010_docked,-35.1909,8.44825,17.2733,-10.0836,-0.676166,-0.397306,-24.8011,1010.92,2,0.649773,4,0.344228,0.558631,0.441369,3280,875,833,4,1425,381,359,1,157,39,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,49,55,0,0,0,0,0,0.0,58.0,26.0,0.0,38.0,10.0,-207337.136064,5.0,18.0,0.0,0.0,0.0,0.0,-3.5,47.33,0.48,98.38,697.38,7.034986578093291,7.434319633033628,7.321461495226997,7.378577954933952,5.764306549764104,6.44830722625008,7.235000000000002,-8.004818442810546,1,6.11621898238
