Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
AURKB_actives0000001_docked,-35.2785,12.7553,9.10694,-5.18187,0,0,-25.5717,961.812,0,0.665518,5,0.421473,0.561965,0.438035,3810,1044,954,30,673,194,167,5,147,46,35,2,174,47,45,2,0,0,0,0,191,49,51,2,0,0,0,0,0,0,0,0,0,0,0,0,16.0,32.0,7.0,4.0,13.0,26.0,-524426.297647,2.0,32.0,0.0,0.0,1.0,2.0,-6.4,56.80,0.30,75.64,779.40,6.519573629110125,7.9869658349983315,7.511282136197137,7.442301258408246,6.384155019976436,6.775510889091422,7.6693,-7.473804449304897,1,5.99723157225
AURKB_actives0000002_docked,-42.0181,10.9425,17.4132,-15.3088,-0.780587,0,-36.4427,1120.67,1,0.661762,8,0.320202,0.601247,0.398753,4560,1162,1178,26,1296,334,346,8,581,153,152,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,86.0,8.0,0.0,15.0,17.0,134238.637319,2.0,28.0,0.0,0.0,0.0,0.0,-3.0,55.05,0.30,123.62,728.75,7.293064112148703,7.743033092130093,7.479211921217676,7.622291912254421,6.7134155014311405,8.308066936549173,7.450399999999998,-7.7408592048476095,1,6.11661329499
AURKB_actives0000003_docked,-30.2359,52.8637,9.34278,-5.96174,0,-1.19845,0.854447,843.217,2,0.682328,2,0.362126,0.571192,0.428808,3437,894,870,18,590,152,149,4,610,157,151,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,65.0,17.0,0.0,8.0,14.0,-598020.017918,4.0,25.0,0.0,0.0,0.0,1.0,-5.5,58.23,0.09,132.55,561.53,6.778794788328412,7.143627257631258,6.661728342169524,6.841376727661226,6.05342868572012,6.079879348593109,6.7602,-7.864550859714079,1,5.9595189776
AURKB_actives0000004_docked,-29.3584,13.1559,6.53205,-9.68528,0,0,-26.7064,659.391,0,0.67158,3,0.386884,0.656754,0.343246,2888,750,739,22,654,165,166,5,91,24,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,49.0,6.0,0.0,33.0,15.0,-65102.746728,3.0,25.0,0.0,0.0,0.0,0.0,-1.6,37.47,0.37,73.57,466.02,6.847326871187564,7.092402809468306,6.837417474636475,6.701283378843384,7.745539018425829,7.5041459701898505,7.037799999999999,-9.52179966627162,1,5.99187363515
AURKB_actives0000005_docked,-33.0409,15.8448,17.3426,-2.84554,-1.71522,0,-12.9971,839.989,1,0.690127,4,0.385831,0.583861,0.416139,3282,848,847,14,1191,302,312,9,265,69,68,1,365,97,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,55.0,16.0,0.0,46.0,12.0,-217722.195521,4.0,15.0,0.0,0.0,0.0,0.0,-1.3,59.99,0.23,110.96,596.28,7.4443083314217136,7.943650747308242,7.749240094294592,7.754098962592955,7.948800108120669,8.187046269250255,7.174400000000002,-7.842395354417162,1,6.10955548224
AURKB_actives0000006_docked,-31.3297,30.321,14.4696,-9.68269,0,0,-10.1175,726.366,0,0.627636,7,0.429633,0.678176,0.321824,2871,765,728,24,996,262,258,9,0,0,0,0,618,152,170,5,0,0,0,0,100,33,25,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0,47.0,16.0,0.0,32.0,34.0,-49535.6194102,3.0,19.0,0.0,0.0,0.0,0.0,-5.4,63.74,0.14,91.41,549.05,7.189677808702179,7.651168614940612,7.701174138195142,7.463504608724608,6.886706279619001,7.1507068796545665,7.4014,-7.189082821679677,1,6.04974853347
AURKB_actives0000007_docked,-30.918,11.4429,2.92841,-4.20988,-1.85394,0,-27.9208,725.38,1,0.642088,3,0.388981,0.633973,0.366027,3039,795,774,20,793,215,209,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,46,60,2,0,0,0,0,0,0,0,0,0.0,43.0,8.0,0.0,35.0,17.0,4687.55205424,2.0,26.0,0.0,0.0,0.0,0.0,-2.7,40.35,0.20,49.74,510.78,7.349983632925079,7.390887290320792,7.142119426462427,7.1238863510933506,8.83983141980722,8.547752366333821,7.8268,-7.893990402846905,1,6.02694890999
AURKB_actives0000008_docked,-39.1063,10.1588,8.31779,-7.74451,0,0,-35.8672,980.897,0,0.652076,7,0.308681,0.617851,0.382149,4387,1096,1143,21,1117,278,286,3,199,49,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,60.0,11.0,0.0,45.0,18.0,73632.1451831,2.0,29.0,0.0,0.0,1.0,0.0,-.8,53.40,0.04,100.64,616.90,7.741788670538052,7.995966586524589,7.705848633866133,7.534624808025306,9.404983456313651,8.614704174459234,7.4986000000000015,-9.782216668355636,1,6.05864456811
AURKB_actives0000009_docked,-34.717,39.927,6.67487,-4.37203,-1.56608,0,-13.1827,872.813,1,0.695448,4,0.351726,0.617216,0.382784,4071,1064,1072,17,703,185,195,6,177,45,38,1,362,100,108,2,0,0,0,0,0,0,0,0,133,32,35,0,0,0,0,0,0,0,0,0,0.0,51.0,14.0,0.0,30.0,15.0,-172898.761164,3.0,32.0,0.0,0.0,0.0,1.0,-.4,66.27,0.04,87.47,561.65,7.569541845613264,7.811117439449437,7.497851172327674,7.591873779553781,9.066039003974716,8.364274020340604,7.682800000000003,-10.12038757885855,1,6.11190998762
AURKB_actives0000010_docked,-35.3721,44.3279,11.5779,-5.34362,0,0,-5.17594,873.568,0,0.668771,8,0.348594,0.557614,0.442386,3008,761,796,19,1085,281,290,4,173,44,44,2,0,0,0,0,0,0,0,0,392,101,103,1,187,48,45,1,0,0,0,0,0,0,0,0,0.0,52.0,17.0,0.0,19.0,10.0,-227023.072108,4.0,22.0,0.0,0.0,0.0,0.0,-2.3,54.41,0.11,91.83,523.42,7.626341638160575,7.772549090576091,7.670031477772227,7.587978310078808,7.202455285147732,6.956286269925076,6.639900000000001,-7.130705060292512,1,5.95
