Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
BRAF_actives0000001_docked,-30.3966,7.92993,7.99013,-11.5954,-1.90372,-0.809678,-33.3728,651.917,2,0.578599,3,0.352808,0.783511,0.216489,3392,877,917,34,716,192,198,7,205,47,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66.0,27.0,0.0,14.0,12.0,-208291.146072,3.0,33.0,0.0,0.0,0.0,1.0,-3.4,37.59,0.22,62.97,440.61,7.424742390298846,7.198939076479067,6.978498106338111,7.002307662726153,7.9568188153651205,8.473350070089415,7.769199999999999,-8.599100532341469,1,6.01410891646
BRAF_actives0000002_docked,-33.3393,8.32234,13.5358,-12.3604,-1.72315,-1.34001,-31.01,789.516,2,0.584887,2,0.32101,0.70643,0.29357,4072,1080,1116,37,879,238,245,8,209,50,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67.0,39.0,0.0,15.0,15.0,-353840.213884,4.0,31.0,0.0,0.0,0.0,1.0,-3.2,38.59,0.36,75.00,552.70,7.845213609899654,7.779227956543455,7.3528122412587456,7.264789884171382,8.350006684759894,8.190598827640581,7.833299999999997,-9.731295543857312,1,6.0558127053
BRAF_actives0000003_docked,-33.8299,40.8729,14.3922,-8.8761,-1.84172,-1.46758,-9.48122,816.033,2,0.567022,3,0.320843,0.709212,0.290788,4194,1112,1164,38,721,197,207,7,391,100,105,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73.0,34.0,0.0,16.0,21.0,-112986.691927,4.0,33.0,0.0,0.0,0.0,1.0,-2.6,41.59,0.39,83.20,571.65,8.049509082263977,7.891390614552119,7.424819671717174,7.539452634199142,8.159105106053712,8.00043308305156,7.368,-10.012739188802993,1,5.9636914499
BRAF_actives0000004_docked,-33.176,26.2809,13.394,-6.18085,-1.89245,0,-13.9488,764,2,0.559043,6,0.339601,0.801285,0.198715,3808,993,1040,39,735,194,208,7,367,81,99,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65.0,29.0,0.0,39.0,13.0,49439.0101664,3.0,31.0,0.0,0.0,0.0,0.0,-4.0,41.59,0.30,83.20,513.01,7.818788931844914,7.5406085597180565,7.052948388888888,7.3286000984571,8.399332979048008,9.18888449521572,7.0226,-9.02531805471922,1,6.01668447087
BRAF_actives0000005_docked,-25.7063,20.9771,9.09129,-4.86391,0,-0.900636,-11.8815,632.834,1,0.595708,4,0.325978,0.766088,0.233912,3241,864,899,27,731,192,210,8,139,44,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.0,30.0,0.0,14.0,21.0,51726.706401,5.0,29.0,0.0,0.0,0.0,0.0,-2.8,35.27,0.18,73.83,405.84,5.47732493799102,7.064935186424671,6.61119733999334,7.048978939837935,7.087068176790153,6.463431319398277,6.9918999999999984,-7.940149547386697,1,5.99965105715
BRAF_actives0000006_docked,-38.6422,9.67778,14.9635,-5.66043,0,-0.834873,-26.3532,1084.71,1,0.598638,11,0.273739,0.713147,0.286853,5372,1384,1489,40,1089,274,304,6,181,50,52,1,219,45,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,69.0,36.0,0.0,2.0,19.0,-335150.639451,2.0,36.0,0.0,0.0,0.0,2.0,-.1,53.09,0.21,67.58,668.74,7.677876814490729,8.14684655777556,7.891548733155738,7.918182077922081,7.6937934069604434,7.600425560662994,7.4474,-11.78544779931555,1,6.21627618656
BRAF_actives0000007_docked,-29.7468,7.15271,7.44622,-11.4196,-1.92324,-0.823941,-33.3996,645.496,2,0.580027,3,0.336122,0.80289,0.19711,3433,880,917,35,717,193,200,7,207,47,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67.0,27.0,0.0,14.0,11.0,-157178.429855,3.0,31.0,0.0,0.0,0.0,1.0,-4.4,37.59,0.22,62.97,440.87,7.741417452282465,7.224668814574303,6.927395789599289,7.0218655342990255,7.6210824655295255,8.128141728092817,7.428300000000004,-8.683647684540471,1,6.00739854613
BRAF_actives0000008_docked,-33.5429,8.85008,8.54164,-3.25739,0,-0.523867,-24.7595,918.983,1,0.564344,9,0.327372,0.683183,0.316817,4805,1274,1339,42,949,274,269,7,224,51,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,57.0,37.0,0.0,3.0,11.0,-170935.621609,3.0,34.0,2.0,0.0,0.0,0.0,-1.2,46.97,0.18,78.58,625.92,8.027977068957085,7.817450752525249,7.97139562631813,7.693531531191037,7.389497565449997,6.309537321630768,7.294900000000001,-11.143103391442734,1,6.08999272175
BRAF_actives0000009_docked,-35.0164,9.64212,4.47977,-6.32785,0,0,-32.9126,1080.04,0,0.548478,6,0.298412,0.682024,0.317976,5403,1379,1472,42,1102,290,302,6,320,86,87,1,113,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,50.0,17.0,0.0,0.0,14.0,-133724.659703,1.0,33.0,0.0,0.0,0.0,0.0,-1.8,58.99,0.20,86.86,693.14,7.701824233748087,8.253832575757578,7.926269720057732,8.029048816794312,6.937165138176589,7.221202982436156,7.1769,-10.806493008582555,1,6.10703593702
BRAF_actives0000010_docked,-31.6171,8.14554,8.03696,-11.8146,-1.88803,-0.781077,-34.8658,680.339,2,0.591905,2,0.361389,0.794332,0.205668,3564,932,961,35,716,196,203,7,205,48,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66.0,30.0,0.0,14.0,14.0,-209244.704111,3.0,34.0,0.0,0.0,0.0,1.0,-3.3,37.59,0.26,62.97,472.26,7.587220640540801,7.233867765900759,6.924448432456432,6.985848068875561,8.394781679843481,8.760191016290273,7.5035,-8.50632418830679,1,5.98853529749
