Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
CATL_actives0000001_docked,-37.7285,3.97334,10.187,-0.803092,0,0,-28.0592,1120.08,0,0.717623,5,0.440256,0.604226,0.395774,4290,1214,1365,80,470,140,155,9,369,102,105,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,53.0,0.0,14.0,27.0,-62045.0312422,0.0,41.0,2.0,0.0,0.0,0.0,-2.3,59.88,0.32,82.70,932.90,6.755748611190183,7.701726323509824,7.099318955488954,7.410439929292928,5.228232207793246,5.694842654071544,6.857899999999998,-7.271302449362512,1,6.01525894573
CATL_actives0000002_docked,-36.6924,8.5016,11.2682,-0.293133,0,-1.04875,-23.6493,937.594,1,0.744033,10,0.42974,0.633063,0.366937,3760,1056,1146,68,422,119,125,9,418,119,126,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,29.0,39.0,0.0,31.0,21.0,126013.456052,3.0,27.0,0.0,0.0,0.0,0.0,-3.0,53.84,0.20,79.46,722.29,6.789692760753556,7.394739761016762,7.055479386169389,7.304941687090676,5.500128773178909,5.388364300115967,6.674000000000001,-7.449146588633697,1,6.04402049021
CATL_actives0000003_docked,-33.0314,74.6958,8.41167,-1.31679,0,0,13.243,855.235,0,0.765779,8,0.43173,0.636913,0.363087,3015,862,976,60,418,120,131,11,364,104,115,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,22.0,29.0,0.0,9.0,51.0,-96922.0953011,4.0,30.0,0.0,0.0,0.0,0.0,-3.9,38.07,0.42,79.46,671.42,6.4415214220884165,7.136010823953831,6.628969315240322,6.683568307858807,7.153373228221753,6.5635576868913175,6.413200000000001,-6.766090136058256,1,5.96851343821
CATL_actives0000004_docked,-30.3901,4.6127,11.8787,-1.56523,0,-0.0433948,-19.8017,945.789,1,0.723951,6,0.453354,0.61215,0.38785,4125,1194,1222,66,351,106,101,7,416,129,139,11,122,35,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,9.0,62.0,0.0,2.0,27.0,-81266.5577399,0.0,41.0,4.0,0.0,0.0,0.0,-3.4,58.67,0.46,79.90,951.82,6.649241421634365,7.6030064655899645,7.146705971195472,7.246578704628701,6.577262118353923,6.90014453597896,7.078099999999999,-7.148391312843904,1,5.95787534241
CATL_actives0000005_docked,-39.9157,60.9232,17.9638,-8.88003,-1.75525,0,-0.693096,981.466,1,0.75921,5,0.433537,0.619966,0.380034,3984,1142,1238,62,491,145,146,8,573,158,165,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,42.0,49.0,1.0,18.0,44.0,-185598.016221,4.0,39.0,2.0,0.0,0.0,0.0,-3.2,53.79,0.39,91.93,876.44,8.01701448187168,7.86886026712177,7.281881232711732,7.564108904040407,6.390590483276384,6.021538205054683,6.7310000000000025,-6.899722482455596,1,6.05446756301
CATL_actives0000006_docked,-29.8869,5.32324,17.0669,-6.83308,-0.680155,0,-19.326,894.569,1,0.736919,8,0.491345,0.585503,0.414497,2979,860,892,50,479,135,142,11,595,175,190,14,299,84,81,0,0,0,0,0,68,21,26,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,12.0,49.0,0.0,7.0,18.0,-28464.1568952,2.0,29.0,2.0,0.0,0.0,0.0,-1.5,61.79,0.69,126.07,858.20,7.0410244911084785,7.381674838161842,7.035519241702744,6.96802209074259,5.088750322943243,6.203313950542338,6.664900000000002,-5.97757202920481,1,5.96014453764
CATL_actives0000007_docked,-29.3487,4.9362,10.3042,-6.48106,0,0,-25.472,841.722,0,0.758214,8,0.445356,0.556407,0.443593,3324,950,986,58,423,132,125,8,343,99,98,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,9.0,47.0,1.0,2.0,29.0,-89408.2578218,1.0,30.0,2.0,0.0,1.0,0.0,-2.3,52.99,0.21,95.25,696.25,6.442488076709161,7.348005154747219,6.7999131401376385,6.860908768897771,4.993533865665007,6.398485654105411,6.940600000000001,-6.789506890479413,1,5.95867314401
CATL_actives0000009_docked,-37.0755,71.8184,15.6729,-4.45056,0,0,12.2954,943.031,0,0.764799,8,0.412177,0.574807,0.425193,3567,1012,1177,63,424,119,133,11,372,107,118,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,25.0,25.0,0.0,8.0,59.0,-139689.405741,4.0,28.0,0.0,0.0,1.0,0.0,-2.0,41.67,0.38,79.46,730.83,7.440265312722046,7.43942787518038,6.990326296536801,7.151997827616828,6.992321647727704,6.595629223631465,7.356700000000001,-7.748872656026989,1,6.00087573337
CATL_actives0000010_docked,-26.7277,3.86308,9.02232,-6.95579,0,-1.52842,-25.9686,884.805,1,0.736725,4,0.479939,0.52636,0.47364,3060,879,934,52,333,99,101,5,432,124,143,12,124,32,31,0,0,0,0,0,49,15,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,56.0,0.0,3.0,22.0,-88585.5415087,1.0,34.0,2.0,0.0,0.0,0.0,-3.1,53.58,0.50,104.81,832.37,6.223071869450148,7.195606274392278,6.342971996059497,6.655395340326327,4.835921260036756,5.650376756570729,7.032799999999997,-6.228254416834304,1,5.95963699103
CATL_actives0000011_docked,-31.7013,72.5026,14.4291,-5.22874,0,0,16.3287,815.403,0,0.746883,9,0.467032,0.557415,0.442585,3187,928,1035,66,532,152,167,15,393,113,119,9,0,0,0,0,0,0,0,0,0,0,0,0,77,24,31,3,0,0,0,0,0,0,0,0,8.0,26.0,20.0,1.0,26.0,34.0,-215426.155379,4.0,14.0,0.0,0.0,0.0,0.0,-1.7,41.99,0.46,88.42,715.10,8.19682087931906,7.487010275169274,7.0725092606837645,6.959650295870797,6.467116745850418,6.020894078432446,7.2551999999999985,-7.338686449015748,1,5.98459848374
CATL_actives0000012_docked,-33.8691,81.6495,12.1039,-0.353517,0,0,20.9155,879.507,0,0.732746,7,0.394562,0.604461,0.395539,2859,818,926,56,413,118,130,11,367,104,115,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,23.0,23.0,0.0,30.0,41.0,-88886.9326254,4.0,30.0,0.0,0.0,1.0,0.0,-4.0,38.09,0.39,79.46,642.70,6.354876703190863,6.868432015096013,6.545009579476078,6.471195903818404,6.716780448959829,6.397139249840905,6.911300000000002,-6.481781353506092,1,5.99060419122
CATL_actives0000013_docked,-35.2216,79.2109,12.863,1.00543,-0.299362,0,20.3766,897.898,1,0.76894,6,0.418901,0.583157,0.416843,3013,869,992,54,424,121,133,11,363,104,115,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,26.0,23.0,0.0,33.0,39.0,-135441.316443,4.0,28.0,0.0,0.0,1.0,0.0,-3.7,38.09,0.44,79.46,702.56,7.075437100563276,7.165060059163064,6.643690010767016,6.51748924836275,6.372024096153018,5.985544603163599,7.030800000000002,-6.436769069198375,1,5.98071138286
CATL_actives0000014_docked,-29.7741,32.8061,14.0291,-3.30237,0,0,-2.46742,898.735,0,0.746403,6,0.44307,0.646397,0.353603,3134,905,1052,55,377,112,123,10,459,127,149,9,318,82,94,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,8.0,18.0,0.0,2.0,47.0,-77698.2566367,3.0,14.0,0.0,0.0,0.0,0.0,-2.6,61.02,0.41,92.60,725.75,6.3108746610091995,7.640991648629152,6.908162864968371,6.981387142524142,5.901958369333766,6.426243009427375,7.211400000000001,-6.9220075606435545,1,5.99742588292
CATL_actives0000015_docked,-33.5471,61.1603,13.2817,-1.57834,0,0,10.0508,809.604,0,0.768559,7,0.408675,0.586764,0.413236,2744,800,900,54,417,119,131,11,244,70,82,5,122,33,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,24.0,24.0,0.0,32.0,40.0,-104523.019237,4.0,33.0,0.0,0.0,1.0,0.0,-3.7,40.00,0.36,70.23,603.95,6.006420358563739,6.88554290510796,6.644983346764346,6.5982948092463065,6.8775547834800435,5.876686762209277,7.112400000000001,-6.796340794254593,1,5.96610586346
CATL_actives0000016_docked,-28.635,25.2375,19.5714,-6.70084,0,-1.71527,-6.41584,960.953,1,0.755829,7,0.416394,0.590712,0.409288,3209,907,1003,57,414,119,121,10,636,174,193,11,435,119,144,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,15.0,39.0,1.0,6.0,27.0,-134798.18535,3.0,16.0,0.0,0.0,0.0,0.0,-4.6,53.88,0.68,97.92,760.76,7.126950545292739,7.831845095238097,7.070714702075698,7.089031625430125,5.6492451318974295,5.934858275318132,6.563900000000002,-6.460297264461733,1,5.95599420081
CATL_actives0000017_docked,-33.613,80.7812,12.722,-1.05068,0,0,20.154,823.525,0,0.734318,6,0.449797,0.595427,0.404573,2934,843,946,51,529,150,176,13,369,105,120,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,25.0,27.0,0.0,34.0,37.0,-50632.4503231,6.0,24.0,0.0,0.0,1.0,0.0,-1.6,40.87,0.33,95.25,649.68,7.317970929297293,7.195668006382508,6.793098265789764,6.685508947718951,5.740508114411559,5.2981968341542585,6.868400000000003,-6.767474787022163,1,6.00462727606
CATL_actives0000018_docked,-27.9059,3.44228,15.5111,-7.08446,0,-1.45809,-20.1926,857.794,1,0.71236,7,0.497761,0.589639,0.410361,2970,862,884,41,336,94,99,4,573,165,173,9,274,79,77,0,0,0,0,0,67,21,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,51.0,0.0,3.0,19.0,-166091.896292,1.0,18.0,2.0,0.0,0.0,0.0,-1.4,58.93,0.70,114.04,864.85,6.656909733720883,6.84370864230214,6.413261851981354,6.687545426517926,3.620058353464554,5.306162051827108,6.449900000000001,-5.681302996338284,1,5.95064329244
CATL_actives0000019_docked,-23.3742,3.07211,9.35496,-3.75046,0,0,-17.9581,700.804,0,0.757369,3,0.552913,0.588817,0.411183,2797,784,870,44,433,127,133,6,253,72,72,5,57,11,20,0,0,0,0,0,0,0,0,0,111,30,31,2,0,0,0,0,0,0,0,0,0.0,7.0,60.0,0.0,1.0,10.0,-3489.12150266,1.0,27.0,4.0,0.0,0.0,0.0,-1.6,46.00,0.52,70.40,778.25,6.591025686398956,7.002867476869532,6.40101003548085,6.547177367243869,5.661802673556741,6.3156188192442295,7.1416,-6.315177211264627,1,5.97832276313
