Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
CDK2_actives0000001_docked,-31.7264,7.81184,15.3491,-12.639,-1.36198,-1.62722,-27.7905,766.407,3,0.652555,10,0.250838,0.651067,0.348933,3205,806,804,0,1390,355,352,0,290,76,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,85.0,12.0,0.0,34.0,3.0,-405865.51041,6.0,25.0,0.0,0.0,0.0,0.0,-2.7,46.30,0.00,113.82,418.71,6.646528380537495,7.438431446164941,7.388060864635369,7.51912722988123,6.407253750930119,6.788066291214995,6.6926,-6.980992538156507,1,6.25464398414
CDK2_actives0000002_docked,-38.3934,9.41357,22.4684,-11.3603,-3.21632,0,-26.884,801.727,3,0.633818,9,0.284354,0.678204,0.321796,2986,739,762,0,1145,291,286,0,517,123,130,0,453,109,111,0,0,0,0,0,146,37,36,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,85.0,17.0,0.0,54.0,2.0,-167306.843227,5.0,26.0,0.0,0.0,0.0,0.0,-1.4,56.52,0.07,142.91,474.02,7.5041224898929055,7.505183998556994,7.455699320845818,7.5305276681096585,5.876109465280791,5.094403291495121,6.688900000000002,-7.912836049253108,1,6.24040384838
CDK2_actives0000003_docked,-32.0298,11.5,4.98043,1.34777,0,0,-21.9816,847.436,0,0.613102,11,0.289226,0.635894,0.364106,4950,1263,1313,0,727,190,195,0,523,138,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44.0,15.0,0.0,20.0,10.0,-78578.8089489,1.0,27.0,1.0,0.0,0.0,0.0,5.6,52.93,0.32,69.45,634.36,7.706847692490696,7.563584587412589,7.743005222396889,7.742035339660342,6.5865157766289375,6.791791782863052,7.700900000000001,-9.861951318334018,1,6.03177825961
CDK2_actives0000004_docked,-37.5443,71.8195,15.0591,-6.48913,0,-1.07556,7.11298,888.828,1,0.635175,9,0.309064,0.664936,0.335064,3951,994,1015,2,1297,332,331,1,90,23,28,0,216,53,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,80.0,18.0,0.0,13.0,20.0,-229907.124566,5.0,28.0,0.0,0.0,0.0,0.0,-4.7,46.29,0.36,87.97,606.55,6.896310489917978,7.649403961094457,7.437626485625487,7.643205373015863,7.457242656661084,7.310279355439751,7.293000000000002,-8.132515837544815,1,6.4049986935
CDK2_actives0000005_docked,-32.2307,30.4135,15.2117,-6.8766,-1.25644,0,-9.64428,949.417,1,0.659803,6,0.347424,0.63153,0.36847,4175,1067,1084,3,1234,315,327,1,138,39,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,76.0,4.0,1.0,25.0,1.0,-431103.89253,6.0,26.0,1.0,0.0,0.0,1.0,-4.7,40.19,0.44,87.97,684.39,6.921700963683653,7.6561822328227285,7.251942785547784,7.360092642857146,6.90189605750814,7.117193066831898,6.941600000000002,-7.831833029361915,1,6.060157514
CDK2_actives0000006_docked,-32.3822,32.3616,14.9948,-4.11878,-0.0986966,0,-5.89874,853.23,1,0.59609,10,0.241454,0.62067,0.37933,3583,901,912,0,1294,335,338,0,185,45,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65.0,19.0,0.0,31.0,10.0,-527986.288381,5.0,18.0,0.0,0.0,0.0,1.0,-2.2,47.53,0.26,124.74,512.67,7.301860542459176,7.418132221778217,7.120636858474862,7.433678892940392,6.116005541475767,6.405636811763504,6.925599999999999,-7.4259958476498795,1,6.31730531525
CDK2_actives0000007_docked,-37.6769,11.5288,12.6229,-16.4333,-0.625552,-0.928995,-37.3941,864.529,2,0.617065,9,0.267399,0.652021,0.347979,3605,890,904,0,746,186,194,0,468,117,115,0,0,0,0,0,0,0,0,0,145,36,35,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,72.0,10.0,0.0,28.0,3.0,-145742.318139,3.0,30.0,0.0,0.0,0.0,0.0,-2.6,45.03,0.28,113.32,534.69,7.926579512188914,7.038311139416145,7.005498841325339,7.43295931962482,7.806706394999166,7.30505288202913,6.8492,-8.152709502426815,1,6.22936752527
CDK2_actives0000008_docked,-30.3875,12.8918,13.8878,-0.666502,0,-1.1622,-12.3142,855.938,1,0.608116,8,0.286347,0.61752,0.38248,3257,820,824,0,878,223,227,0,330,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,37.0,31.0,0.0,13.0,11.0,-224972.896385,4.0,24.0,0.0,0.0,0.0,0.0,-1.1,37.96,0.39,90.12,484.97,7.337928392780418,7.136905494394495,7.084429344988349,7.159549422188926,5.158568539929896,4.757693529456655,7.357400000000004,-8.153546479922072,1,6.10252333857
CDK2_actives0000009_docked,-23.0148,44.8778,7.94563,-1.21008,-1.06166,-1.46056,5.59584,719.366,2,0.661721,4,0.339704,0.623015,0.376985,2525,662,684,0,545,148,162,0,303,80,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,52,54,0,0,0,0,0,2.0,18.0,30.0,0.0,20.0,10.0,-107560.451282,5.0,10.0,0.0,0.0,0.0,0.0,-2.8,37.17,0.19,90.90,411.19,6.20642384773593,6.750014994671996,6.295814688977688,6.581249673326666,3.9463890639922212,5.045525717982179,6.729999999999998,-6.873901053534565,1,5.9508988022
CDK2_actives0000010_docked,-31.8925,9.10484,14.4688,-16.9709,0,-1.4265,-31.2463,831.001,2,0.609391,12,0.257797,0.635327,0.364673,3361,840,850,0,543,134,143,0,869,212,221,0,0,0,0,0,0,0,0,0,135,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,57.0,9.0,0.0,36.0,2.0,-332924.297486,4.0,23.0,0.0,0.0,0.0,0.0,-.9,49.48,0.06,134.84,472.84,8.28314144989886,7.0269453965478945,6.871558094472779,7.153406614663106,6.695434869017465,6.147364524567961,5.347400000000002,-7.536757309793713,1,6.11698080312
