Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
COX1_actives0000001_docked,-28.2115,7.09158,-2.79204,-1.07898,0,-0.957609,-29.7527,623.913,1,0.621817,2,0.254901,0.960763,0.0392369,3799,780,842,35,243,46,52,2,488,89,107,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,0.0,7.0,12.0,0.0,0.0,18814.068617,1.0,36.0,0.0,0.0,0.0,0.0,1.3,32.44,0.12,37.38,346.06,6.8804733682601436,6.593738693584185,6.4347995224089605,6.481394386335885,5.639778665773718,6.268724724767005,6.4227,-9.799163028401095,1,5.97057045715
COX1_actives0000002_docked,-41.1105,10.0878,10.7589,-11.6529,0,-1.94626,-39.9765,835.904,2,0.636796,6,0.256534,0.903745,0.0962549,3851,826,893,46,660,152,160,6,654,158,169,7,658,154,162,3,0,0,0,0,212,55,62,2,0,0,0,0,0,0,0,0,0,0,0,0,37.0,31.0,29.0,31.0,7.0,2.0,-83410.6330636,2.0,38.0,0.0,0.0,1.0,0.0,-2.2,62.50,0.12,87.21,487.52,8.307526265906422,7.474469810744803,7.5991743573093515,7.419348826229334,9.074581405108413,7.479204950618063,7.182599999999997,-11.093178463888439,1,6.39385579411
COX1_actives0000003_docked,-27.5809,9.80298,0.0476864,-2.19207,0,-0.576581,-25.5839,631.34,1,0.560582,1,0.235631,0.907667,0.0923331,3543,716,789,32,236,46,47,3,480,87,104,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,0.0,7.0,19.0,0.0,0.0,-42114.8160386,1.0,35.0,0.0,0.0,1.0,0.0,.5,30.35,0.07,37.38,323.28,6.8179145283764715,6.390828666500158,6.389383323688006,6.235022025585524,4.982210982106338,6.539177449355198,6.4887,-8.169904521921726,1,5.99216830436
COX1_actives0000004_docked,-24.2289,5.58615,0.56808,-0.603287,0,-0.0417546,-21.8662,578.604,1,0.568709,2,0.224585,0.924886,0.0751143,3230,654,716,31,228,46,48,2,469,88,106,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,0.0,8.0,15.0,0.0,0.0,11696.7844518,1.0,28.0,0.0,0.0,0.0,0.0,.6,28.27,0.00,37.38,292.37,6.205608990951015,6.285970510656009,6.102771154277096,5.871399129426133,5.313383766380614,6.755893075541938,6.1210999999999975,-8.483786770496843,1,6.01155245184
COX1_actives0000005_docked,-26.9101,6.53236,1.12047,-6.78485,0,-1.29028,-30.1121,660.526,2,0.597244,3,0.253403,0.895526,0.104474,3723,755,812,29,0,0,0,0,683,143,161,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,0.0,5.0,11.0,0.0,0.0,-393442.339901,2.0,33.0,0.0,0.0,0.0,1.0,-3.5,31.17,0.12,54.37,367.36,6.158027542876962,5.937883219502726,6.561323193639696,6.518755121600617,5.407988723880487,6.353480917990028,6.533099999999999,-8.101103433764031,1,5.98710203524
COX1_actives0000006_docked,-37.1073,16.7536,4.16964,-6.70691,0,-1.14659,-31.9385,826.038,2,0.586975,4,0.257317,0.863568,0.136432,4300,894,977,45,232,45,45,2,871,200,214,9,0,0,0,0,0,0,0,0,0,0,0,0,251,49,47,2,0,0,0,0,0,0,0,0,77.0,0.0,12.0,15.0,0.0,0.0,-373421.984862,1.0,47.0,0.0,0.0,0.0,1.0,-2.5,46.87,0.16,68.53,475.59,7.92605866893584,6.854250583694079,6.897470981962484,6.876806699578201,7.730248967015289,7.122298144378919,7.299300000000001,-8.335004780782748,1,6.08558472175
COX1_actives0000007_docked,-35.0531,8.4928,10.8565,-1.40555,0,0,-22.9725,701.312,0,0.620794,7,0.244688,0.862063,0.137937,3911,825,890,39,797,217,232,8,466,92,108,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,34.0,12.0,21.0,10.0,0.0,-9652.41958298,4.0,44.0,0.0,0.0,0.0,0.0,0,37.18,0.06,74.75,386.05,8.538874143330784,7.671153000166495,7.313874780281816,7.347589878232878,8.25845257060828,7.235527256474647,6.784000000000001,-10.605394956046727,1,6.2322056325
COX1_actives0000008_docked,-37.136,14.4843,9.97573,-0.457803,0,0,-21.5151,824.029,0,0.552756,5,0.269602,0.824782,0.175218,4010,842,922,44,1217,313,327,13,0,0,0,0,651,153,162,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,0.0,54.0,31.0,0.0,8.0,43186.9370563,2.0,50.0,0.0,0.0,0.0,0.0,-1.3,56.91,0.11,66.27,465.40,8.158186486509436,7.736071358585848,7.631035143800643,7.5734773109668065,9.25769631767715,8.199690799802296,7.072,-10.700606074398477,1,6.13428857212
COX1_actives0000009_docked,-39.9118,13.914,7.85515,2.68064,-0.13948,0,-22.6097,842.421,1,0.580942,4,0.286605,0.825586,0.174414,4472,966,1046,49,189,59,55,3,636,151,166,7,0,0,0,0,0,0,0,0,202,52,60,3,0,0,0,0,0,0,0,0,0,0,0,0,47.0,0.0,42.0,20.0,0.0,8.0,-79759.0062329,2.0,44.0,0.0,0.0,0.0,0.0,-1.2,35.91,0.30,69.39,505.38,8.076255958492577,7.117443021534023,7.292803987956487,7.406059804806304,6.973571285030994,6.945683025527626,6.893299999999999,-10.564243111868775,1,6.27188059514
COX1_actives0000010_docked,-36.0001,9.14755,1.06503,-1.87326,0,0,-32.5762,773.652,0,0.626533,3,0.265609,0.904363,0.0956368,3931,831,906,44,472,102,105,4,248,48,50,2,673,161,162,3,0,0,0,0,0,0,0,0,215,57,62,2,0,0,0,0,0,0,0,0,42.0,0.0,24.0,24.0,0.0,1.0,31298.32634,0.0,45.0,0.0,0.0,0.0,0.0,-.4,53.71,0.12,27.05,430.09,7.798641289230824,7.103199415140412,6.904957804306795,7.23386705594405,8.925786777785017,7.734982666386792,7.2684999999999995,-11.063065764576157,1,6.04654426137
COX1_actives0000011_docked,-39.5821,16.0764,4.69556,-1.06256,-1.46694,0,-29.0647,827.414,2,0.553762,3,0.268114,0.853791,0.146209,4663,1030,1123,54,188,58,53,3,395,105,111,6,247,46,51,2,0,0,0,0,197,54,58,3,0,0,0,0,0,0,0,0,0,0,0,0,44.0,0.0,47.0,13.0,0.0,13.0,-27216.7126642,2.0,43.0,0.0,0.0,1.0,0.0,.3,48.99,0.05,60.16,473.07,7.095786574379045,7.39925845292289,7.6544977590187635,7.4466484001554,9.146635364205677,8.09706564586218,7.226099999999997,-11.84001760853147,1,6.34061570232
COX1_actives0000012_docked,-47.763,21.9196,2.83876,-0.8664,-1.24336,0,-34.7506,979.571,1,0.541004,5,0.272283,0.836792,0.163208,5146,1105,1205,54,628,160,158,5,622,159,157,7,249,44,49,1,0,0,0,0,409,107,108,4,0,0,0,0,0,0,0,0,0,0,0,0,51.0,0.0,58.0,33.0,0.0,8.0,-90087.0387783,2.0,62.0,0.0,0.0,0.0,0.0,-2.2,61.36,0.09,94.31,607.75,8.31773936318899,7.885305630591632,8.12331648196248,7.735327761183268,9.27778535871549,8.005886498813101,7.3972000000000016,-11.699450247195896,1,6.08388017595
COX1_actives0000013_docked,-26.9845,13.5105,3.46101,-0.190469,0,0,-17.0967,641.562,0,0.567965,3,0.249904,0.858384,0.141616,3274,653,709,26,248,44,49,2,482,96,97,4,0,0,0,0,0,0,0,0,0,0,0,0,494,90,92,4,0,0,0,0,0,0,0,0,56.0,0.0,5.0,7.0,0.0,0.0,-42524.7265005,0.0,29.0,0.0,0.0,0.0,0.0,-.2,36.36,0.07,49.33,360.28,7.480317188538104,7.54863562753912,7.107001745963187,6.924410209179702,5.99152472855046,5.8751903736035285,6.284099999999999,-8.062424064337307,1,5.97571189455
COX1_actives0000014_docked,-31.2832,10.8662,-12.5669,-0.685676,0,0,-39.1588,787.071,0,0.646124,2,0.213563,0.910702,0.0892979,4783,968,1043,38,0,0,0,0,236,44,51,4,0,0,0,0,0,0,0,0,236,53,60,1,0,0,0,0,0,0,0,0,0,0,0,0,37.0,1.0,11.0,7.0,0.0,0.0,2672.5943141,0.0,39.0,0.0,0.0,0.0,0.0,-1.0,27.72,0.40,9.23,473.33,7.0861321554720105,6.919218069985569,6.9103804443334385,6.745080928571427,7.677354149169545,7.009836944352059,7.2951,-10.051308587612871,1,6.10308492558
COX1_actives0000015_docked,-32.0669,34.7982,-0.745303,-2.211,0,0,-16.5139,779.831,0,0.561794,1,0.254509,0.886035,0.113965,5077,1029,1110,51,237,43,51,2,0,0,0,0,475,103,99,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,0.0,9.0,7.0,0.0,0.0,-2924.82430919,2.0,34.0,0.0,0.0,0.0,0.0,2.2,40.28,0.27,15.79,461.51,6.415165076383753,6.624258551670547,6.971674833832836,6.7861686026522525,6.885153180558897,6.734399983437677,7.561400000000003,-11.302903406334998,1,6.28045175359
COX1_actives0000016_docked,-25.3002,7.11598,1.43287,-4.52928,0,-0.377601,-24.5065,670.89,1,0.559222,1,0.240261,0.860695,0.139305,3515,727,775,33,0,0,0,0,428,109,112,3,240,45,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0.0,8.0,13.0,0.0,0.0,-287692.48052,1.0,33.0,0.0,0.0,0.0,1.0,-2.9,32.72,0.13,37.30,346.70,6.07921453005652,6.61980726617826,6.642294544733046,6.463180823953821,6.213499645669381,6.328141785270279,6.7923,-7.8222089435367685,1,6.02288055652
COX1_actives0000017_docked,-28.1629,8.27836,3.07193,0.212569,0,-0.0677125,-20.6892,919.181,1,0.558619,4,0.243764,0.729552,0.270448,3547,714,778,48,713,197,195,8,409,92,98,5,0,0,0,0,0,0,0,0,198,43,50,2,0,0,0,0,0,0,0,0,0,0,0,0,41.0,0.0,41.0,20.0,0.0,2.0,-136022.78421,3.0,24.0,0.0,0.0,0.0,0.0,.9,37.06,0.35,111.56,480.04,6.397722748461244,7.849328073795487,7.1447172039627045,7.335943786269288,5.590477741070394,5.321109678191239,5.647,-7.292106752806444,1,5.95731818184
