Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
CTSK_actives0000001_docked,-30.8376,60.5296,9.24373,-1.68535,0,0,7.76364,820.059,0,0.716518,8,0.468296,0.6018,0.3982,3505,1085,1141,70,354,105,113,10,229,72,81,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,16.0,32.0,0.0,36.0,7.0,-64459.9246401,2.0,28.0,0.0,0.0,1.0,0.0,-.1,38.56,0.37,62.39,741.93,6.502196563725673,7.168002831557331,6.852520754967253,7.053187936507938,5.520651616452857,5.469964127884141,6.7296000000000005,-6.417016968855724,1,5.95913679445
CTSK_actives0000002_docked,-33.5941,26.8902,14.5453,-3.63879,0,0,-10.8195,886.353,0,0.698407,11,0.459843,0.554527,0.445473,2738,839,903,66,736,231,220,20,406,127,138,9,0,0,0,0,0,0,0,0,0,0,0,0,84,27,29,3,0,0,0,0,0,0,0,0,11.0,22.0,50.0,0.0,26.0,14.0,-109958.044654,3.0,25.0,0.0,0.0,0.0,0.0,-3.3,46.92,0.38,107.09,708.06,7.035401432720535,7.446417424963927,7.270423091852593,7.290318557720059,7.091251030588524,5.879988616933607,7.0308,-6.211776274117337,1,5.9656471856
CTSK_actives0000003_docked,-25.8939,3.888,10.7175,-3.30605,0,-0.664759,-18.5099,897.458,1,0.695291,7,0.462563,0.580853,0.419147,3003,914,978,69,390,117,121,11,452,139,144,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,14.0,46.0,0.0,16.0,10.0,-134561.38128,3.0,15.0,0.0,0.0,0.0,0.0,-4.5,40.20,0.46,88.69,749.53,6.201052719003995,7.414523632423136,6.590631732767239,6.897356692363196,4.105543379587383,5.823862221359729,6.611099999999998,-5.914871487544024,1,5.97322456892
CTSK_actives0000004_docked,-28.7109,18.9475,10.4598,-4.37098,0,-0.649491,-14.9604,854.192,1,0.687735,10,0.456986,0.610048,0.389952,2885,884,929,67,515,157,160,14,405,125,134,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,25.0,29.0,0.0,25.0,8.0,15634.2728773,2.0,23.0,0.0,0.0,0.0,0.0,-3.7,38.61,0.46,92.35,693.73,6.114350291865541,7.152776862137865,6.9984522970917995,7.071573371295371,5.463092970768798,5.6640066591914096,6.7906,-6.004476081868216,1,5.95825267216
CTSK_actives0000006_docked,-31.6904,22.62,7.96189,-7.07583,-0.742316,-1.44429,-23.209,874.378,2,0.721411,6,0.451103,0.618147,0.381853,3375,1031,1117,61,529,162,163,13,399,126,136,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,19.0,41.0,0.0,37.0,4.0,-36433.5143085,3.0,31.0,0.0,0.0,0.0,0.0,-4.1,40.87,0.41,95.25,734.91,6.69633160070664,7.6263137222222195,6.92884749045399,7.386835377844377,6.258048280422945,6.324149826384432,6.795799999999999,-6.023216223575922,1,5.98369624533
CTSK_actives0000007_docked,-33.89,31.1758,14.5792,-3.16794,0,0,-7.33653,1007.71,0,0.71084,5,0.472198,0.597517,0.402483,3611,1088,1260,90,472,147,160,11,367,113,114,11,0,0,0,0,0,0,0,0,79,29,31,3,0,0,0,0,0,0,0,0,0,0,0,0,12.0,12.0,24.0,0.0,23.0,34.0,-20185.9914823,1.0,31.0,1.0,0.0,0.0,0.0,-7.0,52.79,0.41,82.70,910.25,6.685833143847344,7.56151528965479,6.93685947508048,7.201384967088464,6.7126605608397485,7.441813255789627,7.2768,-6.0828536150904675,1,5.96452412442
CTSK_actives0000008_docked,-27.0136,6.85176,12.3473,-2.60738,0,0,-14.7898,834.707,0,0.701246,7,0.453637,0.563222,0.436778,3018,909,988,68,401,121,128,10,356,100,111,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,14.0,33.0,0.0,14.0,21.0,66869.097904,2.0,19.0,0.0,0.0,0.0,0.0,-5.0,38.09,0.44,79.46,694.38,6.111658102800989,7.197748942279951,6.508788591963594,6.812939117826619,5.535524627255707,5.69497164314694,6.6220000000000026,-5.009702992320229,1,5.96728995219
CTSK_actives0000009_docked,-38.5295,22.7248,13.8097,0.643877,0,0,-12.8381,987.564,0,0.719601,6,0.48738,0.56718,0.43282,4148,1274,1384,90,461,144,151,12,275,82,95,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,17.0,38.0,0.0,25.0,18.0,-2227.42656873,2.0,26.0,0.0,0.0,0.0,0.0,-2.9,59.88,0.32,82.70,927.81,7.114319129617212,7.338307476467974,7.252084031246533,7.50867796969697,8.99948178782963,7.319323460555276,6.587999999999998,-6.910911419610529,1,6.02512940807
CTSK_actives0000010_docked,-32.0607,25.8382,12.2289,-5.47584,0,-1.48234,-15.1893,945.845,1,0.71927,10,0.439792,0.61716,0.38284,3634,1091,1221,73,422,124,132,11,408,121,136,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,27.0,30.0,0.0,27.0,5.0,-18943.6818073,2.0,24.0,0.0,0.0,0.0,0.0,-3.7,48.59,0.33,79.46,777.98,6.663508807600783,7.564807129703628,6.889580713841722,7.306674138750133,5.720160812491973,5.94654034225163,6.519899999999999,-7.015317141814409,1,6.00588148628
CTSK_actives0000011_docked,-37.4133,34.0923,11.5084,-4.67278,-0.930029,0,-14.9472,834.209,1,0.722507,9,0.455656,0.624731,0.375269,3271,986,1108,76,398,119,124,11,277,74,87,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,11.0,23.0,0.0,19.0,49.0,-275.67815043,3.0,32.0,0.0,0.0,0.0,0.0,-3.2,38.56,0.34,62.39,739.58,7.378049761286242,6.98626254273505,6.694958592962594,6.984992727994225,10.0548162429444,9.560008173105642,7.595800000000004,-7.078908259039973,1,5.98934016089
