Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
CYP2A6_actives0000001_docked,-16.065,2.76783,-6.29021,0.182421,0,0,-20.379,428.611,0,0.655292,0,0.30116,0.960289,0.039711,2157,511,560,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,55,54,2,0,0,0,0,20.0,0.0,8.0,3.0,0.0,0.0,782.494066436,0.0,23.0,0.0,0.0,0.0,0.0,.6,16.72,0.00,0.00,218.71,4.847262308026669,5.5293623831168786,5.107181826784328,5.354522515873018,3.642450771835624,6.076167378785522,6.017900000000003,-7.288684604037602,1,5.95
CYP2A6_actives0000002_docked,-17.1007,3.84226,-7.52486,0.0189961,0,0,-22.3332,497.891,0,0.665848,0,0.291824,0.960156,0.0398444,2572,608,671,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0.0,8.0,6.0,0.0,0.0,-2406.03920029,0.0,20.0,0.0,0.0,0.0,0.0,-1.0,17.22,0.33,0.00,268.26,5.036173295883794,5.8544447950938014,5.370055686147183,5.625249227439226,4.2899666147636575,5.537475710672212,6.078900000000002,-7.206412835853869,1,5.95632303954
CYP2A6_actives0000003_docked,-16.1223,4.21784,-3.49074,0.100985,0,0,-17.0228,476.485,0,0.644336,0,0.290321,0.944623,0.0553774,2135,502,546,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,98,109,5,0,0,0,0,0,0,0,0,13.0,0.0,7.0,6.0,0.0,0.0,749.807773795,0.0,11.0,0.0,0.0,0.0,0.0,.9,21.78,0.00,0.00,229.00,4.964623721851966,6.235440801198792,5.5456592981462975,5.660106402597403,3.670271905412293,5.427775269583459,5.4036000000000035,-6.8572471143438065,1,5.95665352118
CYP2A6_actives0000004_docked,-13.613,2.61363,-1.61362,-0.000948592,0,0,-13.7327,371.716,0,0.658965,2,0.384036,0.952162,0.0478377,1700,418,467,20,217,44,55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,10.0,13.0,0.0,0.0,40380.8621795,1.0,16.0,0.0,0.0,0.0,0.0,-2.9,11.08,0.25,26.02,212.82,4.0996761139030085,4.721442575868581,4.2280725399600385,4.8429163226218215,2.529616773270213,4.777610171077377,5.1323,-4.92606900798486,1,6.02036606544
CYP2A6_actives0000005_docked,-18.622,6.29864,-7.02801,0.230135,0,0,-21.6515,460.134,0,0.66162,1,0.339524,0.953582,0.0464182,2587,598,678,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0.0,9.0,4.0,0.0,0.0,-4911.28364997,0.0,29.0,0.0,0.0,0.0,0.0,-.9,19.31,0.33,0.00,267.63,5.761259981931579,5.890187318903324,5.592540512265507,5.982127099123097,3.2729339388846714,6.047637018002345,6.371699999999999,-8.124589019542416,1,5.97767062815
CYP2A6_actives0000006_docked,-16.6095,3.50534,-7.3277,0.0503117,0,0,-21.7543,494.917,0,0.661192,0,0.288854,0.956503,0.043497,2572,614,666,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0.0,7.0,5.0,0.0,0.0,-865.35601596,0.0,19.0,0.0,0.0,0.0,0.0,-.3,15.77,0.17,0.00,259.42,5.2491972891409455,5.874488699855706,5.583262945165937,5.6746118494838464,3.8152254963976047,6.370298724114443,5.905199999999997,-7.178797310787805,1,5.9603654884
CYP2A6_actives0000007_docked,-17.2769,4.20268,-1.21415,-0.32136,0,0,-16.3177,487.022,0,0.640978,1,0.29568,0.954009,0.0459914,2133,495,550,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,105,119,6,0,0,0,0,0,0,0,0,21.0,0.0,8.0,6.0,0.0,0.0,-4581.7850167,0.0,9.0,0.0,0.0,0.0,0.0,.1,23.56,0.20,0.00,229.88,6.8176768853072165,6.2986273091352984,5.615349021811522,5.825573621933622,4.473491766095331,6.239724232759636,5.675300000000002,-6.795431795772466,1,5.95549135907
CYP2A6_actives0000008_docked,-13.3078,2.34391,-2.5712,-0.0268628,0,0,-14.2624,364.985,0,0.668631,0,0.360561,0.956365,0.0436353,1294,310,343,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,100,116,6,0,0,0,0,0,0,0,0,14.0,0.0,6.0,4.0,0.0,0.0,7415.34567645,0.0,8.0,0.0,0.0,0.0,0.0,.4,16.10,0.00,0.00,168.68,5.526644296379578,5.733091642857138,5.026566753135755,5.147566982628479,2.9462687020463405,4.565865028496307,4.824199999999999,-5.155694157712614,1,5.96733310457
CYP2A6_actives0000010_docked,-16.4777,3.71089,1.32703,-2.49227,0,-0.58274,-15.7316,430.012,1,0.651951,2,0.340858,0.958858,0.041142,2145,513,553,26,0,0,0,0,224,51,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,0.0,4.0,3.0,0.0,0.0,-40933.7259366,0.0,17.0,0.0,0.0,0.0,0.0,-1.6,16.82,0.30,17.07,229.93,5.441797746428118,5.247748430624926,5.09511542501942,5.327231450937953,3.520080229851303,5.367648637909251,6.485600000000002,-6.785866459918747,1,5.959513014
CYP2A6_actives0000011_docked,-15.2924,3.08442,-6.60063,0.019092,0,0,-19.8228,390.073,0,0.656112,0,0.346905,0.960469,0.0395309,2158,503,573,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,0.0,5.0,3.0,0.0,0.0,-1691.66783889,0.0,27.0,0.0,0.0,0.0,0.0,.7,13.68,0.00,0.00,197.96,5.198106508665302,5.499347230824729,5.244805106726605,5.442281641858145,3.1557169373501868,5.418902176878883,6.269400000000001,-7.312607498083382,1,5.96887138607
