Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
DHFR_actives0000001_docked,-25.3941,2.73968,9.63389,-6.70697,-0.510503,-0.0012111,-23.0792,820.506,2,0.664157,2,0.251553,0.775702,0.224298,3276,813,867,18,1006,229,264,7,468,132,124,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,2.0,18.0,4.0,19.0,3.0,-91821.3652795,2.0,18.0,0.0,0.0,0.0,0.0,2.5,41.15,0.41,108.75,484.76,6.770120180861175,7.7129979047619015,7.507040913641919,7.3070337892662875,6.246598755741237,5.718802780252893,5.8804,-8.642261616258816,1,5.98866290578
DHFR_actives0000002_docked,-27.6736,43.2435,14.0376,-3.87356,0,0,2.45024,810.09,0,0.67786,6,0.316172,0.701687,0.298313,3588,824,896,25,1125,233,254,11,350,81,89,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,27.0,3.0,0.0,51.0,6.0,-342169.952749,5.0,24.0,2.0,0.0,0.0,0.0,-2.6,38.69,0.28,98.13,507.56,8.924829374772951,7.928826159451661,7.470197254689758,7.271627169552669,3.4091264387044125,5.046644528231268,6.1149999999999975,-7.85654443413224,1,6.07636729063
DHFR_actives0000003_docked,-25.8833,5.81448,5.98989,-1.30188,0,0,-21.5926,864.607,0,0.648856,3,0.317619,0.713522,0.286478,3374,798,917,21,793,196,234,5,562,151,147,3,0,0,0,0,0,0,0,0,0,0,0,0,185,43,51,1,0,0,0,0,0,0,0,0,23.0,2.0,32.0,0.0,5.0,22.0,-144718.406243,2.0,20.0,0.0,0.0,0.0,0.0,-.5,46.93,0.28,116.15,535.83,7.521933523440521,7.690488829004322,7.342738820346313,7.278693922632919,5.592583655885031,5.9021297239319965,6.152699999999999,-7.195228662037847,1,6.02334373261
DHFR_actives0000005_docked,-35.5537,26.3918,13.0278,-0.872343,0,0,-13.9324,868.598,0,0.686088,7,0.29039,0.733325,0.266675,3613,918,902,26,1142,245,256,11,417,120,109,3,0,0,0,0,0,0,0,0,0,0,0,0,232,59,57,2,0,0,0,0,0,0,0,0,56.0,27.0,27.0,1.0,49.0,0.0,-309889.759524,4.0,36.0,2.0,0.0,0.0,0.0,-2.2,46.93,0.32,107.36,570.38,8.53821104596617,8.038454556277058,7.675724880119889,7.561982827561329,5.854933965415375,5.999365594010831,6.476899999999998,-8.754842758227717,1,6.16971369134
DHFR_actives0000006_docked,-30.5136,63.1902,14.7153,-3.32606,0,0,12.2713,821.159,0,0.686019,7,0.283828,0.720615,0.279385,3657,846,923,26,1143,239,255,11,356,82,97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,32.0,4.0,2.0,51.0,9.0,-389079.224165,4.0,22.0,2.0,0.0,0.0,0.0,-2.2,38.68,0.28,98.13,506.74,8.627477846527539,7.851730160173158,7.627959434731932,7.406060822233321,4.3526331317867655,5.672098570028548,5.983699999999998,-8.222041565050985,1,6.13376549993
DHFR_actives0000007_docked,-28.3658,33.4427,14.099,-3.5644,0,0,-2.97397,793.766,0,0.657144,7,0.271713,0.695582,0.304418,3580,821,918,23,1368,289,315,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,29.0,4.0,0.0,53.0,2.0,-326158.940087,7.0,18.0,0.0,0.0,0.0,0.0,-.1,34.54,0.11,92.56,435.83,8.558845813844933,7.553670257298249,7.4961415208125235,7.1989128831168685,4.546148246475163,5.437525688642311,6.340800000000004,-9.398186960123361,1,6.14285068552
DHFR_actives0000008_docked,-27.2201,48.583,15.3131,-0.702609,0,0,10.3352,749.98,0,0.65301,6,0.302866,0.701129,0.298871,3122,717,788,23,1375,290,317,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,42,51,1,0,0,0,0,0,0,0,0,50.0,24.0,6.0,0.0,49.0,0.0,-310210.612506,6.0,18.0,2.0,0.0,0.0,0.0,-.5,35.03,0.20,92.56,420.77,8.601229579261531,7.658485085803087,7.551836120879125,7.36361578210678,3.7738939893421253,4.926311310809132,5.731700000000003,-8.050425113304941,1,6.05210243066
DHFR_actives0000009_docked,-34.2038,13.0782,17.977,-6.20781,-1.74379,-0.690531,-18.9443,923.165,2,0.63534,6,0.321068,0.72009,0.27991,3740,943,975,26,609,166,153,3,1234,277,303,13,0,0,0,0,0,0,0,0,307,89,90,2,0,0,0,0,0,0,0,0,0,0,0,0,58.0,10.0,31.0,0.0,16.0,0.0,-179029.606175,4.0,17.0,3.0,0.0,0.0,0.0,-3.1,57.25,0.25,171.18,588.58,7.488680145821403,6.5715331112221085,6.85915983510934,7.195173898989903,5.2274147787347,6.507100333541048,5.731999999999998,-8.881265792779415,1,5.97179287345
DHFR_actives0000010_docked,-32.4368,4.69208,21.5373,-17.0829,-2.82703,-0.814473,-29.6791,918.302,4,0.656185,5,0.327697,0.65785,0.34215,3524,826,936,22,765,167,185,2,901,214,262,5,0,0,0,0,0,0,0,0,426,106,106,3,0,0,0,0,0,0,0,0,0,0,0,0,75.0,6.0,14.0,12.0,13.0,11.0,-613399.434491,4.0,20.0,2.0,0.0,0.0,1.0,-5.4,57.25,0.21,171.18,557.56,6.802050849833705,7.00925293434343,6.9953262015762006,7.130808769619266,4.84820814024055,6.1804541947049305,6.182599999999999,-8.273415683671237,1,5.96464700944
DHFR_actives0000011_docked,-23.1568,6.84563,8.34133,1.28015,0,0,-11.4293,714.611,0,0.629078,5,0.303775,0.669569,0.330431,3736,848,976,27,775,184,214,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,7.0,17.0,10.0,15.0,2.0,-16636.3834639,2.0,20.0,2.0,0.0,0.0,0.0,-.4,36.13,0.11,88.46,438.77,6.914898448938156,6.846022846819836,6.585051507936503,6.634072601121103,3.7745624973639447,4.729746540647303,6.0478,-9.020852379710632,1,6.04450687638
