Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
EGFR_actives0000001_docked,-34.629,7.91384,13.1679,1.85604,0,0,-17.7176,833.265,0,0.63943,5,0.34644,0.721566,0.278434,3357,833,902,63,997,244,268,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,102,108,7,0,0,0,0,0,0,0,0,2.0,59.0,6.0,0.0,22.0,17.0,11539.8128742,3.0,17.0,0.0,0.0,0.0,0.0,-5.5,34.15,0.40,78.04,566.82,7.5386742637147846,7.675358057775559,7.47814161976911,7.648359039738033,7.496876688642168,7.681761236982509,6.308599999999999,-7.3737434456622815,1,6.12429375781
EGFR_actives0000002_docked,-32.3252,8.59503,9.11113,-5.54371,-2.27427,0,-27.4422,732.749,2,0.610374,3,0.320727,0.731949,0.268051,3186,788,855,61,577,140,155,12,514,135,143,10,209,51,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,74.0,16.0,0.0,24.0,10.0,-82691.9832841,2.0,21.0,0.0,0.0,0.0,0.0,-3.4,45.77,0.18,76.50,450.21,6.290185591511444,7.371183500499505,7.065839670995677,7.365162803030303,6.734152981577112,6.418856304294695,7.475700000000001,-8.016606191684293,1,5.98088850096
EGFR_actives0000003_docked,-43.5453,8.7452,15.7194,-6.63938,-1.59477,0,-33.3797,1128.84,1,0.614397,4,0.341429,0.638638,0.361362,4444,1145,1238,82,1393,366,392,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,101,106,7,0,0,0,0,0,0,0,0,9.0,46.0,17.0,0.0,36.0,15.0,-467951.509893,3.0,28.0,0.0,0.0,0.0,1.0,-2.7,40.05,0.54,91.68,832.34,7.7839775805996725,7.830915893606381,7.655791426739924,7.885532067210569,9.108940662367486,8.154665796024545,7.060200000000006,-7.927682158074166,1,6.47513848357
EGFR_actives0000004_docked,-30.2528,6.64442,8.60153,-2.21315,0,0,-21.7117,848.932,0,0.646274,2,0.326571,0.719025,0.280975,3849,999,1076,68,678,184,189,12,450,123,129,8,213,47,60,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,45.0,29.0,0.0,7.0,6.0,-67934.7647738,1.0,19.0,0.0,0.0,0.0,0.0,-4.2,48.49,0.36,86.46,581.06,6.907492031857359,7.894683442668452,7.269841314574322,7.636824635642139,6.5543217891855265,6.351909180650347,6.649699999999993,-8.391803479808484,1,5.98773840807
EGFR_actives0000005_docked,-24.4407,27.7298,14.2174,-6.38219,0,0,-2.91408,594.314,0,0.622709,3,0.316448,0.71206,0.28794,2493,624,669,49,1103,274,297,22,190,46,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,72.0,9.0,0.0,35.0,3.0,48203.305625,4.0,14.0,0.0,0.0,0.0,0.0,-1.2,31.30,0.08,115.64,319.33,6.281942779726515,7.567583000721493,6.893405042346546,7.30134987085137,5.58889379815037,5.918745601964017,5.8393999999999995,-6.218152876023185,1,6.00632715649
EGFR_actives0000006_docked,-28.1489,8.34739,9.57834,-8.74767,-1.17724,-0.590901,-25.2509,645.628,3,0.626802,1,0.309214,0.727361,0.272639,2722,681,725,52,704,171,187,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,101,111,8,0,0,0,0,0,0,0,0,2.0,73.0,11.0,0.0,39.0,10.0,-62920.2738461,3.0,18.0,0.0,0.0,0.0,0.0,0,34.57,0.00,77.82,340.99,6.918805752254551,7.523953823898325,7.3434160637695625,7.23801532251082,5.635410848028465,6.504545110863766,7.2136000000000005,-7.981811679149664,1,6.00081956376
EGFR_actives0000007_docked,-40.8586,59.841,13.5816,-8.8979,-1.96465,0,-6.38132,939.182,1,0.618994,2,0.353108,0.655485,0.344515,3932,977,1041,71,855,216,220,16,312,82,85,5,0,0,0,0,0,0,0,0,217,50,59,3,0,0,0,0,0,0,0,0,0,0,0,0,10.0,61.0,9.0,3.0,26.0,19.0,-275962.637552,3.0,34.0,0.0,0.0,0.0,1.0,-5.8,43.50,0.29,70.59,634.36,7.669540634284793,8.125100701076699,7.911078835109329,7.561000360694863,5.72834207462498,6.084642413207804,7.597300000000001,-7.806634260131452,1,6.01190064376
EGFR_actives0000008_docked,-15.3144,4.9424,3.96074,-2.74592,0,-2.56078,-14.006,612.662,2,0.623938,3,0.304403,0.687323,0.312677,2134,547,616,38,933,242,262,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,79,86,4,0,0,0,0,0,0,0,0,0.0,37.0,6.0,0.0,7.0,2.0,-259838.474771,2.0,9.0,0.0,0.0,0.0,0.0,.7,35.22,0.00,90.71,335.19,5.815718728530511,6.709514941502942,5.986141944294266,6.298462860306358,4.791343316239384,5.322968317501148,4.813599999999999,-6.3847921460709784,1,5.96850165405
EGFR_actives0000009_docked,-23.9653,3.7011,8.66938,-8.95595,0,-1.30343,-24.9014,684.449,1,0.6397,5,0.252555,0.744143,0.255857,2416,647,704,43,1146,288,333,23,191,50,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,54.0,37.0,0.0,1.0,7.0,-182320.216536,3.0,22.0,0.0,0.0,0.0,0.0,.9,36.53,0.07,105.64,356.83,6.747771383246402,7.812872117604615,7.194904710472539,7.340751644300148,6.652997300590917,6.012840598020152,6.042000000000001,-8.686786646481739,1,6.05492786341
EGFR_actives0000010_docked,-33.8483,7.28096,8.90854,-1.82476,0,0,-24.774,999.805,0,0.62082,7,0.412007,0.660807,0.339193,4682,1193,1281,95,694,179,182,15,531,136,141,9,0,0,0,0,0,0,0,0,109,28,28,2,199,50,47,2,0,0,0,0,0,0,0,0,6.0,41.0,7.0,0.0,8.0,16.0,-190117.379812,0.0,21.0,0.0,0.0,0.0,0.0,-6.0,67.24,0.38,102.58,849.86,7.70894874022825,8.126569703352208,7.856293002775004,7.768443213564219,5.321876492591469,6.3528815097206754,6.7456000000000005,-8.386742470996824,1,5.97411099298
