Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
EPHB4_actives0000002_docked,-37.3024,20.0934,10.2096,-6.3719,-2.89038,0,-27.6761,813.327,2,0.702458,7,0.312095,0.711102,0.288898,3960,1036,1188,64,846,231,261,14,670,185,213,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,53.0,12.0,0.0,22.0,18.0,-173418.140137,4.0,32.0,0.0,0.0,0.0,0.0,-.2,54.77,0.14,101.10,547.59,8.244073450264796,7.94373639160839,7.8145379514929525,7.490823539682547,8.908653639047673,8.529615291389282,6.8568999999999996,-10.66877246410887,1,6.08680279888
EPHB4_actives0000003_docked,-38.655,9.201,15.5576,-4.46643,-1.62241,0,-26.143,861.522,1,0.699252,6,0.428945,0.723329,0.276671,3871,1037,1178,62,953,261,296,20,607,160,174,10,0,0,0,0,0,0,0,0,0,0,0,0,183,53,54,2,0,0,0,0,0,0,0,0,5.0,69.0,5.0,0.0,37.0,7.0,-214430.496035,3.0,33.0,0.0,0.0,0.0,0.0,-2.2,52.87,0.36,93.24,692.33,7.419235487690538,8.196584308857812,7.969997088023096,7.80394674242424,7.63196515214452,7.640598888713474,6.9185,-8.938403002365813,1,6.09612171911
EPHB4_actives0000004_docked,-40.2902,19.5863,14.5145,-8.99763,0,0,-26.9669,907.348,0,0.6921,13,0.37939,0.649711,0.350289,3735,1008,1136,55,985,271,300,18,781,201,226,9,0,0,0,0,0,0,0,0,118,34,30,0,187,54,53,2,0,0,0,0,0,0,0,0,9.0,77.0,7.0,0.0,34.0,9.0,28627.1180282,5.0,33.0,0.0,0.0,1.0,0.0,.1,60.03,0.27,126.94,673.62,7.649080048729833,8.14183922469687,7.895119351370853,7.749137380286384,7.144655989056446,7.155559314827359,7.252100000000005,-8.642748189268701,1,6.12338896351
EPHB4_actives0000005_docked,-38.6203,26.4699,17.2,-4.80124,-1.674,-0.915326,-15.5623,870.942,2,0.701306,7,0.388134,0.740212,0.259788,3620,968,1096,57,833,231,254,16,753,199,221,14,0,0,0,0,0,0,0,0,110,31,35,3,183,53,56,2,0,0,0,0,0,0,0,0,4.0,79.0,7.0,0.0,37.0,6.0,-257646.177561,4.0,33.0,0.0,0.0,0.0,0.0,-2.0,57.08,0.27,114.91,651.11,7.008193026004262,8.44829411502876,7.863323124375625,7.588874019480522,7.433155216739688,7.011546247152827,7.202000000000002,-8.354730479517572,1,6.06168540235
EPHB4_actives0000007_docked,-35.0456,30.8456,13.3143,-14.5945,-2.11951,-0.482733,-23.381,724.331,3,0.724586,5,0.383453,0.719482,0.280518,3216,865,987,53,535,146,162,10,382,99,111,5,108,35,36,1,0,0,0,0,358,94,110,5,119,32,42,3,0,0,0,0,0,0,0,0,18.0,61.0,18.0,0.0,25.0,14.0,-113280.23176,5.0,22.0,0.0,0.0,0.0,0.0,-3.3,56.22,0.00,99.07,488.14,7.286231385091182,7.6545693166833155,7.408782988761241,7.296130254523257,7.4116102153679035,7.458934719597727,7.4041,-8.678651871192304,1,5.95456867279
EPHB4_actives0000008_docked,-37.1128,9.52126,13.3236,-8.56873,-1.57665,0,-30.0315,782.046,2,0.674521,6,0.405698,0.760415,0.239585,3269,857,980,55,810,219,251,16,786,209,234,14,0,0,0,0,0,0,0,0,127,40,45,2,184,52,56,2,0,0,0,0,0,0,0,0,5.0,70.0,6.0,0.0,39.0,7.0,-113988.354946,3.0,36.0,0.0,0.0,0.0,0.0,-2.9,58.88,0.11,145.53,559.43,6.747122516625419,8.210862404095902,7.826148725052729,7.540727523199025,8.27164290456869,7.781741329768706,7.1483000000000025,-8.437425152472768,1,6.03690086539
EPHB4_actives0000009_docked,-29.9602,4.66429,9.87832,-6.24443,-0.368011,0,-25.7914,936.939,1,0.701486,11,0.389803,0.646581,0.353419,4031,1111,1239,50,1181,324,361,15,268,77,81,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,26,27,0,0,0,0,0,9.0,54.0,23.0,0.0,14.0,12.0,-39508.0211492,2.0,26.0,0.0,0.0,1.0,0.0,-6.7,60.62,0.08,105.47,660.81,7.46562056915738,7.804558249916744,7.636693981018983,7.629937149239649,6.335763310041645,5.719339794360895,6.992400000000004,-8.128103599132343,1,6.15878013977
EPHB4_actives0000010_docked,-37.8074,13.3887,5.03287,-6.73147,-1.83999,0,-35.6177,782.58,1,0.702003,5,0.432997,0.779012,0.220988,3962,1021,1175,67,874,240,272,17,102,31,28,0,0,0,0,0,104,30,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,80.0,6.0,0.0,34.0,6.0,-89578.6051703,4.0,46.0,0.0,0.0,1.0,0.0,-3.4,45.05,0.17,72.70,597.63,7.565240334480647,7.228343877566877,6.9641034880119905,7.25804030563881,7.568363923552843,8.091393606414718,7.422000000000001,-8.671611521464056,1,6.33098646457
EPHB4_actives0000011_docked,-33.5135,37.2284,17.0683,-11.3475,-0.0289553,0,-10.0175,862.832,1,0.713828,8,0.382153,0.698359,0.301641,3918,1078,1180,50,978,279,296,13,354,95,106,5,589,143,165,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,61.0,27.0,0.0,21.0,26.0,-206123.38194,3.0,25.0,1.0,0.0,1.0,0.0,-4.7,78.09,0.08,116.47,644.13,7.4136695306435,8.026936201631694,7.932647213064711,7.8029811183261115,7.196506137080168,7.671597108130695,7.029900000000001,-7.380882413840786,1,6.16141714491
EPHB4_actives0000012_docked,-27.9277,6.29206,8.66587,-7.98902,0,0,-26.1,914.492,0,0.715326,11,0.413128,0.653506,0.346494,4037,1112,1247,49,1164,316,359,15,266,76,81,3,204,74,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,54.0,29.0,0.0,6.0,18.0,2625.87863181,1.0,26.0,0.0,0.0,1.0,0.0,-3.3,78.09,0.11,105.47,685.50,7.885238666315163,7.947172298035296,7.526637071650574,7.692157002164497,5.750883660104208,5.498637979732067,6.8156000000000025,-7.237567992906021,1,6.24777935798
