Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
ER-beta_actives0000001_docked,-32.0785,10.9508,-2.11338,-3.47072,0,-2.90582,-34.7116,720.104,2,0.588585,2,0.320374,0.889104,0.110896,5199,1124,1129,162,0,0,0,0,426,91,89,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0.0,4.0,11.0,0.0,0.0,-101020.805271,2.0,37.0,0.0,0.0,0.0,0.0,.4,49.03,0.13,40.46,446.55,7.786995782112411,8.338263615384623,8.104236958152969,7.792765556998563,7.79163661658891,8.470080761762969,7.962700000000005,-12.411605334807183,1,6.82432883487
ER-beta_actives0000002_docked,-42.5685,11.5625,3.03016,1.38453,0,-1.10299,-33.7838,739.563,1,0.574786,6,0.314851,0.885274,0.114726,4660,1043,1050,150,651,135,138,16,216,48,49,7,0,0,0,0,0,0,0,0,229,50,43,7,0,0,0,0,0,0,0,0,0,0,0,0,72.0,4.0,0.0,15.0,0.0,0.0,-63260.2399405,4.0,32.0,0.0,0.0,0.0,0.0,0,33.15,0.38,58.64,487.39,8.044081886162683,7.663379072871565,7.23733648717949,7.44790616089466,9.500341406189948,7.708705483338078,6.900899999999999,-10.88841297026596,1,6.03549489468
ER-beta_actives0000003_docked,-28.7895,9.45563,-0.56923,0.776708,0,-1.55148,-24.568,945.002,1,0.488679,1,0.271808,0.833875,0.166125,5718,1190,1173,164,399,85,78,10,568,121,117,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,3.0,5.0,2.0,1.0,2.0,-125735.97101,2.0,23.0,0.0,0.0,0.0,0.0,-2.2,47.61,0.31,57.86,683.97,7.166599563052971,7.734343123598618,7.636548468975473,7.435168159507164,5.906347433054199,6.782911917022667,6.872299999999999,-8.155457309354357,1,5.97849875318
ER-beta_actives0000004_docked,-25.0188,68.6898,3.59336,-3.57871,0,-0.591179,12.3206,568.485,2,0.566284,4,0.304904,0.827802,0.172198,2942,654,650,94,233,50,62,8,888,188,196,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,2.0,0.0,22.0,0.0,0.0,-58235.7472509,4.0,14.0,0.0,0.0,0.0,0.0,-2.7,36.61,0.00,86.72,302.12,6.2105577326718056,6.283499784160288,5.922307277000776,6.054697402763902,7.420462421663959,7.2860770929379,7.027099999999999,-9.210119529416682,1,6.01779794224
ER-beta_actives0000005_docked,-29.1673,4.93141,3.35599,0.0674026,0,-1.70558,-24.7756,624.943,2,0.574075,1,0.299183,0.870096,0.129904,3885,846,861,118,216,44,47,7,418,89,93,13,218,45,43,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,2.0,0.0,12.0,0.0,0.0,-2088.27807276,3.0,16.0,0.0,0.0,0.0,0.0,-3.3,40.17,0.06,52.49,383.83,7.322042964315803,7.05972523620824,6.816779715771155,6.895273418803417,6.381482555269753,6.879842105556706,7.401599999999999,-9.368389896258053,1,6.2378343595
ER-beta_actives0000006_docked,-34.5883,66.1605,3.3322,0.325094,0,0,6.01672,699.839,0,0.572157,3,0.318858,0.829315,0.170685,4726,1029,1022,146,0,0,0,0,209,47,46,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,3.0,0.0,15.0,0.0,0.0,13881.6176192,2.0,24.0,0.0,0.0,0.0,0.0,.9,10.47,0.71,20.23,477.22,7.865206990294759,7.24776043251194,7.482344854034858,7.276412867498516,8.255387068541552,9.494684616793013,7.375000000000003,-11.228307365081193,1,6.38150415714
ER-beta_actives0000007_docked,-31.2575,8.6443,-3.90907,-3.41167,0,-1.3561,-35.8531,660.866,1,0.569713,3,0.291981,0.856455,0.143545,3868,859,873,122,671,150,157,22,449,95,94,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,2.0,0.0,7.0,0.0,0.0,5819.83238575,1.0,27.0,0.0,0.0,0.0,0.0,-.3,38.41,0.06,64.08,393.25,6.838426749861189,7.726328995060494,7.0586132373737405,7.12280366577867,7.436632952346966,7.565311270257367,6.949300000000002,-9.240062575817637,1,5.98026436251
ER-beta_actives0000008_docked,-32.7448,13.7035,-7.12605,-1.33888,0,0,-33.5558,660.678,0,0.549321,5,0.296749,0.859972,0.140028,3795,821,840,119,0,0,0,0,876,199,203,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,0.0,2.0,17.0,0.0,0.0,-67901.7078909,1.0,20.0,0.0,0.0,0.0,0.0,-.2,39.31,0.24,55.76,406.50,6.904717271975182,6.651093242812746,6.679085119769117,6.517360220779219,7.351576355728312,8.392019402744761,7.2308,-10.366606477479257,1,6.25123366801
ER-beta_actives0000009_docked,-26.435,8.10496,1.81441,1.87578,0,0,-18.5375,632.174,0,0.564568,6,0.271874,0.845997,0.154003,3168,710,694,101,0,0,0,0,891,187,184,28,0,0,0,0,0,0,0,0,0,0,0,0,447,96,94,13,0,0,0,0,0,0,0,0,30.0,0.0,3.0,11.0,0.0,0.0,60307.8279228,1.0,12.0,0.0,0.0,0.0,0.0,2.4,43.23,0.07,66.76,342.69,5.758871759065294,7.029939133477631,6.547302636308135,6.517119426406924,5.519467542374799,5.195455302404764,6.309000000000001,-9.155004766192205,1,6.11135395776
ER-beta_actives0000010_docked,-36.8546,14.0231,-5.09442,-1.58905,0,-0.369331,-35.7296,789.128,2,0.577182,2,0.312303,0.82982,0.17018,5573,1252,1257,179,0,0,0,0,437,99,89,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,1.0,0.0,16.0,0.0,0.0,193181.272671,1.0,52.0,0.0,0.0,0.0,1.0,-4.1,37.83,0.08,37.30,515.53,8.1049438307434,8.61271827700078,8.097502994949506,8.024701059884562,6.794916580607683,7.19079937050052,6.288199999999998,-9.221709009494024,1,6.49409643535
