Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
ERBB2_actives0000001_docked,-38.3546,39.7515,13.6667,-4.81996,0,0,-9.47317,1022.88,0,0.641967,6,0.254501,0.685026,0.314974,3834,1048,1120,40,658,184,194,8,618,162,170,6,111,35,34,1,0,0,0,0,0,0,0,0,110,32,34,1,0,0,0,0,0,0,0,0,8.0,33.0,35.0,0.0,4.0,26.0,-36796.1553853,1.0,20.0,0.0,0.0,0.0,0.0,-2.6,48.54,0.36,68.74,608.28,7.716842280121149,7.936586929237435,7.702601761183261,7.759404115440121,4.72841529572038,5.8756043967649685,6.803799999999998,-7.61446917866027,1,6.02155591766
ERBB2_actives0000002_docked,-34.8685,8.01611,7.51433,-6.9776,-1.43718,0,-33.3279,1009.5,1,0.64402,6,0.273696,0.707204,0.292796,4066,1078,1164,44,587,156,163,7,596,178,189,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,42.0,27.0,0.0,11.0,10.0,-231935.815169,2.0,27.0,0.0,0.0,0.0,0.0,-1.7,47.82,0.27,74.73,575.16,7.143257919093744,7.813982054556556,7.395598699300698,7.390381194805195,5.8952457742299105,6.3495701727431415,7.1361,-7.158329073720193,1,5.97916462152
ERBB2_actives0000003_docked,-47.6525,12.3967,20.298,-5.01039,-1.85708,0,-30.9011,1324.54,1,0.665494,6,0.287213,0.711182,0.288818,5747,1560,1645,58,1644,437,466,15,79,29,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,69.0,34.0,2.0,19.0,26.0,-151611.205525,2.0,29.0,0.0,0.0,0.0,0.0,-.9,49.73,0.47,114.01,863.50,8.135237531726727,8.106158060883567,7.863305926240434,8.030675941280949,9.455123469723265,7.887588813874517,7.663599999999998,-11.103937379142947,1,7.08413663798
ERBB2_actives0000004_docked,-45.7693,38.2781,12.3045,-9.87225,0,-0.934996,-25.0724,1215.82,1,0.665386,9,0.289076,0.645992,0.354008,4801,1260,1359,51,779,219,227,8,458,130,131,5,0,0,0,0,0,0,0,0,224,72,68,2,194,53,52,3,0,0,0,0,0,0,0,0,0.0,54.0,34.0,0.0,13.0,20.0,-269566.395428,2.0,42.0,0.0,0.0,0.0,0.0,-1.7,66.13,0.18,106.10,750.49,8.005735341382064,8.369130964368969,8.096810976911978,8.153572378066388,9.37409031061416,7.439768845603374,7.5111,-9.518658512066752,1,6.10787720554
ERBB2_actives0000005_docked,-48.683,32.6116,13.4439,-9.09569,0,0,-27.5033,1228.82,0,0.640119,10,0.306487,0.689315,0.310685,5069,1362,1442,54,691,193,193,7,611,184,173,7,213,49,58,1,0,0,0,0,123,42,38,1,199,56,54,3,0,0,0,0,0,0,0,0,3.0,56.0,34.0,0.0,25.0,12.0,-234262.236958,1.0,30.0,0.0,0.0,0.0,0.0,-1.6,72.42,0.17,106.35,762.87,7.89020800630036,8.33451122888223,8.058819596348089,8.324097815129312,9.445814097122609,8.315084159056937,7.610999999999997,-9.936796841016482,1,6.14453560644
ERBB2_actives0000006_docked,-46.023,15.8519,15.4155,-7.72778,-1.40055,0,-30.0418,1065.28,1,0.658667,6,0.27921,0.655536,0.344464,4152,1097,1189,43,742,192,209,8,625,152,170,6,0,0,0,0,0,0,0,0,212,48,59,1,0,0,0,0,0,0,0,0,0,0,0,0,11.0,59.0,10.0,3.0,20.0,20.0,-142591.723072,3.0,27.0,0.0,0.0,0.0,0.0,-3.8,46.24,0.35,91.82,649.84,8.14586351819208,8.148734554168053,7.749210535353538,7.711187250749249,8.41109395113202,8.220993493958385,6.866999999999998,-6.499212945595203,1,6.01208283287
ERBB2_actives0000007_docked,-44.6202,10.5792,10.9889,-8.21628,-1.31386,0,-39.9369,921.703,1,0.656231,4,0.299696,0.773777,0.226223,4473,1134,1248,51,1180,302,316,13,269,75,77,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,76.0,11.0,0.0,27.0,9.0,-162732.554563,2.0,35.0,0.0,0.0,0.0,0.0,-.7,51.28,0.13,97.34,558.32,7.844311481229428,7.565631742035734,7.756901015096015,7.684885066267071,7.391486403610396,7.332618413127313,7.381500000000001,-10.66372097504251,1,6.43991141677
ERBB2_actives0000008_docked,-37.1124,8.75278,11.0045,-3.80119,-1.98469,0,-28.2032,1026.02,1,0.649638,6,0.295498,0.765765,0.234235,3790,1002,1071,40,738,189,200,8,642,162,179,4,107,32,29,1,0,0,0,0,222,54,59,1,115,36,31,2,0,0,0,0,0,0,0,0,4.0,60.0,10.0,2.0,22.0,18.0,-182302.006235,3.0,26.0,0.0,0.0,0.0,0.0,-2.4,49.95,0.38,91.82,651.54,8.430922271515962,8.017781650127656,7.720704746031745,7.694077399711399,8.123565604286965,7.810726825803573,7.158700000000001,-7.4595757337396185,1,5.98712622826
ERBB2_actives0000009_docked,-45.3668,9.48094,15.4636,-8.08802,0,0,-35.1652,1173.61,0,0.624753,9,0.344075,0.71621,0.28379,4995,1341,1395,56,1112,288,306,12,290,96,88,4,202,51,57,1,0,0,0,0,68,26,20,1,0,0,0,0,0,0,0,0,0,0,0,0,9.0,65.0,27.0,0.0,36.0,11.0,-68101.443625,2.0,29.0,0.0,0.0,0.0,0.0,-4.0,62.37,0.28,111.03,805.94,7.905972512439256,8.086751322288825,7.710813315739821,8.011562812520808,8.337412759203207,7.447308137692347,7.546500000000001,-9.214047779747895,1,6.35272888477
ERBB2_actives0000010_docked,-45.5901,82.5569,16.9417,-4.93903,-1.85956,0,8.51335,1234.58,2,0.64918,6,0.368355,0.669485,0.330515,5557,1483,1599,55,1615,445,463,19,279,80,88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,68.0,10.0,1.0,32.0,16.0,-422542.632507,5.0,34.0,0.0,0.0,1.0,1.0,-2.0,58.49,0.42,134.32,890.71,8.283441297534555,7.8295074347319416,7.833559454323458,7.850791608225117,7.626956992822294,7.680865624791303,7.608699999999999,-9.203027577572163,1,6.81188059929
