Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
FGFR1_actives0000001_docked,-28.8242,7.08554,6.87739,-5.34515,-1.14007,0,-25.1811,707.842,1,0.601323,2,0.393049,0.626099,0.373901,3402,906,971,15,985,260,284,4,173,44,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38.0,14.0,0.0,27.0,2.0,-496030.455653,3.0,18.0,0.0,0.0,0.0,2.0,-1.7,36.50,0.24,90.28,505.63,7.442243784758617,7.650831833721835,7.409706517815522,7.265190097791095,5.551066870717996,6.0380982151256735,7.376199999999996,-9.982199958609135,1,6.08166197335
FGFR1_actives0000002_docked,-31.1592,34.6064,13.1092,0.311204,-1.89048,0,-1.74859,927.062,1,0.637721,5,0.457045,0.607502,0.392498,3895,1062,1141,10,1201,332,354,4,146,42,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,41.0,19.0,0.0,34.0,6.0,-467898.03444,6.0,15.0,0.0,0.0,0.0,1.0,-3.4,40.31,0.48,104.97,780.75,7.449597238081301,7.430524084804088,7.387574247197249,7.544518228604738,7.798455685263714,7.409842833131204,7.671999999999996,-9.06614424671633,1,6.16697968673
FGFR1_actives0000003_docked,-28.9592,7.50022,11.6053,-0.0370713,0,0,-14.4172,750.111,0,0.61523,5,0.473292,0.648567,0.351433,3706,973,1058,18,932,245,273,2,0,0,0,0,214,58,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,43.0,24.0,0.0,27.0,13.0,-265062.945954,5.0,20.0,0.0,0.0,0.0,2.0,-5.8,50.86,0.44,63.84,643.98,7.918277482954368,7.38836354495505,7.281059231490729,7.3459000493950475,4.849478393712272,6.325780890464634,7.384000000000002,-8.599384130064802,1,6.02130177725
FGFR1_actives0000004_docked,-23.2895,6.26618,10.3717,2.94701,0,0,-7.25684,751.411,0,0.61934,7,0.380281,0.573378,0.426622,2903,780,841,14,884,235,249,2,130,37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,95,24,28,0,0,0,0,0,0,0,0,0,10.0,26.0,16.0,0.0,3.0,14.0,-286693.178084,4.0,12.0,0.0,0.0,0.0,1.0,-1.3,40.46,0.24,90.28,525.13,6.732213172069494,7.308787959984463,6.92460302553003,6.972980912698408,4.14388075583,5.114402641003211,6.1842,-6.979044370780897,1,6.0074597454
FGFR1_actives0000005_docked,-24.3853,4.91869,8.79893,0.354417,0,0,-13.7635,729.299,0,0.622991,4,0.445399,0.561153,0.438847,2684,764,782,6,796,224,233,2,290,76,83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,22.0,12.0,0.0,10.0,22.0,-179976.691295,2.0,13.0,0.0,0.0,0.0,1.0,-4.2,41.98,0.19,107.35,533.73,6.175929408320174,7.339564589299587,6.776497555833051,6.851932404206904,4.102049015367986,5.145356408119153,6.468800000000001,-6.482150255706766,1,5.97236525676
FGFR1_actives0000006_docked,-31.1219,10.855,10.8741,-6.20729,0,0,-23.2493,804.169,0,0.624787,8,0.460918,0.667603,0.332397,3723,1006,1089,11,1173,321,339,3,156,44,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,45.0,5.0,0.0,40.0,7.0,-216322.463949,3.0,18.0,0.0,0.0,0.0,1.0,-.5,40.32,0.48,104.97,781.12,6.8800389268137705,7.576618925185924,7.441882730491729,7.476620914030418,6.004643828739447,6.284046513412727,7.615100000000002,-8.046396193326514,1,6.2531329919
FGFR1_actives0000007_docked,-25.4821,8.40762,8.82829,1.14248,0,0,-11.8322,736.519,0,0.624489,5,0.408598,0.569495,0.430505,3110,828,907,10,916,237,253,3,133,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,43.0,20.0,0.0,8.0,12.0,-311741.438021,3.0,19.0,0.0,0.0,0.0,1.0,-2.0,38.51,0.27,90.28,535.11,6.29594592333366,7.080068234043732,6.886733656843158,6.981939536352529,5.383894325170167,6.098467807335508,6.8504,-7.3561901768200535,1,6.0129667604
FGFR1_actives0000008_docked,-23.9267,38.3721,4.56267,3.05528,0,0,3.66847,603.93,0,0.613793,5,0.452934,0.664888,0.335112,2768,699,803,12,917,241,262,2,117,29,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,39.0,12.0,0.0,18.0,1.0,-545826.082054,2.0,14.0,0.0,0.0,0.0,1.0,-.6,37.11,0.25,107.19,510.23,6.539223373291968,7.432442412698414,6.892000605838609,6.962099948051944,5.502225447200253,6.379263888363599,7.184200000000001,-7.280991472486551,1,5.99368030104
FGFR1_actives0000009_docked,-24.1805,7.116,9.76714,4.41983,0,0,-6.56304,718.163,0,0.58571,5,0.441929,0.545448,0.454552,2910,763,846,10,951,253,270,3,123,33,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,35.0,21.0,0.0,9.0,25.0,-298659.004892,3.0,16.0,0.0,0.0,0.0,1.0,-2.3,37.94,0.24,116.30,522.54,6.633845085910861,7.28944281784882,7.052894447330448,7.016816275169274,4.734014584252506,5.576169877892352,6.435500000000001,-7.778054470490538,1,5.95885460056
FGFR1_actives0000010_docked,-22.9197,4.61633,8.23942,5.65747,0,0,-6.64806,709.927,0,0.623909,5,0.408357,0.629292,0.370708,2981,785,843,9,908,235,248,3,135,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,34.0,17.0,0.0,6.0,11.0,-305528.958662,4.0,18.0,0.0,0.0,0.0,1.0,-1.3,36.41,0.24,90.28,509.92,5.911534686134288,7.167486336163832,6.904798410811415,7.055817864912866,4.782276020300571,5.490180710910262,6.725300000000005,-7.67958252099882,1,6.02769535479
