Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
FKBP1A_actives0000001_docked,-17.2376,3.31676,7.24128,-3.29091,0,-1.46622,-13.2159,795.545,1,0.701452,3,0.595295,0.645016,0.354984,3668,766,827,6,128,27,27,0,1304,280,291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,15.0,0.0,1.0,2.0,54018.4446673,1.0,7.0,0.0,0.0,0.0,0.0,-.1,58.76,0.81,198.59,1231.50,4.7438747892087125,6.423634747863245,5.737198571428572,5.9868232749472705,4.351265899951321,5.549460426399364,7.345599999999999,-5.568276883874158,1,6.04207546691
FKBP1A_actives0000002_docked,-14.558,1.78662,6.78264,-0.976452,0,0,-8.24879,778.674,0,0.712769,4,0.589684,0.582635,0.417365,3765,805,875,0,139,32,32,0,1026,215,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.0,14.0,0.0,0.0,15.0,-10507.912081,0.0,10.0,0.0,0.0,0.0,0.0,1.9,50.76,0.81,158.13,1237.06,4.895513708314092,6.454581687257181,5.844593485569986,6.039618176101676,3.100053767085558,5.1923807796429715,6.667999999999999,-5.425518649919267,1,5.99394996088
FKBP1A_actives0000003_docked,-20.8757,3.62031,11.5689,-1.4494,0,0,-9.07057,785.761,0,0.725977,6,0.575536,0.599244,0.400756,4027,866,956,8,80,14,17,0,1013,223,235,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.0,24.0,0.0,0.0,17.0,-107336.030615,2.0,11.0,0.0,0.0,0.0,0.0,-3.9,56.76,0.77,178.36,1216.93,5.743420002423921,6.902759567488068,6.300297199800199,6.237899444999445,4.722398798613645,5.040542496806794,6.589000000000002,-6.210958287791595,1,6.00332272737
FKBP1A_actives0000004_docked,-20.8206,4.12024,9.73156,-2.35088,0,-1.24123,-12.7003,754.095,1,0.733565,5,0.586413,0.596973,0.403027,3905,827,923,9,79,14,17,0,1010,217,237,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.0,24.0,0.0,0.0,13.0,-127475.835582,2.0,12.0,0.0,0.0,0.0,0.0,-4.3,54.76,0.81,178.36,1218.86,5.057955799791134,6.7457932485847465,6.008927372294369,6.2101043382173415,3.9680083738303513,4.959903549351343,6.5100000000000025,-6.470471079915422,1,5.97856517286
FKBP1A_actives0000005_docked,-33.2651,7.73165,8.29895,-8.77409,-1.19494,0,-31.641,997.426,1,0.737331,5,0.494084,0.619743,0.380257,4590,980,1011,5,165,35,36,0,1176,253,258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,22.0,48.0,0.0,1.0,10.0,-209955.18246,1.0,41.0,0.0,0.0,1.0,0.0,-9.0,78.49,0.45,139.29,1069.87,6.876784816999032,7.073323430014429,6.723539907314911,7.300239305749805,8.109929944794999,6.373469293904207,6.7176000000000045,-6.151976765362867,1,6.10153140863
FKBP1A_actives0000006_docked,-25.2848,6.84237,14.5349,-7.69717,-1.05225,-1.11809,-17.8229,887.822,3,0.702851,3,0.538401,0.572768,0.427232,4434,943,1002,0,153,31,27,0,1368,299,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,19.0,31.0,0.0,1.0,16.0,-265540.427732,2.0,14.0,0.0,0.0,0.0,0.0,-1.1,54.76,0.81,178.36,1243.15,6.028664768050034,6.9441904675324615,6.453886784548778,6.518676251248753,4.147846553248415,5.849352178217493,7.047999999999998,-7.2226006057554555,1,5.9834026748
FKBP1A_actives0000007_docked,-20.2297,3.34915,4.13189,-4.83687,0,0,-19.9631,797.537,0,0.755299,2,0.633886,0.542622,0.457378,4126,933,971,1,73,18,25,0,873,202,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.0,20.0,0.0,0.0,13.0,69397.9837185,0.0,14.0,0.0,0.0,0.0,0.0,-4.0,67.78,0.68,183.15,1360.80,5.186946280248838,7.065643212509709,6.464525689754691,6.347139467754474,2.9161317476242545,4.685928720490101,7.0812,-6.300382392256455,1,5.99834533382
FKBP1A_actives0000008_docked,-32.2024,5.66795,11.5628,-2.56412,0,0,-21.3124,951.025,0,0.787415,7,0.482102,0.621588,0.378412,4355,937,957,3,155,35,38,0,951,196,212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,7.0,39.0,1.0,1.0,23.0,-178132.668433,1.0,23.0,0.0,0.0,1.0,0.0,-14.8,70.11,0.42,120.83,975.73,7.03132140710102,7.171787623376628,6.726356776667785,6.904202533355542,6.624020682243751,5.5718115148562575,6.4521000000000015,-6.107957585757619,1,6.15025337024
FKBP1A_actives0000009_docked,-33.4503,5.86986,12.3754,-2.6618,-0.772044,0,-22.9464,984.198,1,0.754517,4,0.505335,0.610186,0.389814,4381,967,971,0,157,34,37,0,1158,252,269,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,8.0,51.0,0.0,1.0,38.0,-56015.8212416,1.0,34.0,0.0,0.0,1.0,0.0,-7.8,78.49,0.43,139.29,1038.62,6.851079903565369,6.900652474747475,6.565327537906537,7.119153318570325,6.5242139427311905,5.580900896858673,6.655000000000004,-5.80152976223942,1,6.10814463607
FKBP1A_actives0000010_docked,-27.4858,4.59625,15.0701,-10.9618,0,-0.797858,-23.066,853.916,1,0.75963,3,0.47432,0.583442,0.416558,3840,808,840,4,414,77,85,0,1088,234,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,21.0,34.0,0.0,0.0,14.0,-112724.672878,1.0,22.0,0.0,0.0,0.0,0.0,-.6,61.57,0.65,180.88,992.39,5.340565563171244,6.871191679154183,6.439600506549003,6.3517155735930775,6.023731801023886,5.538214772405577,6.004000000000002,-7.924945283832052,1,5.97425948571
