Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
FXA_actives0000001_docked,-37.4495,12.3618,21.9032,-0.0648431,0,0,-12.5761,910.792,0,0.682856,8,0.383244,0.615057,0.384943,2890,799,920,66,1072,317,347,26,300,75,93,7,253,92,82,6,0,0,0,0,87,18,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.0,69.0,0.0,36.0,43.0,-129715.491038,4.0,37.0,1.0,0.0,0.0,0.0,-4.0,79.82,0.05,182.73,630.73,7.905412653075794,7.519928632201132,7.441750811244316,7.469575125541118,6.736754508070465,6.390870878723304,7.762499999999997,-7.875497947392786,1,6.97946944292
FXA_actives0000002_docked,-33.2952,21.6573,18.4432,-2.47579,0,0,-7.00035,969.726,0,0.63403,10,0.387999,0.551493,0.448507,2981,844,964,79,642,180,213,16,338,105,114,10,0,0,0,0,0,0,0,0,87,22,26,1,449,130,138,10,0,0,0,0,0,0,0,0,12.0,10.0,61.0,0.0,15.0,9.0,-12930.8619232,2.0,22.0,0.0,0.0,1.0,0.0,-1.2,61.03,0.29,95.59,708.85,7.469780963081895,7.73488379292929,7.570782979797979,7.672129001609493,6.550388045384221,6.108295310989839,6.7435,-7.1235558037805164,1,6.05492211847
FXA_actives0000003_docked,-34.1092,2.49412,18.0388,-1.44907,0,0,-18.5354,1010.17,0,0.643009,9,0.401333,0.570414,0.429586,3508,1031,1126,97,533,159,178,14,400,109,124,10,0,0,0,0,0,0,0,0,0,0,0,0,343,96,102,7,0,0,0,0,0,0,0,0,7.0,9.0,55.0,0.0,7.0,26.0,-12811.6932036,1.0,27.0,0.0,0.0,0.0,0.0,-6.0,65.34,0.16,111.63,755.48,7.570354062118264,7.76239518498168,7.383842519758018,7.514330864635356,5.084928359484796,6.794225301567432,6.406299999999996,-8.450930814410146,1,6.09376489497
FXA_actives0000004_docked,-41.4712,12.7211,14.4071,0.18172,0,0,-23.3496,907.487,0,0.66848,6,0.382756,0.600949,0.399051,3168,899,1023,75,855,256,277,17,290,80,98,7,0,0,0,0,0,0,0,0,88,17,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,77.0,0.0,36.0,52.0,4756.40899109,4.0,42.0,1.0,0.0,0.0,0.0,-4.1,60.27,0.04,156.95,628.73,7.732705789406428,7.5104554712509755,7.4554819966699934,7.460053045121546,7.957023238081026,6.767692904044865,7.737100000000001,-9.199430253034688,1,7.26875927939
FXA_actives0000005_docked,-36.8848,5.97558,21.8281,-6.96818,-1.36931,-0.234483,-22.1683,920.64,2,0.66314,8,0.377932,0.537506,0.462494,3572,1015,1177,91,528,157,172,13,335,102,111,9,396,123,136,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,15.0,78.0,0.0,10.0,48.0,-66816.8859058,3.0,34.0,0.0,0.0,3.0,0.0,-2.3,62.09,0.43,50.60,734.28,7.863369485066331,7.679968399711396,7.719616889055389,7.565843407259406,6.236195289472624,5.847925085082092,6.606600000000003,-8.890377471512561,1,6.17965453787
FXA_actives0000006_docked,-42.6554,42.5275,21.249,4.15671,0,0,1.63828,946.207,0,0.701551,6,0.375602,0.577549,0.422451,3559,1088,1155,80,810,232,242,14,96,25,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.0,69.0,0.0,26.0,61.0,-119948.939274,4.0,34.0,0.0,0.0,0.0,0.0,-3.6,42.94,0.38,106.18,746.92,8.147735300341662,7.264871497002994,7.15581061860362,7.400072879453884,7.296542469295973,7.777631248100227,6.672599999999999,-8.575131716105465,1,6.81249210178
FXA_actives0000007_docked,-36.5892,10.5457,14.3563,-0.329964,0,0,-17.9874,869.332,0,0.666995,6,0.395103,0.531842,0.468158,3027,882,982,69,472,136,146,13,488,132,158,13,0,0,0,0,0,0,0,0,116,34,41,4,132,44,44,3,0,0,0,0,0,0,0,0,0.0,14.0,62.0,0.0,17.0,24.0,-319333.97943,4.0,36.0,1.0,0.0,1.0,1.0,-.3,74.71,0.30,157.33,805.89,6.967947111124398,7.553889439227438,7.143192310744809,7.191933048118549,7.857458820340435,7.36048223764586,7.065600000000001,-7.535910351192804,1,5.96606657483
FXA_actives0000008_docked,-36.8976,37.8234,13.3477,-1.05865,0,0,-6.41192,928.558,0,0.656848,8,0.412924,0.602554,0.397446,3421,942,1080,71,803,237,254,14,325,91,104,12,221,80,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.0,57.0,0.0,22.0,33.0,-50826.8897055,4.0,40.0,3.0,0.0,0.0,0.0,-2.6,76.00,0.21,93.42,719.17,7.905356566491074,7.827725236541238,7.847987055722055,7.6891044357864375,6.759692860027095,6.779375242954557,7.199300000000001,-10.83759293332676,1,6.83296737414
FXA_actives0000009_docked,-34.87,54.141,18.0939,1.63802,-0.729928,0,10.8308,847.805,1,0.670397,8,0.404591,0.621095,0.378905,2902,796,920,62,627,188,197,13,401,104,130,9,0,0,0,0,0,0,0,0,88,25,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17.0,66.0,0.0,24.0,44.0,-79015.8958579,4.0,38.0,2.0,0.0,0.0,0.0,-6.2,52.89,0.22,125.58,621.70,7.737134141447422,7.2848549824619795,6.8980122978688,7.0900794481074465,8.034968357593803,6.418127260543233,7.1682000000000015,-7.763469434427921,1,6.1881250528
FXA_actives0000010_docked,-33.5647,5.44356,18.2893,0.902186,0,0,-14.5806,1006.09,0,0.675258,5,0.440487,0.548293,0.451707,3451,1034,1123,87,437,125,142,10,722,207,238,19,208,63,61,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17.0,75.0,0.0,21.0,17.0,72575.6607288,2.0,30.0,0.0,0.0,0.0,0.0,-6.4,68.74,0.43,155.20,864.99,6.896854096507593,8.040531260350761,7.460962770285268,7.466335824175823,5.98691287240292,5.765309741246547,7.159499999999998,-6.947490047470506,1,6.06626889223
