Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
GBA_actives0000001_docked,-16.0353,55.2796,19.1139,-4.36147,0,-0.688926,28.6969,373.707,1,0.711463,7,0.363111,0.485043,0.514957,1289,344,405,16,212,58,64,3,658,177,201,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,39.0,58.0,0.0,0.0,2.0,-775741.402793,7.0,3.0,0.0,0.0,0.0,2.0,-4.4,13.00,1.00,72.72,230.27,4.207974453643104,5.486556151903654,4.896104160173161,5.071742169386173,5.299124086993866,6.345051298248326,5.7090999999999985,-5.292440368345233,1,6.04859780421
GBA_actives0000002_docked,-19.6469,44.2504,8.39616,-3.00448,0,0,8.30964,737.787,0,0.702667,5,0.427417,0.604154,0.395846,2571,624,703,28,921,226,247,13,321,74,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,63.0,0.0,0.0,12.0,-162239.915091,3.0,13.0,0.0,0.0,0.0,0.0,-.5,32.37,0.53,81.15,582.38,5.531552155301266,7.84663532550782,6.742659659729161,6.649271475746472,3.055949459830821,3.7498492814076627,5.889400000000002,-5.3118277284098445,1,5.9645573929
GBA_actives0000003_docked,-18.8931,37.8011,8.58129,-2.16899,0,-1.57098,5.7629,802.664,1,0.719441,7,0.410838,0.592303,0.407697,3062,724,818,26,903,202,241,8,376,88,104,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,64.0,0.0,0.0,14.0,-149922.003468,4.0,15.0,0.0,0.0,0.0,0.0,.6,40.75,0.29,92.15,555.48,5.0674647252790255,7.59008152464203,6.8506426018981,7.018688839993341,1.8282815450828465,4.039656409598454,5.699200000000001,-6.018791451266133,1,5.96402130541
GBA_actives0000004_docked,-17.8432,80.9845,18.0044,-4.74486,0,-1.67403,38.893,432.419,2,0.730652,4,0.373014,0.497819,0.502181,1649,442,500,21,212,56,63,3,656,174,211,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47.0,51.0,0.0,0.0,0.0,-699221.19352,4.0,7.0,0.0,0.0,0.0,2.0,-3.5,13.00,1.00,72.72,290.03,4.577439833945833,5.228600042180044,5.112174723665225,5.2074804338994385,5.104582123091963,4.8538757411203,5.410899999999998,-5.500434601433239,1,6.00354132779
GBA_actives0000005_docked,-18.8758,3.10771,15.0564,6.26609,0,0,2.90925,711.896,0,0.713612,11,0.388943,0.589926,0.410074,2534,636,745,32,1004,265,287,13,346,95,98,4,0,0,0,0,0,0,0,0,0,0,0,0,200,52,54,2,0,0,0,0,0,0,0,0,0.0,14.0,58.0,0.0,0.0,1.0,-437422.368874,3.0,5.0,0.0,0.0,0.0,0.0,.4,36.42,0.40,92.15,465.00,5.435733336176233,7.811268198468198,7.001374162837157,6.979601387445888,3.9150215397098114,5.446217936635676,6.611999999999999,-5.88300616028322,1,5.9894701237
GBA_actives0000006_docked,-20.8313,44.3187,14.1417,-0.521179,0,0,17.2909,775.776,0,0.718279,12,0.386826,0.636461,0.363539,2886,703,826,31,995,248,285,12,357,93,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.0,89.0,0.0,0.0,1.0,-448683.594339,3.0,28.0,1.0,0.0,0.0,0.0,-1.2,32.37,0.47,81.15,517.98,5.7078344640217,8.165135194805194,7.394277689921182,7.418792090354092,4.160015219184471,5.606325474030338,6.359700000000001,-6.170751331240947,1,5.98393748505
GBA_actives0000007_docked,-17.3468,46.5417,8.69513,-3.51931,0,0,11.7093,667.005,0,0.73843,2,0.44183,0.605477,0.394523,2230,539,605,25,920,223,250,13,329,74,87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,59.0,0.0,0.0,9.0,-179408.274592,3.0,9.0,0.0,0.0,0.0,0.0,.4,32.37,0.44,81.15,485.65,5.067832249297856,7.206439027694528,6.146982427405929,6.5080454751914685,2.617768253251079,3.7738925883477084,6.0013,-4.89353803842349,1,5.96244700514
GBA_actives0000008_docked,-19.9293,28.253,14.039,-3.60871,0,-1.67844,4.58206,778.325,1,0.69945,8,0.379731,0.609486,0.390514,2761,674,777,31,952,234,275,12,541,127,142,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,92.0,0.0,0.0,4.0,-387930.037782,4.0,18.0,0.0,0.0,0.0,0.0,-.8,37.54,0.47,90.38,534.66,4.33441666793024,8.11805017993118,7.152015919302912,7.099391993339986,2.8683754742380674,4.150079710681608,6.025000000000001,-5.328561319090481,1,5.97243527298
GBA_actives0000010_docked,-17.3783,2.43553,13.1779,3.00111,0,0,-0.893745,661.73,0,0.725946,9,0.411986,0.610972,0.389028,2568,651,732,30,1001,261,283,13,344,94,103,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.0,59.0,0.0,0.0,0.0,-492161.454451,2.0,7.0,1.0,0.0,0.0,0.0,-.5,32.37,0.40,92.15,449.08,4.9767450742451915,8.073125687146185,6.930365784215778,6.747605683760681,3.3660612810986232,4.680815020657277,6.559000000000002,-5.798922489902442,1,5.98818320655
GBA_actives0000011_docked,-22.9082,27.2583,13.1959,0.450037,0,-0.612209,3.5109,849.006,1,0.708072,8,0.406739,0.550095,0.449905,3270,777,889,34,1051,260,302,13,284,62,82,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,89.0,0.0,0.0,5.0,-585802.809849,3.0,17.0,0.0,0.0,0.0,0.0,1.2,40.75,0.32,81.15,593.70,6.247006680988614,7.921141528860029,7.503433305527806,7.355863221667218,3.9813631973704,4.513480433376978,5.891399999999997,-6.737947579692152,1,5.99125943272
