Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
GR_actives0000001_docked,-42.6223,12.0768,7.97571,-9.73656,0,-1.79907,-40.6007,989.19,1,0.597237,4,0.268464,0.754642,0.245358,4926,1200,1184,188,184,42,46,7,649,166,164,25,568,146,134,19,0,0,0,0,216,48,48,8,0,0,0,0,0,0,0,0,0,0,0,0,73.0,10.0,7.0,28.0,1.0,9.0,-41439.6101783,3.0,33.0,0.0,0.0,0.0,0.0,1.6,64.85,0.33,70.95,637.36,8.392857013615927,7.693252418470419,7.776752550005549,7.878040512099014,5.685363545966486,5.574050913032727,6.0796,-12.60941120834729,1,6.66408258063
GR_actives0000002_docked,-41.6056,11.4428,-0.826669,-2.75504,0,-0.475138,-40.2488,894.868,1,0.625758,5,0.287435,0.820655,0.179345,4664,1156,1170,176,138,38,38,6,717,173,174,29,0,0,0,0,0,0,0,0,188,50,45,7,0,0,0,0,0,0,0,0,0,0,0,0,56.0,4.0,31.0,20.0,0.0,6.0,-21680.7810032,2.0,52.0,0.0,0.0,0.0,0.0,2.5,40.57,0.37,67.79,598.22,7.962797445773587,7.951946191031192,7.830697197580198,7.698489581529585,8.09743861295567,6.922634367295148,6.281900000000002,-11.612314152549924,1,6.24528590167
GR_actives0000003_docked,-44.2994,8.4607,6.22629,-3.0378,0,0,-37.4393,1180.77,0,0.603352,3,0.343082,0.791046,0.208954,5148,1254,1326,212,364,96,103,16,889,220,235,33,0,0,0,0,0,0,0,0,119,28,34,5,0,0,0,0,0,0,0,0,0,0,0,0,59.0,0.0,10.0,10.0,0.0,17.0,-49410.6629876,1.0,37.0,0.0,0.0,0.0,0.0,2.8,76.76,0.28,134.27,988.63,7.908981950796646,7.640581250860248,7.596719980741477,7.929730365800871,3.8949428985496097,7.1150867792848596,6.836700000000002,-7.202453693846786,1,6.17659623757
GR_actives0000004_docked,-35.0047,7.02742,-0.641906,-3.31635,0,0,-36.3499,841.371,0,0.643219,2,0.277686,0.771041,0.228959,4059,1015,998,158,283,75,75,12,203,52,51,7,81,19,21,2,0,0,0,0,222,52,51,8,0,0,0,0,0,0,0,0,0,0,0,0,44.0,3.0,9.0,13.0,0.0,2.0,1650.24083727,0.0,22.0,0.0,0.0,0.0,0.0,1.8,42.12,0.38,38.05,558.66,7.237652229325571,7.41920203207903,7.153206518093025,7.1732597871572885,6.018714449434375,6.531370808591241,6.8787999999999965,-10.200959622350888,1,6.02400395952
GR_actives0000005_docked,-31.6696,6.2572,2.39797,-1.46485,0,0,-28.1373,922.848,0,0.501535,5,0.283561,0.741207,0.258793,4282,1067,1033,158,323,79,82,11,507,128,123,19,0,0,0,0,0,0,0,0,177,48,42,7,0,0,0,0,0,0,0,0,0,0,0,0,43.0,0.0,14.0,15.0,0.0,1.0,92793.2980675,0.0,24.0,0.0,0.0,0.0,0.0,3.7,43.87,0.27,74.51,568.05,7.617165114050081,7.670724487234988,7.3058604008214045,7.317311710733716,6.927642084969138,6.3510290678729255,6.361400000000001,-10.580805542644006,1,5.97692271655
GR_actives0000006_docked,-36.6381,37.5697,2.73702,-1.8847,0,0,-15.425,1035.49,0,0.597658,4,0.256685,0.715644,0.284356,5250,1311,1289,206,331,84,82,13,692,162,167,28,0,0,0,0,0,0,0,0,178,45,45,7,0,0,0,0,0,0,0,0,0,0,0,0,49.0,4.0,6.0,19.0,0.0,12.0,-92161.089601,1.0,20.0,0.0,0.0,0.0,0.0,4.1,47.83,0.39,71.03,724.45,8.01567543799781,7.75175861277611,7.8803868445443515,7.915592297868798,6.3014433473179565,5.556544266303755,6.6556,-9.819492710072772,1,6.22862261871
GR_actives0000007_docked,-39.0507,10.391,-1.1907,1.00894,0,-0.571618,-34.9853,998.362,1,0.602561,2,0.285571,0.855539,0.144461,5325,1311,1340,195,130,35,35,5,683,162,156,28,0,0,0,0,0,0,0,0,180,48,44,5,0,0,0,0,0,0,0,0,0,0,0,0,58.0,3.0,30.0,11.0,0.0,3.0,30371.9650569,1.0,50.0,0.0,0.0,0.0,0.0,3.3,45.01,0.41,67.79,730.00,8.01346857167101,8.18379952286603,8.090663395382403,7.749990507215008,7.945109365785306,6.91786591679861,6.802500000000001,-11.450792323538053,1,6.74273345603
GR_actives0000008_docked,-40.8745,11.3487,2.75646,-9.35263,0,-2.58949,-43.6796,968.395,3,0.653398,3,0.283584,0.776723,0.223277,5486,1372,1315,200,133,33,37,5,391,94,95,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,2.0,7.0,15.0,1.0,0.0,-113163.548894,3.0,29.0,0.0,0.0,0.0,0.0,-.2,31.59,0.55,40.54,660.29,8.815872141997605,8.321842571317577,8.19311715223666,7.8264643964923994,7.2668395919120625,6.287153940391392,7.020599999999999,-12.14482665424198,1,6.7293535265
GR_actives0000009_docked,-35.887,6.16367,6.25597,-3.36833,0,0,-30.141,859.792,0,0.646181,4,0.266254,0.708733,0.291267,4006,956,982,152,436,115,110,13,143,33,40,7,219,54,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,11.0,1.0,12.0,0.0,13.0,-33021.5332877,1.0,24.0,0.0,0.0,0.0,0.0,1.5,33.22,0.43,38.05,538.87,7.213061099884901,7.132330600233102,6.864660283771786,7.147589822954828,5.6904473692494095,5.964872079787662,7.132800000000003,-8.983388300214939,1,6.05126017208
GR_actives0000010_docked,-33.7296,51.3346,7.72623,-5.14312,0,-1.24402,-4.04278,932.266,1,0.658018,3,0.292117,0.666746,0.333254,4281,1007,1097,184,355,83,74,14,133,32,35,7,216,52,51,8,0,0,0,0,117,27,33,4,0,0,0,0,0,0,0,0,0,0,0,0,50.0,3.0,7.0,8.0,0.0,13.0,-41617.4575098,2.0,20.0,0.0,0.0,0.0,0.0,3.3,47.92,0.30,38.05,595.76,7.257403303994512,7.169271305583301,7.0310927748917855,7.1120120230880275,5.515001282710516,6.087338753721226,7.3393999999999995,-9.840275043537,1,6.01977623141
