Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
GSK3B_actives0000001_docked,-34.9578,9.57813,10.1737,-4.38144,-1.20008,0,-26.6641,973.971,1,0.619491,7,0.309272,0.656705,0.343295,4086,1083,1148,35,925,242,263,9,350,92,99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,50.0,7.0,0.0,20.0,10.0,-222351.425962,2.0,24.0,0.0,0.0,0.0,1.0,1.8,38.81,0.56,81.33,699.06,7.264404225991711,7.6978973013098,7.565576631479633,7.516787205627707,7.742658624282554,7.5910491177748565,7.028900000000001,-7.571834896284804,1,6.03805800809
GSK3B_actives0000002_docked,-24.5414,14.2833,7.71754,-7.38601,0,-1.33794,-18.7461,716.255,1,0.615777,5,0.301119,0.666378,0.333622,3216,851,913,33,563,158,177,6,393,101,108,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47.0,24.0,0.0,20.0,6.0,-59818.3693036,2.0,17.0,0.0,0.0,0.0,0.0,.4,39.37,0.06,87.06,421.25,5.498467069701116,7.16863643179043,6.797571961815964,6.899098734432232,3.959121901240666,4.736982604900229,6.012599999999997,-6.116447432455441,1,5.98103748921
GSK3B_actives0000003_docked,-28.8769,29.3756,1.70087,-5.24741,-0.921766,0,-18.3699,645.868,1,0.621411,5,0.274211,0.706521,0.293479,3105,818,842,24,173,46,45,1,781,197,212,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,39.0,13.0,0.0,4.0,22.0,-190816.494194,1.0,24.0,0.0,0.0,0.0,0.0,-1.8,36.33,0.25,64.63,397.50,6.139510134807105,6.255573246253752,5.743543524531026,5.945753683150184,6.360224124888095,7.234006192475216,6.966700000000002,-8.030199658535624,1,6.00292071817
GSK3B_actives0000004_docked,-25.1184,34.8537,12.97,-3.13719,0,0,1.21593,809.024,0,0.617885,6,0.332409,0.692525,0.307475,2605,693,737,30,1609,441,449,14,357,92,95,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33.0,15.0,0.0,21.0,9.0,-5748.53429496,3.0,10.0,0.0,0.0,1.0,0.0,-6.8,45.66,0.38,152.91,522.26,6.231029193496214,7.754689926517924,7.317256486957482,7.504848709235209,3.720066390745323,5.3364941782747755,6.149999999999999,-6.02829216221905,1,6.11085637442
GSK3B_actives0000005_docked,-30.743,3.98332,11.1201,2.34817,0,0,-16.9072,929.365,0,0.61091,6,0.34401,0.716695,0.283305,4276,1155,1213,40,754,197,210,7,508,130,147,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,33.0,11.0,0.0,13.0,19.0,-719.228643648,1.0,22.0,0.0,0.0,0.0,0.0,-1.5,51.36,0.18,93.78,642.28,6.623253017696653,7.870763296314803,7.68198124519925,7.443281765512266,4.435063107246401,5.0495399075851894,7.125500000000004,-9.80049388345296,1,5.98213069639
GSK3B_actives0000006_docked,-28.9891,45.5625,8.1855,-6.26926,-1.56215,0,-5.38056,731.629,1,0.632137,6,0.267203,0.682645,0.317355,2379,611,638,20,707,191,188,5,655,177,169,6,0,0,0,0,0,0,0,0,162,42,42,1,0,0,0,0,0,0,0,0,0,0,0,0,9.0,27.0,12.0,0.0,18.0,7.0,-174990.522683,2.0,15.0,0.0,0.0,0.0,0.0,-3.0,45.60,0.17,109.07,396.93,6.943706517579533,7.214198665223664,6.742442605894105,6.9781559058719,5.248932841738148,5.953059262654253,6.388399999999999,-6.54177322589237,1,5.98745390935
GSK3B_actives0000007_docked,-32.3204,5.89098,6.64058,-4.84128,0,0,-29.7039,1017.21,0,0.591057,7,0.26376,0.697554,0.302446,4413,1200,1258,39,625,160,180,7,748,200,204,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.0,17.0,0.0,15.0,9.0,-284458.70564,0.0,24.0,0.0,0.0,0.0,2.0,-1.8,51.57,0.29,79.95,662.61,7.044778990641899,7.874555069819068,7.641908772893772,7.449405442279944,7.403508940658359,6.793902793549446,7.061699999999998,-8.498424887182548,1,5.96992271428
GSK3B_actives0000008_docked,-26.1031,3.99439,10.4717,-3.62263,0,0,-18.6304,928.391,0,0.600224,2,0.333018,0.66846,0.33154,4031,1127,1189,37,830,227,241,7,456,125,133,4,197,53,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,18.0,15.0,0.0,10.0,8.0,-105142.225924,1.0,15.0,0.0,0.0,0.0,0.0,3.1,62.23,0.29,91.95,667.19,7.2964241682331785,8.043353010767008,7.656086143467645,7.561633066711068,3.6562889644799275,5.5289737636450464,5.9659999999999975,-9.073848524369142,1,6.01071429418
GSK3B_actives0000009_docked,-42.8839,9.33987,14.1065,-13.913,-0.664432,-1.33944,-40.9993,918.574,2,0.610958,7,0.320713,0.671184,0.328816,4144,1113,1160,33,734,200,204,6,645,176,183,6,133,37,33,1,0,0,0,0,120,36,35,1,161,44,50,1,0,0,0,0,0,0,0,0,22.0,39.0,25.0,0.0,17.0,24.0,-159896.081725,3.0,28.0,0.0,0.0,0.0,0.0,-1.7,66.47,0.17,124.18,647.27,8.34299184811575,8.037446130092132,7.9399883113275544,7.779260438672436,10.639871586936835,9.45653355445121,7.036000000000001,-9.480724411424827,1,6.05051431991
GSK3B_actives0000010_docked,-44.4885,10.3878,13.3035,-13.7117,-1.76507,-1.06302,-43.1764,927.91,2,0.632252,6,0.302834,0.637128,0.362872,4140,1105,1164,33,904,249,256,8,349,91,93,3,0,0,0,0,0,0,0,0,186,48,48,2,0,0,0,0,0,0,0,0,0,0,0,0,3.0,80.0,29.0,0.0,31.0,18.0,-53013.5104757,4.0,30.0,0.0,0.0,0.0,0.0,-2.0,54.50,0.08,89.76,561.67,6.884645316080492,8.360772659285159,7.979554420829162,7.91816438561439,8.884032770295601,8.579047111871137,7.492700000000002,-8.680565554075335,1,6.04616548142
