Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
HDAC2_actives0000001_docked,-27.3172,37.8223,11.7873,-19.6889,0,0,-16.0626,645.086,0,0.714714,2,0.431446,0.128517,1.12852,2523,682,703,50,316,91,96,6,493,145,148,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,99.0,0.0,0.0,8.0,3375.32991731,5.0,28.0,0.0,0.0,1.0,2.0,-6.8,37.65,0.24,78.43,499.92,7.545924611982782,6.3780095171495175,6.035087357586858,6.19928521717171,4.852273159381118,5.915127246761186,6.267000000000003,-6.696809097010629,1,5.97285061662
HDAC2_actives0000002_docked,-30.2611,28.4093,18.3948,-18.9706,0,0,-17.4904,711.551,0,0.706547,5,0.405727,0.248459,0.751541,2179,591,609,45,439,118,127,7,509,148,149,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,99.0,0.0,0.0,23.0,12338.4688369,3.0,32.0,0.0,0.0,0.0,2.0,-7.4,35.11,0.28,91.32,477.34,7.0710163843755,6.583774221278721,6.330568948329441,6.245613359584858,5.5185509772138985,6.7188481877462385,5.7984,-6.618021190529163,1,6.01183972423
HDAC2_actives0000003_docked,-27.208,32.6367,15.8253,-18.9257,0,0,-14.3716,677.722,0,0.714397,3,0.436987,0.947543,0.0524575,1915,533,538,40,319,92,97,5,508,146,148,9,93,25,22,2,0,0,0,0,0,0,0,0,100,23,24,2,0,0,0,0,0,0,0,0,0.0,0.0,96.0,0.0,0.0,13.0,-39910.4347803,4.0,26.0,0.0,0.0,0.0,2.0,-6.8,39.05,0.33,78.43,446.33,7.5248065028142745,6.109496401598401,5.96882408241758,5.828991730880225,5.593865428517515,6.292049888403375,6.4910000000000005,-6.134155832753608,1,5.98207138227
HDAC2_actives0000004_docked,-28.6346,16.4632,14.505,-20.9183,0,0,-27.7464,696.512,0,0.723229,4,0.427129,0.0189111,0.981089,2235,604,628,45,318,92,98,5,510,146,145,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,94.0,0.0,0.0,18.0,-78270.2393839,4.0,26.0,0.0,0.0,1.0,2.0,-7.0,31.41,0.33,78.43,487.63,7.800046784394989,6.039095560106565,5.940075874347871,5.926897652958153,6.183167710574969,6.60875921419822,6.464200000000002,-5.921050673765113,1,5.97351526564
HDAC2_actives0000005_docked,-30.355,5.7303,9.55215,-4.48017,-0.687518,0,-23.2071,778.691,1,0.720181,8,0.480655,0.35311,1.35311,2605,685,730,42,434,115,115,7,622,160,173,8,0,0,0,0,0,0,0,0,348,100,103,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,75.0,0.0,0.0,13.0,32755.666495,2.0,21.0,0.0,0.0,0.0,0.0,-5.7,45.89,0.62,142.70,777.22,7.1062904353255005,7.025519227550224,7.048506831529587,7.160025745310246,7.135616520410898,7.047027359887472,6.202400000000001,-7.075654336140435,1,5.96728565502
HDAC2_actives0000006_docked,-36.5656,23.659,16.6003,-26.463,-0.633581,0,-36.6126,1003.94,1,0.700056,5,0.459313,0.166828,1.16683,3765,986,1059,63,590,153,167,10,663,183,199,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,101.0,0.0,0.0,37.0,-47025.5284363,3.0,34.0,0.0,0.0,1.0,2.0,-4.4,69.90,0.31,148.34,919.64,7.507757730850839,8.043484627039629,7.035060596847596,7.374085816017313,4.794101821106754,6.358589302569878,6.809700000000003,-7.15630234784565,1,5.96885012207
HDAC2_actives0000007_docked,-34.5558,9.10798,23.9484,-3.43706,0,0,-10.9961,754.993,1,0.722041,8,0.395369,0.59689,0.40311,2894,811,829,59,976,286,284,19,729,203,201,13,0,0,0,0,0,0,0,0,135,40,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,125.0,0.0,0.0,37.0,-164767.383941,4.0,31.0,0.0,0.0,1.0,0.0,-2.1,48.76,0.21,115.73,539.28,7.954742997746895,7.554899579753582,7.583093317238317,7.53970378088578,5.902770641876574,5.980976204154669,6.331299999999998,-8.963795647136672,1,6.07528482068
HDAC2_actives0000008_docked,-33.3935,8.75845,16.7579,-25.1119,-0.620916,0,-39.3086,790.963,1,0.716376,5,0.421542,0.386232,0.613768,2982,817,835,52,508,139,142,7,708,198,199,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,91.0,0.0,0.0,20.0,-130177.679497,3.0,29.0,0.0,0.0,0.0,0.0,-5.8,50.81,0.29,105.60,623.00,7.700968726825751,7.838610717171726,6.857959792318787,6.8115884352869305,6.641459806033583,5.786627116960443,6.3659,-6.329607395710833,1,6.00063507423
HDAC2_actives0000009_docked,-40.8864,9.36511,10.6489,-5.91143,0,-0.104341,-33.3047,828.478,1,0.730495,13,0.354307,0.682182,0.317818,4395,1221,1202,78,555,164,160,9,463,130,122,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,2.0,141.0,0.0,0.0,31.0,-31590.3024984,4.0,40.0,1.0,0.0,1.0,0.0,-3.0,47.28,0.09,93.45,532.19,7.780959761915876,7.869619591075595,7.860845459873461,7.657950213175718,7.513030842356254,8.088351440062556,6.991499999999999,-8.463334852914668,1,6.04370897846
HDAC2_actives0000010_docked,-34.251,8.34468,13.0174,-9.68184,0,-1.61847,-29.4657,934.901,1,0.735467,7,0.433773,0.00369717,1.0037,3423,915,951,60,553,146,151,12,477,124,126,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,84.0,0.0,0.0,15.0,-139078.540382,2.0,30.0,0.0,0.0,1.0,0.0,-8.9,41.05,0.46,100.21,718.83,7.204076326193567,7.583739171384172,7.037253110056612,7.053391989898986,4.100134450797621,4.7509467059598345,6.511600000000002,-6.241792632711966,1,5.98319947358
