Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
HIV1PR_actives0000001_docked,-2.06044,1.4736,2.44317,-1.67704,0,0,-0.232285,95.4392,0,0.709149,0,0.952489,0.153247,0.846753,661,213,253,0,111,35,41,0,50,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0,0.0,0.0,0.0,-45206.7502613,0.0,0.0,0.0,0.0,1.0,0.0,-8.2,73.17,0.42,165.06,1025.38,3.553639563635528,3.5396836441336466,3.6957179245754257,3.93754748834499,1.0182518813249015,3.4992273158128153,3.6285000000000007,-0.417062187626834,1,6.6697794499
HIV1PR_actives0000002_docked,-40.7267,63.6779,10.3886,-0.0830151,0,0,2.31165,1213.28,0,0.622851,11,0.415748,0.720064,0.279936,3904,996,1133,3,596,148,170,2,539,140,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41.0,33.0,0.0,35.0,18.0,-253232.069794,4.0,36.0,0.0,0.0,0.0,0.0,-3.4,65.62,0.40,145.44,1049.27,7.555640846435719,7.183681932900443,6.85564871428571,7.425078672882672,4.265941199478213,5.533079392617669,7.482099999999999,-6.994828312379792,1,6.01981684673
HIV1PR_actives0000004_docked,-25.8105,35.3484,10.3645,-2.67402,0,0,0.618697,897.258,0,0.610803,4,0.47013,0.726198,0.273802,2895,769,870,8,188,49,56,0,515,143,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.0,9.0,0.0,16.0,24.0,-119956.67011,2.0,25.0,0.0,0.0,0.0,0.0,-3.1,62.95,0.39,117.12,819.75,5.6917099083586535,6.106638077533583,5.596691674325671,5.7474822950937945,2.986890298474273,4.6871045500517186,7.695200000000005,-5.422996383937324,1,5.94845919219
HIV1PR_actives0000005_docked,-43.2779,27.5064,15.7534,-8.5856,0,0,-23.5002,1223.36,0,0.656933,8,0.431089,0.681886,0.318114,4272,1091,1191,8,738,184,206,2,658,166,178,1,0,0,0,0,0,0,0,0,159,42,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.0,34.0,0.0,13.0,34.0,-352045.410861,3.0,28.0,0.0,0.0,0.0,0.0,1.0,81.99,0.43,168.30,1158.71,7.505179570759347,7.801063440004427,7.550277137945382,7.814477683261188,8.73985929570225,7.60272628144757,8.263699999999998,-8.049200548125636,1,5.98556929805
HIV1PR_actives0000008_docked,-32.2414,5.87181,9.68713,-5.30576,0,0,-26.7551,1107.99,0,0.576719,5,0.498924,0.765683,0.234317,3770,930,1026,2,529,143,141,0,467,119,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.0,65.0,0.0,10.0,10.0,-20972.1007823,1.0,42.0,0.0,0.0,2.0,0.0,1.9,82.47,0.30,188.44,1149.70,5.905572996643258,7.021878154512161,6.401043132756132,6.789497892385391,7.088718775798709,6.721848873441855,6.792899999999999,-5.628050392381516,1,5.96512958203
HIV1PR_actives0000009_docked,-37.2609,49.4985,16.2421,-14.6355,-1.39155,0,-10.3547,982.859,3,0.641587,10,0.38841,0.614952,0.385048,3335,884,973,7,411,113,122,1,510,136,155,1,0,0,0,0,0,0,0,0,160,41,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.0,42.0,0.0,16.0,41.0,-339762.639948,9.0,22.0,0.0,0.0,0.0,0.0,-6.8,59.17,0.35,150.62,837.17,7.458204967182563,7.211923785991787,6.959209450160949,6.970183170190924,5.96274962942238,5.726226252450286,7.4708,-7.353900882944132,1,5.99538040573
HIV1PR_actives0000010_docked,-34.1669,7.5651,8.40106,-12.2661,-2.01731,0,-37.4662,1094.99,1,0.640726,3,0.399048,0.716501,0.283499,3355,863,944,0,215,57,60,0,591,157,164,0,0,0,0,0,0,0,0,0,0,0,0,0,137,39,39,0,0,0,0,0,0,0,0,0,0.0,38.0,38.0,0.0,2.0,18.0,-113961.299811,3.0,37.0,0.0,0.0,0.0,0.0,-1.6,69.57,0.21,107.89,800.17,6.648076519882837,6.450074809856809,6.745219008214004,6.8227696370851305,6.620636973293358,6.113170573014381,6.863033333333334,-7.253084963426498,1,5.97773966712
HIV1PR_actives0000011_docked,-35.9831,18.0046,17.5565,-3.7573,0,0,-15.6337,1123.7,0,0.609152,6,0.415804,0.738252,0.261748,3227,802,857,8,916,232,248,1,631,166,173,0,0,0,0,0,0,0,0,0,227,55,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.0,54.0,0.0,13.0,28.0,-155965.02705,5.0,27.0,0.0,0.0,0.0,1.0,1.9,70.78,0.47,226.64,1020.49,6.446790059352358,7.261229304750811,7.114745332592241,7.290758160173157,4.87996709601099,4.6735360857526285,6.784200000000003,-6.087593193822746,1,5.98149912766
HIV1PR_actives0000012_docked,-13.5285,28.816,4.43507,-5.48017,-1.31285,0,0.452643,534.459,1,0.593396,2,0.472981,0.714801,0.285199,1788,472,508,0,307,81,83,0,149,42,41,0,0,0,0,0,0,0,0,0,84,25,23,0,141,34,41,1,0,0,0,0,0,0,0,0,0.0,22.0,17.0,0.0,0.0,4.0,-73808.8942685,4.0,9.0,0.0,0.0,0.0,0.0,-4.0,43.30,0.00,78.61,426.64,5.1222211341881625,5.003239204628705,4.756209914252414,5.1475939617604585,2.1285479194667722,3.8026720780975722,5.5015,-4.938776056298444,1,5.95
HIV1PR_actives0000013_docked,-29.1133,7.51153,5.82672,-4.68626,-0.000965994,-1.55816,-26.1163,949.622,2,0.592317,6,0.432825,0.679423,0.320577,3823,1018,1125,5,338,91,93,0,383,99,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41.0,17.0,0.0,6.0,16.0,-123888.405791,3.0,26.0,0.0,0.0,0.0,0.0,-.8,69.01,0.31,98.74,939.14,6.561550383944116,7.384957466477961,6.984519429070933,7.128258253968251,4.623609745503426,5.535448177508732,7.252699999999999,-7.2025188897694274,1,5.96367805611
HIV1PR_actives0000014_docked,-20.3832,11.3129,1.96013,1.38472,0,0,-12.0412,718.944,0,0.591318,3,0.452825,0.744964,0.255036,2469,648,716,1,198,53,52,0,376,93,102,0,0,0,0,0,0,0,0,0,103,29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.0,35.0,0.0,0.0,5.0,-88395.2741624,2.0,22.0,0.0,0.0,0.0,0.0,-2.2,43.54,0.38,75.71,636.66,5.556764239025586,5.37813883039183,5.32939576418027,5.522050771117776,3.8366890115262176,5.78080755996016,6.240099999999997,-5.67079017822866,1,5.95000001024
