Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
HIV1RT_actives0000001_docked,-28.565,3.26029,2.554,-2.7403,-1.38274,0,-28.9293,819.659,1,0.41193,9,0.279561,0.837094,0.162906,3149,697,745,2,1074,250,271,0,493,113,120,0,0,0,0,0,0,0,0,0,182,40,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,31.0,3.0,0.0,13.0,0.0,-129721.275259,2.0,20.0,0.0,0.0,0.0,0.0,1.0,55.19,0.22,118.52,530.60,6.9773464543294015,7.548972306027306,7.122171511266513,7.482084616161619,5.447145099117823,5.551936232624106,7.0435000000000025,-7.420568653508164,1,6.01476868163
HIV1RT_actives0000002_docked,-27.5689,5.14386,2.06008,-3.86284,-1.72649,0,-29.3629,721.25,1,0.498902,4,0.36204,0.871945,0.128055,3054,703,719,4,542,121,125,0,603,135,146,1,212,50,51,0,0,0,0,0,0,0,0,0,124,26,25,0,0,0,0,0,0,0,0,0,0.0,46.0,0.0,0.0,13.0,2.0,4238.05658851,1.0,28.0,0.0,0.0,0.0,0.0,-.1,47.14,0.25,72.48,471.67,7.5943639324125725,7.240360275890773,6.75097713031413,6.9760471240981134,3.9143154918962306,5.69450699463408,6.622799999999999,-7.560530759774148,1,5.99911011835
HIV1RT_actives0000003_docked,-30.93,15.8928,2.35464,-2.9335,-0.334841,0,-23.6157,751.573,1,0.510403,4,0.346555,0.877728,0.122272,3985,891,887,6,385,88,87,0,554,121,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,59.0,3.0,0.0,17.0,0.0,-60193.3332405,2.0,46.0,1.0,0.0,0.0,0.0,-3.3,42.11,0.27,58.64,526.39,7.577423921251409,7.113029609557106,6.901866895659898,6.898715918914411,6.180547163640837,6.661203035940627,6.472300000000001,-9.300874992137778,1,5.99853573152
HIV1RT_actives0000004_docked,-34.4454,9.57675,4.37514,-1.77948,0,0,-28.4356,795.516,0,0.495431,7,0.316587,0.889627,0.110373,3515,790,809,4,932,215,214,3,221,52,57,0,190,41,48,0,0,0,0,0,188,45,45,1,0,0,0,0,114,25,29,0,0,0,0,0,0.0,79.0,8.0,0.0,3.0,3.0,-21182.9952831,0.0,42.0,1.0,0.0,0.0,0.0,1.9,50.73,0.11,62.19,499.78,6.092091877628114,7.904966765179266,7.385759994894002,7.603535499278499,6.935943196464375,6.437386221300631,6.319900000000003,-8.496700258018029,1,6.02065473108
HIV1RT_actives0000005_docked,-35.3127,8.97046,9.57024,2.85573,0,0,-19.1187,1080.14,0,0.459481,9,0.396657,0.77576,0.22424,4938,1099,1180,0,899,199,212,0,987,223,237,0,0,0,0,0,0,0,0,0,206,45,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,49.0,5.0,3.0,13.0,15.0,44688.7572224,1.0,26.0,1.0,0.0,1.0,0.0,-2.0,72.19,0.46,171.22,1036.08,7.915451576416645,8.174004588189593,7.543140276112778,7.718159186036191,5.783576767760177,6.383304304013493,6.425,-6.553767585031785,1,6.00314862567
HIV1RT_actives0000006_docked,-32.483,9.00664,3.54458,-8.14412,0,-0.365634,-34.1047,856.368,1,0.522155,6,0.354248,0.864732,0.135268,4593,1027,1099,8,824,189,192,2,554,120,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,80.0,1.0,0.0,3.0,2.0,-413214.151281,1.0,51.0,1.0,0.0,0.0,2.0,-1.7,54.78,0.19,95.86,650.28,7.206825707455496,7.533476878066381,7.369731782384284,7.570190174159175,5.463738909001464,6.201467761203475,7.219799999999997,-9.980153559446592,1,5.98815623975
HIV1RT_actives0000007_docked,-28.6937,5.88984,-4.25447,1.07579,0,0,-31.0145,698.172,0,0.461503,5,0.286138,0.89193,0.10807,3145,715,756,3,377,83,88,2,181,41,39,1,0,0,0,0,0,0,0,0,214,50,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,72.0,3.0,0.0,6.0,1.0,-3291.74901805,0.0,23.0,1.0,0.0,0.0,0.0,-1.1,34.19,0.31,59.14,431.28,7.148397162292244,7.052959272449774,6.656216337717836,6.918002822510819,6.977482925802456,5.91943146753119,6.2358,-8.178503847742032,1,6.01256205811
HIV1RT_actives0000009_docked,-29.8463,7.36367,-1.52493,-0.172365,0,0,-28.9296,706.662,0,0.511134,3,0.319415,0.928615,0.0713848,3176,709,742,7,581,134,142,1,365,82,87,0,0,0,0,0,0,0,0,0,0,0,0,0,349,74,79,1,0,0,0,0,0,0,0,0,0.0,65.0,2.0,0.0,10.0,5.0,-25306.8643745,0.0,43.0,2.0,0.0,0.0,0.0,-1.4,44.85,0.25,71.18,442.09,7.891318117304834,7.755998097402593,7.356669250138752,7.236363394327895,7.093800203164466,6.186016511131974,6.382500000000002,-8.970322507694375,1,6.02459797731
HIV1RT_actives0000010_docked,-24.5116,4.67109,2.61291,-3.08637,-0.44513,0,-23.8364,700.036,1,0.464785,5,0.304841,0.909261,0.0907391,3144,716,730,10,460,100,104,0,593,132,142,0,166,36,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,57.0,1.0,0.0,11.0,1.0,-24219.2241974,1.0,29.0,1.0,0.0,0.0,0.0,1.1,44.23,0.12,86.86,396.38,7.900682510256151,6.901004119935616,6.56651415823066,6.610243643578638,5.144295672013594,4.711706554088575,6.736500000000001,-8.868311176999399,1,5.96758862354
HIV1RT_actives0000011_docked,-36.2302,10.5591,0.990397,-2.12918,0,0,-32.4636,938.821,0,0.479266,5,0.352441,0.874729,0.125271,4612,1035,1084,6,204,44,45,1,1195,265,287,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,59.0,0.0,0.0,13.0,2.0,-52214.6879984,0.0,27.0,0.0,0.0,0.0,0.0,-2.3,54.45,0.35,91.37,691.71,7.632616600694549,6.888029952380951,6.945431289821294,7.298553875901879,5.941143411860219,5.48199769072353,6.537499999999998,-8.716514860123546,1,6.0147312745
