Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
HMGR_actives0000001_docked,-25.9519,5.37168,18.3243,-17.6,0,-6.20461,-28.1182,902.421,5,0.700165,3,0.344765,0.547609,0.452391,3319,1103,1178,97,131,43,48,2,728,231,255,20,128,38,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,26.0,45.0,5.0,0.0,4.0,-601973.797536,7.0,17.0,0.0,0.0,0.0,2.0,-3.2,43.61,0.52,82.69,651.81,6.7960296949947665,6.8741628120768095,6.248941644300149,6.233107995892998,5.396758654972673,6.781369670408544,5.445100000000001,-5.313347843129136,1,6.18407150818
HMGR_actives0000002_docked,-33.2161,5.9578,24.3166,-20.8255,0,-6.13956,-32.4966,897.609,6,0.697743,4,0.356214,0.580746,0.419254,3757,1238,1311,108,130,42,48,2,734,235,257,18,143,47,45,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,26.0,55.0,5.0,0.0,7.0,-772027.041177,7.0,21.0,0.0,0.0,0.0,2.0,-5.1,49.72,0.35,82.69,665.32,7.617063065591829,7.176223526362521,6.931360089466092,6.756676091852598,6.101009830037779,7.305468414235944,7.005100000000002,-6.415371687610393,1,7.29469975187
HMGR_actives0000003_docked,-23.8448,5.37573,13.7042,-14.8724,0,-3.31209,-25.6813,887.818,4,0.693794,7,0.350049,0.569581,0.430419,3572,1150,1265,98,122,35,41,3,693,224,248,18,155,51,52,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,22.0,27.0,9.0,0.0,2.0,-602261.885777,3.0,14.0,0.0,0.0,0.0,3.0,-4.9,50.11,0.27,82.69,637.68,7.0186894816619585,6.9496966201576145,6.645247810300814,6.326550436951939,4.504884268169171,5.100252210750796,6.830350000000001,-6.529473305250855,1,6.37356929213
HMGR_actives0000004_docked,-31.9316,5.20555,27.3849,-21.6604,0,-6.16539,-29.612,899.008,6,0.703569,4,0.369877,0.572971,0.427029,3715,1226,1310,108,128,42,49,2,732,237,257,18,144,46,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,25.0,54.0,4.0,0.0,7.0,-753483.738671,7.0,19.0,0.0,0.0,0.0,2.0,-5.6,43.61,0.58,82.69,713.29,7.52735541719357,7.147407879176371,6.91448387950938,6.677253246975253,7.068166297749254,8.053618588395294,6.871,-6.315577381282934,1,6.98145357458
HMGR_actives0000005_docked,-16.6585,1.98509,10.4757,-11.3267,0,-2.23573,-18.1695,850.489,2,0.686037,5,0.342344,0.513149,0.486851,3005,991,1084,91,101,33,41,3,673,227,242,18,156,49,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,29.0,9.0,2.0,0.0,1.0,-454635.840325,2.0,8.0,0.0,0.0,0.0,3.0,-1.5,44.01,0.43,82.69,623.60,6.15571936051625,6.312813383838387,5.964732990218932,6.0690020205905295,3.5502665887930935,4.88575794585722,6.036999999999997,-5.2440047818570585,1,6.08513807651
HMGR_actives0000006_docked,-23.9571,4.3933,20.0189,-16.7056,0,-2.93842,-20.5966,885.491,3,0.700617,5,0.36959,0.550194,0.449806,3531,1156,1250,99,117,35,40,4,724,238,256,18,151,51,51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,25.0,42.0,7.0,0.0,6.0,-632346.479378,4.0,11.0,0.0,0.0,0.0,2.0,-5.0,44.01,0.50,82.69,685.63,6.9920898483693446,6.912843730547224,6.623151085192589,6.248261235708741,4.734031231071609,5.5205248920706405,6.7841000000000005,-5.673530925853282,1,6.34449726183
HMGR_actives0000007_docked,-29.7295,10.2096,18.2412,-1.93264,0,0,-8.83571,1140.92,0,0.673588,5,0.365105,0.544031,0.455969,4312,1418,1536,149,360,114,124,15,790,240,285,28,77,25,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,6.0,37.0,7.0,0.0,28.0,147596.316533,2.0,14.0,0.0,0.0,0.0,0.0,-3.3,71.38,0.29,135.58,862.81,6.297002243120103,7.775869480796976,7.242569187867691,7.478208915362426,6.609347315138705,6.506317235832968,6.364,-6.116590832631148,1,6.31135797185
HMGR_actives0000008_docked,-24.9494,3.21485,20.3559,-19.93,0,-5.66215,-27.8599,862.766,6,0.702892,3,0.343578,0.566051,0.433949,3053,1019,1086,92,133,44,47,2,738,235,258,18,128,40,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,16.0,51.0,3.0,0.0,6.0,-696774.090395,7.0,13.0,0.0,0.0,0.0,2.0,-4.2,43.61,0.48,82.69,591.31,6.58026503337521,6.390021612554113,5.940523588023086,6.058627226051726,4.893821330222985,5.843311939840148,5.649800000000002,-5.487913669757105,1,6.06379305431
HMGR_actives0000009_docked,-25.0311,5.79298,15.8564,-14.2191,-0.404056,0,-21.6198,1079.19,1,0.691604,8,0.367059,0.544148,0.455852,3919,1333,1436,129,237,83,91,9,1074,345,386,31,63,20,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,9.0,26.0,1.0,0.0,27.0,-453502.711827,3.0,16.0,0.0,0.0,1.0,3.0,-1.5,73.69,0.26,149.09,854.83,6.219605772483659,7.391159699245201,6.882974942168947,6.5530929993895,4.865263161263073,5.77678543049825,6.293099999999998,-5.465749096055399,1,6.131073461
HMGR_actives0000010_docked,-40.522,53.2117,23.8158,-12.8146,-0.83212,0,-1.3164,1253.56,2,0.684643,12,0.293454,0.530666,0.469334,4898,1631,1725,180,442,148,158,16,989,291,349,33,187,60,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,13.0,62.0,6.0,0.0,56.0,-601551.878226,6.0,22.0,0.0,0.0,0.0,0.0,-.8,79.13,0.31,132.10,929.89,8.31095343612094,7.817923742424249,7.600269718226216,7.503364631424136,7.320396054110859,5.893651431501846,6.407699999999998,-7.301333375111701,1,7.15079696383
