Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
HSP90_actives0000001_docked,-37.2104,13.4494,6.67014,0.150213,0,0,-24.5967,1028.52,0,0.651527,11,0.294531,0.732618,0.267382,4826,1177,1440,46,564,135,163,6,847,192,230,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,47.0,20.0,21.0,0.0,0.0,-100180.007573,1.0,34.0,1.0,0.0,0.0,0.0,-3.0,48.07,0.41,98.83,703.13,7.98904761805206,7.845589517205017,7.519981448995445,7.814878890276395,8.818170070120175,7.3997165126324616,7.567000000000004,-8.3791028305453,1,5.99488542692
HSP90_actives0000002_docked,-40.462,12.3209,1.83817,-3.69404,0,0,-36.4329,966.77,0,0.661383,4,0.317994,0.755103,0.244897,5120,1227,1472,46,573,138,176,5,979,230,272,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,60.0,0.0,13.0,0.0,0.0,3454.34454167,1.0,30.0,1.0,0.0,0.0,0.0,-2.3,52.07,0.41,108.06,722.74,7.979359187968521,7.764242096736597,7.651718714785214,7.8248681302586345,8.925870036031636,7.209169109596458,7.132000000000001,-8.619368173113273,1,5.99590436884
HSP90_actives0000003_docked,-36.6155,8.69452,0.6878,-1.34426,0,0,-33.5113,1087.55,0,0.685427,7,0.287639,0.719388,0.280612,5226,1248,1486,46,495,121,145,4,632,177,197,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,29.0,22.0,24.0,0.0,1.0,-90366.5230337,2.0,34.0,1.0,0.0,0.0,0.0,.8,48.07,0.43,98.83,737.05,7.890290459613349,8.226744617993115,8.118170615384615,7.791602798590302,7.691223307227617,6.696636763077629,7.3149,-10.174427285704759,1,5.98052198945
HSP90_actives0000004_docked,-45.2141,16.3221,10.5447,-1.53989,0,0,-29.6186,1013.39,0,0.692829,12,0.288737,0.729514,0.270486,4230,1009,1215,40,535,128,149,5,1122,276,314,10,0,0,0,0,0,0,0,0,202,48,55,2,211,49,62,2,0,0,0,0,0,0,0,0,38.0,54.0,30.0,29.0,0.0,2.0,-156698.637409,2.0,45.0,1.0,0.0,2.0,0.0,-2.6,59.43,0.27,141.76,664.49,7.927161795462139,7.342069701164849,7.636619553613056,7.36279642252193,7.98398081962366,6.019863312984603,6.768899999999999,-9.378460163887414,1,5.9914097608
HSP90_actives0000005_docked,-34.034,6.59769,8.83879,0.862916,0,0,-21.9213,940.741,0,0.650439,7,0.304795,0.709708,0.290292,3393,843,1034,31,1073,283,323,10,226,54,58,3,0,0,0,0,0,0,0,0,184,48,57,2,0,0,0,0,0,0,0,0,193,39,51,2,47.0,45.0,0.0,2.0,6.0,0.0,-118449.589814,2.0,35.0,1.0,0.0,0.0,0.0,-1.6,37.17,0.47,89.49,618.13,7.539589617182268,8.603309655566656,7.9969275549450485,7.606727383838381,5.345200199587822,5.902184820230832,6.142499999999999,-7.151136871075797,1,6.10206795325
HSP90_actives0000006_docked,-29.5201,4.62807,4.79708,-6.49905,0,-0.653323,-32.0856,710.66,1,0.681036,6,0.303667,0.819602,0.180398,2849,687,830,29,1154,293,341,10,226,49,57,3,0,0,0,0,0,0,0,0,0,0,0,0,170,47,56,2,0,0,0,0,0,0,0,0,51.0,42.0,1.0,2.0,3.0,0.0,-363151.117015,0.0,36.0,1.0,0.0,0.0,0.0,-1.0,39.99,0.29,91.74,423.75,6.761904810461234,8.203778611832615,7.580968384892891,7.529167994394488,6.203152045758417,7.140004867918864,7.644799999999998,-8.365467872823954,1,6.1745423151
HSP90_actives0000007_docked,-38.8345,49.8852,13.9604,-8.46425,-1.97052,-1.0397,-10.6138,979.146,2,0.671009,9,0.278759,0.755475,0.244525,4189,1031,1257,36,521,121,147,5,951,214,253,9,0,0,0,0,0,0,0,0,0,0,0,0,223,51,57,3,0,0,0,0,0,0,0,0,31.0,12.0,53.0,25.0,1.0,15.0,-28548.6249991,5.0,30.0,2.0,0.0,0.0,0.0,-1.1,54.04,0.30,108.06,623.57,8.822725540344921,7.521999426661577,7.41778846742147,7.34100978604729,7.3357271413074026,7.038587811769751,6.889499999999997,-10.007556564031443,1,6.04676650905
HSP90_actives0000008_docked,-31.7345,18.9542,8.08273,-3.16541,0,-1.08804,-19.2749,827.292,1,0.628876,8,0.247729,0.637806,0.362194,3609,866,1069,33,518,119,151,5,796,180,219,7,0,0,0,0,0,0,0,0,0,0,0,0,228,51,58,3,0,0,0,0,0,0,0,0,27.0,24.0,35.0,22.0,0.0,3.0,46964.5238216,4.0,23.0,1.0,0.0,0.0,0.0,0,49.13,0.16,107.47,500.06,7.75852183715737,7.663566379564886,7.208869032523031,7.3776407426462365,6.410693414856586,6.160754096154292,6.4558,-9.070332050984337,1,6.09214979678
HSP90_actives0000009_docked,-29.7682,6.62399,9.17564,-1.8158,0,-0.653751,-21.4891,1012.96,1,0.649892,8,0.292021,0.755743,0.244257,3829,977,1197,33,567,148,181,5,901,232,269,10,0,0,0,0,0,0,0,0,213,50,53,2,201,46,57,2,0,0,0,0,0,0,0,0,37.0,25.0,3.0,11.0,14.0,0.0,114041.405498,2.0,25.0,0.0,0.0,0.0,0.0,.9,57.90,0.30,135.62,660.47,6.791820143620152,7.297441084637588,7.13962658152958,7.369887284271286,5.191067030266156,5.818271929124257,7.144899999999996,-7.308660680033454,1,5.98151341513
HSP90_actives0000010_docked,-37.4254,35.0721,11.7562,-1.05121,0,0,-8.38718,1046.9,0,0.664694,2,0.308225,0.762709,0.237291,2864,738,901,25,1085,277,354,9,463,135,153,4,0,0,0,0,156,45,49,1,400,98,121,3,0,0,0,0,223,49,57,3,0,0,0,0,55.0,12.0,3.0,12.0,4.0,1.0,41332.4584912,0.0,26.0,2.0,0.0,0.0,0.0,.9,52.69,0.41,129.54,621.66,6.536899664077036,7.209878071428568,7.421221725968469,7.441960770396269,7.11487875943897,5.146811408088525,5.961099999999999,-7.042470152138775,1,6.10344178665
HSP90_actives0000011_docked,-30.2627,5.33046,16.2812,6.2694,0,0,-7.91164,966.721,0,0.629597,4,0.27194,0.693761,0.306239,3003,751,920,24,841,195,259,7,585,138,168,6,0,0,0,0,0,0,0,0,178,36,52,2,275,82,101,2,0,0,0,0,0,0,0,0,66.0,32.0,1.0,10.0,3.0,0.0,-180461.292085,2.0,12.0,0.0,0.0,0.0,0.0,.3,52.07,0.18,133.22,517.35,7.775402685571377,7.933005587301589,7.405258081307584,7.459206870185367,4.944354812867895,5.89515257265173,5.5812,-6.704910410867597,1,5.9739594795
HSP90_actives0000012_docked,-32.0502,6.7477,5.76315,-2.35715,0,0,-26.5032,928.611,0,0.648868,6,0.247077,0.765482,0.234518,3657,918,1061,33,562,140,167,5,796,190,225,8,0,0,0,0,0,0,0,0,0,0,0,0,208,44,57,2,0,0,0,0,0,0,0,0,32.0,45.0,2.0,7.0,2.0,0.0,-65240.3164636,1.0,24.0,1.0,0.0,0.0,0.0,1.7,43.02,0.32,90.99,519.71,7.609299522535946,7.741296623654126,7.161306225607728,7.317933956099455,6.985763023090851,6.7949225765966705,7.3159000000000045,-8.134788500423644,1,5.98282444553
HSP90_actives0000013_docked,-44.5326,26.8418,10.804,-2.96587,0,-0.611671,-23.7022,1042.53,1,0.656012,12,0.278326,0.721534,0.278466,4341,1029,1231,41,724,173,212,6,998,231,262,10,0,0,0,0,0,0,0,0,207,49,53,2,216,45,57,1,0,0,0,0,0,0,0,0,35.0,53.0,44.0,27.0,0.0,2.0,-422198.829347,4.0,38.0,1.0,0.0,1.0,0.0,-3.6,57.90,0.27,144.41,667.80,7.938986699362094,7.627925733354877,7.84624517587968,7.740172301587303,8.386370364075143,5.756017253894183,6.7747,-9.123413665497466,1,5.98919089822
HSP90_actives0000014_docked,-34.7457,6.39482,9.99031,0.198972,0,0,-22.0985,886.668,0,0.684841,7,0.270063,0.717624,0.282376,3319,819,999,30,1086,285,329,10,451,106,117,5,0,0,0,0,0,0,0,0,184,48,57,2,0,0,0,0,0,0,0,0,194,41,50,2,55.0,51.0,0.0,2.0,5.0,0.0,-60052.7282365,2.0,40.0,2.0,0.0,0.0,0.0,-2.2,41.35,0.44,98.72,572.46,7.546030719061591,8.239032897990898,7.95902074142524,7.594978086580088,6.426641908790684,6.674124371940498,6.651300000000003,-7.559030584041046,1,6.12446957265
HSP90_actives0000015_docked,-39.7227,10.4113,12.9052,-1.83161,0,0,-25.3492,1058.1,0,0.657649,5,0.268332,0.748584,0.251416,4031,956,1166,38,987,224,278,9,381,95,115,3,295,82,101,2,0,0,0,0,225,53,60,3,343,76,94,3,0,0,0,0,0,0,0,0,33.0,36.0,22.0,19.0,0.0,0.0,-84656.9236917,1.0,33.0,2.0,0.0,0.0,0.0,.8,58.17,0.41,93.37,655.42,8.548903832516547,8.210298136752138,8.00226173160173,8.031855988067484,5.8982473357982,7.494927806690469,7.5558,-9.231282688041906,1,5.99340249014
HSP90_actives0000016_docked,-24.2528,3.47322,3.148,1.94549,0,0,-19.4686,771.258,0,0.634389,7,0.251154,0.790241,0.209759,3176,808,986,29,389,95,113,4,516,139,160,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,37,51,1,0,0,0,0,30.0,26.0,3.0,4.0,13.0,1.0,-1721.12045298,2.0,16.0,1.0,0.0,0.0,0.0,.4,42.70,0.12,78.37,432.36,6.094471579639458,7.111724966089467,6.3531946004420385,6.701414052669555,4.049423902012759,4.722800288774164,6.4527,-7.910382364177687,1,5.95
HSP90_actives0000017_docked,-37.7761,50.5944,5.43986,0.470084,0,0,-5.13124,1059.59,0,0.661627,12,0.243093,0.706817,0.293183,4863,1192,1474,45,582,135,153,5,843,193,240,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,36.0,2.0,35.0,0.0,1.0,-167971.897351,1.0,39.0,1.0,0.0,0.0,0.0,-2.0,54.38,0.19,107.62,665.52,7.903901722143966,7.860907317349316,7.764250946053947,7.934384373903875,8.422858915087897,7.356141019198379,7.1427999999999985,-8.714829304991587,1,5.9806755252
HSP90_actives0000018_docked,-28.311,8.07884,5.52455,-4.2113,0,0,-23.3724,718.15,0,0.616344,4,0.287882,0.814163,0.185837,3477,834,1047,32,0,0,0,0,1030,245,298,8,0,0,0,0,0,0,0,0,0,0,0,0,202,45,56,2,0,0,0,0,0,0,0,0,42.0,19.0,0.0,2.0,0.0,0.0,-106457.314306,1.0,26.0,1.0,0.0,0.0,0.0,4.0,39.74,0.33,83.83,459.75,6.910160478107734,6.748004664502161,6.251369922799429,6.423168293650789,6.118220653793963,5.5379210287245035,6.609600000000001,-10.11895486287014,1,6.0812735896
HSP90_actives0000019_docked,-37.8953,7.02687,5.32786,0.16232,0,0,-30.9673,957.125,0,0.665868,5,0.259369,0.753255,0.246745,3742,900,1120,36,1005,244,280,10,378,89,110,3,0,0,0,0,0,0,0,0,216,52,65,3,348,82,101,3,0,0,0,0,0,0,0,0,48.0,47.0,0.0,6.0,0.0,0.0,-50069.5379266,0.0,29.0,2.0,0.0,0.0,0.0,.6,46.17,0.35,93.37,612.71,7.979866737830866,8.201271386446884,7.784462044622044,7.840690003441008,6.739316767185746,7.008804771657364,6.656200000000002,-7.839498345882019,1,5.99519220722
HSP90_actives0000020_docked,-28.7671,6.58068,5.45058,-3.74705,0,0,-24.4141,723.683,0,0.645726,3,0.276278,0.796381,0.203619,3752,854,1019,36,0,0,0,0,1017,245,291,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,18.0,0.0,5.0,0.0,0.0,-24129.4636873,0.0,26.0,1.0,0.0,0.0,0.0,2.0,30.55,0.56,83.83,496.89,6.940510632359972,5.937426975135978,6.578450283605288,6.44471853246753,5.878359951673336,6.596274328246246,6.735399999999999,-10.53953023753425,1,6.00587034956
HSP90_actives0000021_docked,-37.086,6.4952,12.2226,0.502207,0,0,-22.6013,901.099,0,0.678837,9,0.281157,0.75533,0.24467,3480,837,996,33,1091,255,289,11,346,95,110,3,218,50,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,48,67,2,18.0,51.0,22.0,5.0,2.0,0.0,15821.1150215,1.0,18.0,2.0,0.0,0.0,0.0,.5,51.69,0.33,86.69,492.90,6.621479166009671,7.907495849372847,7.4828063169053145,7.678749264679759,4.278234069730997,5.474502173594806,6.347900000000002,-8.397326562022098,1,6.02866436706
HSP90_actives0000022_docked,-33.6146,9.74988,12.2223,3.67791,0,0,-14.2199,873.459,0,0.640604,5,0.319746,0.732851,0.267149,3157,781,942,30,1306,333,399,13,0,0,0,0,0,0,0,0,0,0,0,0,394,96,121,3,211,47,57,2,0,0,0,0,0,0,0,0,45.0,54.0,4.0,0.0,12.0,4.0,-90543.1162502,1.0,32.0,2.0,0.0,0.0,0.0,-.9,42.12,0.29,94.54,503.51,7.264476140829087,7.688128828282827,7.61399065692641,7.623149640692644,6.209014780805476,5.100108571701935,6.650800000000001,-7.455892785716722,1,6.26700290489
HSP90_actives0000023_docked,-31.3429,4.57589,10.2156,3.15262,0,0,-18.0393,792.049,0,0.644462,3,0.305022,0.770102,0.229898,2747,679,827,23,831,189,236,8,206,47,60,2,0,0,0,0,0,0,0,0,219,49,62,2,297,83,102,3,0,0,0,0,0,0,0,0,28.0,26.0,2.0,14.0,3.0,0.0,-331028.984791,1.0,11.0,0.0,0.0,0.0,0.0,1.1,41.67,0.20,79.51,431.96,6.708429724257762,8.098442270673766,7.483917018759019,7.267762625874123,4.397345014970889,5.183815129923273,6.0696,-7.456149336233808,1,5.97262926391
HSP90_actives0000024_docked,-41.2506,43.2981,9.32624,-1.30765,0,0,-11.0606,1016.15,0,0.651407,12,0.330295,0.739851,0.260149,4941,1156,1404,49,780,186,208,8,654,149,169,7,357,107,139,3,0,0,0,0,0,0,0,0,190,45,61,1,0,0,0,0,0,0,0,0,67.0,33.0,0.0,37.0,0.0,1.0,-143293.88018,3.0,38.0,1.0,0.0,0.0,0.0,-.3,79.66,0.19,110.27,701.34,8.225486886169264,8.237774238428234,8.204555547397053,8.113556086302596,7.8211455523868905,6.818586888452133,7.001999999999998,-9.75410039334447,1,6.10116528983
