Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
IGF1R_actives0000001_docked,-29.4948,4.84348,9.97337,-6.39054,-1.02074,0,-26.5718,923.127,1,0.664828,6,0.389774,0.723916,0.276084,3303,872,1018,80,1146,300,352,29,411,108,126,11,0,0,0,0,0,0,0,0,214,49,63,6,0,0,0,0,0,0,0,0,0,0,0,0,6.0,30.0,6.0,2.0,29.0,11.0,-290300.491942,2.0,19.0,0.0,0.0,0.0,0.0,-2.9,56.54,0.28,141.50,704.42,7.127654250597438,7.515427095682101,7.569668665945171,7.478483042679544,5.882980260983552,6.276745204394488,7.382699999999996,-7.029415460804645,1,6.06498515415
IGF1R_actives0000002_docked,-36.3731,29.9561,8.75898,-8.6398,0,0,-22.4286,936.882,0,0.650207,11,0.328925,0.764208,0.235792,4344,1180,1335,123,1174,327,365,33,267,77,81,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44.0,19.0,0.0,40.0,13.0,-220531.236671,3.0,30.0,0.0,0.0,0.0,0.0,.6,50.69,0.32,89.62,728.99,8.195579827553534,7.5280066262071195,7.864531444166949,7.654035237373735,7.707150957151807,7.62739937788801,7.304399999999999,-9.47365905449854,1,6.47434115916
IGF1R_actives0000003_docked,-27.6278,5.76497,4.15769,-1.32716,0,0,-23.6852,903.726,0,0.641689,9,0.41015,0.780154,0.219846,3887,1057,1178,101,1032,275,318,23,237,70,76,5,141,41,44,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,25.0,21.0,0.0,4.0,24.0,203073.483899,0.0,28.0,0.0,0.0,0.0,0.0,-2.0,54.50,0.30,124.43,741.08,6.212744053434409,7.937697965145963,7.406097498612505,7.552456134199132,6.427117777764722,7.24787907860063,6.798499999999999,-7.705906829607527,1,6.05332069467
IGF1R_actives0000004_docked,-39.5465,9.87838,10.9918,-4.47272,-1.21106,0,-30.9685,1012.36,1,0.661327,13,0.31009,0.737808,0.262192,4540,1229,1401,133,1313,350,398,38,485,139,147,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,32.0,22.0,0.0,25.0,24.0,-168904.323791,2.0,26.0,0.0,0.0,0.0,0.0,-2.0,58.69,0.26,127.51,705.28,8.017832139879692,7.6695185485625545,7.874882004995009,7.8300899889554945,6.847253611129618,7.2604162364827385,7.540599999999996,-9.203252430149137,1,6.80930323185
IGF1R_actives0000005_docked,-29.4024,14.4934,9.85524,-1.82332,0,0,-15.5384,913.49,0,0.686743,6,0.400507,0.743657,0.256343,4235,1080,1299,104,538,133,183,12,194,53,58,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,1.0,12.0,-62436.6543655,0.0,3.0,0.0,0.0,0.0,0.0,-3.1,41.90,0.39,67.81,690.78,7.448826144341164,7.156043942668436,7.074518529581533,7.016382306748804,3.9932077664098724,5.656696326751194,6.125800000000001,-7.259420684582973,1,6.0407503591
IGF1R_actives0000006_docked,-37.1749,49.8,11.8436,-8.84769,-1.77413,0,-9.89856,889.512,1,0.691233,8,0.345972,0.754273,0.245727,3964,1051,1210,113,1280,340,390,37,286,78,86,8,0,0,0,0,0,0,0,0,0,0,0,0,215,59,61,6,0,0,0,0,0,0,0,0,0.0,41.0,14.0,0.0,36.0,13.0,-66570.2935862,3.0,29.0,0.0,0.0,0.0,0.0,-1.6,51.75,0.35,100.10,613.80,7.827053606810845,8.075425541625041,7.955610816072822,7.886883893273386,6.500024315886376,6.811675783712755,6.863400000000001,-9.17514217969103,1,6.65221596757
IGF1R_actives0000007_docked,-37.5822,7.01364,3.20089,-3.82651,0,0,-35.6635,967.03,0,0.678811,7,0.44974,0.708515,0.291485,5328,1385,1614,145,657,181,208,17,251,68,82,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,36.0,18.0,0.0,22.0,16.0,-47022.4658918,1.0,32.0,0.0,0.0,0.0,0.0,-3.2,64.09,0.06,90.12,764.88,7.314629767045185,8.005579607781106,7.678284841935843,7.748852655400159,6.814852352272893,7.1979303005590465,6.424700000000004,-9.202259989907812,1,6.11511112953
IGF1R_actives0000008_docked,-33.241,9.40044,10.6506,-1.73224,0,0,-19.827,1029.18,0,0.654423,13,0.352655,0.732546,0.267454,4435,1162,1359,120,647,167,217,14,208,56,58,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,20.0,19.0,0.0,29.0,18.0,-67055.8166863,2.0,21.0,0.0,0.0,0.0,0.0,-1.7,41.78,0.38,68.68,704.16,7.975717405464799,7.3623809014319,7.5436842319902295,7.340704543179045,5.093047219336825,5.456259743132571,5.9379,-8.598243391685214,1,6.11473480721
IGF1R_actives0000009_docked,-38.1998,7.86063,15.5943,-1.09381,-1.2054,0,-22.7159,942.708,1,0.69407,8,0.345888,0.723526,0.276474,4126,1103,1293,117,1298,348,397,37,582,171,192,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,35.0,13.0,0.0,37.0,6.0,-92318.9131795,3.0,24.0,0.0,0.0,0.0,0.0,-2.5,54.22,0.36,126.40,673.49,7.971493370081461,7.707514664946171,7.9173888737373765,7.726397930014424,7.080747131011431,7.089103008325684,6.762000000000003,-8.514092628479638,1,6.88260981672
IGF1R_actives0000011_docked,-37.2509,7.17028,16.171,-7.65132,0,0,-26.814,906.481,0,0.664628,15,0.30167,0.738044,0.261956,3892,1059,1193,113,1556,407,475,45,167,46,51,6,203,55,53,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,31.0,23.0,0.0,19.0,22.0,-75812.3881461,1.0,21.0,0.0,0.0,0.0,0.0,-.1,49.83,0.39,115.26,631.20,7.753220955621424,7.911671766400267,7.872889517205017,7.666152330891329,7.541895873081082,8.446799032340758,7.4560999999999975,-9.316775191402318,1,6.77296940897
