Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
INHA_actives0000001_docked,-29.4299,6.12105,0.269578,-4.39692,-1.53775,0,-32.4334,812.919,1,0.583992,1,0.313575,0.903746,0.0962539,3632,900,951,103,0,0,0,0,398,97,103,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,10.0,25.0,1.0,0.0,15.0,-94429.8756479,1.0,30.0,0.0,0.0,0.0,0.0,-4.0,26.67,0.40,29.46,505.31,6.198421006569182,7.303846795093803,6.847992379120877,6.991382435453433,6.380954122269903,5.310296577832111,6.3612000000000055,-7.298422541775368,1,6.12715235319
INHA_actives0000002_docked,-24.1608,8.23854,-0.718287,-1.88795,0,-1.44097,-23.7405,754.402,1,0.570411,0,0.272407,0.879829,0.120171,3302,819,872,104,0,0,0,0,392,91,103,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,14.0,30.0,0.0,0.0,6.0,-114.677094234,1.0,16.0,0.0,0.0,0.0,0.0,-1.0,26.67,0.33,29.46,443.91,5.610224617288007,6.899583550505053,6.4306734101454115,6.352445667776669,3.760173110499075,5.373080458026999,5.9969,-6.281348328180496,1,6.04480877984
INHA_actives0000003_docked,-23.3071,3.33861,-0.948089,-2.2465,0,-1.35687,-26.0468,679.881,1,0.586603,2,0.31797,0.926648,0.0733519,3222,785,826,98,0,0,0,0,389,91,101,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,5.0,24.0,0.0,0.0,2.0,-27781.2826051,1.0,13.0,0.0,0.0,0.0,0.0,-1.4,26.67,0.29,29.46,417.34,5.973683964530678,6.692118095238098,6.235471066711068,6.2351892367077335,2.7652531900819968,4.788572172848599,6.022200000000001,-6.454333815383548,1,5.96846140233
INHA_actives0000004_docked,-19.2488,3.59949,3.27808,-3.65607,-1.62767,0,-19.575,539.292,1,0.566835,2,0.385357,0.889221,0.110779,2262,546,587,64,0,0,0,0,387,95,95,12,0,0,0,0,0,0,0,0,0,0,0,0,543,136,142,16,0,0,0,0,0,0,0,0,6.0,8.0,19.0,0.0,0.0,14.0,-19100.0928307,1.0,14.0,1.0,0.0,0.0,0.0,-1.1,36.73,0.00,29.46,317.04,6.197828805660794,6.791976424963908,6.228628554112555,6.289626460317456,3.7350309473849093,5.051890780504954,5.7096,-7.137547780820389,1,5.98704724477
INHA_actives0000005_docked,-22.7719,5.16723,-0.0836654,-4.15366,0,-1.3902,-25.7866,652.632,1,0.584837,0,0.341425,0.866597,0.133403,3000,741,781,88,0,0,0,0,397,92,105,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,13.0,31.0,0.0,0.0,1.0,-39202.0017425,1.0,21.0,0.0,0.0,0.0,0.0,-3.4,26.67,0.25,29.46,392.70,5.735572466717721,6.549327325396831,6.212803295426793,6.23092027022977,3.67320264502415,4.894934458310541,6.250599999999999,-6.595175598611851,1,5.97149379218
INHA_actives0000006_docked,-28.5108,4.58281,-1.40714,-3.29596,0,0,-31.1888,802.895,0,0.559765,3,0.28549,0.905307,0.094693,4447,1133,1144,131,378,94,97,12,191,44,52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,4.0,23.0,0.0,0.0,9.0,-12551.7967933,1.0,26.0,0.0,0.0,1.0,0.0,2.8,35.96,0.21,23.55,511.51,7.050318468427319,6.766140803418806,7.0332129877344975,6.986574422910425,4.371033228163675,5.22734233534842,6.6469000000000005,-10.313313494918177,1,5.99257353187
INHA_actives0000007_docked,-30.6225,4.8716,-0.2233,-3.5028,0,0,-32.5455,869.166,0,0.568687,5,0.268207,0.892917,0.107083,4854,1237,1236,146,557,141,141,17,188,44,52,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,4.0,25.0,0.0,0.0,10.0,-5315.55525552,1.0,25.0,0.0,0.0,1.0,0.0,3.5,40.84,0.19,39.34,552.08,7.2107064685993425,7.203200844544346,7.1935104466089586,7.3046864660894695,4.700873303508267,5.4101478356106085,6.483400000000001,-10.429787058589145,1,5.97349498966
INHA_actives0000008_docked,-31.0889,5.51296,0.319988,-3.13631,0,0,-31.3166,834.839,0,0.589778,3,0.268615,0.886867,0.113133,4550,1129,1153,136,392,96,101,11,191,44,53,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,6.0,28.0,0.0,0.0,12.0,-179866.527899,0.0,39.0,0.0,0.0,0.0,1.0,.4,38.06,0.24,23.55,547.85,7.144005799069774,6.780189916971919,6.8957823385503465,7.120080892496395,5.2048571275504765,6.1982677504748205,6.792399999999999,-10.993974998378125,1,5.96796039544
INHA_actives0000009_docked,-25.3355,5.11836,1.27533,-1.14199,0,0,-22.6654,769.211,0,0.603522,3,0.310103,0.905804,0.0941956,3493,852,910,99,381,93,101,12,191,43,49,6,0,0,0,0,0,0,0,0,0,0,0,0,171,46,42,5,0,0,0,0,0,0,0,0,8.0,2.0,18.0,0.0,0.0,4.0,28223.0552675,1.0,16.0,0.0,0.0,0.0,0.0,-.4,33.14,0.32,23.55,487.05,6.498456316006672,6.686613860139861,6.278722707847708,6.715026506882011,4.694450871362663,5.54145110718985,6.502700000000001,-7.736710219106753,1,5.95665608713
INHA_actives0000010_docked,-31.6382,6.64559,0.515901,-1.59383,0,0,-29.6628,945.799,0,0.564911,3,0.288144,0.899128,0.100872,4827,1210,1258,139,534,136,143,15,185,43,54,6,370,98,97,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,5.0,26.0,0.0,0.0,8.0,-42545.0671108,0.0,34.0,0.0,0.0,1.0,0.0,1.6,52.51,0.19,39.34,587.78,6.757048842092116,7.687308677877678,7.148305539793548,7.410497137473634,4.545143751702059,5.878343421604322,6.887299999999998,-10.822187812527973,1,5.98479130816
INHA_actives0000011_docked,-26.3064,4.81998,0.519099,-3.97499,-1.85942,-0.741418,-30.6408,775.969,2,0.592633,3,0.291456,0.854974,0.145026,3008,729,781,84,397,96,102,12,930,225,244,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,29.0,0.0,0.0,18.0,1210.47426742,3.0,21.0,0.0,0.0,0.0,0.0,.3,45.80,0.19,93.38,455.22,5.936404877634127,7.228932562049067,6.487754389375335,6.757063319291819,6.234227120884808,5.798093565201695,6.3021,-6.894887866256629,1,6.02213112994
INHA_actives0000012_docked,-25.3648,5.58785,1.40156,-0.9141,0,0,-22.5657,848.847,0,0.546033,2,0.241416,0.859693,0.140307,3543,879,893,105,384,97,99,12,182,43,45,7,522,136,130,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,1.0,21.0,0.0,0.0,16.0,9917.32287738,0.0,28.0,0.0,0.0,0.0,0.0,-1.3,49.60,0.35,23.55,513.99,6.110579408151478,7.17209824231324,6.592704119269621,7.060533618381614,4.441788744261392,5.307857877188665,6.9132,-8.424833396492817,1,5.98094506954
INHA_actives0000013_docked,-29.4457,6.41088,-1.97909,-2.78268,0,0,-31.0752,895.67,0,0.58552,3,0.282943,0.895381,0.104619,4686,1182,1222,138,388,94,100,12,190,42,54,6,370,99,97,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,6.0,15.0,0.0,0.0,8.0,-15118.0516569,0.0,27.0,0.0,0.0,1.0,0.0,1.7,49.74,0.24,23.55,581.40,6.7607802947285265,7.394990634976134,7.041871668220676,7.204774831890328,5.473489709042208,6.449414353214531,7.019699999999998,-10.299710925399777,1,6.04113301796
INHA_actives0000014_docked,-19.4987,5.02357,-2.50566,-0.832565,0,0,-20.0329,556.013,0,0.574984,1,0.351601,0.916738,0.0832616,2725,672,704,77,0,0,0,0,376,95,96,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,7.0,23.0,0.0,0.0,0.0,-4985.70498875,0.0,26.0,0.0,0.0,0.0,0.0,-1.7,26.67,0.14,29.46,329.01,5.209213162488555,6.062760799644795,5.723989495282495,5.992105729381727,3.349997606416438,5.081797390751673,5.628100000000002,-7.059520955224337,1,5.96725945598
INHA_actives0000015_docked,-27.8803,6.25491,0.137403,-2.33892,0,0,-27.1722,904.518,0,0.561436,1,0.29484,0.901566,0.0984339,4502,1124,1165,133,393,95,103,13,188,43,52,6,362,101,96,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,4.0,17.0,2.0,0.0,4.0,-56065.3603817,0.0,27.0,0.0,0.0,1.0,0.0,2.9,47.63,0.21,23.55,553.21,7.055207147587831,7.33160937273837,7.015360043401049,7.150830384226875,5.923201501119767,6.883569885991638,6.9425000000000034,-9.75429700141856,1,5.98874894169
INHA_actives0000016_docked,-25.4062,5.06972,-0.795553,-1.23992,0,0,-24.8895,744.237,0,0.584947,3,0.312102,0.910329,0.0896709,2916,728,737,80,384,102,96,11,555,147,138,15,0,0,0,0,0,0,0,0,190,45,50,6,159,39,43,5,0,0,0,0,0,0,0,0,17.0,6.0,22.0,3.0,0.0,2.0,100621.892319,0.0,23.0,0.0,0.0,0.0,0.0,.6,47.76,0.06,74.92,419.46,5.909316046140068,7.316651329725823,6.766140393704336,6.815194563159066,4.775320556921184,5.140009065056941,6.3567,-7.2814050751495625,1,5.95822594424
INHA_actives0000017_docked,-21.2607,3.95087,-1.64994,-1.68572,0,0,-22.812,749.166,0,0.562811,3,0.280497,0.909834,0.0901659,3348,820,848,96,390,95,102,12,194,39,54,6,0,0,0,0,0,0,0,0,0,0,0,0,197,51,47,5,0,0,0,0,0,0,0,0,6.0,2.0,13.0,0.0,0.0,4.0,10780.4312691,0.0,14.0,0.0,0.0,0.0,0.0,1.1,31.06,0.28,23.55,450.41,5.630344688358226,6.604426589577095,6.21747560828061,6.579859734154736,3.64878489479206,4.742656816336939,6.174299999999996,-7.017105601604463,1,5.95184185576
INHA_actives0000018_docked,-22.5135,4.5875,0.323945,-4.87927,0,-1.12615,-26.031,757.017,1,0.562597,3,0.296983,0.862595,0.137405,2960,738,770,88,342,79,88,10,674,164,179,20,0,0,0,0,0,0,0,0,0,0,0,0,165,45,45,5,0,0,0,0,0,0,0,0,5.0,2.0,35.0,0.0,0.0,6.0,-32284.24309,1.0,25.0,0.0,0.0,0.0,0.0,2.0,47.30,0.19,84.15,453.94,5.954080482880039,6.903200414862914,6.14797215001665,6.4682411656676715,4.5351761694625,5.1783211980731645,6.334500000000002,-6.020474727410239,1,5.95085728399
INHA_actives0000019_docked,-25.1642,5.47474,0.212596,-2.98772,0,0,-25.2649,731.009,0,0.568728,4,0.311787,0.916071,0.0839292,3173,788,835,91,189,46,52,6,906,228,235,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,9.0,40.0,1.0,0.0,7.0,-62427.2806953,0.0,38.0,1.0,0.0,0.0,0.0,-1.4,36.52,0.29,73.86,453.33,5.639261899867133,6.2631826118326135,5.974329356365858,5.990908106726604,3.9619913485518174,5.3220333054585005,6.2357,-7.313077214322667,1,5.97456138917
INHA_actives0000020_docked,-25.2386,3.56314,4.63124,-7.74283,0,0,-27.0789,677.176,0,0.573293,6,0.34258,0.902396,0.0976038,2659,646,663,82,376,98,99,11,763,193,198,24,0,0,0,0,0,0,0,0,0,0,0,0,364,93,97,10,0,0,0,0,0,0,0,0,12.0,6.0,28.0,0.0,0.0,9.0,-320677.258122,2.0,10.0,0.0,0.0,0.0,0.0,.8,47.61,0.07,84.15,409.06,6.81551574865243,6.624637352092354,6.289182157884593,6.726209537518042,3.889135382562173,5.869646202888565,6.0651,-6.13130099261697,1,5.96551895002
INHA_actives0000021_docked,-25.1094,4.6613,-0.435236,-5.9986,0,0,-29.7123,774.455,0,0.606581,4,0.3089,0.898839,0.101161,3166,786,825,89,585,142,152,17,575,135,155,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,2.0,22.0,1.0,0.0,2.0,-216413.167909,2.0,21.0,0.0,0.0,0.0,0.0,-.8,36.83,0.24,78.16,470.11,6.520855340229799,7.403905033910534,6.616159155804984,7.230609140526144,4.33769816587423,4.919803963370694,6.139100000000002,-6.26863337313828,1,5.97907763442
INHA_actives0000022_docked,-22.5772,3.11311,0.850249,-1.52092,0,0,-22.3399,723.756,0,0.544974,4,0.255856,0.881333,0.118667,2153,542,569,64,322,81,84,9,307,73,78,8,0,0,0,0,0,0,0,0,0,0,0,0,475,121,115,14,0,0,0,0,0,0,0,0,6.0,0.0,20.0,1.0,0.0,13.0,-48761.3736842,0.0,20.0,0.0,0.0,0.0,0.0,-.5,43.36,0.00,58.18,361.66,6.460623429434148,6.2766428080808065,5.881360295426796,6.443774246031745,3.5302463110562856,4.480335842440924,5.786800000000002,-6.190575962093136,1,5.9537411483
INHA_actives0000023_docked,-27.3952,5.85604,5.46432,-6.85197,0,0,-26.0822,663.386,0,0.57847,6,0.370668,0.908017,0.091983,2801,699,712,84,382,94,99,11,942,235,248,30,0,0,0,0,0,0,0,0,0,0,0,0,190,54,51,4,0,0,0,0,0,0,0,0,19.0,6.0,24.0,0.0,0.0,6.0,-307264.559865,2.0,13.0,0.0,0.0,0.0,0.0,.7,47.79,0.13,93.38,435.90,5.715471308068463,6.722905848484846,6.274630522020465,6.554301541125548,5.1668190064090735,5.849514590312414,6.275999999999999,-6.276771256736752,1,6.0052236957
INHA_actives0000024_docked,-25.4749,4.6204,-1.33189,-3.50362,0,0,-28.3633,723.978,0,0.559249,2,0.292335,0.901486,0.0985143,2656,658,691,75,373,90,98,12,731,188,200,23,0,0,0,0,0,0,0,0,0,0,0,0,172,47,44,5,0,0,0,0,0,0,0,0,15.0,3.0,28.0,0.0,0.0,5.0,-63137.4589049,1.0,21.0,0.0,0.0,0.0,0.0,1.3,45.68,0.13,84.15,421.63,4.719936821165322,6.500601755411256,6.048275457431455,6.662141682317685,2.967350155736639,5.200733295961818,5.910500000000002,-6.433388502296092,1,5.97731432243
INHA_actives0000025_docked,-28.474,5.61032,2.83977,-4.50997,-0.78948,0,-29.4619,774.856,1,0.559366,4,0.274099,0.815094,0.184906,3159,783,817,92,372,98,99,12,731,181,181,21,0,0,0,0,0,0,0,0,192,52,49,5,0,0,0,0,0,0,0,0,0,0,0,0,16.0,6.0,40.0,1.0,0.0,13.0,-91876.894661,1.0,31.0,0.0,0.0,0.0,0.0,-1.1,44.18,0.18,76.66,480.34,6.609623970994962,7.524349937451432,7.025939478354982,6.9268723957708955,4.666241495263679,5.684276264090877,5.935999999999998,-6.381843341759791,1,5.97189204574
INHA_actives0000026_docked,-24.1217,5.34467,0.277329,-2.62705,0,0,-23.8152,728.116,0,0.600899,1,0.317289,0.913523,0.086477,3692,901,963,99,201,45,51,6,186,42,54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,8.0,24.0,1.0,0.0,0.0,-18663.5063247,1.0,28.0,0.0,0.0,0.0,0.0,-.3,27.55,0.35,20.31,473.46,6.301254643005395,6.582485503829503,6.418808171759611,6.387715888555889,4.78419264540826,6.189021781632777,6.731800000000001,-8.57545555602029,1,5.9756125545
INHA_actives0000027_docked,-24.4368,5.22941,4.36912,-3.19961,0,-0.625414,-21.1866,746.495,1,0.570043,1,0.327301,0.92911,0.0708897,3163,758,822,93,383,90,100,12,183,43,54,7,0,0,0,0,0,0,0,0,0,0,0,0,515,126,130,11,0,0,0,0,0,0,0,0,10.0,3.0,28.0,0.0,0.0,3.0,-19334.9626131,1.0,20.0,0.0,0.0,0.0,0.0,0,37.05,0.24,23.55,457.42,5.912801657402189,7.278983849594849,6.88618770063269,6.914488889998889,3.4873291616063757,4.727987967982212,5.5975,-7.622802951031179,1,5.95561121545
INHA_actives0000028_docked,-25.4292,13.6562,4.86772,-4.88223,0,-0.772748,-18.8369,651.844,1,0.597826,3,0.315858,0.858722,0.141278,2419,607,628,74,394,102,105,12,602,144,157,20,0,0,0,0,0,0,0,0,0,0,0,0,372,92,93,11,0,0,0,0,0,0,0,0,26.0,3.0,22.0,0.0,0.0,5.0,-127776.895453,3.0,16.0,0.0,0.0,0.0,0.0,1.6,43.39,0.00,74.92,362.52,6.443139283136084,6.353896387168391,6.093307167610167,6.70287454256854,4.829814174414743,6.341084507565532,6.401799999999998,-7.113220802789366,1,5.95865860708
INHA_actives0000029_docked,-29.3661,3.79826,2.47485,-0.886531,0,0,-26.3795,839.257,0,0.563063,5,0.293639,0.867852,0.132148,3551,868,925,97,559,146,147,16,182,44,46,5,0,0,0,0,0,0,0,0,192,48,51,5,0,0,0,0,0,0,0,0,0,0,0,0,7.0,3.0,19.0,0.0,0.0,7.0,-49724.9291263,0.0,13.0,1.0,0.0,0.0,0.0,2.3,25.43,0.47,35.91,511.38,6.291197864920946,7.402486279220784,6.915262766233765,7.1746260755910765,3.717006772516063,5.160564395544525,6.2587,-7.116725139116282,1,5.95545124069
INHA_actives0000030_docked,-23.4713,5.60458,3.62181,-1.32831,0,0,-18.5448,747.421,0,0.541144,3,0.306966,0.899784,0.100216,3398,842,876,96,372,96,96,12,165,43,44,5,587,151,144,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,4.0,17.0,0.0,0.0,13.0,-15161.886186,0.0,21.0,0.0,0.0,0.0,0.0,-.4,47.51,0.32,23.55,486.99,5.6901911294579595,7.24066865478965,6.563306425685429,6.773609926073927,5.260275714429399,6.124517657132446,6.7383000000000015,-7.882733486404318,1,5.99392294906
INHA_actives0000031_docked,-22.9372,4.83712,0.0114347,-0.329528,0,0,-21.1296,730.034,0,0.564761,2,0.291518,0.90218,0.0978204,3136,776,795,93,386,92,101,12,190,42,54,6,0,0,0,0,0,0,0,0,0,0,0,0,362,91,93,9,0,0,0,0,0,0,0,0,9.0,5.0,21.0,0.0,0.0,5.0,-4093.64585826,0.0,22.0,0.0,0.0,0.0,0.0,-1.0,33.00,0.24,23.55,437.15,5.617775169998754,6.9063933279498375,6.482811877400375,6.785494125208126,3.7244263982392516,3.855492149151769,6.295800000000001,-7.001650468055225,1,5.95489588002
