Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
ITK_actives0000001_docked,-35.3678,32.8189,9.07067,-10.6041,0,-0.984583,-20.5595,961.333,1,0.701883,7,0.374727,0.711525,0.288475,3889,1074,1188,72,712,204,218,14,528,148,165,11,0,0,0,0,0,0,0,0,91,33,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42.0,47.0,0.0,5.0,20.0,-146235.609301,2.0,32.0,0.0,0.0,1.0,0.0,-4.8,60.77,0.21,111.27,708.83,7.48659435045599,7.708457436230438,7.546355361860364,7.459315215728717,8.057056937500978,6.9526641550381365,6.672100000000001,-7.99786219649407,1,5.98333908715
ITK_actives0000002_docked,-30.4554,7.70296,9.38586,-9.11054,0,0,-27.5014,931.254,0,0.701458,4,0.368505,0.699628,0.300372,3570,986,1103,62,766,230,244,15,308,88,96,6,0,0,0,0,0,0,0,0,91,33,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.0,33.0,0.0,5.0,20.0,-20708.3586965,2.0,18.0,0.0,0.0,0.0,0.0,-3.8,45.09,0.40,96.85,675.23,7.098993415120302,7.621055627095128,7.487973904761903,7.3018808341103405,5.581269912867165,6.749123450693236,7.086600000000002,-7.529542439012453,1,5.99809317313
ITK_actives0000003_docked,-39.0244,8.59807,11.1241,-1.35412,0,0,-26.9609,944.552,0,0.710733,7,0.333788,0.697961,0.302039,3688,969,1104,65,796,213,240,13,433,110,124,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,29.0,22.0,0.0,13.0,39.0,-40283.5981385,0.0,33.0,0.0,0.0,0.0,0.0,-1.3,53.75,0.12,110.32,615.76,7.395457483149701,7.67562115440115,7.583958323565321,7.7283051151071165,4.692445422335848,6.8798895554006885,6.106500000000002,-7.411130553375576,1,6.13880648082
ITK_actives0000004_docked,-31.1345,4.7928,8.6211,-4.45013,0,0,-26.3192,947.401,0,0.656053,6,0.378004,0.699893,0.300107,3135,841,958,44,768,194,232,12,409,109,122,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,35,33,2,0,0,0,0,0.0,33.0,15.0,0.0,6.0,29.0,-25755.0762064,0.0,26.0,0.0,0.0,0.0,0.0,-2.6,48.34,0.36,110.32,676.51,7.143962530619042,7.793006954489956,7.19900713098013,7.322423048340553,3.598891693980949,5.101189818309698,6.843299999999998,-6.563818928221641,1,5.97395563925
ITK_actives0000005_docked,-33.4236,9.16702,9.07258,-8.7989,0,-1.41403,-30.737,902.933,1,0.691999,4,0.349895,0.729063,0.270937,3121,809,910,47,834,218,243,14,526,136,152,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,58.0,11.0,0.0,17.0,14.0,-114947.763666,2.0,35.0,0.0,0.0,0.0,0.0,-2.3,49.38,0.23,94.21,581.75,6.83761715787894,7.601146326562332,7.114883649572645,7.573339358252852,6.789773168610361,7.268854849582481,6.968600000000001,-6.21608876365103,1,5.98947479143
ITK_actives0000007_docked,-28.5283,5.21593,12.6075,-11.4031,0,0,-25.5221,962.384,0,0.670982,4,0.434189,0.649885,0.350115,3502,941,1056,56,760,204,226,11,290,76,85,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,12.0,28.0,1.0,3.0,25.0,24468.4090987,0.0,17.0,0.0,0.0,0.0,0.0,-5.3,43.70,0.48,97.50,824.98,7.315218066300277,7.46650179498279,7.152466535353534,7.309294253246752,5.21835563149387,6.272092031697908,6.744899999999999,-6.463460149432277,1,6.02921696177
ITK_actives0000008_docked,-34.1296,63.4562,14.857,2.98779,-0.968422,0,17.831,1019.14,1,0.697951,8,0.378836,0.651945,0.348055,4084,1089,1191,65,1045,280,309,19,392,103,113,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,90.0,17.0,0.0,10.0,3.0,-138577.523742,3.0,30.0,0.0,0.0,0.0,1.0,-1.5,49.61,0.43,123.36,800.38,7.787445810037097,7.763307716394713,7.395694092074591,7.711792289987785,6.27499414109623,6.471265320292695,7.352500000000004,-3.6476647503206125,1,6.03937651863
ITK_actives0000010_docked,-34.1278,6.9846,6.85851,-5.40625,0,0,-30.2237,1052.46,0,0.658813,5,0.337376,0.641611,0.358389,3158,896,992,52,592,165,186,10,356,114,114,7,0,0,0,0,0,0,0,0,269,72,81,3,0,0,0,0,0,0,0,0,0,0,0,0,12.0,5.0,30.0,2.0,11.0,29.0,-101572.903577,2.0,15.0,0.0,0.0,0.0,0.0,-.7,56.07,0.36,87.66,723.55,6.908250637092951,7.474398403651906,7.1411909034576535,7.319430543900544,4.406976651414951,6.358717495286782,7.060200000000001,-6.750452108184934,1,5.96315473307
ITK_actives0000012_docked,-27.9099,5.61483,8.22028,-5.948,0,0,-23.7182,805.611,0,0.674298,4,0.427898,0.643881,0.356119,2640,701,817,39,548,148,175,8,408,110,130,6,0,0,0,0,0,0,0,0,238,64,70,4,0,0,0,0,72,21,27,1,0,0,0,0,6.0,20.0,7.0,3.0,10.0,22.0,-106873.751329,0.0,16.0,0.0,0.0,0.0,0.0,-2.8,52.81,0.24,98.66,613.87,6.2548144713196105,6.94108719461911,6.9229633618326085,7.044442497224996,4.182448888214628,5.652672277831631,6.7128000000000005,-5.989899172161228,1,5.95088294793
ITK_actives0000013_docked,-36.1842,24.8599,14.7228,-8.24846,-1.01917,0,-18.3269,971.205,1,0.669718,5,0.366892,0.633056,0.366944,3067,851,934,47,608,160,177,9,642,168,190,10,0,0,0,0,0,0,0,0,217,67,72,2,0,0,0,0,0,0,0,0,0,0,0,0,31.0,22.0,34.0,6.0,12.0,16.0,-547485.03236,3.0,17.0,0.0,0.0,0.0,0.0,-5.7,56.62,0.35,108.58,691.90,7.1925129864938855,7.281745359917861,7.016407226884232,7.242871072871575,2.9728181555753057,5.298720386117032,6.871099999999999,-5.826792297442139,1,5.95763339754
