Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
JAK3_actives0000001_docked,-36.3939,11.0542,5.31985,-3.44258,-0.888623,0,-31.4567,862.904,1,0.593284,8,0.288156,0.711227,0.288773,4883,1376,1430,61,694,200,210,9,485,142,146,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,32.0,19.0,0.0,30.0,14.0,-156475.806935,3.0,23.0,0.0,0.0,0.0,0.0,3.2,52.93,0.32,69.45,634.36,8.197854481204777,8.043013850038852,8.18238583438784,7.977513301587304,7.575458432457168,8.207827268312572,7.645899999999999,-11.167964788331673,1,5.97574677891
JAK3_actives0000002_docked,-30.0217,6.57629,18.2249,-4.46578,-1.85316,-1.44856,-17.6615,773.515,2,0.597435,5,0.267654,0.706264,0.293736,3009,859,856,36,1147,316,321,11,192,53,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,51.0,17.0,0.0,13.0,10.0,-227525.526962,4.0,20.0,0.0,0.0,0.0,0.0,.8,25.25,0.50,88.91,458.83,7.329473604236372,8.002288580808075,7.5047981715506715,7.82678215584416,4.146795629981242,5.1610753638044065,6.669499999999999,-7.184076588199708,1,6.05214451406
JAK3_actives0000003_docked,-39.1511,8.57287,14.3122,-9.51676,-3.51672,0,-34.7116,852.544,3,0.603575,7,0.246543,0.637869,0.362131,4454,1289,1299,54,535,153,159,7,884,265,262,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,36.0,28.0,0.0,26.0,35.0,-237169.270547,4.0,33.0,0.0,0.0,0.0,0.0,2.3,61.57,0.19,122.79,576.54,8.871887208020455,7.572882324508824,7.837363613997113,7.523054130647134,9.554040144353094,9.674262456625437,7.6676,-13.452839669669212,1,5.99582970614
JAK3_actives0000004_docked,-28.1739,34.9206,14.8695,-2.37843,0,0,1.51226,865.549,0,0.600167,8,0.274534,0.667763,0.332237,3058,922,924,41,1345,368,370,15,286,84,82,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,40.0,25.0,0.0,9.0,12.0,-53958.0496686,3.0,15.0,0.0,0.0,0.0,0.0,-.4,39.58,0.42,110.96,541.06,7.10631009994357,7.759271608946605,7.5186917092352115,7.7506735990676034,5.342245387548611,6.8357663861453934,6.975399999999999,-7.166619344974796,1,6.08614419497
JAK3_actives0000006_docked,-29.7121,7.1324,0.798528,-7.5972,-1.96835,0,-35.4856,755.834,2,0.601573,2,0.237882,0.730521,0.269479,3336,923,944,43,584,167,164,7,176,43,49,3,149,39,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42.0,10.0,0.0,28.0,4.0,-40632.6199362,2.0,35.0,0.0,0.0,0.0,0.0,1.7,37.71,0.22,57.78,416.87,7.002096560568371,7.318105977133975,6.994873976634481,7.287189922267276,9.950432225495195,10.062316750118704,7.198400000000005,-10.333703097759592,1,6.11816928311
JAK3_actives0000008_docked,-35.1025,7.59839,8.32363,-1.29876,0,-1.47781,-26.676,866.576,1,0.614257,7,0.251238,0.67357,0.32643,3071,859,870,37,885,263,264,10,166,48,46,3,0,0,0,0,0,0,0,0,187,55,52,2,206,52,57,3,0,0,0,0,0,0,0,0,3.0,59.0,19.0,0.0,18.0,13.0,-60024.7492591,2.0,29.0,0.0,0.0,0.0,0.0,-.6,46.37,0.18,79.80,478.52,6.710651372778843,8.153943850704849,7.318473402375396,7.689416754079251,7.169121841726939,7.820147803926349,7.244400000000001,-8.249110726861202,1,5.96666635101
JAK3_actives0000009_docked,-29.7494,8.13665,15.4323,-4.58534,-0.769475,-0.77534,-18.0859,797.028,2,0.583184,5,0.269647,0.674631,0.325369,3152,885,912,37,1300,364,378,14,329,85,95,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,43.0,10.0,0.0,22.0,3.0,-31650.3339887,2.0,19.0,0.0,0.0,0.0,0.0,1.5,40.62,0.28,108.96,457.72,7.708393180553932,7.69418893645243,7.591802754023752,7.751962692807197,6.184172228651894,6.1034444193296125,6.732199999999999,-7.655671537091183,1,6.04753748105
JAK3_actives0000010_docked,-31.0149,10.0853,11.4441,-4.73585,0,-0.971572,-22.1793,787.566,1,0.596744,6,0.27489,0.696,0.304,3252,896,918,37,1430,379,400,14,0,0,0,0,125,35,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,57.0,26.0,0.0,9.0,11.0,-171771.295135,3.0,21.0,0.0,0.0,0.0,0.0,-1.8,43.95,0.11,94.02,451.39,7.336472264041731,7.840947556055059,7.5391411567876645,7.6915062248862265,6.370857592472955,6.901201402783358,7.335999999999998,-8.573044613871776,1,6.19866386148
JAK3_actives0000011_docked,-38.1889,32.9579,17.8565,-4.79518,0,-0.46929,-10.4491,1021.36,1,0.609685,12,0.305651,0.601814,0.398186,4013,1156,1156,44,1066,295,308,12,410,128,122,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.0,58.0,0.0,19.0,13.0,-187859.372338,3.0,30.0,0.0,0.0,0.0,0.0,-1.8,47.36,0.25,112.40,624.84,7.9704368496559725,7.835698449217456,7.891604939615943,7.705643277944284,6.74899900396144,6.308600598049582,7.167500000000002,-8.753536571752168,1,6.12042966125
JAK3_actives0000012_docked,-35.5953,9.53728,8.86641,-13.8706,-2.58066,-0.777649,-39.5607,831.595,3,0.63333,3,0.281352,0.706026,0.293974,4707,1312,1349,58,544,156,157,7,469,135,139,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,34.0,24.0,0.0,26.0,10.0,-83232.4951675,3.0,30.0,0.0,0.0,0.0,0.0,2.6,51.86,0.27,79.42,566.00,8.202769263447282,7.929054579531577,8.07126978632479,7.862977199467203,7.99246922348071,7.916260814423343,8.058399999999999,-13.955406629651081,1,5.96904126539
