Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
JNK1_actives0000001_docked,-37.2913,38.9528,15.8631,-2.10529,0,0,-3.93464,1046.8,0,0.661399,8,0.296482,0.58269,0.41731,4047,1109,1163,91,898,247,265,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,78,85,8,0,0,0,0,0,0,0,0,2.0,45.0,18.0,0.0,31.0,9.0,-160252.415545,3.0,15.0,0.0,0.0,0.0,0.0,1.1,40.81,0.52,67.66,750.20,7.866448941729391,7.634061083305569,7.403831361360862,7.512743722222233,5.872177658507742,6.122577847892358,7.105299999999999,-8.615388517271592,1,6.39285749193
JNK1_actives0000002_docked,-34.6462,12.4537,19.9487,-14.221,-0.246924,-0.664903,-23.5255,1023.26,3,0.626018,10,0.277499,0.62828,0.37172,3534,999,1001,70,843,229,240,19,630,178,174,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,38.0,54.0,0.0,6.0,21.0,-378721.642992,6.0,11.0,0.0,0.0,1.0,1.0,-1.2,52.70,0.14,151.22,560.20,6.381205883637508,7.952144008547012,7.644916376789881,7.451772381673888,4.561276875360525,5.850948060019879,7.184800000000001,-6.870578897800823,1,6.05741680454
JNK1_actives0000003_docked,-31.0109,16.2044,9.37237,-7.22781,-2.58022,0,-24.4309,761.628,3,0.669188,3,0.25872,0.628172,0.371828,2660,715,784,71,862,235,247,22,304,86,85,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,46.0,16.0,0.0,51.0,12.0,-192664.583495,6.0,22.0,0.0,0.0,0.0,0.0,-1.5,40.99,0.00,113.16,429.24,6.185800986596172,7.481766204739707,7.1967464123099125,7.383690968142974,7.076895956115035,6.567222021507184,7.115499999999996,-7.928620613420563,1,6.043562634
JNK1_actives0000004_docked,-30.0869,10.1922,11.85,-1.15453,0,0,-15.8578,896.755,0,0.633461,5,0.291087,0.62766,0.37234,2883,811,855,68,927,260,276,22,106,31,33,3,0,0,0,0,0,0,0,0,0,0,0,0,179,50,47,4,0,0,0,0,0,0,0,0,0.0,24.0,5.0,0.0,31.0,5.0,-3269.23812725,1.0,19.0,0.0,0.0,0.0,0.0,.3,37.86,0.35,85.94,555.62,6.318207451785068,7.663184424408925,7.296727416305924,7.47770034299034,6.023503528495301,6.414097383422274,7.164499999999999,-6.937628482214718,1,6.10267928262
JNK1_actives0000005_docked,-38.2792,8.42064,12.4395,0.0189613,0,0,-24.1717,980.852,0,0.65598,8,0.380825,0.611947,0.388053,3654,996,1077,93,1220,333,351,32,300,87,86,9,141,42,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,44.0,15.0,0.0,62.0,9.0,-158283.913269,5.0,24.0,0.0,0.0,0.0,0.0,-4.3,54.50,0.30,124.43,738.66,8.860713047682514,8.05657504761905,7.959529653679649,7.945635373737378,8.026440694602371,6.097363717301278,7.171499999999996,-8.913694622418927,1,6.31519070783
JNK1_actives0000006_docked,-33.4322,6.46875,10.1248,-10.7361,-2.29636,0,-34.3824,841.426,2,0.655145,8,0.322661,0.631165,0.368835,3010,820,879,76,1001,272,293,25,286,82,82,6,0,0,0,0,0,0,0,0,150,43,43,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,56.0,20.0,0.0,49.0,8.0,-189883.107612,5.0,32.0,0.0,0.0,0.0,0.0,-1.5,50.03,0.05,114.69,526.29,7.034099240191492,7.923530511544016,7.736310325396823,7.533883853923855,6.540195142324389,5.792395920591734,7.224099999999998,-8.802504155510757,1,5.9956724264
JNK1_actives0000007_docked,-23.978,15.5498,0.925305,-4.42479,0,0,-20.6427,546.559,0,0.670825,4,0.269543,0.805554,0.194446,2451,659,708,61,345,94,105,8,172,46,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,34.0,5.0,0.0,31.0,0.0,35447.7205301,5.0,19.0,0.0,0.0,0.0,0.0,1.4,27.53,0.00,45.75,275.66,5.393583418632606,6.205450825507833,6.044008264790771,6.36910347430348,5.227434524557231,6.64806974567917,7.0372000000000074,-8.655011767361753,1,6.00851688091
JNK1_actives0000008_docked,-38.048,49.5107,19.3898,-3.83089,-1.33632,-0.210747,0.694594,1013.78,2,0.662764,7,0.374183,0.589671,0.410329,4098,1130,1198,96,1243,338,360,29,206,57,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,96.0,7.0,0.0,38.0,6.0,114367.729392,8.0,26.0,0.0,0.0,0.0,0.0,-1.9,52.09,0.18,114.59,684.02,8.702603931726971,7.696528897102891,7.64016576995227,7.540012689033193,5.665987900575702,6.336105251748052,7.3387,-7.594178207721413,1,6.35124098241
JNK1_actives0000009_docked,-33.989,5.65966,9.44073,-6.94258,-0.665327,0,-30.0677,793.134,1,0.649391,5,0.251822,0.665513,0.334487,3021,828,877,73,325,91,95,8,665,180,196,16,0,0,0,0,0,0,0,0,0,0,0,0,203,53,56,4,0,0,0,0,0,0,0,0,0.0,37.0,9.0,0.0,26.0,2.0,-94948.8539384,1.0,23.0,0.0,0.0,0.0,0.0,2.7,40.44,0.42,63.94,518.40,6.953313244636616,7.361819623376624,6.734661087967585,6.638583132312129,5.369892288348916,6.599744283591947,7.192700000000001,-8.39377312602197,1,5.96325349746
JNK1_actives0000010_docked,-34.2268,22.5379,11.5106,-5.89475,-1.76275,0,-20.0466,779.551,1,0.675079,3,0.369487,0.692641,0.307359,2780,751,815,68,1046,289,307,28,108,27,30,3,0,0,0,0,0,0,0,0,0,0,0,0,203,50,55,4,0,0,0,0,0,0,0,0,3.0,46.0,5.0,0.0,45.0,0.0,-98936.8306181,4.0,21.0,0.0,0.0,0.0,0.0,-2.3,38.44,0.37,87.45,542.28,7.583090791231006,7.82796133710734,7.532869802197807,7.5732212525252605,7.011783740202647,7.026723884191777,7.209900000000001,-7.707326101394452,1,6.04885544223
