Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
KIF11_actives0000001_docked,-39.0586,9.5501,7.56352,-2.1299,0,0,-30.0615,780.484,0,0.59687,2,0.376899,0.703573,0.296427,3971,1010,1145,6,472,119,140,0,143,45,42,0,206,52,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,4.0,7.0,15.0,0.0,16.0,-245444.824081,1.0,40.0,0.0,0.0,1.0,1.0,-2.7,37.85,0.39,35.91,594.49,7.724721531726368,7.436820056110559,7.048038005106004,7.33576326578976,8.59385779101508,8.605620017251914,7.6939,-9.309093425605452,1,6.50910114915
KIF11_actives0000002_docked,-36.4721,9.32988,12.3263,-3.76649,0,0,-24.5156,856.26,0,0.61399,4,0.378801,0.744733,0.255267,4354,1139,1277,7,566,147,173,0,438,123,143,1,190,43,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,3.0,8.0,16.0,0.0,5.0,-63721.0164452,1.0,42.0,0.0,0.0,1.0,0.0,1.0,43.24,0.48,65.12,719.61,7.737559524998493,7.900047443833949,7.505661489657399,7.494011913974908,8.047252892208391,7.753443455527095,7.717799999999999,-9.648302712404272,1,6.3552869974
KIF11_actives0000003_docked,-37.4421,10.4174,11.1595,-0.138315,0,0,-22.447,760.884,0,0.57943,1,0.374803,0.684106,0.315894,3679,941,1042,7,598,156,178,1,148,44,42,0,390,91,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,5.0,8.0,14.0,0.0,18.0,-447821.755781,2.0,36.0,0.0,0.0,1.0,1.0,-2.4,45.67,0.38,61.60,576.40,7.656081727466983,7.392909894716392,7.150260520091024,7.511502532967026,7.851279986056826,8.002895206996225,7.749699999999997,-9.373599085357265,1,6.25102768665
KIF11_actives0000004_docked,-34.395,8.71699,11.2079,-0.941004,0,0,-21.1764,711.835,0,0.607352,1,0.375711,0.752687,0.247313,3661,932,1028,7,275,76,87,0,147,46,44,0,390,93,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,5.0,8.0,14.0,0.0,9.0,-136120.555627,0.0,34.0,0.0,0.0,1.0,0.0,.2,41.63,0.29,46.33,483.62,7.2195451495451035,6.896910113997107,6.5983260264180315,7.025353726107219,8.760189305396185,8.793905426511245,8.200500000000007,-10.339253166947021,1,6.4920466976
KIF11_actives0000005_docked,-32.8336,6.48416,10.22,-0.620112,0,0,-21.476,700.755,0,0.612612,1,0.428189,0.761174,0.238826,3741,970,1072,7,369,102,115,0,145,45,44,0,395,95,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,4.0,7.0,11.0,0.0,6.0,-112273.651153,0.0,30.0,0.0,0.0,0.0,0.0,-2.4,44.47,0.35,35.58,567.70,7.378457006357088,7.344418325896326,6.786991667277173,7.294222246753242,7.521443114918133,8.096337057156402,8.052300000000004,-10.010598958442174,1,6.8184827549
KIF11_actives0000006_docked,-32.9743,8.88647,6.6143,1.33017,0,0,-21.9284,758.603,0,0.625261,1,0.382131,0.744701,0.255299,3786,968,1091,9,284,78,94,0,152,44,43,0,398,92,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,5.0,6.0,15.0,0.0,15.0,-65215.3148342,1.0,32.0,0.0,0.0,0.0,0.0,-.9,41.63,0.32,46.33,540.67,6.935150668952213,7.004524493506489,6.793560633311139,7.2806573809523725,7.973181874257741,8.793249246589463,7.801100000000003,-10.156001097008122,1,6.77063086485
KIF11_actives0000007_docked,-32.3495,7.35206,6.89452,-0.299723,0,0,-23.2479,723.19,0,0.613646,1,0.384941,0.761058,0.238942,3621,927,1031,7,276,75,87,0,148,45,43,0,393,91,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,5.0,6.0,12.0,0.0,9.0,-41320.9988334,0.0,33.0,0.0,0.0,1.0,0.0,-.4,41.63,0.29,46.33,506.06,6.889073207706919,6.882227249361743,6.687609476745482,7.090349194083688,7.459492404459629,8.182737751301234,7.826150000000001,-9.838043156506822,1,6.71931108787
KIF11_actives0000008_docked,-30.989,8.28461,9.59053,2.79771,0,0,-16.6465,729.595,0,0.592338,4,0.371694,0.713969,0.286031,3619,926,1042,5,291,73,93,1,158,43,51,0,354,95,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,2.0,9.0,6.0,0.0,19.0,-251063.93085,0.0,30.0,0.0,0.0,0.0,1.0,-1.6,41.63,0.29,46.33,511.06,6.221600252243669,6.933388678044173,6.867594172660672,7.1105636027077415,6.1818011499452785,5.817034343070433,6.877300000000002,-9.89798192055408,1,6.27883732888
KIF11_actives0000009_docked,-37.5183,9.41193,10.8727,-4.36873,0,0,-27.9723,821.445,0,0.633153,4,0.39379,0.729408,0.270592,4092,1058,1186,7,273,74,85,0,461,133,157,1,389,90,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,5.0,12.0,12.0,0.0,18.0,-169576.92107,1.0,35.0,0.0,0.0,1.0,0.0,-1.0,55.88,0.36,78.87,657.44,7.832424954776931,7.581899800532796,7.226547339715846,7.428891390220884,8.71929449274331,8.540678542869301,7.963300000000005,-9.313902081904429,1,6.33078501595
KIF11_actives0000010_docked,-33.5957,7.51673,11.5464,-1.15855,0,0,-21.0311,703.575,0,0.596656,2,0.372403,0.74681,0.25319,3664,936,1035,7,159,43,49,0,262,79,83,0,390,93,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,5.0,8.0,15.0,0.0,10.0,-93653.0033916,0.0,34.0,0.0,0.0,1.0,0.0,-.7,44.63,0.29,40.54,473.61,7.461949971975154,6.7937196217671225,6.651445605783106,6.741701002164506,8.594643187268677,8.647310063569874,8.150900000000007,-10.329886143571999,1,6.43936580651
KIF11_actives0000011_docked,-32.7624,6.98335,8.70526,-2.20155,0,0,-24.2096,726.572,0,0.619296,0,0.41081,0.74856,0.25144,3580,918,1024,7,364,96,113,0,148,45,44,0,396,94,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,5.0,6.0,13.0,0.0,9.0,-95731.8862792,0.0,33.0,0.0,0.0,0.0,0.0,-4.2,44.47,0.29,49.57,531.23,7.356715316662246,7.224532297480294,6.756912953601958,7.207425807414804,7.3881993159352435,8.106318577200186,7.8066,-9.122783731470388,1,6.58388258472
KIF11_actives0000012_docked,-32.4246,35.1755,12.0273,-2.74185,0,0,-5.86784,679.852,0,0.62193,1,0.346196,0.749649,0.250351,3086,801,871,7,316,82,92,0,311,79,88,0,392,98,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,2.0,12.0,15.0,0.0,23.0,-132727.905467,2.0,33.0,0.0,0.0,0.0,0.0,-1.3,45.69,0.18,52.90,409.83,7.691085879722922,6.792840488455988,6.59076413991564,6.815612569264065,7.86553424921636,7.837776773177413,7.403200000000002,-10.3256452524109,1,6.03020025993
KIF11_actives0000013_docked,-32.9349,7.33684,5.18435,-2.98604,0,0,-28.5071,677.426,0,0.619345,0,0.362881,0.754953,0.245047,3405,878,950,7,293,82,87,0,144,43,42,0,387,93,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,4.0,9.0,12.0,0.0,6.0,-79151.6360738,0.0,30.0,0.0,0.0,0.0,0.0,-.5,43.47,0.21,23.55,452.78,7.354488777527449,6.89014928121878,6.553906376567878,6.983679589466086,7.75001368815031,8.256301572720496,7.87465,-10.162607930385184,1,6.16056606343
KIF11_actives0000014_docked,-36.5949,7.65895,9.03984,-1.90705,0,0,-27.1048,789.297,0,0.625685,1,0.414891,0.747969,0.252031,3920,1016,1115,7,370,103,115,0,202,61,61,0,389,93,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,4.0,9.0,12.0,0.0,6.0,-111269.159127,0.0,32.0,0.0,0.0,0.0,0.0,-1.8,50.38,0.36,43.86,625.55,7.351447774702787,7.595490960816967,6.920808605228105,7.462107656565644,8.829752405697093,8.920029271927197,8.082500000000005,-10.129021954379576,1,6.73030869207
KIF11_actives0000015_docked,-32.0664,9.50881,3.21081,-0.473202,0,0,-26.0315,702.902,0,0.627186,2,0.373797,0.708551,0.291449,3586,918,1010,7,288,73,93,0,303,82,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,2.0,12.0,9.0,0.0,20.0,-81715.159314,1.0,36.0,0.0,0.0,0.0,0.0,-1.5,39.22,0.35,43.78,506.31,6.698788734201924,6.883257406038403,6.888503868964369,6.765347685925185,5.556456573238206,6.7315428090055365,6.910000000000001,-10.113716298933712,1,6.03964774133
KIF11_actives0000016_docked,-30.807,7.09118,6.8942,1.26826,0,0,-19.6152,719.407,0,0.639695,2,0.355551,0.689286,0.310714,3707,955,1054,5,132,34,46,1,251,65,81,0,0,0,0,0,0,0,0,0,155,42,48,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,0.0,6.0,9.0,0.0,14.0,-323463.435462,2.0,40.0,1.0,0.0,0.0,1.0,-1.9,39.05,0.14,63.32,511.77,6.821794607624153,6.893600158175152,6.84226683333333,6.870039876956381,6.450665540465208,6.987573155592618,6.001900000000002,-9.678003210331983,1,6.25628790448
KIF11_actives0000017_docked,-33.1878,8.2127,2.49542,1.93216,0,0,-25.5157,762.594,0,0.611486,1,0.353793,0.70905,0.29095,3931,1006,1120,6,136,34,46,1,256,65,80,0,0,0,0,0,0,0,0,0,157,42,48,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,2.0,7.0,6.0,0.0,13.0,-427977.430871,3.0,39.0,1.0,0.0,0.0,1.0,-2.7,41.13,0.17,63.32,545.32,6.997039725148288,7.1365177883227835,7.116667852147846,7.009179720057723,7.528945835631114,8.225136354007319,6.7441,-10.15693028181625,1,6.24291744059
