Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
LCK_actives0000001_docked,-27.1616,4.96691,8.22023,-1.02843,0,0,-18.398,931.063,0,0.650638,6,0.320088,0.649645,0.350355,4016,1099,1284,35,648,195,214,3,138,32,46,2,299,76,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,14.0,26.0,0.0,2.0,40.0,-14975.5166901,3.0,20.0,0.0,0.0,0.0,0.0,-.1,65.70,0.20,65.52,614.74,7.569757179511699,7.817680574314562,7.393863733877245,7.501889554445554,4.796291166785983,5.453888816878526,6.9982999999999995,-9.101653811429667,1,6.20131602479
LCK_actives0000002_docked,-40.5733,9.05314,14.9671,-5.48686,0,-6.61247e-05,-28.2646,1051.37,1,0.647667,6,0.297147,0.691347,0.308653,5125,1343,1565,54,1544,415,475,14,169,49,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,59.0,26.0,0.0,14.0,22.0,1652.15428315,2.0,35.0,0.0,0.0,0.0,0.0,.5,49.33,0.24,91.21,714.75,8.145472292209742,7.512789167055169,7.523142434176929,7.711712863358864,6.940506652093786,5.805875686555367,6.870300000000001,-9.234069043925794,1,6.40177069576
LCK_actives0000003_docked,-29.7234,5.79066,9.77606,-4.34689,0,0,-22.2231,1043.61,0,0.601305,7,0.376612,0.571322,0.428678,4483,1236,1430,48,612,173,203,6,302,81,94,2,587,170,174,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,38.0,0.0,9.0,11.0,-20086.9887417,0.0,21.0,0.0,0.0,0.0,0.0,-6.4,68.61,0.31,77.99,750.79,6.404665779294166,7.911491359307356,7.669700744366747,7.881762916194921,6.352500429356047,6.958487876474622,7.802199999999999,-9.53403004117608,1,6.26510747461
LCK_actives0000004_docked,-37.9776,10.8716,14.9809,-7.52481,0,0,-26.79,988.521,0,0.649362,10,0.300275,0.653726,0.346274,4607,1304,1429,46,981,289,301,8,575,151,170,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,36.0,70.0,0.0,3.0,17.0,-340439.613091,3.0,32.0,0.0,0.0,0.0,1.0,-1.6,58.43,0.15,117.42,632.90,7.8155269371290235,7.668896074814074,7.699447209845718,7.824231510378511,5.140096722062459,5.659870246089588,7.296600000000001,-10.17507018264672,1,6.11712297284
LCK_actives0000005_docked,-30.9227,6.17225,13.37,-0.51812,0,0,-16.3026,1001.34,0,0.612457,8,0.342818,0.639945,0.360055,3329,882,1068,35,1213,323,381,17,279,82,89,2,0,0,0,0,0,0,0,0,125,33,48,2,81,20,28,1,0,0,0,0,0,0,0,0,0.0,39.0,14.0,0.0,20.0,22.0,-156196.369348,3.0,12.0,0.0,0.0,0.0,0.0,-.9,50.90,0.36,106.51,659.92,7.1647641432746125,8.03287092895993,7.728759683094685,7.6656507572982555,6.034046509369444,6.014120913170863,7.045099999999998,-6.367386469990869,1,6.04890457475
LCK_actives0000006_docked,-38.9611,13.0201,10.3162,-10.2107,0,0,-33.8515,971.686,0,0.623923,7,0.350701,0.600813,0.399187,4280,1089,1271,53,886,228,265,12,174,48,55,3,0,0,0,0,0,0,0,0,0,0,0,0,433,100,119,5,0,0,0,0,0,0,0,0,6.0,58.0,11.0,0.0,20.0,21.0,-150203.15199,2.0,23.0,0.0,0.0,1.0,1.0,-2.7,49.94,0.28,66.21,657.45,7.311265781692546,7.66435759817959,7.820416511377507,7.749606709235211,7.236214201964631,8.231534031938764,7.387000000000004,-9.00456416051698,1,6.63148939179
LCK_actives0000007_docked,-30.3151,32.0261,12.3625,-1.77209,0,0,-5.66087,1006.57,0,0.634156,7,0.399427,0.60301,0.39699,4544,1243,1433,49,1121,311,365,12,77,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,32.0,27.0,0.0,19.0,20.0,92299.5427449,2.0,18.0,0.0,0.0,0.0,0.0,-.6,42.52,0.39,91.79,788.02,7.931212331062758,7.621784675657669,7.566590094794096,7.614963893217898,7.500580198259563,7.3588073327432175,7.389399999999998,-8.498530343909204,1,6.12992387438
LCK_actives0000008_docked,-33.4047,6.78228,11.2679,-4.42051,-1.83515,0,-26.744,926.07,1,0.645181,4,0.298248,0.645096,0.354904,4015,1086,1275,42,1245,338,388,17,122,30,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,57.0,6.0,0.0,20.0,14.0,-39143.6334579,3.0,26.0,0.0,0.0,0.0,0.0,-1.2,45.30,0.25,79.18,601.48,7.516420694516664,7.6020312925407865,7.604801073038076,7.539289490509495,6.847422058091134,7.254930774142232,7.400399999999998,-8.825281578545091,1,6.37766425077
LCK_actives0000009_docked,-30.9454,26.2457,7.83137,-3.41798,0,0,-13.9034,1053.23,0,0.642746,10,0.32819,0.66802,0.33198,4179,1140,1303,38,1292,357,396,11,109,32,35,2,0,0,0,0,0,0,0,0,174,45,53,2,85,26,32,0,0,0,0,0,0,0,0,0,4.0,32.0,20.0,0.0,4.0,16.0,-80390.6335601,1.0,21.0,0.0,0.0,0.0,2.0,1.8,52.90,0.27,85.42,712.20,7.020433567528014,7.993777436507933,7.816778369796872,7.55092782783883,5.214331300943032,6.350761548019979,7.382199999999999,-7.657290689637616,1,6.00407035286
LCK_actives0000010_docked,-28.0985,8.20954,7.66608,-2.07184,0,0,-19.3552,855.472,0,0.667395,6,0.309758,0.650823,0.349177,3865,1027,1182,44,1096,296,339,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,36,42,0,0,0,0,0,0,0,0,0,9.0,36.0,15.0,0.0,6.0,19.0,-522540.990387,1.0,24.0,0.0,0.0,0.0,2.0,-.3,35.97,0.32,46.14,567.97,7.639823599151659,7.622939546897549,7.505141676323682,7.351829097069601,5.877264071242651,7.371897679312959,7.220400000000003,-8.213127806420442,1,6.1938178415
