Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
MDM2_actives0000001_docked,-32.5356,9.79793,3.29483,-2.68437,0,0,-26.899,735.73,0,0.647397,1,0.426501,0.824383,0.175617,3403,728,683,45,283,54,51,2,411,90,83,5,0,0,0,0,0,0,0,0,0,0,0,0,359,79,80,6,0,0,0,0,158,34,35,2,37.0,2.0,4.0,11.0,0.0,3.0,-27643.8900569,0.0,22.0,0.0,0.0,1.0,0.0,-3.5,62.32,0.09,86.71,567.49,6.646708523976105,6.991718763181257,6.754974047106479,6.433534846264846,6.313474865336641,5.961659438777043,6.497000000000002,-8.719686206167369,1,5.9970501234
MDM2_actives0000002_docked,-29.0408,35.1006,6.39596,-1.60564,0,0,-5.60594,852.559,0,0.591282,1,0.452632,0.757395,0.242605,3492,742,726,43,351,71,67,3,404,84,83,5,0,0,0,0,0,0,0,0,0,0,0,0,232,51,56,3,0,0,0,0,225,46,48,4,37.0,1.0,7.0,18.0,0.0,2.0,1916.46483231,1.0,8.0,0.0,0.0,0.0,0.0,-1.4,63.33,0.25,103.94,738.71,5.91897382245398,6.849804930680432,6.271763608045543,6.282018120102116,4.220855704675075,4.4317024548884385,6.0219999999999985,-6.417001122362575,1,5.99573717947
MDM2_actives0000003_docked,-32.3147,43.2288,8.1534,-2.79926,0,-0.776248,-5.3151,868.526,1,0.655111,2,0.445227,0.771395,0.228605,3625,777,754,46,464,98,89,5,358,71,70,5,0,0,0,0,0,0,0,0,0,0,0,0,229,51,56,3,0,0,0,0,221,45,46,4,47.0,1.0,7.0,19.0,0.0,4.0,-40514.810806,2.0,12.0,0.0,0.0,0.0,0.0,-2.2,60.75,0.31,79.11,751.08,6.337595444361462,6.979988577811077,6.693638129690562,6.602306200355207,5.580843317296769,4.564476162899698,6.168100000000003,-7.305272298549864,1,6.02466008694
MDM2_actives0000004_docked,-28.2941,17.3833,2.55069,-2.45864,0,0,-19.5011,836.642,0,0.595441,1,0.454341,0.76867,0.23133,3608,780,748,43,374,84,74,3,375,90,90,4,0,0,0,0,0,0,0,0,0,0,0,0,323,74,68,5,0,0,0,0,163,33,41,2,18.0,2.0,12.0,11.0,0.0,8.0,-38476.8083953,1.0,15.0,0.0,0.0,0.0,0.0,-.3,63.75,0.29,85.10,755.95,6.1486578568917505,6.986871617771114,6.442025282648717,6.597096364357863,4.679063514424781,5.315348836808171,5.6485,-6.228177879256411,1,5.96888655499
MDM2_actives0000005_docked,-31.3183,8.22163,6.16905,-3.11304,0,-0.635118,-24.8878,762.969,1,0.670879,1,0.517783,0.850922,0.149078,3728,789,747,51,268,54,50,2,589,137,133,6,0,0,0,0,0,0,0,0,0,0,0,0,368,80,81,6,0,0,0,0,60,15,18,1,53.0,2.0,3.0,9.0,0.0,4.0,51772.8370219,1.0,27.0,1.0,0.0,1.0,1.0,-4.0,69.90,0.21,115.22,729.66,6.725702246816823,6.56319279365079,6.6463704067599005,6.613322629870126,7.291336104580785,6.0193681848555,6.481299999999997,-7.457285414517997,1,6.02314370504
MDM2_actives0000006_docked,-29.3609,47.3381,3.06816,-2.28807,0,0,-2.40022,752.491,0,0.58696,2,0.454522,0.827355,0.172645,3497,730,705,54,315,58,57,3,517,115,115,7,0,0,0,0,0,0,0,0,0,0,0,0,203,42,44,3,0,0,0,0,216,50,49,4,27.0,2.0,5.0,26.0,0.0,2.0,-14932.320159,1.0,19.0,0.0,0.0,0.0,0.0,-1.8,61.78,0.12,86.71,596.96,5.760218971589914,6.353044827006329,6.080778535395972,6.114972298312799,5.2419423755323225,5.773496883189378,6.136900000000001,-7.5782647857126,1,5.97812741327
MDM2_actives0000007_docked,-28.5535,27.1749,7.15576,-0.814103,0,0,-7.85444,823.362,0,0.545279,1,0.527582,0.764239,0.235761,3540,767,754,41,614,131,138,5,258,50,48,2,0,0,0,0,0,0,0,0,0,0,0,0,150,38,31,2,0,0,0,0,51,12,10,1,36.0,1.0,11.0,19.0,1.0,11.0,11324.6438762,1.0,21.0,0.0,0.0,0.0,0.0,-.9,57.75,0.35,73.12,829.03,7.331546563911507,7.306045772727266,6.742624532689531,7.001646440337447,4.3084475374542,5.1731763921242395,6.4694,-6.877091370283579,1,5.98444351422
MDM2_actives0000008_docked,-32.5325,6.89505,7.67834,-1.85327,0,-0.924379,-23.4287,877.179,1,0.620267,2,0.427697,0.772093,0.227907,4205,873,870,58,277,54,52,2,451,99,89,5,0,0,0,0,0,0,0,0,0,0,0,0,239,48,55,3,0,0,0,0,0,0,0,0,39.0,1.0,5.0,14.0,0.0,3.0,-85479.3445333,1.0,20.0,0.0,0.0,0.0,0.0,-1.5,66.20,0.23,77.92,719.94,7.012357084106512,7.231385690087693,6.859520426795426,6.891073095182596,4.394383448770947,5.151554741807748,6.335000000000001,-7.921581197082712,1,5.989287437
MDM2_actives0000009_docked,-28.3646,6.37978,4.24208,-1.64544,0,0,-23.0011,826.56,0,0.613365,1,0.50288,0.758829,0.241171,4001,849,836,51,395,85,77,4,254,60,57,3,0,0,0,0,0,0,0,0,0,0,0,0,307,66,65,5,0,0,0,0,0,0,0,0,18.0,4.0,7.0,13.0,3.0,7.0,-31542.9240651,0.0,25.0,0.0,0.0,0.0,0.0,-4.3,65.18,0.31,79.11,788.50,6.708442066466342,6.804589652458653,6.609521974123913,6.852603422355423,5.752175560462762,6.992163037712788,6.539200000000002,-7.525366801464332,1,5.96801776115
MDM2_actives0000010_docked,-29.9683,6.52162,7.94147,-6.78766,0,-2.3648,-27.2044,826.189,2,0.58517,2,0.453699,0.770192,0.229808,3534,744,737,44,359,69,70,3,440,92,87,5,0,0,0,0,0,0,0,0,0,0,0,0,225,49,56,3,0,0,0,0,228,49,51,4,46.0,1.0,7.0,17.0,0.0,2.0,-54668.1900486,2.0,9.0,0.0,0.0,0.0,1.0,-1.7,63.33,0.22,103.94,711.05,6.1669401576385035,6.755070319569315,6.264758121032555,6.406261228327227,4.35559682170724,4.433658733334797,6.117099999999998,-6.845950255004451,1,6.0189488107
