Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
MK2_actives0000001_docked,-23.6645,22.3818,4.35113,-3.73889,-1.04051,0,-13.0268,633.758,1,0.609901,4,0.29231,0.761115,0.238885,2647,705,781,30,509,137,154,5,191,50,50,2,0,0,0,0,0,0,0,0,207,52,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.0,16.0,0.0,17.0,3.0,-79078.75825,2.0,6.0,0.0,0.0,0.0,0.0,1.6,29.61,0.20,54.02,360.09,5.854440065129412,7.3505721842601845,6.864881111832609,7.153587701520701,4.497116911755202,5.906498581405779,6.550799999999999,-7.971741293773942,1,6.02161177456
MK2_actives0000002_docked,-22.2088,3.8319,4.90156,-4.10672,0,0,-20.4379,637.727,0,0.562178,4,0.324456,0.661796,0.338204,2405,652,744,27,462,122,146,5,117,34,38,1,0,0,0,0,0,0,0,0,151,43,47,2,218,53,60,3,0,0,0,0,0,0,0,0,0.0,21.0,10.0,0.0,5.0,3.0,-22855.8567971,0.0,9.0,0.0,0.0,0.0,0.0,-.4,33.66,0.20,54.02,376.73,4.854351175526753,6.969836243201244,6.4527749624982835,6.7293998037517975,4.989513509587804,6.1633352916217445,7.125399999999997,-8.109384474101512,1,5.95053219284
MK2_actives0000003_docked,-28.065,6.19583,7.07947,-1.99187,0,0,-21.516,779.328,0,0.599536,5,0.37421,0.622279,0.377721,3425,938,1043,43,556,158,179,7,242,68,75,3,358,88,105,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.0,11.0,0.0,22.0,8.0,30958.8114948,1.0,18.0,0.0,0.0,0.0,0.0,-1.5,56.87,0.21,67.23,553.55,6.926095931337777,7.522497900432896,6.9578133800088855,7.134861469696966,6.34034892774541,7.8371318806309125,7.0055,-8.13413223532209,1,5.97698438459
MK2_actives0000004_docked,-21.548,19.3515,8.22003,-0.709085,-1.7609,0,-5.44496,633.311,1,0.580857,6,0.28942,0.805079,0.194921,2310,612,696,25,466,131,148,6,358,90,105,4,0,0,0,0,0,0,0,0,211,51,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.0,9.0,0.0,24.0,6.0,-264391.386943,2.0,9.0,0.0,0.0,0.0,0.0,-.5,28.51,0.31,76.38,368.60,4.779543678455408,6.899831709235212,6.595854260461763,6.848039557886555,4.092429216097609,5.3495870761532816,6.243499999999998,-5.801204805650468,1,5.95550563431
MK2_actives0000005_docked,-27.1463,21.0864,5.19433,-0.561945,0,0,-11.6361,768.421,0,0.598456,5,0.332479,0.671486,0.328514,3262,900,1003,37,587,153,179,6,199,51,51,1,0,0,0,0,0,0,0,0,209,52,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18.0,34.0,0.0,8.0,9.0,-110914.156419,1.0,15.0,0.0,0.0,0.0,0.0,.7,40.66,0.19,66.91,491.52,7.078454233381211,7.955477405427899,7.093139813186814,7.120676953712949,6.480720854738665,7.664220244962107,7.454999999999997,-9.558737408262438,1,5.98881029357
MK2_actives0000006_docked,-31.7963,6.75903,13.2931,-5.34344,0,-0.645571,-22.5393,915.672,1,0.561789,9,0.333099,0.65754,0.34246,3771,1008,1165,42,480,129,139,7,767,199,226,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,68.0,23.0,0.0,11.0,12.0,22544.3284812,2.0,23.0,0.0,0.0,0.0,0.0,-3.2,59.81,0.12,113.68,596.32,7.733744421662284,7.668772256220906,7.124318542013546,7.198842343156842,5.4204854718592275,5.068404945576778,6.726499999999999,-8.2447653211745,1,5.96021721463
MK2_actives0000007_docked,-28.0516,6.21483,9.09507,-3.76949,0,0,-21.2452,779.131,0,0.581992,5,0.376471,0.623799,0.376201,3204,878,975,40,545,156,179,7,238,66,76,3,348,89,105,4,0,0,0,0,0,0,0,0,153,44,49,2,0,0,0,0,0,0,0,0,0.0,21.0,11.0,0.0,20.0,9.0,-4804.5229855,1.0,15.0,0.0,0.0,0.0,0.0,-.9,58.81,0.17,67.23,538.31,6.027485292185516,7.505588224497723,6.995131759962261,7.358305697247197,5.911537377555622,7.2041296789497125,7.004500000000002,-7.767893873018661,1,5.9786455542
MK2_actives0000008_docked,-26.9686,6.25267,11.4697,-8.84411,0,-1.63167,-22.5511,746.108,2,0.636322,4,0.447759,0.735169,0.264831,3522,939,1023,41,631,163,186,6,308,81,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,49.0,22.0,0.0,22.0,2.0,-114686.484954,3.0,13.0,0.0,0.0,0.0,0.0,-3.0,41.36,0.29,86.88,571.34,6.100733048477992,7.4239155440670395,6.918987058663558,7.057063323676325,5.740268401829237,6.35637338897571,6.591099999999999,-6.706689617844055,1,6.0740556408
MK2_actives0000009_docked,-22.0883,3.45864,5.14065,-3.60402,0,-1.57871,-21.0097,705.36,1,0.574029,3,0.384302,0.653208,0.346792,3135,835,949,32,529,144,167,6,100,28,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,19.0,0.0,6.0,3.0,-35492.887679,1.0,17.0,0.0,0.0,0.0,0.0,-2.3,40.24,0.10,70.67,454.48,5.794944815063102,6.99388296003996,6.640919450399274,6.477385308580308,4.064678364896741,5.367448574338675,6.8439999999999985,-7.96614339337112,1,5.98874719999
MK2_actives0000010_docked,-25.3016,5.7447,2.0495,-1.27607,0,0,-22.4375,684.599,0,0.562908,6,0.391699,0.672388,0.327612,2999,844,945,36,515,137,157,6,197,51,56,3,0,0,0,0,0,0,0,0,168,47,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30.0,5.0,0.0,7.0,10.0,18567.660603,1.0,19.0,0.0,0.0,0.0,0.0,.4,38.00,0.14,54.02,466.27,6.396248815751737,7.485357826118324,6.875674210012209,6.950730884559874,6.19748393332083,6.675473199634261,6.995700000000002,-7.833874771207022,1,5.95466124535
