Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
MMP2_actives0000001_docked,-22.9292,80.5175,12.1607,-10.1149,-1.63156,0,20.411,580.106,1,0.503166,4,0.455215,0.495031,0.504969,2048,660,612,19,388,122,112,3,566,180,168,4,0,0,0,0,0,0,0,0,205,68,61,2,0,0,0,0,0,0,0,0,0,0,0,0,13.0,10.0,26.0,0.0,24.0,3.0,102942.164605,2.0,16.0,0.0,0.0,1.0,1.0,-4.4,47.77,0.33,108.83,557.71,6.337684808800933,7.249311871017867,7.0791023192918185,6.972405758297258,3.4635710970146065,4.9121027779528115,5.502699999999997,-3.4951467693382243,1,5.98759092324
MMP2_actives0000002_docked,-25.3285,15.7035,13.3914,-43.1036,-2.01904,0,-49.62,681.606,2,0.432994,6,0.455119,1.61248,2.61248,2211,606,661,8,270,88,83,2,684,195,200,4,0,0,0,0,0,0,0,0,235,71,69,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,6.0,37.0,0.0,14.0,19.0,-142634.401152,4.0,14.0,0.0,0.0,0.0,0.0,-3.1,48.06,0.30,95.94,573.39,6.667741465699135,7.098973287545786,7.317484405176509,6.473473623265621,2.6202584344451814,6.036985476640289,6.223300000000004,-6.180612117959266,1,6.02802130644
MMP2_actives0000003_docked,-27.3445,38.756,13.6205,-32.9954,0,0,-26.4344,858.56,0,0.565113,11,0.437346,0.036496,1.0365,3677,1029,1046,18,332,94,100,2,617,180,179,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,1.0,27.0,0.0,4.0,16.0,9071.19964726,4.0,18.0,1.0,0.0,1.0,1.0,-3.9,51.25,0.48,116.76,791.44,7.291108388904083,7.4164813292818295,6.932494876845371,6.921661236985236,5.580540049774757,6.554028916239518,6.632100000000001,-6.939330120588675,1,5.96188096997
MMP2_actives0000004_docked,-19.8391,5.67084,12.2796,-30.6409,0,0,-35.5257,678.46,0,0.477252,11,0.522954,2.48024,1.48024,2494,704,716,11,553,149,148,4,535,157,147,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,3.0,27.0,0.0,2.0,11.0,113562.661784,2.0,5.0,1.0,0.0,1.0,1.0,-5.8,43.64,0.42,120.42,682.52,5.349346809183565,7.464653659285151,6.32300588790621,6.599592246586743,3.389249922416265,4.443052790890662,5.286099999999999,-4.5415448414562904,1,5.96219171983
MMP2_actives0000005_docked,-14.466,10.8252,11.9972,-55.0741,0,0,-51.4641,580.245,0,0.476939,5,0.610643,1.18933,0.189329,2549,739,706,13,188,63,52,1,664,192,177,5,0,0,0,0,0,0,0,0,132,40,35,1,0,0,0,0,0,0,0,0,0,0,0,0,22.0,3.0,29.0,0.0,2.0,7.0,192844.542108,1.0,6.0,0.0,0.0,0.0,0.0,-8.3,52.25,0.30,95.94,704.16,5.532732620549448,5.9222364599289605,5.670730466977467,5.821786518537021,1.561089697550381,4.528031415382678,5.8114,-4.002857625071908,1,6.02019877949
MMP2_actives0000006_docked,-25.5986,32.9786,20.5171,-26.6329,0,0,-14.6067,737.524,0,0.551908,13,0.498697,2.15765,1.15765,2952,883,829,20,571,164,161,3,1021,285,278,6,0,0,0,0,0,0,0,0,213,58,65,1,0,0,0,0,0,0,0,0,0,0,0,0,29.0,13.0,46.0,1.0,9.0,12.0,-25839.7080748,4.0,16.0,0.0,0.0,0.0,1.0,-5.4,74.05,0.26,185.20,816.37,7.584731206365203,6.704152418470413,6.6470175859695795,6.798195431457433,3.336330880013892,5.469912209738484,5.825,-5.371275074807696,1,5.96883268461
MMP2_actives0000007_docked,-22.4599,3.46372,9.89612,-4.68131,0,0,-16.8817,842.716,0,0.463342,9,0.43264,0.533635,0.466365,3177,928,873,16,301,88,81,1,693,216,188,3,0,0,0,0,0,0,0,0,87,28,26,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,6.0,19.0,0.0,11.0,6.0,61008.7135221,0.0,30.0,1.0,0.0,1.0,0.0,-5.7,66.11,0.26,134.27,760.54,5.936213917605794,7.120953334276843,6.53314861938062,6.5577229301809306,2.459163155822175,4.283907203660404,5.830499999999998,-5.87527391092161,1,5.97094006696
MMP2_actives0000008_docked,-19.0929,4.23305,8.79438,-0.32874,0,0,-9.39154,922.271,0,0.453162,7,0.411564,0.733519,0.266481,3549,966,995,21,224,62,69,2,660,184,198,4,0,0,0,0,0,0,0,0,92,28,26,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0,7.0,12.0,0.0,0.0,12.0,-83766.0636765,0.0,15.0,0.0,0.0,0.0,0.0,-2.9,58.44,0.33,113.01,806.72,6.208549508575141,6.761980618368567,6.312395037518034,6.410039372294376,3.253033483985726,4.702383049172773,6.422599999999999,-5.727754313877713,1,5.99048178521
MMP2_actives0000009_docked,-35.2283,11.538,17.1063,-34.5764,0,0,-47.5076,889.307,0,0.542671,11,0.411206,0.623708,0.376292,3619,1028,1013,19,221,65,58,1,695,192,186,5,0,0,0,0,0,0,0,0,120,35,33,1,0,0,0,0,0,0,0,0,0,0,0,0,24.0,5.0,47.0,0.0,1.0,46.0,-100805.768295,2.0,40.0,1.0,0.0,2.0,4.0,-5.7,62.18,0.12,108.49,635.85,7.055999520186221,6.897354121476562,6.953858731990227,7.2735748893883905,5.638798974766852,6.376558950228785,6.766500000000001,-8.532065104623939,1,6.08923697995
MMP2_actives0000010_docked,-31.6772,40.4827,16.9781,-29.1838,0,0,-22.2037,735.356,0,0.577775,9,0.409623,0.959201,0.0407989,2736,758,758,16,425,126,115,2,633,183,178,4,0,0,0,0,0,0,0,0,107,31,34,1,0,0,0,0,0,0,0,0,0,0,0,0,67.0,6.0,31.0,0.0,4.0,20.0,-148867.981796,3.0,30.0,2.0,0.0,2.0,1.0,-4.4,47.11,0.22,124.60,532.44,7.109182806319363,7.225343713342204,6.526080192862688,6.699273220668208,4.49239964430387,5.3300057701995165,5.640499999999998,-5.7470722428396055,1,5.98982870673
