Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
NA_actives0000001_docked,-14.3356,19.9553,19.3646,-6.07663,0,-4.40369,4.82116,662.953,4,0.708297,6,0.348212,0.362293,0.637707,1823,659,627,1,728,238,232,2,883,340,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,31.0,78.0,0.0,1.0,1.0,-1586142.40467,7.0,3.0,0.0,0.0,0.0,5.0,-2.9,39.15,0.58,198.22,432.00,4.148229835671823,6.558161307359305,5.730272686591186,5.77863515562216,2.246768781179475,4.209993663398605,4.556600000000002,-4.981125641643724,1,6.0482261019
NA_actives0000002_docked,-22.5526,2.5332,17.8125,-17.6744,0,-2.36897,-22.8146,680.22,4,0.721917,5,0.310869,0.445133,0.554867,2548,900,836,10,329,119,112,1,456,168,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44.0,45.0,0.0,3.0,1.0,-846972.589248,7.0,11.0,0.0,0.0,0.0,4.0,-1.9,17.49,0.73,78.43,468.94,4.420687870232831,6.667837056055056,6.2384495246975264,6.48604556893107,3.0297747379347597,4.463119948491386,5.978600000000003,-6.4628692716020195,1,6.08951977338
NA_actives0000003_docked,-22.66,15.3769,21.5713,-16.3073,0,-3.66877,-11.8049,730.986,5,0.701102,4,0.314416,0.427853,0.572147,2516,880,844,6,710,237,238,3,471,169,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,52.0,53.0,0.0,3.0,0.0,-816139.79258,8.0,10.0,0.0,0.0,0.0,4.0,-4.0,25.77,0.67,107.11,478.78,4.7297683119356995,6.720054229048727,6.5338457126207095,6.785427695249189,3.6177272064884693,4.7077678716071,5.722799999999998,-7.011905482394184,1,6.10833050957
NA_actives0000004_docked,-15.9636,1.82052,16.5111,-10.1888,0,-3.08268,-11.378,707.28,3,0.677046,7,0.286919,0.457325,0.542675,2192,767,735,8,306,110,104,1,763,269,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,36.0,41.0,0.0,0.0,1.0,-537712.805002,4.0,12.0,0.0,0.0,0.0,2.0,-2.8,23.06,0.79,104.73,477.84,4.402473235602831,6.532869303529801,5.829630811632814,6.191678162892659,4.370215783385945,5.1045552692160525,6.814599999999997,-5.469354044982682,1,5.97081067416
NA_actives0000005_docked,-23.5532,3.82275,19.8018,-15.1033,0,-2.72422,-18.3491,733.257,5,0.698502,4,0.311031,0.439103,0.560897,2509,866,836,8,505,174,169,2,458,168,154,0,0,0,0,0,0,0,0,0,189,64,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,43.0,48.0,0.0,2.0,1.0,-709455.775558,7.0,11.0,0.0,0.0,0.0,4.0,-3.0,26.63,0.67,91.32,483.31,5.099598314766807,7.104419957153959,6.8842300763125746,6.837266754800747,2.490373824534448,3.9562416282976027,5.7138,-6.319838449757572,1,5.9807265654
NA_actives0000006_docked,-19.6833,22.1296,16.7092,-10.6482,0,-2.35109,-3.74705,736.763,4,0.723584,8,0.31261,0.438028,0.561972,2433,838,804,7,679,232,216,2,432,159,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,39.0,47.0,0.0,0.0,2.0,-758512.712386,6.0,13.0,0.0,0.0,0.0,2.0,-4.0,25.31,0.67,107.11,479.64,4.633212697565494,6.804481836441332,6.428986497058491,6.677704619602618,2.5968279656396107,4.433738006656071,6.465899999999998,-6.004168241118697,1,5.98438065097
NA_actives0000007_docked,-19.2193,1.76197,16.2159,-10.3633,0,-2.30151,-14.6726,740.978,3,0.716623,5,0.363827,0.452095,0.547905,3031,1079,1032,10,180,80,66,0,507,190,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30.0,43.0,0.0,3.0,2.0,-635924.707234,3.0,13.0,0.0,0.0,0.0,2.0,-5.1,32.05,0.50,101.65,554.16,4.380934782383859,6.976961761183263,6.056474320346324,5.941562557942059,4.035256959651075,5.450374644615564,5.289100000000001,-5.876536874070193,1,6.01301817817
NA_actives0000008_docked,-22.1906,7.22385,23.3397,-7.52277,0,-3.83548,-6.4574,725.422,4,0.721573,7,0.29844,0.452675,0.547325,2383,854,828,7,736,244,235,2,601,221,205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,53.0,64.0,0.0,7.0,5.0,-1443568.01348,9.0,7.0,0.0,0.0,0.0,5.0,-3.3,26.96,0.67,137.53,496.85,4.50584077684729,7.108754780996785,6.578243127372628,6.725509253191249,3.0246247124252403,4.556492643205687,6.7506,-6.4473263514322525,1,6.27331621336
NA_actives0000009_docked,-23.3909,11.0552,24.1605,-5.3665,0,-2.93694,-2.09407,700.964,3,0.716865,7,0.313997,0.446746,0.553254,2287,810,786,13,896,298,283,3,728,265,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,56.0,72.0,0.0,3.0,3.0,-1467251.23365,5.0,11.0,0.0,0.0,0.0,6.0,-1.4,34.06,0.57,157.84,486.69,4.840309842984505,7.144819497335999,6.618522188478181,6.657400211455206,3.7474913142237485,3.8344037159137905,5.288200000000001,-6.255633486463308,1,6.24303702556
NA_actives0000010_docked,-15.0294,18.675,13.0028,1.94816,0,0,8.02689,665.327,0,0.68718,3,0.466365,0.480038,0.519962,2237,842,799,6,307,107,89,0,626,208,212,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17.0,46.0,0.0,0.0,0.0,-562808.62577,1.0,10.0,0.0,0.0,0.0,2.0,-3.8,21.96,0.79,101.65,601.70,4.206772674338188,6.710015377844377,5.867003398323905,6.092959177045177,4.086762257570874,4.920244613642139,4.889399999999999,-3.976423777071371,1,6.01066080635
