Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
P38-alpha_actives0000001_docked,-37.5342,45.5151,12.8148,-5.52682,-1.7355,0,-9.17839,991.974,1,0.668263,7,0.311684,0.686018,0.313982,4201,1149,1233,35,960,277,290,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,99,108,4,0,0,0,0,0,0,0,0,1.0,52.0,13.0,0.0,44.0,2.0,-320894.597447,3.0,26.0,0.0,0.0,1.0,1.0,-1.1,40.81,0.48,58.87,691.86,7.4725995875552425,7.6840630349650265,7.779563166056161,7.646742647186146,7.8109358773688,8.180732935743185,7.758699999999997,-9.025643645569765,1,6.32446224996
P38-alpha_actives0000002_docked,-26.714,6.44966,4.21411,-7.72666,0,-1.32479,-29.3295,762.677,1,0.649069,3,0.372588,0.682014,0.317986,3819,991,1075,38,699,192,205,6,384,102,99,4,94,29,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,64.0,5.0,0.0,15.0,0.0,-34065.5548053,2.0,29.0,1.0,0.0,0.0,0.0,1.1,51.78,0.05,65.45,495.95,7.4467365975265905,7.713855079143081,7.2125618480408535,7.23306848423798,4.966773781734589,5.383448065837461,5.914599999999999,-7.729153361439496,1,5.99464744489
P38-alpha_actives0000003_docked,-31.1079,6.62849,12.0536,-14.3067,-2.60645,-1.30865,-34.2042,894.767,3,0.64849,4,0.383648,0.662814,0.337186,3659,986,1074,43,903,252,262,8,473,125,126,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,48.0,40.0,0.0,8.0,10.0,-82155.1346629,5.0,22.0,1.0,0.0,1.0,0.0,-1.2,58.04,0.17,109.65,624.40,6.559092285343461,7.725516198412702,7.434272310966813,7.280846165223666,5.253754265394728,6.414371682567422,6.599499999999999,-7.31772116921416,1,5.9903787306
P38-alpha_actives0000004_docked,-30.4878,6.30193,12.3599,-7.04878,-1.84113,-0.971251,-25.2962,701.634,2,0.664251,3,0.322693,0.688948,0.311052,3529,908,980,35,681,194,201,7,182,48,53,1,440,96,103,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,80.0,4.0,0.0,40.0,0.0,-5543.69328103,5.0,23.0,0.0,0.0,0.0,0.0,.2,47.34,0.21,56.22,453.04,7.281955967879858,7.533935530858026,7.032017906759912,7.474432515706514,7.959717953925432,8.57078884363157,7.165200000000001,-9.004883925841145,1,6.1374204528
P38-alpha_actives0000005_docked,-29.7059,6.23712,9.64573,-6.52601,-1.87557,-1.09921,-26.7822,701.134,2,0.682713,2,0.316069,0.712739,0.287261,3419,881,930,34,668,189,203,7,185,50,51,1,231,47,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,71.0,3.0,0.0,39.0,1.0,-122381.147954,5.0,25.0,0.0,0.0,0.0,0.0,0,42.01,0.17,56.74,435.55,6.535080869879728,7.4482856783771725,6.891601944444439,7.338945180208679,5.634340919690762,6.883762765819468,6.8474,-8.8167277281778,1,6.09745173912
P38-alpha_actives0000007_docked,-28.9526,8.21364,9.46223,-10.2066,-3.14826,0,-31.3342,815.719,2,0.674718,6,0.371913,0.679544,0.320456,3280,870,914,34,844,227,256,10,623,174,182,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,31.0,21.0,0.0,9.0,14.0,38725.3856049,2.0,17.0,0.0,0.0,1.0,0.0,-4.1,48.15,0.26,106.85,548.80,6.919302259504057,7.673374810522808,7.349210010101014,7.083400257575749,5.180422909188858,6.761608091003876,6.5895,-6.517488779522947,1,5.96335758707
P38-alpha_actives0000008_docked,-26.8721,5.99316,12.0855,0.446352,-0.200095,0,-13.2685,785.069,1,0.65279,0,0.390927,0.656255,0.343745,3535,943,1052,41,448,123,139,8,187,53,53,1,678,148,157,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,52.0,7.0,0.0,28.0,1.0,77594.4263402,3.0,20.0,0.0,0.0,0.0,0.0,-2.5,63.59,0.13,79.51,548.70,7.360505381347119,7.433922391219891,6.925432901154409,6.931230687978684,4.6282859869038315,6.782878457815454,5.7302,-8.647445493497665,1,6.27541977825
P38-alpha_actives0000009_docked,-31.0941,19.9964,9.80966,-9.90865,0,-0.833283,-22.4424,779.48,1,0.658496,5,0.323606,0.708856,0.291144,3684,973,1044,36,651,186,192,8,122,35,41,1,230,45,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,59.0,9.0,0.0,51.0,0.0,-7629.46980456,6.0,21.0,1.0,0.0,1.0,0.0,-1.4,42.50,0.14,73.83,498.37,6.604362855292325,7.551710288100782,6.863830149683648,7.22871923015873,7.805818222746111,7.357237733829935,7.741800000000003,-8.40057815002311,1,6.08954014688
P38-alpha_actives0000010_docked,-30.8106,6.55822,11.3305,-5.97369,-3.51688,0,-27.4752,840.745,2,0.650333,5,0.408491,0.652914,0.347086,3282,863,916,36,962,264,290,12,589,159,169,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,43.0,28.0,0.0,11.0,11.0,32245.1047885,3.0,22.0,0.0,0.0,1.0,0.0,-3.6,51.47,0.30,118.88,599.42,6.870050467262303,7.605254321678329,7.4451514668109695,7.259929663780658,5.886351240570147,6.7331669907446665,6.9913,-7.438645434804253,1,5.99261220035
P38-alpha_actives0000011_docked,-41.9403,11.4839,12.7005,-6.1052,-1.89024,0,-31.4037,1003.9,1,0.663425,8,0.299441,0.679689,0.320311,5026,1344,1438,45,833,236,243,8,0,0,0,0,660,150,158,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,68.0,25.0,0.0,45.0,2.0,-456577.130461,5.0,35.0,0.0,0.0,0.0,1.0,-3.0,63.25,0.31,54.77,726.88,8.47310070278639,8.195666550172042,8.00849031801532,8.031572796925289,11.017192274841388,10.776298278972858,8.1962,-11.103330605460611,1,6.3702291527
