Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
PARP-1_actives0000001_docked,-36.8333,21.7261,20.9688,-10.4797,-1.97527,0,-18.0662,1191.36,2,0.603838,9,0.275893,0.58254,0.41746,5823,1515,1658,46,672,176,216,7,685,180,201,6,0,0,0,0,0,0,0,0,178,44,52,1,0,0,0,0,0,0,0,0,0,0,0,0,52.0,35.0,27.0,0.0,16.0,22.0,-114361.662095,4.0,47.0,0.0,0.0,0.0,0.0,2.6,66.64,0.18,103.70,787.89,8.139140198395951,8.454108939671432,8.250456068820066,8.117724875180377,8.238585661924146,8.466153581628744,7.360299999999995,-11.35249981234266,1,6.19147974018
PARP-1_actives0000002_docked,-32.2653,5.804,17.7461,-4.64467,-1.61113,0,-18.9134,897.906,1,0.594892,9,0.283296,0.560689,0.439311,4147,1042,1174,28,556,139,157,5,710,173,194,6,0,0,0,0,0,0,0,0,192,46,55,3,0,0,0,0,0,0,0,0,0,0,0,0,46.0,23.0,8.0,0.0,15.0,3.0,-137665.727504,3.0,32.0,2.0,0.0,0.0,0.0,2.1,45.07,0.27,95.58,549.05,7.717402594292144,7.705888699078701,7.505316079143075,7.383073552669551,5.741155819048039,6.446007491391691,6.203899999999999,-8.661076725774235,1,5.98179554364
PARP-1_actives0000003_docked,-38.5167,13.0144,17.9246,-3.09656,-1.25385,0,-19.8663,928.414,1,0.599702,9,0.269387,0.608971,0.391029,4597,1162,1289,29,584,141,170,5,204,45,47,2,0,0,0,0,0,0,0,0,0,0,0,0,178,45,52,1,0,0,0,0,0,0,0,0,50.0,31.0,13.0,1.0,15.0,12.0,-50326.0254913,2.0,42.0,2.0,0.0,0.0,0.0,1.2,36.34,0.33,44.70,549.18,9.053565614494813,7.636992688200694,7.350492167388174,7.460405148629153,7.243454443232145,6.998780910567973,7.2238999999999995,-11.896561477320411,1,6.22610382168
PARP-1_actives0000004_docked,-21.4809,4.2934,9.2882,-4.61479,-1.30311,0,-16.4939,600.943,1,0.613144,5,0.300376,0.677321,0.322679,2460,596,685,28,191,48,54,2,733,190,205,6,214,44,59,3,0,0,0,0,181,49,53,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0,24.0,2.0,0.0,17.0,1.0,29867.258156,2.0,35.0,5.0,0.0,0.0,0.0,-4.8,46.39,0.00,93.81,346.84,6.178316085265321,6.047452043290047,5.760173271617267,5.975751334776336,7.0873113190603005,7.173406978467013,6.158400000000003,-9.528528037528195,1,5.99464914055
PARP-1_actives0000005_docked,-33.0681,39.865,14.2169,2.97393,-1.45044,0,2.22086,712.063,1,0.599347,7,0.282824,0.678574,0.321426,3582,869,1008,36,382,95,105,3,563,137,164,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,34.0,8.0,1.0,17.0,3.0,-138957.590275,3.0,51.0,7.0,0.0,0.0,0.0,1.3,39.57,0.21,79.03,413.57,7.740325646691831,7.16847067388167,6.867926161616161,6.620563073371061,6.18366021333794,8.633391564504933,6.943000000000003,-12.101622779226027,1,6.08695641944
PARP-1_actives0000006_docked,-32.0583,5.48616,9.93881,-2.06718,-2.06519,0,-25.3259,698.23,1,0.608251,7,0.287169,0.690513,0.309487,3264,788,931,34,573,152,163,5,394,94,102,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,24.0,5.0,1.0,19.0,3.0,-193338.40564,2.0,48.0,3.0,0.0,1.0,1.0,-1.9,32.10,0.18,61.44,424.42,7.218570876066646,7.14397602397602,7.011520602453096,6.881995951992447,6.024117094595738,6.324336186489419,6.640600000000003,-9.449285378349593,1,6.16659062413
PARP-1_actives0000007_docked,-25.1247,24.6379,10.4341,-4.9757,-1.22442,-0.862058,-9.68524,417.336,2,0.604831,6,0.356167,0.707196,0.292804,2298,541,627,26,380,97,109,3,384,90,102,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,38.0,4.0,1.0,17.0,1.0,37704.2764941,5.0,39.0,5.0,0.0,0.0,0.0,-1.6,27.71,0.00,72.19,259.25,6.200709203261654,6.195963202575196,6.241946768398273,6.070460574536579,6.091185274072374,6.664177225429277,6.007099999999998,-9.673250398002809,1,6.06426836811
PARP-1_actives0000008_docked,-25.4511,4.9951,8.77821,-4.46496,0,-0.868284,-20.4111,712.691,2,0.571309,6,0.292203,0.60344,0.39656,3465,850,985,33,405,97,110,4,404,94,113,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,35.0,5.0,3.0,10.0,0.0,-174483.504105,1.0,37.0,4.0,0.0,0.0,0.0,1.4,31.81,0.28,45.59,422.41,6.177892768045414,7.0287581386946405,6.501895850316346,6.662774739871235,5.845596683409272,6.193325283009897,6.142900000000002,-9.456892363100991,1,5.97849165827
PARP-1_actives0000009_docked,-28.759,3.84502,19.2925,-4.78117,-1.40114,0,-15.3383,825.718,1,0.567008,6,0.302237,0.590959,0.409041,3857,951,1100,29,581,148,165,4,388,92,105,4,197,48,58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,20.0,6.0,4.0,23.0,2.0,-133982.350018,2.0,30.0,3.0,0.0,0.0,1.0,1.1,37.13,0.50,56.67,527.79,7.109499427997436,7.525938070041072,7.238528017316023,7.312084642635143,6.02524488562098,6.890986772873068,6.9883999999999995,-9.697123804043436,1,6.02127336599
PARP-1_actives0000010_docked,-37.0249,57.5543,23.4054,-2.34429,-1.86131,0,11.357,747.306,1,0.582073,9,0.321302,0.626408,0.373592,3375,826,966,31,925,235,274,7,396,92,102,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,46.0,15.0,5.0,18.0,10.0,-599364.320091,6.0,39.0,3.0,0.0,0.0,2.0,-2.7,35.19,0.44,89.26,501.77,7.730119340255017,7.7203840669885615,7.390974614336648,7.414750030691526,6.683746327927451,7.9274538832364785,6.912800000000001,-9.785571716851798,1,6.22510360381
