Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
PDE4B_actives0000001_docked,-41.4263,8.45875,5.67508,-3.7695,0,-0.688303,-37.4683,1162.71,1,0.655673,5,0.241093,0.815004,0.184996,5959,1529,1605,130,689,175,191,17,440,124,131,8,0,0,0,0,0,0,0,0,131,38,41,2,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0.0,37.0,4.0,0.0,6.0,-17064.6371594,1.0,57.0,3.0,0.0,0.0,0.0,.2,66.35,0.15,103.16,799.59,8.37952816663218,8.1597766033411,8.411485323454325,7.985022362193366,7.770884675372072,9.461194612550537,7.3237,-11.899249724133972,1,6.07623480786
PDE4B_actives0000002_docked,-30.1241,8.38446,9.10207,-5.9255,0,0,-23.4478,851.096,0,0.682103,11,0.252051,0.715733,0.284267,3508,944,969,66,397,98,104,8,589,161,156,11,0,0,0,0,0,0,0,0,0,0,0,0,380,104,103,8,0,0,0,0,0,0,0,0,57.0,0.0,40.0,0.0,0.0,2.0,-113263.099229,2.0,40.0,1.0,0.0,1.0,0.0,-1.8,40.60,0.33,60.45,492.76,7.47218470570521,7.263693694638693,6.872099618381615,7.069950073371076,8.601789329329385,8.478915835794107,6.977599999999998,-7.649270856538616,1,5.96750170938
PDE4B_actives0000003_docked,-43.1709,15.1629,-4.96459,-1.76336,0,0,-42.9108,1005.08,0,0.687647,8,0.314678,0.832443,0.167557,5780,1472,1572,117,566,143,153,13,432,106,116,13,0,0,0,0,0,0,0,0,135,35,35,5,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0.0,31.0,5.0,0.0,10.0,-135774.505039,0.0,59.0,2.0,0.0,0.0,0.0,-.4,60.53,0.17,68.29,712.96,7.136515210566356,8.119312867576864,7.992481878232879,7.806057761183265,9.773047159521507,8.367716451627178,7.022300000000001,-12.026394817326368,1,6.00512090979
PDE4B_actives0000004_docked,-40.6576,9.82353,10.1711,-10.1987,-2.8576,0,-39.3707,1115.52,3,0.685798,10,0.255722,0.743839,0.256161,5685,1533,1581,119,694,178,196,15,671,177,188,13,0,0,0,0,0,0,0,0,169,40,46,5,0,0,0,0,0,0,0,0,0,0,0,0,76.0,0.0,46.0,9.0,0.0,11.0,3848.89774194,4.0,48.0,2.0,0.0,0.0,0.0,-.6,67.72,0.19,117.16,776.55,8.119936074954131,8.02945939382839,8.10109605167056,7.911231580808087,5.834600574684926,6.566525640045513,7.017800000000001,-10.123181438792873,1,6.14137206404
PDE4B_actives0000005_docked,-36.1299,6.92125,-1.33313,-1.9544,0,0,-35.7533,1121.56,0,0.687878,6,0.252928,0.79552,0.20448,5564,1468,1561,134,351,91,97,8,394,108,108,6,0,0,0,0,0,0,0,0,191,54,53,3,0,0,0,0,0,0,0,0,0,0,0,0,44.0,0.0,37.0,1.0,0.0,2.0,-44402.1850647,0.0,37.0,1.0,0.0,0.0,0.0,2.2,56.43,0.15,59.92,734.31,7.474389780155103,8.358114719613717,7.85481348268399,7.81252331185481,6.698569925196246,6.85381446140424,6.9419,-10.552513842181602,1,6.07198076486
PDE4B_actives0000006_docked,-40.7243,9.91858,1.73432,-4.4599,-0.993083,-0.620543,-39.6371,1122.47,2,0.68364,7,0.265412,0.802727,0.197273,5724,1492,1572,127,525,130,150,10,601,159,160,10,0,0,0,0,0,0,0,0,205,55,52,2,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0.0,39.0,3.0,0.0,2.0,-167549.510424,3.0,50.0,1.0,0.0,0.0,0.0,-.6,55.95,0.22,99.92,767.10,8.053011819167706,8.219299459762459,8.25651425901876,7.863938682650677,8.358554323688184,8.24174585630767,7.2551999999999985,-10.567505321469481,1,6.14300921007
PDE4B_actives0000007_docked,-42.7005,15.3278,-3.28935,-4.31119,0,0,-43.1491,956.634,0,0.692292,8,0.28319,0.835283,0.164717,5423,1390,1475,110,722,193,198,17,183,44,51,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0.0,31.0,6.0,0.0,8.0,-82214.1237063,0.0,58.0,2.0,0.0,0.0,0.0,-1.3,47.94,0.14,47.04,610.50,7.291797723010167,7.771744393495393,7.548821753246768,7.624231528860033,8.721218409588447,8.184386559642213,6.944899999999999,-11.719662611776574,1,6.05309222548
PDE4B_actives0000008_docked,-35.1297,29.4045,16.7591,-10.2935,0,-1.71213,-14.4633,1072.06,1,0.634981,8,0.248096,0.817885,0.182115,4346,1120,1160,82,416,117,115,6,768,189,212,14,1273,305,343,27,0,0,0,0,166,45,51,4,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0.0,48.0,0.0,0.0,2.0,-248986.399621,2.0,34.0,1.0,0.0,0.0,1.0,-2.7,106.39,0.39,78.52,665.91,7.337580828473283,7.379202601731609,7.634782752747252,7.615920296536798,6.25215757335572,5.9362766238838685,7.052499999999997,-8.253980055537639,1,6.12650940698
PDE4B_actives0000009_docked,-36.4224,12.9553,18.5154,-7.98593,0,-0.99921,-19.6408,938.335,2,0.66048,5,0.308543,0.783402,0.216598,4432,1174,1226,85,368,106,101,7,754,189,203,14,1323,336,364,32,0,0,0,0,178,54,56,4,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0.0,44.0,7.0,0.0,0.0,-15670.7813114,1.0,32.0,1.0,0.0,0.0,0.0,-1.3,106.41,0.39,78.52,665.22,6.6027836436086655,7.652922689255189,7.735214582473081,7.5001321024531045,9.636032329082976,8.001459809967482,7.4297999999999975,-8.95527149292502,1,6.19046871933
PDE4B_actives0000010_docked,-33.5967,5.04469,17.5394,2.40936,0,-1.60967,-13.7502,1209.63,1,0.68604,14,0.209584,0.713222,0.286778,4358,1133,1187,88,1331,340,353,24,724,196,207,12,399,98,110,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,0.0,70.0,3.0,0.0,2.0,-637066.32527,3.0,23.0,0.0,0.0,0.0,3.0,-2.0,78.06,0.32,143.47,707.11,7.401650845133588,7.997065133644126,7.84779388300588,7.82733988095238,4.194540395606002,4.7627523257208395,6.6196,-8.827101323377374,1,6.27825665316
