Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
PDE5_actives0000001_docked,-36.6019,47.1841,6.03436,-2.64065,0,0,-7.02305,917.996,0,0.657956,9,0.301101,0.719817,0.280183,4473,1108,1197,66,975,243,253,18,218,52,54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,0.0,19.0,7.0,0.0,3.0,-2715.9289418,3.0,36.0,2.0,0.0,0.0,0.0,-.5,40.98,0.26,64.59,548.87,7.880848333345301,7.397911804084803,7.118329978465983,7.596134725441229,7.422066238885455,5.889728205958906,6.721300000000003,-9.5057559612526,1,5.99655741402
PDE5_actives0000002_docked,-28.8054,4.06031,4.34447,-1.87006,0,-1.30481,-26.2461,778.537,1,0.631991,6,0.31291,0.792003,0.207997,3605,873,937,65,793,195,226,17,418,98,101,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,0.0,13.0,5.0,0.0,0.0,-4791.07748344,4.0,18.0,2.0,0.0,0.0,0.0,-1.7,35.91,0.42,72.54,505.77,7.195373507419426,7.669463742923739,6.95615458569208,7.229231113275613,7.491889067079508,7.517580317362028,6.932999999999997,-8.883319722117053,1,5.9678414321
PDE5_actives0000003_docked,-32.0882,4.2749,6.58283,-8.64717,0,-3.27143,-36.3127,992.733,2,0.632312,9,0.279343,0.793584,0.206416,4278,1088,1177,66,1195,304,332,15,725,179,193,8,0,0,0,0,0,0,0,0,176,40,46,2,0,0,0,0,0,0,0,0,0,0,0,0,63.0,0.0,26.0,2.0,0.0,11.0,-202174.73947,4.0,33.0,3.0,0.0,0.0,1.0,.7,50.95,0.35,124.54,662.23,7.499049942740571,7.758736103896091,7.554376850316351,7.533541558108563,6.660970817717065,6.470255737844437,7.129999999999999,-9.778209203654942,1,5.9768196276
PDE5_actives0000004_docked,-39.103,8.01993,2.20916,-3.55875,0,0,-36.5313,1132.44,0,0.656886,7,0.266585,0.788007,0.211993,5040,1217,1318,83,385,99,110,4,1010,252,272,16,0,0,0,0,0,0,0,0,0,0,0,0,204,55,60,3,188,45,47,3,0,0,0,0,67.0,0.0,26.0,0.0,0.0,6.0,-18412.849704,1.0,47.0,2.0,0.0,0.0,0.0,-1.9,57.94,0.33,88.54,727.35,8.348156349949711,7.975809266233764,7.780763210178703,7.32193288095239,6.214354165759149,6.20710820307228,7.0861,-9.457002036604633,1,5.98085033636
PDE5_actives0000005_docked,-36.896,7.14152,5.32742,-3.09407,0,0,-31.8792,922.659,0,0.642669,8,0.30018,0.7815,0.2185,4228,1001,1089,75,1176,292,307,17,359,79,88,6,0,0,0,0,0,0,0,0,0,0,0,0,117,25,26,3,0,0,0,0,0,0,0,0,65.0,0.0,22.0,6.0,0.0,6.0,600.631634081,2.0,35.0,1.0,0.0,1.0,0.0,1.8,55.99,0.22,93.96,606.88,8.23403093368002,7.793468783549785,7.566841441558447,7.654263600288601,7.1810458114203275,7.691971090244968,6.816300000000004,-8.771940020247118,1,6.02911626075
PDE5_actives0000006_docked,-31.0645,8.89053,0.519318,1.85762,0,-0.974839,-25.1134,1014.41,1,0.61634,6,0.38727,0.790969,0.209031,5165,1258,1353,89,576,142,145,7,861,212,229,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,21,24,3,0,0,0,0,93.0,0.0,22.0,5.0,0.0,4.0,-26073.5829095,4.0,40.0,2.0,0.0,0.0,0.0,.9,71.02,0.13,113.21,736.68,7.799636952084707,8.242698995670995,7.852743492507499,7.590030554834061,6.966520187667492,6.8633519504542635,6.336100000000001,-8.821324620187523,1,5.95559784868
PDE5_actives0000007_docked,-30.5006,4.76334,10.0461,0.817669,0,0,-18.5203,1048.16,0,0.623566,13,0.292196,0.695701,0.304299,4320,1072,1143,68,1547,396,426,24,155,34,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0.0,29.0,9.0,0.0,0.0,-849126.868264,3.0,27.0,2.0,0.0,0.0,2.0,-1.2,38.96,0.61,105.62,705.54,7.721945297509568,7.43990099639249,7.3489794748584885,7.58133921861472,7.82586861215054,7.357220091022658,6.812699999999998,-7.626466655012047,1,6.25285050253
PDE5_actives0000008_docked,-37.3219,7.97816,8.07458,-7.80027,-1.09383,0,-35.7041,1045.4,1,0.647771,4,0.30256,0.807906,0.192094,4384,1055,1174,70,1276,315,337,24,535,129,140,4,0,0,0,0,0,0,0,0,0,0,0,0,194,44,49,3,0,0,0,0,0,0,0,0,69.0,0.0,14.0,10.0,0.0,4.0,-354520.022123,1.0,40.0,3.0,0.0,0.0,0.0,-1.8,53.77,0.38,118.29,675.59,7.548111231810237,8.078511077755584,7.7239968535353505,7.8405302792207765,7.6175035921673775,9.151971250512236,6.7867999999999995,-9.522851431831537,1,6.00093701684
PDE5_actives0000009_docked,-31.1409,9.52731,6.05849,-3.91988,-0.487825,-0.756896,-26.5044,1007.88,2,0.637494,7,0.327573,0.802648,0.197352,4322,1071,1118,67,1159,285,302,19,494,112,120,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,0.0,17.0,2.0,0.0,0.0,25090.8299067,4.0,38.0,1.0,0.0,0.0,0.0,-.6,49.47,0.29,101.83,640.62,7.932350791768856,7.727180810189802,7.568619367243871,7.516442920246425,5.909438288373221,5.560952313630576,6.362000000000002,-7.334960327591443,1,6.02754043349
PDE5_actives0000010_docked,-31.3108,3.76514,8.80738,-6.0142,0,0,-27.3768,962.464,0,0.63008,9,0.302051,0.765908,0.234092,3949,940,1024,67,1200,289,326,23,528,121,130,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,0.0,8.0,7.0,0.0,0.0,-20795.335305,0.0,21.0,3.0,0.0,0.0,0.0,-.3,45.50,0.50,118.29,661.75,7.586534936363718,7.767404643578642,7.3560952672327655,7.485896698412701,5.238866901535552,6.21524390244573,6.463700000000001,-7.696792073459762,1,6.03921656802
