Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
PDK1_actives0000001_docked,-26.0509,4.61841,10.0831,-10.5802,-0.773638,-0.966849,-27.7682,729.654,2,0.65615,6,0.26185,0.680193,0.319807,2950,738,876,16,732,186,220,4,387,102,110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,55.0,21.0,0.0,17.0,3.0,-264209.420687,3.0,17.0,0.0,0.0,0.0,0.0,-.3,35.66,0.12,100.01,397.53,7.5255411486032155,7.268041487345983,6.88793672161172,7.102018215118212,3.878641607832416,5.106190355840946,6.6007,-7.823541147534298,1,6.00705450104
PDK1_actives0000002_docked,-31.5369,7.79571,12.9326,0.506321,0,0,-16.709,961.857,0,0.638241,6,0.324426,0.624378,0.375622,3867,971,1144,20,950,233,276,5,462,125,138,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,45.0,23.0,0.0,16.0,18.0,-395804.288327,3.0,20.0,0.0,0.0,0.0,1.0,-6.2,46.09,0.38,132.35,650.66,7.14803870783995,7.73036214013764,7.463084685536684,7.4651764444999476,5.724090357602196,6.224783645104843,6.867599999999999,-7.9902569321068055,1,6.06423078587
PDK1_actives0000003_docked,-27.8512,2.83933,15.4443,-4.94634,-1.25177,-1.17769,-20.3461,846.727,2,0.641666,7,0.310973,0.634895,0.365105,3472,853,1029,20,876,230,261,5,375,96,109,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,51.0,29.0,0.0,20.0,8.0,-584121.610053,4.0,15.0,0.0,0.0,0.0,2.0,-3.1,47.59,0.05,126.03,487.25,7.052658671456352,7.701447536130532,7.520909000888001,7.477634079531578,5.381510352845313,5.248545106538546,6.450700000000001,-8.56931812733741,1,6.02598210543
PDK1_actives0000004_docked,-36.2944,10.7984,14.3461,-6.56433,-1.61853,-1.22864,-26.7708,999.237,2,0.616647,6,0.314927,0.632564,0.367436,4502,1153,1372,17,950,224,270,5,458,112,139,2,100,30,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,66.0,43.0,0.0,34.0,12.0,-391834.15284,3.0,27.0,0.0,0.0,0.0,1.0,-2.0,60.96,0.18,118.40,690.03,6.853489983163894,7.832562904706404,7.721134065184813,7.747582257853258,8.249618439250725,8.085677140352942,7.615700000000001,-7.811816544975676,1,6.10156121928
PDK1_actives0000005_docked,-31.1654,5.76082,16.1548,-3.46295,0,-2.27259,-19.6007,891.234,2,0.647138,7,0.351274,0.623262,0.376738,4477,1143,1319,22,911,234,263,4,455,111,128,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,39.0,37.0,0.0,7.0,27.0,-179665.159467,4.0,23.0,0.0,0.0,0.0,0.0,-4.6,52.40,0.25,132.35,691.69,7.141539323374545,7.759810365745364,7.729003275704691,7.586639782273288,4.278989135324335,4.7670992045272,5.917399999999999,-7.63634293145893,1,6.08951379312
PDK1_actives0000006_docked,-37.3973,29.9447,9.96957,-7.55184,-1.04568,0,-21.5172,885.629,1,0.667055,7,0.276187,0.684431,0.315569,4798,1229,1445,20,712,181,216,2,684,179,214,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42.0,24.0,0.0,29.0,13.0,-468710.152431,3.0,22.0,0.0,0.0,0.0,1.0,3.5,57.00,0.32,89.68,642.12,7.916186784565279,7.918298705405708,7.909115429653685,7.7828343236208255,7.5278411903606575,7.587886797435375,7.918599999999999,-12.355828548933676,1,6.00559874266
PDK1_actives0000007_docked,-37.1609,22.696,15.1944,-10.3283,-0.687309,0,-24.1471,969.49,1,0.661342,8,0.376887,0.62423,0.37577,3300,858,1017,16,1128,297,345,5,302,74,86,2,0,0,0,0,0,0,0,0,115,28,39,0,0,0,0,0,0,0,0,0,213,48,60,1,0.0,50.0,14.0,0.0,43.0,15.0,-143629.990531,5.0,26.0,0.0,0.0,0.0,0.0,-.2,48.72,0.30,111.28,683.46,6.9301231526496165,7.760095399766891,7.660952992285491,7.543280396214895,5.250299615389072,5.7875580544790255,7.423800000000001,-6.487892979483928,1,6.09223412936
PDK1_actives0000008_docked,-28.8427,19.5109,13.0249,-9.94833,-2.20272,-0.676646,-20.0676,753.923,3,0.6626,5,0.317813,0.651399,0.348601,3561,891,1065,17,866,225,258,4,389,97,107,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47.0,33.0,0.0,21.0,10.0,-222894.049417,5.0,15.0,0.0,0.0,0.0,0.0,-1.9,45.64,0.00,126.03,454.38,7.608799461370923,7.566649582750582,7.3690809669774655,7.425922222222224,4.630190828686205,4.877450442102977,6.537399999999996,-8.139562214264807,1,6.03555412808
PDK1_actives0000009_docked,-27.3093,3.49849,15.9781,-19.3282,-2.15556,-1.40364,-34.4787,709.688,4,0.671716,7,0.319876,0.709055,0.290945,2821,693,832,15,716,185,211,4,642,157,187,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,58.0,24.0,0.0,25.0,10.0,-367678.617331,7.0,14.0,0.0,0.0,1.0,1.0,-2.4,45.85,0.06,137.31,402.45,5.910138819808864,7.3764053070263005,7.008059696581202,6.913597657176158,5.596977267568351,5.028652168729104,6.790599999999997,-8.206511449249557,1,5.97816503258
PDK1_actives0000010_docked,-22.6477,7.40425,5.52593,-8.46,0,-0.553063,-23.5189,703.476,1,0.658397,4,0.259297,0.644835,0.355165,2586,677,778,11,511,128,151,2,475,124,157,3,0,0,0,0,0,0,0,0,161,39,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.0,20.0,0.0,14.0,5.0,12872.8432205,3.0,15.0,0.0,0.0,0.0,0.0,-1.9,38.55,0.13,105.05,407.26,5.316724947479807,6.956845309523811,6.663702202186706,6.71447556598957,4.1956062734576,5.780752866517936,6.399299999999999,-7.411104983166208,1,5.95217526133
