Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
PI3Kg_actives0000001_docked,-30.1425,9.03285,6.0371,-5.44198,0,0,-25.3424,835.96,0,0.4806,6,0.359956,0.82196,0.17804,3323,836,934,51,621,162,172,10,502,129,139,9,184,38,53,3,0,0,0,0,325,85,91,5,197,51,56,4,0,0,0,0,0,0,0,0,0.0,51.0,14.0,0.0,6.0,8.0,-82643.4018267,1.0,23.0,0.0,0.0,0.0,0.0,-.7,62.12,0.05,101.05,558.78,6.640715752966857,7.91941803712954,7.484965523448776,7.229013112387616,4.584083538159104,5.520292731636676,7.1627,-8.37213514488519,1,5.95349602109
PI3Kg_actives0000002_docked,-27.8312,6.74884,6.84842,-2.6066,0,-1.30501,-22.1178,657.68,1,0.482153,11,0.275646,0.805,0.195,2832,677,782,46,963,248,280,16,400,98,108,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,58.0,21.0,0.0,1.0,12.0,-122099.408639,1.0,21.0,0.0,0.0,0.0,0.0,-2.0,36.89,0.07,87.31,395.97,6.878480100481323,8.018234643134642,7.2916558728656975,7.502987246198244,6.323574836152278,6.744187564682651,6.1278,-6.625342984716495,1,6.00478644105
PI3Kg_actives0000003_docked,-33.1976,6.076,18.8066,-5.90992,0,0,-18.5019,1152.11,0,0.481165,8,0.413531,0.584517,0.415483,4403,1122,1246,69,768,207,226,12,638,164,180,10,163,40,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,45.0,36.0,1.0,2.0,13.0,5457.52429194,2.0,19.0,0.0,0.0,0.0,1.0,-5.1,84.84,0.24,133.82,951.79,6.936991538506719,7.930478053113551,7.334470378676883,7.643342642413144,4.644712760600885,5.0571070864708885,6.269800000000001,-6.141083058632313,1,6.02922718331
PI3Kg_actives0000004_docked,-36.873,12.0041,16.1289,2.65831,-1.93201,0,-14.1951,1076.17,1,0.488335,7,0.316511,0.686684,0.313316,4313,1090,1208,65,1659,425,472,24,0,0,0,0,0,0,0,0,0,0,0,0,173,47,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,52.0,65.0,0.0,19.0,18.0,-569660.362022,5.0,31.0,0.0,0.0,0.0,1.0,.2,53.27,0.26,126.51,697.80,7.8448678606943405,7.938023906093902,7.7203466585636615,7.699321372793872,8.195698881098213,5.897685757045456,7.5938000000000025,-9.696678563670929,1,6.03663701304
PI3Kg_actives0000005_docked,-33.7685,6.13974,10.0678,-4.82565,-1.98897,-1.52592,-32.7571,768.672,2,0.50005,8,0.299475,0.845429,0.154571,3271,800,908,50,1386,334,392,21,375,96,102,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,78.0,30.0,0.0,14.0,17.0,-56413.9604925,3.0,27.0,0.0,0.0,1.0,0.0,1.4,45.76,0.06,120.72,435.90,6.780178349943199,7.7825817009102005,7.892201194971705,7.796991246864244,6.717041024828265,6.983857066331518,6.992600000000005,-8.570839038561124,1,6.12841904065
PI3Kg_actives0000006_docked,-31.3103,9.05426,12.9712,-11.3915,-1.80296,-0.85325,-28.3511,853.122,2,0.477252,6,0.270219,0.759553,0.240447,4187,1043,1163,67,0,0,0,0,1360,347,383,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,39.0,21.0,0.0,5.0,8.0,-147973.876904,3.0,22.0,0.0,0.0,0.0,0.0,4.2,42.76,0.57,109.11,581.61,6.968335273307828,7.071153506160495,6.663200925019418,6.7052906904206875,7.7757634968427825,7.881081949131446,7.3511000000000015,-8.95560893601132,1,6.01990373062
PI3Kg_actives0000007_docked,-31.0479,8.80244,17.1189,-6.75354,-1.61293,0,-18.5868,998.645,1,0.485429,10,0.33965,0.719234,0.280766,3519,879,994,53,1318,344,377,22,381,92,100,8,0,0,0,0,0,0,0,0,277,70,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,58.0,43.0,0.0,5.0,9.0,-337531.12457,2.0,17.0,0.0,0.0,0.0,0.0,-.8,50.25,0.57,129.28,707.61,7.337519877153423,7.5244222355422306,7.6121450982351,7.472570798479303,5.997318468561672,6.818692761386662,6.852499999999999,-6.972306464480529,1,5.97483267349
PI3Kg_actives0000008_docked,-30.0338,4.37396,19.3064,-8.35924,0,-1.4806,-19.4656,1178.2,2,0.481818,8,0.387892,0.636452,0.363548,4512,1156,1283,72,1186,294,322,21,508,135,155,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,59.0,26.0,0.0,5.0,3.0,-412013.024379,5.0,24.0,0.0,0.0,0.0,3.0,-3.1,57.20,0.47,114.01,906.23,6.739465036261417,7.722081962204463,7.713198941669442,7.678578838661339,4.578978701780373,5.1509265055278926,6.812199999999995,-6.35838024379056,1,6.08448126857
PI3Kg_actives0000009_docked,-31.6049,8.64394,6.06557,-7.1392,-2.43883,0,-31.7128,781.897,2,0.475706,6,0.334275,0.787542,0.212458,4261,1049,1204,65,723,162,204,11,153,41,41,2,397,106,110,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73.0,11.0,0.0,27.0,4.0,-108643.705456,2.0,31.0,0.0,0.0,0.0,0.0,.2,63.73,0.04,72.11,500.29,7.1859932523444,7.645925800643797,7.243520244810754,7.369566386002877,7.628731713400678,7.449342801443414,8.036700000000003,-9.839392643079961,1,6.0840070749
PI3Kg_actives0000010_docked,-30.9601,8.54317,11.2495,-13.43,-0.802867,-0.446472,-32.01,858.077,3,0.484113,5,0.302984,0.763218,0.236782,3693,940,1039,57,978,230,281,17,425,101,119,6,0,0,0,0,0,0,0,0,128,33,34,2,0,0,0,0,0,0,0,0,0,0,0,0,9.0,58.0,27.0,0.0,3.0,13.0,-115924.360534,4.0,29.0,0.0,0.0,0.0,0.0,-2.7,53.29,0.10,102.76,535.52,7.53891389208264,7.71662081024531,7.621638233766233,7.526719922577426,5.752495055193749,5.636437978819509,7.7413,-7.224332191915965,1,5.9910386264
