Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
PIM-2_actives0000001_docked,-26.4347,8.31925,5.33353,-0.346191,0,0,-17.6708,792.219,0,0.614383,6,0.270849,0.7692,0.2308,3404,838,955,1,810,195,228,0,252,70,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.0,10.0,0.0,6.0,10.0,-306183.332533,0.0,20.0,0.0,0.0,1.0,1.0,-4.5,30.59,0.28,78.35,466.06,6.598627439431065,6.824257749528245,6.778295767177258,7.039645909090905,5.20920109522359,5.407290987784825,6.678899999999998,-8.006901740206061,1,6.06612252115
PIM-2_actives0000002_docked,-29.8129,8.95721,11.4229,-6.93885,0,-1.3885,-22.6961,811.209,1,0.59753,6,0.264891,0.745965,0.254035,3654,896,1030,0,766,183,210,0,337,83,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,56.0,28.0,0.0,5.0,4.0,-1077765.3917,4.0,22.0,0.0,0.0,0.0,2.0,-3.5,30.59,0.32,101.13,485.71,6.957996783750121,7.187245029581524,6.9704446021756,7.231891836219334,8.172200622549198,7.195018489627321,6.9944999999999995,-8.633575508364832,1,6.02714499993
PIM-2_actives0000003_docked,-27.0673,6.2237,9.00238,-6.85452,0,-1.37811,-23.8096,800.282,1,0.587976,5,0.280926,0.711794,0.288206,3316,830,912,1,762,182,208,0,336,85,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,55.0,21.0,0.0,8.0,1.0,-1054440.07801,5.0,21.0,0.0,0.0,0.0,2.0,-5.8,30.59,0.24,101.13,456.60,6.421108265199389,6.992726735542233,6.717340531191033,7.011129064213567,6.318200032573083,6.317907290446157,6.1672,-7.088255347163156,1,5.99773516065
PIM-2_actives0000004_docked,-22.0716,8.10398,1.17908,0.565423,0,0,-17.1612,728.204,0,0.591148,4,0.3049,0.807587,0.192413,2767,695,832,0,181,42,53,0,418,99,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,105,116,0,0,0,0,0,0.0,7.0,31.0,0.0,0.0,5.0,41789.7371833,1.0,22.0,0.0,0.0,0.0,0.0,-.1,38.86,0.06,49.33,377.04,6.477840469928533,6.293019344877342,5.991709447385952,6.136103713175715,4.425005855279849,4.861655712577606,6.1022,-8.692012479531035,1,5.96030223359
PIM-2_actives0000005_docked,-21.2085,3.72583,4.86186,0.429876,0,0,-14.8232,573.517,0,0.61721,5,0.30439,0.893881,0.106119,2299,574,603,2,191,45,49,0,358,93,98,1,698,159,162,1,0,0,0,0,199,50,54,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,27.0,13.0,0.0,0.0,5.0,50081.8393241,0.0,12.0,0.0,0.0,0.0,0.0,-1.7,46.61,0.09,46.17,287.98,6.482765727534232,6.281505798590297,5.908239369741367,5.835631649572643,3.4519198025462714,4.533587366747368,6.2021999999999995,-8.157142990790778,1,5.96323878777
PIM-2_actives0000006_docked,-29.7629,5.45127,0.110232,-4.8583,-1.23637,0,-33.751,674.66,1,0.628598,2,0.260812,0.81013,0.18987,3922,970,1037,1,408,108,114,0,644,159,169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40.0,14.0,0.0,3.0,5.0,-184177.042071,1.0,26.0,0.0,0.0,0.0,1.0,1.9,41.09,0.00,72.19,374.19,7.148032009030658,7.300506434343437,7.291843029859026,7.168105654345655,6.519698521573823,6.04396587884936,6.712800000000003,-12.37153952466005,1,5.96848905477
PIM-2_actives0000007_docked,-25.652,4.2566,3.93255,-4.76077,0,0,-25.1719,846.181,0,0.603949,4,0.268745,0.76434,0.23566,3564,872,987,0,679,161,193,0,387,98,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41.0,20.0,0.0,5.0,0.0,-442610.590515,1.0,18.0,0.0,0.0,0.0,1.0,-4.2,30.59,0.32,69.56,531.92,7.050384665532914,7.14505918231768,6.670971891885888,6.88778248396048,4.4913568503336805,5.569670611460691,6.427800000000003,-6.922669970518755,1,5.98741427143
PIM-2_actives0000008_docked,-23.5516,13.9184,6.17986,-2.06887,-0.483943,0,-12.5964,605.178,1,0.586743,1,0.297431,0.918048,0.0819523,2337,576,610,3,195,47,50,0,596,147,157,1,692,163,165,3,0,0,0,0,202,52,56,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,16.0,20.0,0.0,0.0,12.0,11475.8402142,1.0,11.0,0.0,0.0,0.0,0.0,-1.1,48.28,0.09,55.40,304.01,6.149678160841011,6.676102109168605,6.267234795870796,6.204718095016095,4.487356593233013,5.6618384744944175,6.4045000000000005,-7.655402906759453,1,5.96165557165
PIM-2_actives0000009_docked,-19.4725,2.88116,11.9275,-0.668844,0,-0.892754,-8.53773,613.428,1,0.577197,3,0.357542,0.781619,0.218381,2125,527,614,0,187,41,54,0,733,182,202,0,438,111,125,0,0,0,0,0,159,37,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,36.0,21.0,0.0,2.0,3.0,-204796.568056,1.0,14.0,0.0,0.0,0.0,0.0,-2.6,54.79,0.23,64.63,381.62,6.1437375021414695,6.03674046558996,5.553946472582981,5.841640766844265,4.122678476487105,5.60240090528705,5.421099999999999,-5.212870818947573,1,5.95908971538
PIM-2_actives0000011_docked,-27.2152,4.35196,0.981,-1.17105,0,0,-26.4475,721.212,0,0.627114,4,0.292935,0.79428,0.20572,3531,867,966,1,839,215,218,0,149,38,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,32.0,12.0,0.0,4.0,0.0,49.853156747,0.0,26.0,0.0,0.0,0.0,0.0,.5,28.91,0.28,59.29,442.86,6.610570688874363,7.116116819513814,6.59079275912976,6.8057849801864805,6.539982302529832,6.458199079844918,7.1940000000000035,-8.815324287735292,1,6.09683354174
