Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
PNP_actives0000001_docked,-29.289,17.6308,22.8747,-10.1191,-1.95481,-1.12098,-10.2448,556.648,3,0.640102,5,0.320921,0.559262,0.440738,2111,628,632,24,877,245,243,14,228,59,60,2,0,0,0,0,0,0,0,0,156,43,47,2,0,0,0,0,0,0,0,0,0,0,0,0,10.0,29.0,127.0,0.0,28.0,13.0,129742.427678,10.0,9.0,1.0,0.0,1.0,0.0,-1.7,27.52,0.27,70.97,287.88,5.801725015021997,7.392580245920748,6.725726050449549,7.070313305583304,4.021245734403232,4.815667657564817,5.180600000000001,-4.9647874787663255,1,6.11400556958
PNP_actives0000002_docked,-29.1065,21.7036,22.9406,-9.66712,-1.71468,-2.12194,-7.55947,552.635,3,0.661664,5,0.33009,0.56751,0.43249,2138,631,640,24,881,246,247,14,226,60,60,2,0,0,0,0,0,0,0,0,149,46,45,1,0,0,0,0,0,0,0,0,0,0,0,0,11.0,31.0,126.0,0.0,29.0,13.0,98878.0344832,10.0,12.0,1.0,0.0,1.0,0.0,-1.9,27.50,0.27,70.97,287.45,5.702428626808373,7.5257829868464885,6.821187489621488,7.1706144397824385,4.100537911352736,5.231669752686095,5.0242,-5.33376697523575,1,6.13013859944
PNP_actives0000003_docked,-28.7753,21.2043,22.0839,-13.2704,0,-1.00119,-9.92397,563.861,2,0.639057,9,0.31896,0.56718,0.43282,2439,721,735,27,880,246,248,14,225,60,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,30.0,129.0,0.0,29.0,14.0,91772.40014,10.0,14.0,1.0,0.0,1.0,0.0,-.5,27.07,0.23,70.97,307.75,5.772512411964215,7.982674250915753,7.246386363969359,7.234858247141748,3.606770360694683,5.657182358657315,5.2486000000000015,-5.959452244029557,1,6.12552870877
PNP_actives0000004_docked,-30.6891,66.6545,25.2303,-13.0942,-1.01886,-1.95587,13.3419,591.364,2,0.648174,11,0.299051,0.509369,0.490631,2094,598,594,26,1291,362,361,17,218,64,64,4,0,0,0,0,0,0,0,0,214,59,57,4,0,0,0,0,0,0,0,0,0,0,0,0,13.0,52.0,101.0,1.0,37.0,16.0,-202891.392751,9.0,11.0,0.0,0.0,1.0,0.0,-.9,28.74,0.30,94.70,314.01,5.9085403276698045,7.607308005050494,7.216214611721609,6.836810813797316,4.620445699312346,5.227204414966233,5.031800000000001,-5.578892432726427,1,6.12732052314
PNP_actives0000005_docked,-30.3117,72.1026,26.0501,-14.1129,-1.12565,-1.98225,15.5414,601.386,2,0.62791,12,0.312779,0.544864,0.455136,2109,604,600,27,1292,362,361,17,218,64,63,4,0,0,0,0,0,0,0,0,200,52,55,3,0,0,0,0,0,0,0,0,0,0,0,0,12.0,59.0,101.0,1.0,38.0,16.0,-219303.775117,7.0,9.0,1.0,0.0,1.0,0.0,-1.1,28.78,0.30,94.70,314.21,7.06576918982554,7.764464647907638,7.276537898767894,6.834715410755915,4.4844553747276095,4.987055145156662,5.1152999999999995,-5.792183233190034,1,6.25071123551
PNP_actives0000006_docked,-30.3126,57.2405,24.2103,-14.1182,-1.27663,-1.97169,5.25726,611.266,2,0.657193,12,0.308809,0.509571,0.490429,2510,714,709,32,1293,364,363,16,216,62,64,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,51.0,104.0,1.0,39.0,16.0,-165033.021678,10.0,16.0,0.0,0.0,1.0,0.0,-.8,28.35,0.25,94.70,334.30,6.777910522662094,7.997893746031739,7.373817047952047,7.507118788267296,4.839866507939905,5.532450237863728,5.565999999999999,-6.600514939026462,1,6.06019292754
PNP_actives0000007_docked,-30.8503,46.8326,25.0476,-14.5612,-2.82738,-2.03158,-0.668826,571.671,3,0.641993,9,0.354277,0.583969,0.416031,2038,599,610,21,1093,298,308,15,224,63,65,4,0,0,0,0,0,0,0,0,120,36,40,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,46.0,106.0,0.0,34.0,15.0,-171354.348083,8.0,12.0,1.0,0.0,0.0,0.0,-1.7,29.36,0.27,83.00,306.74,7.169036091189715,7.277215307359298,6.6278771376956405,6.790126266955276,4.265545187503779,5.328987928757755,5.4645,-5.857341973062779,1,6.03349129391
PNP_actives0000008_docked,-28.7907,7.15734,23.3946,-9.12398,-0.235408,-0.861731,-11.7888,577.044,3,0.660258,8,0.327809,0.5761,0.4239,2077,612,619,24,1074,303,304,16,388,108,111,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,33.0,128.0,0.0,30.0,14.0,151974.726159,11.0,10.0,0.0,0.0,1.0,0.0,-3.1,30.10,0.27,96.14,300.02,5.682191237785879,7.318061621711611,6.866532353313349,6.803816090742597,4.34043781288635,5.506410851843756,5.529300000000004,-5.484654896010119,1,6.01523459936
PNP_actives0000009_docked,-31.4452,76.2414,23.5962,-15.4542,-1.2148,-1.97643,13.4817,612.254,2,0.642844,14,0.306842,0.52624,0.47376,2702,774,767,33,1083,296,309,13,220,61,62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,50.0,103.0,0.0,39.0,16.0,-126151.660156,11.0,17.0,1.0,0.0,1.0,0.0,-1.8,26.42,0.31,82.67,345.34,7.519455233727666,8.202797393217889,7.651011910644913,7.600185587690096,4.998624580341693,6.201754790369417,5.3737,-6.992168542165922,1,6.04444242902
PNP_actives0000010_docked,-32.8812,26.3952,26.3439,-18.6505,-0.865775,-2.47611,-14.3984,618.223,3,0.629361,10,0.33239,0.544235,0.455765,2336,661,664,33,1317,355,366,17,217,62,59,4,0,0,0,0,0,0,0,0,206,60,59,1,0,0,0,0,0,0,0,0,0,0,0,0,16.0,58.0,118.0,4.0,41.0,20.0,-41103.581332,9.0,13.0,0.0,0.0,0.0,0.0,-2.7,33.85,0.27,95.03,326.90,6.118556448168543,8.05855162099011,7.481475053335553,6.9682126708291685,5.353549988168183,5.367393472134419,5.884799999999999,-6.189898260578727,1,6.11703160172
