Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
PPARA_actives0000001_docked,-51.9359,20.0924,0.786904,-6.50216,0,-2.0155,-48.5863,1060.08,2,0.590416,4,0.289476,0.863502,0.136498,5942,1334,1353,174,0,0,0,0,897,203,204,20,0,0,0,0,0,0,0,0,215,40,48,7,225,45,48,4,0,0,0,0,0,0,0,0,78.0,17.0,8.0,17.0,0.0,0.0,-129578.437961,2.0,49.0,0.0,0.0,0.0,1.0,-3.9,55.20,0.25,59.67,696.39,8.26405826155581,8.380398897213901,8.353050278721279,8.231924899045401,6.3748840761783505,5.143381105313771,7.166499999999998,-9.271640326452868,1,6.50986916218
PPARA_actives0000002_docked,-39.1653,13.2153,-3.20456,-2.83822,0,0,-38.2779,840.728,0,0.549469,1,0.298076,0.860978,0.139022,4324,945,974,129,0,0,0,0,833,197,207,26,0,0,0,0,0,0,0,0,0,0,0,0,224,47,50,6,0,0,0,0,0,0,0,0,53.0,13.0,2.0,5.0,0.0,0.0,-9914.26817266,0.0,29.0,0.0,0.0,0.0,0.0,-2.7,36.80,0.30,52.60,522.30,8.045071278544103,7.861806243145748,7.300355149350649,7.241442130480624,4.523759537967572,5.670961287573188,6.335599999999999,-7.366103681775809,1,6.05480961537
PPARA_actives0000003_docked,-47.4685,10.828,7.85523,-2.17632,0,0,-37.2383,1194.5,0,0.558684,9,0.236732,0.785546,0.214454,5283,1163,1302,172,444,92,100,13,519,118,143,12,418,91,99,13,0,0,0,0,169,43,48,7,0,0,0,0,0,0,0,0,0,0,0,0,45.0,17.0,24.0,7.0,5.0,6.0,-13968.8847013,0.0,34.0,0.0,0.0,0.0,0.0,-2.2,51.12,0.46,69.64,759.51,7.895149712483291,7.578829949272951,7.4397601803751785,7.714902433621942,9.222117983244106,7.764415664771973,7.106266666666667,-7.989304843193294,1,6.10712627117
PPARA_actives0000004_docked,-45.2527,12.7649,4.14052,-7.24901,0,-1.35299,-43.787,939.564,2,0.577687,4,0.307141,0.837928,0.162072,4916,1101,1088,133,223,46,48,6,1128,262,254,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,49,51,7,0,0,0,0,101.0,17.0,2.0,11.0,0.0,0.0,-5926.32386073,3.0,38.0,0.0,0.0,0.0,0.0,-4.6,49.32,0.27,81.79,596.93,8.077688501862355,7.6250494640914654,7.865853247474736,7.728721170385167,6.9827237904313,6.517381604461362,7.018600000000001,-9.819552379330833,1,6.03060590333
PPARA_actives0000005_docked,-46.8168,16.4111,6.703,-6.91462,0,-0.970317,-40.4339,958.662,1,0.533597,6,0.299596,0.879866,0.120134,4593,991,1006,131,208,44,48,8,660,154,152,14,651,159,164,21,0,0,0,0,446,97,96,11,0,0,0,0,0,0,0,0,0,0,0,0,88.0,15.0,3.0,8.0,0.0,0.0,-118251.893344,2.0,28.0,0.0,0.0,1.0,1.0,-5.4,67.71,0.24,59.42,577.36,7.8783595752278845,7.343432448051953,7.286532483627484,7.2223252253857355,6.048334979435409,6.680487861088499,7.634399999999999,-8.27550256822673,1,6.33682047072
PPARA_actives0000006_docked,-50.2722,18.1351,4.28378,-3.41275,0,-0.254458,-40.6512,1074.6,1,0.564468,5,0.289782,0.890517,0.109483,5991,1360,1346,176,231,43,48,6,1049,236,240,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,16.0,7.0,20.0,0.0,0.0,-142116.599072,0.0,50.0,0.0,0.0,0.0,0.0,-3.9,44.49,0.50,70.79,698.41,7.460116673349269,8.105788747474758,8.117547111222109,8.15698924586524,8.66103327312721,6.296475048749367,6.845299999999997,-10.4261701313916,1,6.4512946815
PPARA_actives0000007_docked,-44.0721,11.0365,0.951838,-3.09934,0,-1.16951,-42.2384,1072.9,1,0.565309,4,0.285756,0.859447,0.140553,5366,1196,1201,147,643,134,136,18,900,208,207,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,10.0,10.0,15.0,0.0,0.0,-133016.336326,3.0,33.0,0.0,0.0,0.0,1.0,-4.3,50.00,0.40,82.44,686.50,7.810341733409186,7.97835203885004,8.03412300804751,7.757127221500725,8.262708946701997,6.286335647526753,6.7745000000000015,-9.417451295446932,1,6.04918603134
PPARA_actives0000008_docked,-42.8825,9.88824,11.3455,-8.87671,0,-0.64532,-37.0045,928.943,1,0.533216,10,0.298852,0.842449,0.157551,4900,1063,1178,150,644,133,148,23,901,203,209,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.0,3.0,7.0,12.0,4.0,3.0,-15858.2637375,5.0,34.0,0.0,0.0,0.0,1.0,-4.2,48.69,0.35,82.03,621.13,8.353684966768505,7.779676845520491,8.007074589799092,7.724534855699855,6.974478585312692,5.3612284218442126,6.4846,-9.349449794339082,1,6.03905546022
PPARA_actives0000009_docked,-47.5194,12.5127,10.7364,-9.56429,0,-2.53495,-42.4506,1047.23,2,0.568521,4,0.28465,0.839608,0.160392,5372,1196,1216,151,0,0,0,0,1234,282,289,31,619,152,153,21,0,0,0,0,0,0,0,0,227,52,53,7,0,0,0,0,0,0,0,0,80.0,20.0,12.0,11.0,0.0,5.0,-108126.982299,2.0,41.0,0.0,0.0,0.0,1.0,-1.8,66.92,0.36,82.06,677.13,8.660393336742347,8.31316478682428,8.212156930735924,7.926762958041952,7.551088369331279,6.449517730674334,6.718000000000002,-10.332651249099298,1,7.1253196397
PPARA_actives0000010_docked,-40.1935,10.9279,6.31594,-7.55496,0,-2.31722,-38.9448,1009.8,2,0.530529,2,0.233509,0.86996,0.13004,4983,1116,1124,136,0,0,0,0,889,199,203,21,586,146,145,21,0,0,0,0,0,0,0,0,209,37,44,7,0,0,0,0,0,0,0,0,83.0,14.0,3.0,6.0,0.0,0.0,-120862.064493,2.0,28.0,0.0,0.0,0.0,1.0,-2.9,58.18,0.43,55.76,657.14,8.294998376999143,7.801524757631256,7.593667469918969,7.5815892617937575,7.365142431556116,6.184134811994586,6.931300000000001,-8.732686063214691,1,6.70702272496
