Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
PPARG_actives0000001_docked,-39.2884,11.3306,10.3231,-8.02433,0,-2.12144,-33.871,1136.01,2,0.524566,5,0.251608,0.832211,0.167789,4669,1090,1077,89,217,52,51,4,1044,251,242,19,0,0,0,0,0,0,0,0,216,51,48,5,223,54,54,4,0,0,0,0,0,0,0,0,62.0,17.0,7.0,12.0,0.0,0.0,164789.458085,2.0,25.0,0.0,0.0,0.0,2.0,-.3,51.33,0.39,99.35,666.94,8.59352281881975,7.615777064935063,7.437472741147742,7.44268166727718,6.665289693561021,6.569290657954812,6.180866666666667,-7.2435119805788,1,6.04014327459
PPARG_actives0000002_docked,-35.5529,9.37106,8.1048,-7.27886,-1.21262,0,-32.9528,897.798,1,0.510255,5,0.221471,0.840772,0.159228,3744,839,859,77,627,139,140,12,589,139,146,11,0,0,0,0,0,0,0,0,204,43,49,4,0,0,0,0,0,0,0,0,0,0,0,0,55.0,4.0,18.0,10.0,2.0,6.0,-148970.170428,2.0,35.0,0.0,0.0,0.0,0.0,-.8,39.22,0.28,71.53,497.28,7.410259309996148,7.4380820685425615,7.104753020202025,7.346490532689528,5.796383451613107,6.334750596713712,6.047700000000001,-7.46646219940656,1,5.95718970004
PPARG_actives0000003_docked,-39.3681,8.23135,1.25759,-2.00945,0,0,-37.1351,1067.42,0,0.533297,5,0.210462,0.770907,0.229093,4826,1209,1285,72,210,48,49,4,1021,252,265,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,12.0,23.0,9.0,1.0,2.0,110639.13514,0.0,25.0,0.0,0.0,0.0,0.0,-1.9,48.74,0.48,76.07,736.94,7.740874718414942,7.456805267010765,7.401491702131201,7.537628748917745,6.255220103019035,6.550249592965484,6.231300000000002,-9.45600015599336,1,6.00081241937
PPARG_actives0000004_docked,-34.9972,8.11982,-1.32178,1.82717,0,0,-31.4191,984.262,0,0.517371,1,0.286092,0.758931,0.241069,4527,1170,1208,64,0,0,0,0,789,202,207,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,8.0,22.0,17.0,0.0,4.0,8199.05501455,0.0,43.0,1.0,0.0,0.0,0.0,-1.7,41.61,0.46,63.60,693.30,6.98162205197382,7.624251910478403,7.141472933843934,7.509302902153399,6.687768545061807,6.475690997696955,6.601900000000003,-8.53836179304234,1,6.01398852233
PPARG_actives0000005_docked,-42.9012,11.7183,16.4027,-14.5135,-1.73438,0,-37.3702,1033.17,2,0.565724,6,0.237692,0.833365,0.166635,4546,982,998,102,407,89,95,9,755,170,178,18,609,127,132,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,1.0,25.0,16.0,6.0,12.0,-309569.450751,3.0,36.0,2.0,0.0,0.0,0.0,-4.0,62.22,0.36,84.59,611.16,8.241126475919792,7.796933915806414,7.819743876845371,7.66962508968809,6.414880415976083,6.716537053164563,6.298399999999999,-9.042452441708495,1,6.12165466228
PPARG_actives0000006_docked,-50.5692,10.4621,8.72599,-13.3128,-1.47281,-1.81051,-53.5169,1304.17,3,0.548985,5,0.244319,0.830317,0.169683,5789,1281,1270,121,399,90,86,8,1244,278,268,23,0,0,0,0,0,0,0,0,0,0,0,0,180,47,46,4,0,0,0,0,0,0,0,0,70.0,12.0,31.0,10.0,4.0,8.0,2368.80592005,4.0,48.0,1.0,0.0,0.0,2.0,-4.5,70.20,0.21,102.10,747.11,8.32177303810189,7.882796552669548,8.40001939971141,8.081046104340109,6.70631096042197,7.101016594707318,6.9468999999999985,-11.234456350986832,1,6.44643672018
PPARG_actives0000007_docked,-29.6067,8.34217,4.59319,-6.11583,0,-1.23994,-27.8041,679.084,1,0.577027,5,0.261498,0.863749,0.136251,3111,677,644,63,0,0,0,0,684,157,132,9,0,0,0,0,0,0,0,0,226,56,43,3,226,44,47,5,0,0,0,0,0,0,0,0,55.0,0.0,12.0,6.0,0.0,0.0,5394.28376126,2.0,34.0,1.0,0.0,0.0,0.0,-3.3,38.81,0.00,49.69,370.92,6.040526399347127,6.204833245310238,6.206742789321789,6.094792659451656,4.736293170020098,4.9377007642766,6.4404,-8.158222839502082,1,5.99619897664
PPARG_actives0000008_docked,-39.1965,6.87375,4.14919,-5.76474,0,-1.20084,-39.6943,1177.92,1,0.560546,3,0.250926,0.848917,0.151083,5487,1238,1250,111,653,154,138,14,721,186,168,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,7.0,20.0,15.0,0.0,2.0,-131565.629877,1.0,40.0,0.0,0.0,1.0,0.0,.3,47.91,0.44,82.44,751.40,7.997593157113011,8.073472838550334,8.163342034743037,7.771856817447267,6.022921844148048,7.088146651094584,6.481200000000005,-9.146525768640085,1,6.0645964888
PPARG_actives0000009_docked,-36.8132,9.79421,2.71986,-6.48754,0,-0.691482,-37.311,954.872,1,0.512271,3,0.2558,0.784995,0.215005,4503,1075,1096,92,390,89,93,8,907,214,226,18,0,0,0,0,0,0,0,0,193,47,49,4,191,42,52,5,0,0,0,0,0,0,0,0,39.0,16.0,15.0,14.0,1.0,2.0,-49423.6044676,1.0,31.0,0.0,0.0,0.0,0.0,-.3,61.43,0.04,105.47,583.64,6.773513435299684,7.692861782828279,7.505488814463319,7.417800094849598,6.4989913490624165,6.833161466201701,6.740500000000003,-9.262676978152838,1,5.97103212002
PPARG_actives0000010_docked,-29.475,6.02023,2.46086,-1.91533,0,0,-26.7419,703.679,0,0.574754,4,0.271187,0.890071,0.109929,2421,532,504,47,648,131,139,13,617,132,144,12,0,0,0,0,0,0,0,0,214,46,48,5,0,0,0,0,0,0,0,0,0,0,0,0,42.0,0.0,12.0,3.0,0.0,1.0,13070.8717825,0.0,20.0,1.0,0.0,0.0,0.0,-.2,29.55,0.45,78.49,369.89,6.549623548394744,7.183707617826619,6.89692508918859,6.651178417027419,2.787832407717912,4.869846646455874,5.587600000000001,-5.9603555667246315,1,5.96643423096
PPARG_actives0000011_docked,-40.9525,13.267,10.7126,-6.22333,0,-2.12352,-33.5487,1113.34,2,0.558233,4,0.235278,0.813498,0.186502,5219,1202,1188,103,0,0,0,0,1246,290,276,22,182,45,44,5,0,0,0,0,0,0,0,0,218,45,48,4,0,0,0,0,0,0,0,0,78.0,15.0,7.0,19.0,0.0,0.0,136397.800794,2.0,33.0,0.0,0.0,0.0,2.0,-.7,60.79,0.27,74.22,667.48,7.5853810806999675,8.226617210012208,8.034801172327674,7.969980818570315,6.695946024051672,7.139256392838378,7.0908999999999995,-9.824664879028708,1,6.22430852737
PPARG_actives0000012_docked,-30.3113,6.81752,7.47173,-2.24856,0,0,-22.7502,612.548,0,0.542404,8,0.290355,0.848948,0.151052,2663,575,545,56,660,139,138,14,685,146,143,13,0,0,0,0,0,0,0,0,0,0,0,0,219,53,41,3,0,0,0,0,0,0,0,0,45.0,0.0,18.0,1.0,0.0,6.0,27624.5417633,0.0,26.0,1.0,0.0,1.0,0.0,-1.0,39.93,0.00,87.81,335.69,7.3411944165177045,6.834838000111002,6.528929714191035,6.874114194250194,4.769059008502066,7.096140200435889,5.4421,-7.018672086040465,1,5.96731028499
PPARG_actives0000013_docked,-33.2476,6.27791,0.549734,-9.56648,-0.304308,0,-39.7888,949.783,1,0.542242,3,0.265688,0.79509,0.20491,3547,911,908,49,389,101,101,5,360,82,87,6,0,0,0,0,0,0,0,0,557,140,147,8,0,0,0,0,0,0,0,0,0,0,0,0,29.0,13.0,15.0,14.0,1.0,3.0,-183438.774952,1.0,30.0,1.0,0.0,0.0,0.0,-1.2,48.36,0.15,63.08,535.34,7.3788156318324996,7.336835342157833,7.227483974025977,7.142867575757571,6.655741531508817,6.827834396487851,6.4029,-7.548004117776798,1,5.95184089642
PPARG_actives0000014_docked,-39.5584,6.57675,15.5858,-13.9467,-1.89812,-1.37761,-39.0574,1126.03,3,0.51881,3,0.254993,0.739737,0.260263,4489,1141,1156,63,340,85,85,6,905,234,254,10,534,138,142,14,0,0,0,0,0,0,0,0,329,84,82,4,0,0,0,0,0,0,0,0,56.0,12.0,40.0,23.0,4.0,8.0,-404676.853123,3.0,38.0,0.0,0.0,0.0,1.0,1.0,85.40,0.15,95.95,679.30,8.829294372497998,7.7173333917748925,7.926867111721607,7.740971412476413,7.352088305054688,6.240643901064375,7.098399999999998,-9.97427513673936,1,6.21092085504
PPARG_actives0000015_docked,-41.5607,6.81406,10.5838,-6.33708,0,-2.42879,-37.3864,1142.99,2,0.519891,5,0.250805,0.856093,0.143907,5068,1210,1222,88,0,0,0,0,1271,294,279,21,0,0,0,0,0,0,0,0,0,0,0,0,210,46,45,5,0,0,0,0,0,0,0,0,58.0,5.0,21.0,5.0,0.0,5.0,-260654.748016,2.0,30.0,0.0,0.0,0.0,1.0,-2.1,55.07,0.23,82.06,661.85,7.912751459001676,8.385305847097342,8.146933378066382,8.19874271828172,5.11755189725818,7.229837351991053,6.744000000000001,-8.968357502062425,1,6.16603802601
PPARG_actives0000016_docked,-36.4562,9.2674,4.24526,-8.61908,-0.7156,0,-37.0005,940.149,1,0.529259,2,0.203982,0.834089,0.165911,4313,1021,1092,77,202,42,46,4,357,80,91,8,0,0,0,0,0,0,0,0,172,40,49,3,429,98,96,8,0,0,0,0,0,0,0,0,34.0,11.0,20.0,11.0,3.0,8.0,-104007.230553,1.0,34.0,0.0,0.0,0.0,0.0,-.2,51.30,0.05,42.23,515.81,8.043921517735686,7.61045961471861,7.192113271395269,7.206988633366632,4.5661093049306345,5.143541753616362,6.524699999999999,-9.204464955882221,1,5.99176023582
PPARG_actives0000017_docked,-34.0365,6.98915,5.87779,-11.2342,0,-0.791713,-38.2179,1045.68,1,0.515993,2,0.343247,0.809636,0.190364,4921,1189,1212,95,334,78,84,7,603,141,160,12,241,71,80,0,0,0,0,0,0,0,0,0,136,35,39,3,0,0,0,0,0,0,0,0,40.0,9.0,26.0,6.0,0.0,9.0,-194104.398428,3.0,26.0,1.0,0.0,0.0,0.0,-1.0,79.78,0.17,76.48,738.88,7.925128080904935,7.800110926462417,7.768156762126748,7.743853682428683,6.069867297886302,7.365347343068517,6.769400000000002,-9.051582735893653,1,5.98106939029
PPARG_actives0000018_docked,-44.5503,10.652,4.36652,-6.14033,0,-0.383459,-42.0094,1172.73,1,0.561091,6,0.250921,0.858812,0.141188,5737,1278,1248,123,429,93,86,9,1218,252,281,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,7.0,15.0,10.0,0.0,1.0,-387572.243632,2.0,43.0,0.0,0.0,0.0,1.0,-1.4,60.04,0.39,102.10,749.10,7.879782270722442,7.753387904983901,7.883931772838283,7.885162771117773,6.875822270411627,5.915162250098912,6.946299999999996,-9.131682294197418,1,6.17404198524
PPARG_actives0000019_docked,-44.2294,8.74229,6.10491,-8.13985,0,-0.423662,-43.1772,1165.03,2,0.544974,7,0.218914,0.81718,0.18282,5724,1370,1436,104,0,0,0,0,1026,245,245,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,7.0,20.0,15.0,0.0,5.0,-241078.010773,2.0,32.0,0.0,0.0,0.0,1.0,-1.3,51.20,0.31,72.83,725.88,7.804275001547031,8.547746669219666,8.368802909701406,8.303906559052058,6.952840568137185,6.66836676874986,6.861800000000004,-8.938849218038877,1,6.10152368296
PPARG_actives0000020_docked,-38.8556,10.1264,7.6157,-6.22299,-1.4326,0,-35.4261,1232.6,1,0.501816,3,0.196279,0.815774,0.184226,5337,1294,1350,100,0,0,0,0,1209,275,265,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,11.0,24.0,13.0,2.0,7.0,-98881.6955321,1.0,45.0,0.0,0.0,0.0,1.0,-.4,51.22,0.29,82.06,715.16,7.228977167271689,8.367402699522692,8.00172339127539,8.161286868020863,4.058859253532845,5.169165459400159,6.405400000000002,-8.055109838170496,1,6.04616762938
PPARG_actives0000021_docked,-44.1692,12.1442,-2.09029,-2.06419,0,0,-43.0237,1032.53,0,0.549534,5,0.227244,0.870047,0.129953,5482,1203,1186,114,453,98,93,8,805,193,184,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,42,41,4,0,0,0,0,62.0,7.0,13.0,5.0,0.0,1.0,-4038.65312305,0.0,43.0,2.0,0.0,0.0,0.0,-2.8,57.94,0.15,91.42,634.86,8.142489111987985,7.9399552104562074,7.735532576368077,7.837666803751812,7.436822233593027,7.351094915829829,6.427100000000001,-9.392513025712688,1,6.01783580309
PPARG_actives0000022_docked,-39.3552,7.50087,4.12247,-6.15158,0,0,-39.5235,1178.64,0,0.542997,8,0.21114,0.854569,0.145431,5539,1246,1216,112,202,48,44,4,1005,220,233,20,749,182,191,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,9.0,20.0,7.0,1.0,3.0,-38875.4767683,0.0,33.0,1.0,0.0,0.0,0.0,.2,80.88,0.26,84.86,712.82,7.749504223298571,7.832106352980355,7.440852830447324,7.603045438339442,7.01876279994763,6.249764022153604,7.250900000000001,-9.549909667412276,1,6.74191633693
PPARG_actives0000024_docked,-42.777,8.06366,10.1838,-12.2772,0,-0.630097,-42.3359,1051.44,1,0.504975,1,0.260165,0.77856,0.22144,4886,1201,1261,82,187,49,54,3,773,192,213,9,403,116,127,4,0,0,0,0,0,0,0,0,213,54,50,4,0,0,0,0,0,0,0,0,29.0,12.0,40.0,27.0,2.0,8.0,-490434.632749,2.0,34.0,0.0,0.0,0.0,2.0,-.6,76.88,0.19,77.76,677.44,7.602818097133337,7.705834446608941,7.768956225663226,7.9313551036186025,7.6741666110926925,7.740306581288745,7.134400000000003,-10.0214942247778,1,6.09495474029
PPARG_actives0000025_docked,-48.2042,9.90458,7.15139,-7.91408,0,-0.598058,-45.8347,1161.84,2,0.552211,8,0.254111,0.853336,0.146664,6075,1358,1354,122,871,187,175,18,839,195,181,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,15.0,16.0,17.0,0.0,0.0,-108238.283635,2.0,55.0,1.0,0.0,1.0,1.0,-1.3,64.97,0.17,103.27,705.15,8.48095705824222,8.165790350482848,8.373354846486855,8.124623705183714,8.435853644169404,8.79112927863314,7.196000000000001,-11.564712693671384,1,6.08220152815
PPARG_actives0000026_docked,-47.4408,11.3217,8.25036,-14.5663,-0.248786,-2.78435,-51.1787,1195.8,4,0.517502,2,0.248079,0.806212,0.193788,5577,1293,1310,107,200,42,44,4,1055,238,225,18,0,0,0,0,0,0,0,0,224,48,48,4,0,0,0,0,0,0,0,0,0,0,0,0,90.0,9.0,18.0,5.0,4.0,7.0,-276662.155904,4.0,31.0,0.0,0.0,0.0,2.0,-.8,56.51,0.33,81.79,704.35,6.75599895331654,8.078087974025978,7.972412416527916,7.88717257192807,6.296439864161774,6.665475364999666,6.7011999999999965,-9.433048950378195,1,6.1842354247
PPARG_actives0000027_docked,-39.6856,9.76869,6.5385,-5.39986,0,0,-34.8476,1139.36,0,0.527617,7,0.262498,0.82814,0.17186,5776,1349,1301,103,411,95,90,8,1017,238,236,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,9.0,0.0,19.0,0.0,0.0,-264120.047985,0.0,42.0,0.0,0.0,1.0,0.0,-.5,58.37,0.21,101.66,704.97,7.852521270406202,7.856589602675102,8.00420172288823,7.89557702059052,7.0346824416791245,5.881965496148544,6.5121,-9.640718180788287,1,6.11279042639
PPARG_actives0000028_docked,-47.6017,13.8239,12.5077,-12.5151,-0.501704,0,-42.6188,1273.45,1,0.471997,7,0.220447,0.778312,0.221688,5621,1383,1464,94,342,81,92,6,898,231,251,14,489,119,132,9,0,0,0,0,133,36,42,2,0,0,0,0,0,0,0,0,0,0,0,0,27.0,20.0,46.0,26.0,1.0,7.0,-45458.8811006,2.0,40.0,0.0,0.0,0.0,0.0,2.9,90.44,0.12,103.70,811.22,7.505905264700976,8.151409102453101,8.244212091519586,7.976423125319123,9.016044327929212,7.543903148536258,7.354499999999997,-10.869562200470074,1,6.2285089338
PPARG_actives0000029_docked,-40.8235,10.1725,7.12381,-8.20832,-0.139075,0,-38.0485,1094.63,1,0.532072,2,0.26238,0.853973,0.146027,4584,1142,1144,76,161,37,39,3,909,236,236,11,586,143,146,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,15.0,30.0,12.0,6.0,9.0,-99009.0400166,2.0,49.0,1.0,0.0,0.0,0.0,1.2,77.15,0.24,86.99,743.74,8.074329191385853,7.049184951492949,7.188353854090352,7.378721521756023,7.864735802799388,7.442616288215279,7.178399999999998,-9.54244022421775,1,6.26503931427
PPARG_actives0000030_docked,-44.8804,12.7353,-0.503112,-3.6323,0,0,-43.3543,1216.57,0,0.518596,6,0.228379,0.835334,0.164666,6418,1552,1544,112,370,90,94,7,641,151,149,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,14.0,11.0,10.0,0.0,1.0,50105.6727963,0.0,63.0,1.0,0.0,0.0,2.0,-3.8,61.63,0.18,71.33,768.14,7.875939332912961,8.211342442390938,8.0537306931957,8.094778133755142,7.909283243416948,7.900270613610803,6.950400000000002,-9.969429975006804,1,6.04847340804
PPARG_actives0000031_docked,-41.2058,7.97909,14.2064,-17.6113,-1.9877,-2.76101,-45.3373,1067.44,5,0.538588,5,0.24732,0.792905,0.207095,4893,1122,1110,93,876,195,176,14,607,140,144,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,9.0,13.0,9.0,6.0,5.0,-222011.162332,5.0,28.0,0.0,0.0,0.0,2.0,-2.7,56.63,0.25,94.04,606.28,8.10883059303445,7.7891516918081924,7.89430993206793,7.914891008478459,7.091089221190411,7.732897652039196,6.851699999999999,-9.435815723054542,1,6.00021925158
PPARG_actives0000032_docked,-44.2932,10.7918,6.90155,-7.20965,0,0,-40.3834,1111.85,0,0.498791,6,0.246257,0.835247,0.164753,5005,1245,1280,84,186,41,48,4,619,165,171,9,901,204,198,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,6.0,26.0,17.0,0.0,5.0,84099.222161,3.0,50.0,1.0,0.0,0.0,0.0,-4.7,75.24,0.26,75.63,692.23,8.099731951403374,7.553780926406928,7.514484419025421,7.638322294205794,8.076482778237926,7.76218620557244,6.951100000000002,-9.575665722891417,1,6.37518685986
PPARG_actives0000033_docked,-37.3326,31.0861,15.6266,-9.66672,-0.368117,-0.70252,-16.617,969.727,2,0.513886,2,0.268625,0.819231,0.180769,3731,923,991,64,496,134,144,8,335,75,90,6,1472,342,352,32,0,0,0,0,305,82,84,4,0,0,0,0,0,0,0,0,0,0,0,0,44.0,11.0,13.0,27.0,2.0,4.0,-26785.3664454,3.0,24.0,1.0,0.0,0.0,0.0,1.7,93.55,0.10,63.99,590.36,7.7679359932806635,7.456198986069479,7.622945395548889,7.33334268220668,6.450014288633883,5.6280003948507895,6.027500000000001,-9.247721904796535,1,6.11938059553
PPARG_actives0000034_docked,-32.3552,5.48446,11.9929,-12.608,0,-2.65336,-31.9728,958.647,2,0.589502,6,0.268915,0.879977,0.120023,3725,835,805,73,215,50,48,3,816,197,186,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,6.0,8.0,5.0,0.0,0.0,-87742.6955263,5.0,25.0,0.0,0.0,0.0,0.0,-2.7,21.47,0.83,83.12,601.52,7.38044888822818,6.022148428571429,5.688664487123992,6.223139144633142,5.86280361989812,7.083488185674733,5.480499999999999,-4.082267325525802,1,6.00069623451
PPARG_actives0000035_docked,-39.474,8.28125,8.91452,-6.15817,0,0,-34.3565,1254.61,0,0.526437,5,0.240468,0.760871,0.239129,5390,1269,1372,88,159,45,47,2,1234,276,292,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,3.0,30.0,5.0,2.0,6.0,-64615.7885743,1.0,31.0,0.0,0.0,0.0,1.0,-1.1,54.29,0.33,91.02,778.92,7.783154292391407,8.05006116849817,7.720687583305582,7.789671239371738,6.961712069505214,5.323171960341635,6.957499999999999,-7.915215350617424,1,6.00751667134
PPARG_actives0000036_docked,-48.7855,14.5138,4.24013,-7.66382,0,-3.64665,-48.6067,1269.38,3,0.526199,5,0.248466,0.857843,0.142157,6418,1488,1489,121,399,101,91,7,1036,252,233,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,15.0,1.0,14.0,0.0,0.0,-146186.934432,3.0,38.0,0.0,0.0,0.0,2.0,-3.7,53.20,0.38,80.59,833.90,8.566829521490494,8.154703374736375,8.147942227106226,8.144372453102454,8.772815395578034,8.614219147016401,6.829400000000001,-9.564864428436143,1,6.19054118783
PPARG_actives0000037_docked,-46.2585,13.9778,8.65318,-9.74874,0,-0.0953239,-41.4919,1264.21,1,0.57785,6,0.243728,0.820341,0.179659,6159,1428,1388,127,0,0,0,0,1231,273,267,22,494,126,124,12,0,0,0,0,209,50,47,4,0,0,0,0,0,0,0,0,0,0,0,0,77.0,9.0,5.0,5.0,2.0,0.0,-172497.705959,1.0,34.0,0.0,0.0,0.0,1.0,-4.5,85.09,0.32,74.22,799.71,7.637748136715558,7.9478537614052644,7.944380135142633,7.937287133477643,6.0951050735118155,5.866305253168201,6.9611,-8.434182930882738,1,6.91476906612
PPARG_actives0000038_docked,-31.7076,16.027,0.776071,2.80482,0,0,-20.1938,914.544,0,0.473415,3,0.258478,0.770151,0.229849,4291,1067,1120,71,174,46,49,2,428,108,119,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,8.0,12.0,11.0,4.0,3.0,142739.606759,1.0,34.0,0.0,0.0,0.0,1.0,-3.4,52.47,0.16,62.32,567.59,7.112422549910332,7.599005885281381,7.05152206759907,7.053647547286053,5.7490004329856115,6.346611294954848,6.6821,-8.704320116386745,1,5.97880176531
PPARG_actives0000039_docked,-37.4052,4.89902,5.83374,-8.54011,0,-0.860349,-39.1624,1113.53,1,0.491949,3,0.274204,0.768772,0.231228,4410,1117,1157,56,369,94,99,6,503,133,132,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,12.0,17.0,18.0,0.0,2.0,-480850.366537,1.0,42.0,1.0,0.0,0.0,1.0,-1.6,39.17,0.48,75.80,752.04,6.74298599000863,7.53592927528028,7.00021351898102,7.657399126262629,7.597349259626378,6.249981477919231,6.879700000000003,-8.050677413838216,1,5.99978641873
