Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
PRKCQ_actives0000001_docked,-26.2618,43.5563,11.0179,-6.41183,0,-0.218325,1.89875,933.598,1,0.655627,6,0.356044,0.659245,0.340755,4351,1102,1318,74,942,228,270,14,153,38,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,28.0,22.0,0.0,20.0,7.0,-334368.070943,3.0,24.0,0.0,0.0,0.0,3.0,-1.2,48.98,0.24,84.12,686.13,6.7230759147466825,7.313697125818621,7.361643546231555,7.240583736430242,4.860454172796798,5.343856142295686,6.6923999999999975,-7.33766411188029,1,6.20465560693
PRKCQ_actives0000002_docked,-25.1291,11.5411,11.9305,-5.25438,0,-1.15279,-13.7081,843.001,1,0.652473,7,0.364667,0.622986,0.377014,4140,1029,1249,69,1049,266,315,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,29.0,40.0,0.0,4.0,5.0,-12939.4709731,3.0,15.0,0.0,0.0,0.0,0.0,-4.6,45.07,0.22,92.66,643.99,6.22939408777162,7.272626850649345,7.346849362415366,7.190921617549127,4.299000626318914,4.652734720761929,6.696899999999999,-7.068076768790673,1,6.19468509018
PRKCQ_actives0000003_docked,-27.8857,30.6115,9.47217,-5.23486,-1.20111,0,-8.80938,948.695,1,0.655593,6,0.334656,0.653917,0.346083,4489,1130,1381,54,920,235,281,8,251,65,83,6,0,0,0,0,0,0,0,0,121,32,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.0,25.0,0.0,17.0,8.0,-224457.959802,2.0,21.0,0.0,0.0,0.0,2.0,-.7,55.88,0.24,105.12,737.87,7.199249992182546,7.740710725274721,7.7169484187479185,7.711776801864803,7.292399948015569,7.450372213856165,7.193299999999999,-7.494884933853195,1,6.00857195036
PRKCQ_actives0000005_docked,-35.2822,33.6809,8.99084,-6.42171,0,0,-14.3661,817.617,0,0.671897,11,0.287286,0.685015,0.314985,4470,1090,1325,66,1079,260,306,15,412,93,110,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48.0,23.0,0.0,8.0,23.0,-363086.20677,1.0,28.0,0.0,0.0,0.0,1.0,-1.2,45.50,0.20,94.22,574.43,7.650354617906283,7.655305654401143,7.811964186757685,7.650843702686203,6.829134434120829,7.402765968998055,7.019899999999999,-9.882692834836263,1,6.19900854845
PRKCQ_actives0000006_docked,-30.0822,8.62441,5.49472,-2.21779,0,-0.222821,-22.6598,963.827,1,0.550882,7,0.316954,0.666848,0.333152,4478,1117,1294,48,879,204,249,12,96,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,37.0,7.0,0.0,16.0,17.0,-153833.277157,2.0,22.0,0.0,0.0,0.0,0.0,-1.8,47.48,0.21,76.97,646.88,7.815521541670039,7.43131624564324,7.267882415029417,7.317552510656013,5.357543466204735,5.948353052515044,7.3637000000000015,-8.041022755710875,1,6.20900339749
PRKCQ_actives0000007_docked,-31.964,24.2858,12.0267,-3.56526,0,0,-10.2929,945.982,0,0.616375,14,0.285835,0.639169,0.360831,4365,1117,1294,66,1021,249,298,15,142,35,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,18.0,45.0,0.0,20.0,12.0,-553438.785296,2.0,21.0,0.0,0.0,0.0,2.0,-2.3,43.12,0.33,84.12,676.55,7.307364168741223,7.36218772688422,7.607119367854374,7.468855418359419,6.188644972768758,6.860689156191346,7.540199999999998,-8.718572728274784,1,6.19427869297
PRKCQ_actives0000008_docked,-34.7403,33.0029,16.6745,-5.97982,0,-1.29933,-8.14606,943.027,1,0.694445,6,0.355324,0.591965,0.408035,4789,1190,1446,91,994,243,290,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,40.0,38.0,2.0,19.0,13.0,-401903.05887,3.0,30.0,0.0,0.0,0.0,2.0,-6.4,44.54,0.29,70.98,741.93,6.701048977086249,7.424944521312021,7.463058408202905,7.573567797424811,6.515639255155344,6.7190678528608165,7.0202,-7.94325927549563,1,6.34621456223
PRKCQ_actives0000009_docked,-26.525,11.146,4.59549,-1.03222,-0.11095,0,-17.692,874.837,1,0.667625,4,0.338066,0.739163,0.260837,3797,942,1107,46,985,243,279,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30.0,12.0,0.0,17.0,12.0,78494.2499268,2.0,19.0,0.0,0.0,1.0,0.0,-3.6,33.47,0.30,93.76,568.48,6.272703940211088,7.302264541125541,7.228595445387948,7.1511761540681595,6.160168299079325,6.113125071851377,6.5435,-8.079548357043702,1,6.26387875133
PRKCQ_actives0000010_docked,-36.7878,29.5287,10.7007,-1.02058,-1.86006,0,-13.3035,933.713,1,0.680199,8,0.262623,0.66197,0.33803,5181,1239,1485,80,981,245,288,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,37.0,28.0,0.0,26.0,20.0,-636891.401072,3.0,28.0,0.0,0.0,0.0,1.0,-2.9,44.48,0.24,70.98,672.54,7.969021738483664,7.633370836607843,7.8414993973804,7.730922341547349,6.432954715924212,7.087685950439373,7.5448,-9.413081210972841,1,6.27786193787
PRKCQ_actives0000011_docked,-35.3694,22.4094,5.28629,-3.29041,-2.05793,0,-23.3884,850.905,1,0.691154,4,0.34198,0.683363,0.316637,3819,941,1111,46,913,215,255,10,127,30,35,2,0,0,0,0,0,0,0,0,170,47,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,37.0,11.0,0.0,35.0,13.0,-61250.3826624,3.0,22.0,0.0,0.0,0.0,0.0,-.1,45.32,0.14,84.81,530.20,7.298260482604329,8.039302416028416,7.573818210511711,7.612386322011328,6.5982352974599605,7.153478293199401,7.487899999999999,-8.086350801670015,1,5.99619174971
