Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
PR_actives0000001_docked,-48.8422,12.8141,9.10944,-5.9694,0,-1.0572,-39.9542,1204.99,1,0.60428,2,0.243436,0.798276,0.201724,6710,1496,1533,191,179,48,39,5,566,122,141,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,3.0,0.0,16.0,0.0,0.0,-64393.4522753,1.0,43.0,0.0,0.0,0.0,0.0,-1.8,35.59,0.62,60.77,815.74,7.596012586714876,8.36144937384838,8.14877347602398,8.262499321067818,8.992802560523032,7.438702032255622,7.870699999999999,-10.627414202284388,1,6.51485998208
PR_actives0000002_docked,-46.5254,12.8743,5.56395,-5.51353,0,-0.623258,-41.0899,1176.02,1,0.631339,5,0.258049,0.818169,0.181831,6774,1497,1590,190,184,44,46,5,625,149,152,16,158,34,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,4.0,6.0,19.0,0.0,0.0,-73775.840488,1.0,45.0,0.0,0.0,0.0,0.0,3.3,49.94,0.42,49.77,726.95,7.870417322250634,8.176784263458764,8.201314512210022,8.188020546009547,7.927325633036631,8.521211597394622,7.289800000000001,-14.789299999491165,1,6.50607501091
PR_actives0000003_docked,-49.2695,15.9714,7.61543,-4.45855,0,-0.866817,-38.3127,1004.79,1,0.637071,7,0.293018,0.819458,0.180542,6735,1509,1527,183,217,43,51,6,603,133,148,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,4.0,2.0,24.0,0.0,0.0,49826.4789467,1.0,42.0,0.0,0.0,0.0,0.0,1.6,33.40,0.52,55.73,688.18,9.040890775318932,8.298017685370187,8.508030817127326,8.271310961038962,8.947170833225066,8.658486038883124,7.545099999999998,-14.176804430736059,1,6.28687429066
PR_actives0000004_docked,-36.7182,14.1129,5.20398,-5.07868,0,-0.663188,-29.6106,664.303,1,0.625147,6,0.32499,0.783348,0.216652,3744,849,842,98,241,54,48,6,456,104,103,11,209,43,49,6,0,0,0,0,0,0,0,0,231,48,58,6,0,0,0,0,0,0,0,0,57.0,4.0,0.0,22.0,0.0,0.0,-101209.892273,1.0,19.0,0.0,0.0,0.0,0.0,-.5,40.48,0.19,38.33,393.96,7.281228121326814,6.990844955988456,6.992411494893992,6.583408738705736,6.759748251359188,6.83308348589449,6.704599999999999,-9.354418880771554,1,6.01822536518
PR_actives0000006_docked,-27.4053,34.5025,7.87476,-1.4376,0,0,-2.48802,762.852,0,0.579413,6,0.259668,0.838874,0.161126,4035,880,886,104,676,145,157,15,215,46,53,5,212,48,50,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,0.0,11.0,8.0,0.0,2.0,-50471.1097389,0.0,13.0,0.0,0.0,0.0,0.0,1.3,37.79,0.22,61.84,407.30,7.262719487270435,7.3913802616827615,7.11611036635587,7.256780747517189,6.680915465439427,6.392203937206873,6.111599999999999,-8.193689979703153,1,6.14811312723
PR_actives0000007_docked,-33.4915,156.033,8.75914,-2.02387,0,-1.03367,57.7211,779.207,1,0.596534,2,0.304991,0.818389,0.181611,4200,910,932,114,665,138,158,16,0,0,0,0,223,53,48,6,0,0,0,0,206,43,52,6,0,0,0,0,0,0,0,0,0,0,0,0,52.0,0.0,4.0,22.0,0.0,1.0,-100100.457224,2.0,26.0,0.0,0.0,0.0,0.0,.9,35.90,0.26,39.06,463.96,7.691565844586549,7.441347303862793,7.104496664668659,7.287170027528026,6.0730327081108735,7.0537956332346825,6.572,-6.256201972040908,1,6.39415309167
PR_actives0000008_docked,-36.0783,14.0399,12.3274,-0.0590877,0,0,-16.4531,769.81,0,0.637405,8,0.302098,0.809489,0.190511,4362,977,1027,114,452,103,109,12,450,99,108,12,631,134,159,16,0,0,0,0,0,0,0,0,234,50,46,6,0,0,0,0,0,0,0,0,54.0,5.0,5.0,21.0,0.0,0.0,-61067.3045026,0.0,18.0,0.0,0.0,0.0,0.0,3.1,53.53,0.32,41.57,485.12,6.089509402435066,7.453676550505043,7.189187341269833,7.510559226218226,6.4064686032405485,5.68093059401659,6.539799999999999,-10.703170487941827,1,6.13467743003
PR_actives0000009_docked,-41.7816,11.6052,2.34263,-2.18929,0,0,-35.5743,785.203,0,0.670479,7,0.319244,0.819949,0.180051,4422,961,1010,113,472,100,114,12,438,93,102,12,0,0,0,0,0,0,0,0,0,0,0,0,454,105,98,12,0,0,0,0,0,0,0,0,62.0,0.0,6.0,16.0,0.0,0.0,389.23021905,0.0,29.0,0.0,0.0,0.0,0.0,-.3,40.06,0.32,41.57,508.55,7.7598200030238385,7.258246053391048,7.352356732434225,7.5524117813852785,8.045546684263677,7.620212856645282,6.4579,-10.261251356568291,1,6.12767931125
PR_actives0000010_docked,-41.9804,68.735,13.9604,-3.76437,0,0,5.62516,868.065,0,0.589668,6,0.27717,0.808193,0.191807,4170,917,957,111,664,146,149,16,367,89,89,10,0,0,0,0,0,0,0,0,191,46,46,5,228,49,43,6,210,49,52,6,0,0,0,0,46.0,0.0,2.0,30.0,0.0,0.0,88805.8794165,0.0,25.0,0.0,0.0,0.0,0.0,1.2,43.41,0.32,64.41,548.30,8.479437140825222,7.695720490342988,7.522818113275609,7.523256397380398,7.678314640003981,7.420850722281426,6.640099999999999,-8.156473186913011,1,6.02653416108
PR_actives0000011_docked,-38.0505,15.5896,0.965753,-1.39166,0,0,-30.5155,744.744,0,0.635056,6,0.297585,0.835667,0.164333,5338,1184,1211,139,236,54,51,6,453,95,113,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,0.0,10.0,14.0,0.0,1.0,85146.8459591,2.0,32.0,0.0,0.0,0.0,0.0,3.8,24.98,0.65,56.25,566.79,7.064659653794007,8.075596156565663,7.684213389499394,7.68893602958153,7.834827228749349,6.617639874309803,7.222700000000002,-12.602450126356636,1,6.04291789462
PR_actives0000013_docked,-26.9499,86.4582,6.5339,-2.9413,0,0,23.7202,651.719,0,0.616672,7,0.28849,0.802636,0.197364,3422,749,762,89,455,94,107,10,434,89,108,12,0,0,0,0,0,0,0,0,235,51,45,6,0,0,0,0,0,0,0,0,0,0,0,0,41.0,0.0,7.0,11.0,0.0,0.0,-83758.390845,2.0,11.0,0.0,0.0,0.0,0.0,1.3,34.21,0.20,62.12,371.45,6.1893123845049995,7.302111182539679,6.734013204628702,7.0075353730158705,6.643539330377721,7.225718843640491,6.094400000000002,-6.743931576315413,1,6.12853505103
PR_actives0000014_docked,-44.5933,310.827,11.3013,-2.88723,0,-0.426997,132.924,846.365,1,0.641509,3,0.317865,0.836703,0.163297,4661,1041,1062,121,699,155,152,16,207,49,51,6,0,0,0,0,0,0,0,0,0,0,0,0,234,52,47,6,220,54,59,7,0,0,0,0,50.0,0.0,1.0,29.0,0.0,0.0,-46683.0939914,0.0,29.0,0.0,0.0,0.0,0.0,-.9,37.81,0.33,47.34,551.93,7.931546034750563,7.446071572871569,7.146058790043288,7.683641123252566,9.215530401259665,8.923316207723078,7.2001,-6.572809133546784,1,6.0988212127
PR_actives0000015_docked,-41.336,47.7333,14.8451,-3.79235,0,-1.15152,-6.22225,831.764,2,0.598202,2,0.314341,0.833697,0.166303,4369,982,999,118,676,154,149,15,424,99,96,11,0,0,0,0,0,0,0,0,0,0,0,0,451,100,100,13,0,0,0,0,0,0,0,0,54.0,0.0,1.0,34.0,0.0,0.0,-56658.9518166,0.0,29.0,0.0,0.0,0.0,0.0,-.7,43.17,0.30,56.57,528.16,8.620912883893928,7.721177995226986,7.326789901487399,7.733549101607537,7.655001750128148,7.3546395142879994,7.0413999999999985,-5.64126423593847,1,6.20509382603
PR_actives0000016_docked,-35.2691,77.3991,5.46063,-1.30495,0,0,10.0689,811.181,0,0.565489,3,0.302968,0.88261,0.11739,4311,953,981,116,616,140,143,17,401,89,93,13,0,0,0,0,0,0,0,0,232,51,50,7,0,0,0,0,0,0,0,0,0,0,0,0,40.0,0.0,1.0,23.0,0.0,0.0,22791.099967,0.0,19.0,0.0,0.0,0.0,0.0,2.8,41.50,0.20,77.91,480.56,6.915910252427734,7.568532844155842,7.3022505093795145,7.497813415584419,4.418168241315863,5.607155175122034,5.844100000000001,-7.4232877105582205,1,6.16745931826
PR_actives0000018_docked,-35.6963,20.3194,1.30692,-0.699395,0,0,-25.1227,838.244,0,0.589002,5,0.313452,0.870291,0.129709,5106,1145,1195,141,396,98,99,11,841,185,198,25,188,40,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0,0.0,3.0,6.0,0.0,0.0,-35801.1204927,0.0,27.0,0.0,0.0,0.0,0.0,.8,58.68,0.08,88.40,523.63,8.023371444044347,7.681305346098341,7.5577056645021665,7.7339651500721525,7.253158554527726,6.28639625300646,6.938299999999999,-10.156354707189957,1,6.0820713857
PR_actives0000020_docked,-35.6519,11.4609,2.41508,-1.26003,0,0,-28.0046,784.678,0,0.650736,2,0.294066,0.820881,0.179119,3954,880,908,101,475,108,103,12,0,0,0,0,0,0,0,0,0,0,0,0,225,50,51,7,461,105,98,12,0,0,0,0,0,0,0,0,52.0,3.0,0.0,14.0,0.0,0.0,-22565.778179,0.0,19.0,0.0,0.0,0.0,0.0,0,35.13,0.18,15.60,422.28,7.804806620121883,7.387265328837828,7.038377013597512,7.099049820901322,6.634791001701246,6.263241574999998,6.816700000000002,-8.706008430504681,1,6.09212027326
PR_actives0000021_docked,-28.7387,64.4288,7.50587,-3.75643,0,0,10.004,670.784,0,0.609365,8,0.291754,0.812711,0.187289,3494,761,781,91,463,99,107,10,442,93,108,12,0,0,0,0,0,0,0,0,228,59,49,6,0,0,0,0,0,0,0,0,0,0,0,0,39.0,0.0,10.0,8.0,0.0,2.0,-87154.9525539,1.0,10.0,0.0,0.0,0.0,0.0,1.2,34.26,0.20,62.12,372.74,6.649125854816148,7.351493596681093,6.835349251887,7.021613116246492,7.968619646513135,8.592454891755729,6.767099999999999,-7.125114700277582,1,6.86787771074
