Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
PYGL-in_actives0000001_docked,-28.1124,37.1819,17.198,0.602623,0,0,7.56893,624.261,0,0.558366,7,0.491046,0.66378,0.33622,1911,566,520,0,349,97,94,0,216,64,58,0,0,0,0,0,0,0,0,0,133,39,35,0,340,102,88,1,0,0,0,0,0,0,0,0,26.0,22.0,3.0,0.0,27.0,6.0,-8990.97652319,2.0,12.0,0.0,0.0,2.0,0.0,-3.7,45.82,0.22,65.20,505.64,6.6702137828036285,5.687299124764125,5.537460950216449,5.998285510600514,4.831391369224828,5.786288596532631,6.338300000000004,-5.871257038842654,1,5.99856716398
PYGL-in_actives0000002_docked,-23.8076,24.3303,13.2249,-0.551382,0,0,-0.297797,597.66,0,0.56321,4,0.451028,0.687324,0.312676,1943,539,516,0,244,66,64,0,200,52,52,0,0,0,0,0,0,0,0,0,127,38,34,0,330,97,86,0,0,0,0,0,0,0,0,0,38.0,8.0,6.0,0.0,19.0,11.0,-55132.6946629,1.0,14.0,0.0,0.0,3.0,0.0,-1.0,45.40,0.19,65.12,413.60,6.187099905414511,5.7271744549894485,5.509546397269398,5.656698674103676,4.325496379900298,5.487080016469037,5.562500000000001,-6.36802608544621,1,5.97502400128
PYGL-in_actives0000003_docked,-29.1825,72.6766,18.8237,-2.61707,0,-0.00178817,25.0118,692.16,1,0.562989,7,0.458214,0.655961,0.344039,2230,635,595,0,346,97,96,0,589,169,151,0,0,0,0,0,0,0,0,0,121,36,33,0,163,51,42,0,0,0,0,0,0,0,0,0,39.0,17.0,3.0,3.0,20.0,14.0,24785.9141378,4.0,15.0,0.0,0.0,1.0,0.0,-4.5,44.59,0.44,119.57,566.57,6.855057797689163,6.252715399156396,6.180171692862693,6.354259424242421,3.9986718276114686,4.9846528308891855,6.528099999999999,-6.57008181603951,1,5.97527077678
PYGL-in_actives0000004_docked,-27.8046,52.3996,15.4916,-3.19743,-1.04155,0,10.1265,558.06,1,0.565716,3,0.526693,0.639468,0.360532,1837,542,498,0,363,104,98,0,206,60,55,0,0,0,0,0,0,0,0,0,168,48,47,0,173,52,45,0,0,0,0,0,0,0,0,0,38.0,22.0,0.0,0.0,31.0,8.0,-156123.653031,4.0,15.0,0.0,0.0,1.0,0.0,-4.5,41.79,0.22,65.20,487.92,5.602335455508355,6.085661022366525,5.75526067227217,6.081319536796536,3.497643944934116,5.313891704614323,6.427200000000004,-5.646005338093017,1,5.97419147974
PYGL-in_actives0000005_docked,-24.2122,52.4538,17.4441,-6.86302,0,-0.803642,12.7962,564.724,1,0.564918,3,0.52049,0.675767,0.324233,1875,543,505,0,239,68,69,0,336,99,93,0,0,0,0,0,0,0,0,0,131,39,36,0,339,101,89,1,0,0,0,0,0,0,0,0,40.0,15.0,1.0,0.0,23.0,5.0,-404585.452292,3.0,10.0,0.0,0.0,1.0,2.0,-8.1,48.58,0.22,82.19,470.72,6.639697943465731,5.818977054001551,5.529520712509717,5.801485170995674,4.5426202068655,5.571585481436373,5.8183000000000025,-5.908153136659904,1,5.98335081083
PYGL-in_actives0000006_docked,-19.3224,6.81882,14.3924,-3.1129,0,0,-5.835,604.105,0,0.572896,6,0.477553,0.654491,0.345509,2134,602,549,0,249,64,67,0,229,67,61,0,432,129,116,0,0,0,0,0,0,0,0,0,98,23,25,0,0,0,0,0,0,0,0,0,30.0,10.0,7.0,0.0,15.0,15.0,56973.5409184,2.0,8.0,0.0,0.0,1.0,0.0,-2.5,65.26,0.21,65.12,470.71,5.648336172196245,5.810097725496723,5.329173644522144,5.58443317865468,2.59760439055454,4.819251709171168,5.656600000000002,-6.123244162752017,1,5.97994906445
PYGL-in_actives0000007_docked,-28.0946,40.3878,15.2891,-3.00186,-0.381846,0,3.34703,615.734,1,0.563138,3,0.42693,0.665186,0.334814,2277,631,597,0,354,103,95,0,208,60,58,0,0,0,0,0,0,0,0,0,0,0,0,0,173,52,44,0,0,0,0,0,0,0,0,0,36.0,18.0,2.0,3.0,30.0,17.0,-962.065169948,3.0,23.0,0.0,0.0,1.0,0.0,-2.7,41.47,0.11,73.99,425.00,5.821975362687279,6.02681063747363,6.089125597402603,6.192143462925962,3.952400301327981,5.348325530103613,5.731100000000002,-7.438759507279963,1,5.98881209826
PYGL-in_actives0000008_docked,-25.1873,52.739,17.476,-4.86762,0,-2.37939,12.7392,567.723,2,0.562607,5,0.518504,0.656188,0.343812,1846,549,507,0,239,67,68,0,426,118,120,0,0,0,0,0,0,0,0,0,132,39,37,0,340,102,89,1,0,0,0,0,0,0,0,0,44.0,17.0,0.0,0.0,24.0,3.0,-275181.490048,4.0,10.0,0.0,0.0,2.0,2.0,-8.0,52.98,0.22,91.42,487.85,6.432880608164368,5.848106671648612,5.525184547286049,5.81038732900433,4.607901087366321,5.772426893053569,5.845500000000002,-5.835409357735655,1,5.97096875816
PYGL-in_actives0000009_docked,-30.6733,19.6113,22.2166,-5.83261,-0.901914,-0.00039522,-5.78376,683.417,2,0.555519,6,0.47139,0.648197,0.351803,2115,596,555,2,239,67,66,0,220,69,61,2,0,0,0,0,0,0,0,0,216,65,60,0,341,99,88,1,0,0,0,0,0,0,0,0,29.0,29.0,3.0,0.0,26.0,12.0,-158254.46024,2.0,15.0,0.0,0.0,1.0,1.0,-6.1,51.58,0.26,82.19,525.11,7.744157481893301,6.526802412642922,6.400837763347764,6.263194155566657,5.674230845100914,5.823352457098394,5.962499999999999,-5.5831590569190475,1,5.97198240698
PYGL-in_actives0000010_docked,-30.3316,56.4485,19.4927,-8.80342,-0.288772,-0.735638,8.55035,601.421,2,0.564487,5,0.454204,0.661606,0.338394,2112,576,547,0,246,73,70,0,271,84,75,0,0,0,0,0,0,0,0,0,169,47,46,0,172,53,48,0,0,0,0,0,0,0,0,0,36.0,33.0,4.0,0.0,28.0,16.0,-505534.623821,5.0,20.0,0.0,0.0,1.0,1.0,-4.6,44.54,0.22,82.19,454.43,6.190362604860457,6.16299286635587,6.210102428793424,6.086176912975912,5.436890312305759,5.647460562361272,5.817500000000001,-6.101368726352967,1,5.95559314881
