Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
QPCT_actives0000001_docked,-22.3932,7.28315,6.25532,-3.06009,0,0,-16.7017,652.377,0,0.633487,5,0.379609,0.394124,0.605876,2450,580,678,0,506,120,143,0,166,43,47,0,0,0,0,0,0,0,0,0,152,34,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,44.0,0.0,0.0,19.0,-137101.644679,2.0,18.0,0.0,0.0,0.0,0.0,-7.3,37.94,0.47,48.31,546.99,5.932578724113416,6.711316459484955,6.044517922926752,6.384185724220228,3.8728993995846808,4.856798670429748,6.068699999999998,-5.38015817136123,1,5.95679103423
QPCT_actives0000002_docked,-17.8231,3.66719,2.65511,-2.83061,0,0,-17.723,645.029,0,0.643593,3,0.439062,0.171238,0.828762,2015,481,534,0,400,88,94,0,337,88,100,0,0,0,0,0,0,0,0,0,83,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,57.0,0.0,0.0,4.0,-45722.1313668,0.0,32.0,2.0,0.0,0.0,0.0,-7.7,38.30,0.38,60.34,502.30,5.651767291533625,5.416205697802196,5.34588951948052,5.820087397546898,3.8544845621312906,6.123014756594264,5.997700000000002,-4.452250825619418,1,5.96122059352
QPCT_actives0000003_docked,-19.2368,2.15853,10.8886,-4.07115,-1.95195,0,-14.0981,673.434,1,0.637335,4,0.406603,0.114783,0.885217,2179,503,585,0,537,127,151,0,0,0,0,0,0,0,0,0,0,0,0,0,179,41,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,39.0,0.0,0.0,18.0,-63497.5648657,2.0,14.0,0.0,0.0,0.0,0.0,-2.7,36.98,0.53,33.09,485.26,6.7556236750544105,6.321966868464864,5.83184618627451,6.320353687756691,2.6200558402290293,4.461977082756624,6.942499999999998,-5.678191194685408,1,5.95874654558
QPCT_actives0000004_docked,-20.4665,14.3864,6.40094,-1.18021,0,0,-8.10543,546.509,0,0.643308,4,0.429273,0.654944,0.345056,2034,510,559,0,458,111,122,0,0,0,0,0,0,0,0,0,0,0,0,0,150,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,39.0,0.0,0.0,13.0,-14905.0867941,1.0,22.0,1.0,0.0,0.0,0.0,-4.1,32.42,0.33,33.09,408.13,6.084300634735015,5.532788509157508,5.438151335719834,6.010158422410928,4.13002850613899,5.101377232096637,5.858400000000001,-5.1389814276394095,1,5.95389584112
QPCT_actives0000005_docked,-26.3834,5.9993,5.39993,-8.41502,0,0,-27.0638,719.887,0,0.622067,9,0.417246,0.0249703,0.97503,2786,639,715,1,641,158,186,2,0,0,0,0,0,0,0,0,0,0,0,0,211,46,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.0,66.0,0.0,0.0,2.0,-6273.74894864,1.0,32.0,1.0,0.0,0.0,0.0,-3.8,43.40,0.30,33.09,526.58,6.782581735560076,7.278248087301591,6.954714675324675,7.10065593659281,6.821692693425502,7.385388735286833,6.4831,-6.526749561435041,1,5.96500122655
QPCT_actives0000006_docked,-24.1604,23.7332,17.7525,-27.6952,0,-0.126088,-21.9851,625.982,1,0.64992,9,0.401515,1.34658,0.346577,2395,587,659,0,840,215,248,1,412,115,129,2,284,60,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,4.0,69.0,0.0,0.0,19.0,252756.411785,5.0,16.0,2.0,0.0,0.0,0.0,-8.8,58.54,0.31,87.70,493.41,7.0620236200683255,6.723842596070587,6.478682148407139,6.354251390331887,4.142650108709007,4.689824960168241,5.837500000000002,-4.953445077473555,1,5.95846962259
QPCT_actives0000007_docked,-28.0742,4.66704,10.8508,-4.34072,0,-0.249667,-20.7152,679.675,1,0.64991,11,0.381674,0.68757,0.31243,2924,712,808,0,730,177,196,0,407,95,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,71.0,0.0,0.0,13.0,19156.236601,2.0,25.0,0.0,0.0,2.0,0.0,-6.5,43.76,0.21,87.70,500.88,7.029717324393248,6.941894199744702,6.6481868543678555,6.801066672438671,4.486095886991525,4.587175556883447,6.014500000000002,-6.480317537268681,1,5.99451289408
QPCT_actives0000008_docked,-22.5526,9.17018,10.5065,-12.8675,0,0,-19.8912,662.52,0,0.616326,8,0.409746,0.821405,0.178595,2300,559,642,2,779,202,227,0,210,53,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.0,62.0,0.0,0.0,2.0,-177225.060304,3.0,11.0,0.0,0.0,0.0,0.0,-5.6,29.57,0.67,87.70,499.21,6.6516673940062345,6.409554950715946,5.627566307470308,6.118712441225444,4.316847660258046,5.873124155923099,6.2407,-5.803437169394205,1,5.96769393235
QPCT_actives0000010_docked,-27.0796,21.1499,12.8462,-1.96057,-1.09136,0,-8.1165,773.395,1,0.654613,12,0.341949,0.451418,0.548582,2608,619,680,0,1043,258,298,1,332,76,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,67.0,0.0,0.0,21.0,-240557.029859,2.0,19.0,0.0,0.0,0.0,0.0,-5.5,42.72,0.39,105.72,559.90,7.124058828061594,6.891672368298367,6.717813162004662,6.739940020757013,4.5251614463209675,5.488104099207567,6.033099999999999,-5.635302659622275,1,5.96227727538
QPCT_actives0000011_docked,-28.6427,26.1189,19.5665,-27.1503,0,-0.548281,-23.1007,654.314,1,0.618757,11,0.39856,0.515682,0.484318,2599,615,705,0,885,221,256,1,639,165,188,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,95.0,0.0,0.0,17.0,473091.628358,4.0,22.0,2.0,0.0,1.0,0.0,-8.9,46.41,0.35,106.16,514.15,6.383227927390573,6.996917952880447,6.552188409590407,6.2412472119547076,5.255290110352879,4.926171538732609,6.1257000000000055,-4.723060350993502,1,6.00445086215
QPCT_actives0000012_docked,-26.7283,4.76831,8.2766,-10.8019,0,0,-27.7173,704.451,0,0.633645,8,0.403062,0.87014,0.12986,2544,607,719,4,888,220,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,7.0,88.0,0.0,0.0,4.0,-165817.116646,2.0,39.0,1.0,0.0,0.0,0.0,-4.0,34.32,0.35,78.03,489.33,7.379167605598132,6.856831231601732,6.6800603127428095,6.525668108946611,6.685095223720438,7.213028604221992,6.532900000000003,-7.223955437319528,1,5.96447622689
QPCT_actives0000013_docked,-25.0716,5.71586,12.6504,-10.6384,0,0,-20.0056,722.2,0,0.644654,7,0.419512,0.272306,0.727694,2873,693,789,4,667,176,200,2,0,0,0,0,0,0,0,0,0,0,0,0,239,55,69,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,10.0,66.0,0.0,0.0,6.0,-54307.3806437,2.0,22.0,0.0,0.0,0.0,0.0,-3.5,43.32,0.30,33.09,530.54,7.069074521299607,7.251698614829623,7.123280449919365,7.136786498279496,5.368009327047558,5.777184098511756,5.8484000000000025,-6.912407561297979,1,5.9540861903
QPCT_actives0000014_docked,-25.3859,5.63624,15.7539,-15.4878,-0.924638,0,-24.0559,647.506,1,0.638966,9,0.403261,0.606062,0.393938,2608,649,749,4,758,170,187,0,413,105,125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.0,78.0,0.0,0.0,16.0,-99815.2909323,3.0,25.0,0.0,0.0,0.0,0.0,-6.3,38.53,0.35,96.49,482.65,6.599672513527205,6.826493386946389,6.504451579698078,6.730780803196804,3.8608423062015613,5.018711891642433,6.769500000000001,-5.985276075553934,1,5.96058827879
QPCT_actives0000015_docked,-23.3754,2.92226,9.55935,-2.5822,0,-0.715948,-16.3529,741.396,1,0.650015,6,0.380039,0.870846,0.129154,1986,461,534,0,737,180,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,59,71,0,0,0,0,0,0,0,0,0,0.0,14.0,57.0,0.0,0.0,3.0,-27766.8529567,1.0,24.0,1.0,0.0,0.0,0.0,-4.9,38.25,0.27,78.03,459.66,7.308479265324047,5.744058239815725,5.359004442240762,5.87256763886114,4.84515973716714,5.4195332459372265,5.732800000000001,-5.492669567368958,1,5.96601534805
QPCT_actives0000016_docked,-22.3834,3.22308,5.56106,-3.41999,-1.66999,0,-20.6895,645.609,1,0.629538,5,0.339104,0.612203,0.387797,2458,583,671,0,598,145,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,36.0,0.0,0.0,16.0,-15515.7203042,2.0,15.0,0.0,0.0,0.0,0.0,-4.3,33.18,0.25,35.64,413.43,6.24316224063967,6.44003896114996,5.866659405666226,6.235226599900102,5.848473109600044,5.515261422974248,5.915300000000003,-6.536297737367305,1,5.95977747426
QPCT_actives0000017_docked,-20.2715,8.09126,4.46029,-4.61097,0,0,-17.6964,606.616,0,0.639473,5,0.421136,0.400498,0.599502,2148,505,569,0,474,105,115,0,345,87,99,0,0,0,0,0,0,0,0,0,87,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,54.0,0.0,0.0,20.0,-22178.5034144,1.0,30.0,2.0,0.0,0.0,0.0,-7.1,36.24,0.38,60.34,495.09,5.586241904009905,5.77521427000777,5.652380968381288,6.134008062937062,4.115807218925298,5.836954714371347,5.7236,-4.706121583355384,1,5.95709622752
QPCT_actives0000018_docked,-20.6489,3.78417,3.96802,-3.77573,0,0,-19.5194,628.97,0,0.603087,6,0.451055,0.407677,0.592323,2056,502,551,0,378,97,100,0,508,118,138,0,0,0,0,0,0,0,0,0,126,28,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,49.0,0.0,0.0,4.0,-41934.2804252,0.0,24.0,1.0,0.0,0.0,0.0,-7.1,40.43,0.38,69.57,505.27,5.737816396979566,5.3519548331668405,5.2318420224775215,5.794771677156185,4.080101835930815,5.209609871046257,6.058199999999999,-3.995704253408348,1,5.95
QPCT_actives0000019_docked,-21.3852,6.20661,7.51078,-0.668104,0,0,-11.3778,665.571,0,0.621862,7,0.380004,0.341751,0.658249,2146,505,584,0,515,107,117,0,0,0,0,0,0,0,0,0,0,0,0,0,299,73,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,40.0,0.0,0.0,9.0,14914.7631455,1.0,19.0,5.0,0.0,0.0,0.0,-4.4,34.92,0.50,33.09,455.28,6.777061248095741,6.956792297979801,6.7542542969808,7.03691914996115,4.296324579215365,5.096845635022811,6.233300000000001,-5.570305856737905,1,5.95369176003
QPCT_actives0000020_docked,-20.818,17.1007,6.93892,-0.402356,0,0,-5.08497,577.311,0,0.654892,3,0.429786,0.424578,0.575422,1878,451,522,0,520,115,134,0,0,0,0,0,0,0,0,0,0,0,0,0,333,75,85,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,35.0,0.0,0.0,14.0,5784.80745196,1.0,17.0,1.0,0.0,0.0,0.0,-4.7,32.83,0.38,33.09,392.87,6.423759271797266,6.735986000721509,6.567020905483407,6.930962442557442,3.8906383606562245,4.272498411610909,5.593999999999999,-4.440265504103342,1,5.9582
QPCT_actives0000021_docked,-27.4636,7.28009,9.6984,-10.725,0,0,-25.7876,718.71,0,0.6608,7,0.359625,0.509393,0.490607,2450,576,661,3,563,144,169,1,250,52,56,0,0,0,0,0,0,0,0,0,109,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,9.0,79.0,0.0,0.0,3.0,-92081.6419134,3.0,29.0,1.0,0.0,0.0,0.0,-6.5,35.88,0.38,48.31,479.59,7.241746739885994,6.707884171994676,6.538078898989894,6.827278427017434,7.183809906732364,7.722124118052273,6.489300000000005,-5.755811904578471,1,5.96356566614
QPCT_actives0000022_docked,-25.7476,9.32403,9.29691,-14.0576,0,0,-26.6527,704.561,0,0.634016,11,0.371842,0.503538,0.496462,2560,613,674,3,573,145,166,1,121,25,28,0,0,0,0,0,0,0,0,0,128,30,36,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,12.0,53.0,0.0,0.0,3.0,-202095.354713,2.0,21.0,1.0,0.0,0.0,0.0,-5.0,31.69,0.41,39.08,471.44,6.555270000322506,6.515947175824179,6.240395111111113,6.645103454630338,6.827209046093998,7.246942434637074,6.410699999999999,-5.614322155090958,1,5.96927383974
QPCT_actives0000023_docked,-27.0887,20.5636,24.1959,-31.231,0,-1.31845,-24.1287,676.709,1,0.641054,12,0.338702,0.495979,0.504021,2252,539,610,0,888,215,261,1,408,115,129,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,24.0,69.0,0.0,0.0,19.0,395400.299777,6.0,15.0,0.0,0.0,1.0,0.0,-7.5,27.51,0.64,87.70,466.17,5.883693572307335,5.984163735986237,5.835824019647019,5.813256683982683,4.636376175474679,4.6502585290912,5.652899999999996,-4.187906297619564,1,5.97647705033
QPCT_actives0000024_docked,-27.7003,25.268,15.2248,-13.8489,0,0,-13.0337,693.05,0,0.676244,12,0.392179,0.525927,0.474073,2905,701,808,0,799,194,223,0,407,108,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.0,68.0,0.0,0.0,17.0,181527.748419,3.0,19.0,0.0,0.0,0.0,0.0,-6.6,41.70,0.17,87.70,480.97,7.250757281108868,6.967778850926847,6.774525362082359,6.847733396658892,6.598574659690993,5.643738708673693,6.025900000000002,-5.8271510108903275,1,5.99038634265
QPCT_actives0000025_docked,-25.0198,26.6583,18.1707,-28.681,0,0,-21.5231,648.208,0,0.618239,12,0.381735,0.50331,0.49669,2445,591,667,0,869,219,254,1,651,171,192,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,6.0,69.0,0.0,0.0,18.0,354609.263625,5.0,17.0,2.0,0.0,0.0,0.0,-8.2,44.35,0.31,106.16,485.84,6.322556115629257,6.719015318459313,6.2826372717837735,6.010614204184702,4.429680785622491,4.552516122539594,5.711800000000002,-4.729209572837651,1,5.97770779721
QPCT_actives0000026_docked,-24.552,19.8545,19.0121,-27.2046,0,0,-21.9964,622.91,0,0.629057,9,0.407579,1.15271,0.152715,2323,564,632,0,854,215,252,1,415,112,127,2,293,59,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,4.0,68.0,0.0,0.0,18.0,308953.094983,5.0,15.0,2.0,0.0,0.0,0.0,-8.5,56.47,0.27,87.70,466.47,7.041117352095879,6.458190145132641,6.241321339826833,6.09486122510822,4.225685228024655,4.823482922929499,5.7621,-4.765923106080348,1,5.95671141403
QPCT_actives0000027_docked,-20.1464,4.03543,6.04222,-2.14665,0,0,-15.6659,642.197,0,0.606852,3,0.40663,0.186345,0.813655,2015,487,546,0,448,102,114,0,340,86,87,0,0,0,0,0,0,0,0,0,100,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,9.0,47.0,0.0,0.0,3.0,-7115.18060998,0.0,29.0,1.0,0.0,0.0,0.0,-6.2,36.24,0.33,60.34,468.88,5.591489107623396,5.484266044178039,5.24099022451405,5.866376504717503,3.6087536941257445,5.960608688896953,6.025499999999999,-4.3943996106387955,1,5.96271973565
QPCT_actives0000028_docked,-23.9816,28.892,17.7412,-30.6069,0,0,-21.3267,621.921,0,0.655489,9,0.375062,1.03904,0.0390431,2201,545,604,0,853,216,251,1,414,113,130,2,0,0,0,0,0,0,0,0,0,0,0,0,102,22,26,0,0,0,0,0,0,0,0,0,8.0,3.0,73.0,0.0,0.0,21.0,210618.303586,5.0,15.0,2.0,0.0,0.0,0.0,-7.2,40.03,0.21,87.70,433.70,6.585233582453573,5.910027514652014,5.740182884726382,6.005163388888888,4.40190433005842,4.778691507369417,5.711900000000001,-4.695931413434147,1,5.95941460609
QPCT_actives0000029_docked,-15.4535,2.50142,7.67931,-3.49861,0,0,-10.1791,484.039,0,0.604153,6,0.410013,0.782582,0.217418,1182,306,336,0,532,141,156,0,157,37,45,0,0,0,0,0,0,0,0,0,175,42,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,34.0,0.0,0.0,2.0,-52463.7669757,1.0,15.0,2.0,0.0,0.0,0.0,-5.1,24.03,0.44,50.16,299.81,4.662159900228369,5.788765915584412,5.154882288600299,5.4418151302586235,3.0779694310519243,4.4565605146867036,5.7188,-3.985563397106336,1,5.95350795021
QPCT_actives0000030_docked,-25.9235,6.80492,12.2948,-5.64476,0,0,-16.563,681.645,0,0.638828,8,0.361134,0.482931,0.517069,2020,456,513,0,650,157,174,0,106,23,22,0,0,0,0,0,0,0,0,0,192,43,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,61.0,0.0,0.0,22.0,27687.3667589,3.0,14.0,0.0,0.0,1.0,0.0,-5.5,32.05,0.29,51.11,422.32,6.213559077331022,6.518567471750476,6.308942543123544,6.507730519758021,4.556662298833698,5.644860035695124,6.0329,-5.100783329585982,1,5.94842779649
QPCT_actives0000031_docked,-22.7015,35.8036,12.8825,-3.06611,-0.989305,0,3.95299,725.458,1,0.650462,8,0.35929,0.29397,0.70603,2065,475,534,0,971,230,269,0,96,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.0,48.0,0.0,0.0,29.0,-156778.573077,2.0,15.0,0.0,0.0,0.0,0.0,-5.4,32.28,0.27,87.26,442.65,5.716865559075099,5.394325154012651,5.415393057220556,5.613861988289483,2.8803725966007407,4.60952647443388,6.0243,-5.096400294307255,1,5.9654388203
QPCT_actives0000032_docked,-22.9254,27.9265,11.7292,-7.07782,-1.17183,-0.733874,-5.2452,728.829,2,0.639921,4,0.382596,0.160491,0.839509,2215,511,543,0,957,226,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.0,51.0,0.0,0.0,32.0,-218828.717293,4.0,12.0,0.0,0.0,0.0,0.0,-4.7,30.17,0.35,78.03,485.92,6.631223718500412,5.987102825008319,5.813302351537349,5.796487540570542,3.402320943743626,4.944954906907804,5.843599999999998,-5.1210241001603505,1,5.96031595215
QPCT_actives0000033_docked,-30.1582,18.6749,17.5952,-21.265,-1.51359,0,-25.6649,702.577,1,0.646521,10,0.328096,0.640494,0.359506,2794,682,800,2,556,149,169,1,345,75,92,0,0,0,0,0,0,0,0,0,149,33,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.0,83.0,0.0,0.0,13.0,-90666.7635201,2.0,18.0,0.0,0.0,2.0,0.0,-6.0,33.38,0.38,48.31,479.52,7.522739964924902,6.865713762015763,6.778484900710398,6.907249931901426,6.927638117741167,6.068279453267503,6.073700000000001,-5.7634106611564295,1,5.98498697477
QPCT_actives0000034_docked,-20.4157,40.1013,8.4241,-2.44119,0,0,6.29473,559.824,0,0.606115,10,0.409838,0.906189,0.0938105,1845,422,486,0,705,170,208,0,0,0,0,0,0,0,0,0,0,0,0,0,199,46,56,0,89,16,15,0,0,0,0,0,0,0,0,0,0.0,0.0,45.0,0.0,0.0,24.0,-21445.3744956,4.0,14.0,0.0,0.0,0.0,0.0,-3.2,31.91,0.17,41.88,364.40,6.14495589847853,6.61715670535021,6.4087245622710585,6.269949797508047,3.341952632799149,4.8287397628026225,5.656299999999998,-5.346842269006031,1,5.96468222827
