Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
ROCK-1_actives0000001_docked,-40.4255,19.7647,18.0138,0.331794,-1.76564,0,-14.9199,963.054,1,0.674459,10,0.320839,0.725589,0.274411,4072,979,1178,94,1476,362,431,27,508,122,153,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,44.0,0.0,38.0,8.0,-440188.194893,4.0,34.0,1.0,0.0,1.0,1.0,-4.7,62.14,0.21,159.47,635.25,7.087568186801315,7.734273188533688,7.85120072510823,7.70358565068265,7.916969629713326,7.274108921522463,6.731900000000001,-9.05365480897332,1,6.45903710543
ROCK-1_actives0000002_docked,-30.1681,6.66452,12.6056,-1.77316,0,0,-18.5703,824.14,0,0.663122,6,0.31823,0.668019,0.331981,4215,1038,1241,99,573,142,174,16,459,111,132,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.0,26.0,0.0,19.0,31.0,-191490.06212,1.0,28.0,0.0,0.0,2.0,0.0,2.4,52.93,0.32,69.45,634.36,7.32372048804648,7.658446442057941,7.255353552558552,7.145521644855146,6.691057898907615,7.313616298497975,7.250499999999997,-10.409763980468359,1,6.06380007966
ROCK-1_actives0000003_docked,-33.2213,42.4412,14.793,0.0517681,0,0,2.87582,919.745,0,0.700197,11,0.297149,0.607447,0.392553,3808,904,1091,76,1243,315,378,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,34.0,44.0,0.0,19.0,10.0,-867730.766878,4.0,28.0,0.0,0.0,0.0,2.0,-2.0,33.39,0.36,77.14,556.30,7.88787042185743,7.425233364135855,7.545905845931844,7.239163756854259,6.677056071635631,6.832051913430701,6.1739999999999995,-8.840240900283817,1,6.21882354031
ROCK-1_actives0000004_docked,-32.5229,22.9737,16.3441,1.55974,0,0,-2.78066,858.045,0,0.669789,8,0.321151,0.684458,0.315542,3693,883,1044,86,653,161,195,16,166,42,50,3,216,51,58,3,0,0,0,0,162,37,45,5,0,0,0,0,161,36,43,4,0,0,0,0,3.0,29.0,47.0,0.0,6.0,24.0,-594161.097645,4.0,23.0,0.0,0.0,1.0,1.0,-2.1,49.96,0.14,83.80,536.95,6.089202887832282,7.633707858419354,7.408386326229324,7.410852875790869,5.913020755840292,5.579475014065126,6.892799999999999,-9.000372374902392,1,6.02131834731
ROCK-1_actives0000005_docked,-24.9523,31.3205,20.308,-10.3888,0,0,0.163662,752.081,0,0.668587,7,0.31731,0.592734,0.407266,2495,614,738,56,1045,261,314,26,312,81,97,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.0,49.0,0.0,20.0,41.0,-432359.384393,4.0,12.0,0.0,0.0,2.0,1.0,.4,34.04,0.50,116.91,493.11,6.3153383709752005,7.4552991056721085,7.104338764679761,6.071131287878789,4.309424544884055,5.340567434971738,6.5,-6.3807433556542605,1,6.06445204972
ROCK-1_actives0000006_docked,-30.2491,5.69988,11.6076,-9.3597,-1.76809,0,-26.3221,847.05,1,0.66954,4,0.363412,0.605551,0.394449,3605,894,1081,65,860,210,257,14,275,66,82,8,0,0,0,0,0,0,0,0,186,45,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,37.0,15.0,0.0,38.0,17.0,-379577.33493,4.0,25.0,0.0,0.0,0.0,1.0,-5.3,46.54,0.26,74.35,616.94,7.029446826564754,7.832500906537902,7.479142248029745,7.329205283549777,6.262151601944832,6.346392088763933,7.413500000000002,-6.7021323221376425,1,5.98660813578
ROCK-1_actives0000007_docked,-18.6014,45.0314,9.58598,-10.0378,0,-1.20152,3.79387,510.645,1,0.685047,3,0.439214,0.596502,0.403498,1579,404,477,36,857,222,267,21,280,71,80,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,24.0,43.0,0.0,0.0,9.0,-257678.056591,3.0,12.0,0.0,0.0,0.0,0.0,-3.6,34.71,0.45,104.35,360.92,5.845847517223622,5.963876264846265,5.13417137190587,5.523528935786439,3.6152464879018216,4.983302997193369,6.737800000000001,-4.186502142785278,1,5.96400928394
ROCK-1_actives0000008_docked,-18.5331,26.2648,21.4174,-12.741,0,-1.41676,2.87174,699.493,2,0.662692,6,0.337852,0.530006,0.469994,2128,500,621,47,1224,305,362,31,307,73,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,23.0,67.0,0.0,2.0,18.0,-606037.360308,7.0,5.0,0.0,0.0,0.0,1.0,-4.7,37.25,0.36,136.78,461.60,4.74278902842916,6.291786002386496,5.768347669219667,5.614984886002886,1.9722556846846069,4.212529743445135,5.740700000000001,-3.168291430440686,1,5.98143815814
ROCK-1_actives0000009_docked,-22.4769,40.8098,20.7185,-4.29062,0,0,14.519,660.589,0,0.678358,9,0.385762,0.547706,0.452294,2209,523,646,56,1234,301,353,28,271,68,88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18.0,65.0,0.0,16.0,22.0,-458436.15163,2.0,10.0,0.0,0.0,1.0,1.0,-1.9,37.25,0.40,141.98,461.62,5.425426397177545,6.541048002386496,6.240281448773451,5.93448318614719,4.370694106685167,5.726721535841997,5.798100000000002,-5.143537029106391,1,5.9664899091
ROCK-1_actives0000010_docked,-29.3846,27.5052,11.9458,-3.42328,-1.99593,0,-9.65117,826.854,1,0.686762,6,0.326759,0.685349,0.314651,3608,857,1030,75,1477,368,426,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41.0,34.0,0.0,24.0,8.0,-447859.706631,4.0,22.0,0.0,0.0,1.0,1.0,-1.4,36.97,0.33,76.61,548.87,7.071655008225967,7.5877585158730145,7.5516170857475915,7.268405373459876,6.129684513398184,5.966282037569504,6.8395,-8.830824363008702,1,6.22437581367
ROCK-1_actives0000012_docked,-31.6746,31.7429,16.1508,-15.3794,-1.887,0,-17.8046,745.902,1,0.686719,5,0.361503,0.743885,0.256115,3068,747,891,68,1194,294,344,20,501,119,146,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,53.0,23.0,0.0,42.0,6.0,-163499.220505,4.0,23.0,0.0,0.0,0.0,0.0,-4.9,47.41,0.28,121.42,495.49,6.540681399670125,7.482167468475968,7.484323909090904,7.661219790209792,5.654761414859373,5.959179545083738,6.951600000000001,-7.228101011265283,1,6.3247589438
ROCK-1_actives0000013_docked,-26.7677,9.09399,12.1175,-0.932113,0,0,-12.089,845.415,0,0.682316,6,0.34773,0.748024,0.251976,3621,884,1054,70,1227,304,356,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33.0,27.0,0.0,16.0,0.0,-758811.034059,2.0,18.0,0.0,0.0,0.0,1.0,-9.3,33.39,0.36,77.14,555.77,7.173985112422288,7.484127889388382,7.436657682539686,7.18767431096681,5.730534218163214,6.4617732171207125,6.146100000000002,-8.296720738920921,1,6.19142251049
