Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
RXR_actives0000001_docked,-47.404,17.6191,-5.97152,-11.6575,-0.827713,-1.05672,-57.537,964.635,2,0.595073,2,0.28367,0.932534,0.0674655,5307,1298,1226,56,0,0,0,0,586,142,145,5,438,97,98,8,0,0,0,0,240,65,57,2,0,0,0,0,0,0,0,0,0,0,0,0,90.0,5.0,7.0,3.0,2.0,5.0,-477178.490842,2.0,44.0,0.0,0.0,0.0,1.0,-5.1,50.73,0.29,46.53,599.40,7.723177819730045,8.016576092907094,8.054914921578426,7.821463644300148,10.597504631271866,8.168154212663993,6.552999999999997,-10.961913874251964,1,7.55488384724
RXR_actives0000002_docked,-40.7637,14.2155,-6.5517,-11.4832,-0.8132,-0.836655,-52.7681,910.185,2,0.598571,2,0.283197,0.948667,0.0513329,5152,1229,1181,52,0,0,0,0,594,143,147,5,239,53,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,4.0,7.0,4.0,2.0,5.0,-438584.002111,2.0,43.0,0.0,0.0,0.0,1.0,-5.3,37.97,0.43,46.53,602.92,7.5726496404862065,7.81378978127428,7.816082759240773,7.957080317460318,10.390688466041228,9.968417008592677,6.179300000000001,-10.336408873383458,1,6.68527123148
RXR_actives0000003_docked,-45.2923,15.935,-13.1545,-11.5114,-1.03652,-1.38452,-63.6105,905.793,2,0.608643,3,0.28044,0.92802,0.0719801,5362,1265,1211,56,0,0,0,0,595,142,145,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,4.0,6.0,4.0,2.0,4.0,-427612.270935,2.0,47.0,0.0,0.0,0.0,1.0,-2.6,31.97,0.46,46.53,636.80,7.9348128220293885,8.411571856643352,8.229457318847826,8.129278843434344,9.428296097655075,7.972238650529876,6.394100000000001,-11.235650520701586,1,6.76555122795
RXR_actives0000004_docked,-48.9153,51.8573,-4.15216,-11.5106,-1.60608,-1.38053,-38.9315,972.645,2,0.640222,3,0.27494,0.921436,0.0785641,6075,1461,1417,63,231,50,53,3,594,140,148,4,456,105,103,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,4.0,6.0,9.0,2.0,5.0,-487193.795923,3.0,47.0,0.0,0.0,0.0,1.0,-2.8,52.16,0.39,62.32,725.45,8.28943473716804,8.456499312576318,8.462948409423918,8.160124641969135,11.407671161187386,8.608662804864363,6.992500000000003,-12.834667665432272,1,6.69440677305
RXR_actives0000005_docked,-41.1042,14.3199,-10.0968,-11.5553,-0.944601,-1.0859,-57.1221,884.976,2,0.620234,2,0.277399,0.944929,0.0550705,5353,1278,1233,56,0,0,0,0,592,143,149,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,3.0,6.0,2.0,2.0,5.0,-468774.349922,2.0,28.0,0.0,0.0,0.0,1.0,-1.9,31.99,0.46,46.53,606.80,8.179938839829074,8.335426842934842,8.365223260461764,8.182583041847046,11.44285902896969,10.272965832321887,6.470600000000002,-12.259566284196305,1,7.26053723372
RXR_actives0000006_docked,-34.9349,12.2847,-3.46274,-10.4874,-0.798432,-1.3646,-44.1226,853.713,2,0.577624,3,0.276842,0.939676,0.0603243,5029,1226,1191,49,0,0,0,0,366,95,92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,1.0,5.0,6.0,2.0,4.0,-356324.564504,3.0,29.0,0.0,0.0,0.0,1.0,-2.3,27.43,0.52,37.30,567.44,8.172644984291315,7.749782730769229,7.720100051282055,7.718836277444779,8.484866097208535,8.326248715904265,7.465200000000001,-11.280119378003864,1,7.03360078577
RXR_actives0000007_docked,-41.5519,12.315,-3.24817,-13.0177,-0.72244,-1.40675,-52.5555,898.072,3,0.601313,2,0.282363,0.921159,0.0788415,5490,1328,1268,54,0,0,0,0,376,93,96,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,1.0,6.0,2.0,2.0,3.0,-525338.942532,3.0,42.0,0.0,0.0,0.0,1.0,-3.5,26.83,0.56,37.30,618.16,7.981768729520136,8.422784287157285,8.304055593573104,8.026676423520923,9.715817304359698,8.521218830330847,7.174500000000002,-13.491051213344162,1,6.93826582414
RXR_actives0000008_docked,-42.9086,17.8229,-5.48559,-9.85494,-0.92167,-1.1753,-49.6266,902.184,2,0.618345,3,0.283125,0.881825,0.118175,5735,1385,1341,60,0,0,0,0,372,94,96,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,2.0,6.0,7.0,2.0,3.0,-455864.528274,3.0,42.0,0.0,0.0,0.0,1.0,-2.7,26.83,0.58,37.30,636.59,7.877837698829602,8.93560775291375,8.375530152236662,8.01106999134199,9.605927685496143,9.215618038919375,7.366000000000001,-13.7167561795274,1,6.98599660662
RXR_actives0000009_docked,-50.052,20.9272,-4.95009,-13.1283,-0.731243,-1.32525,-58.6274,1018.61,2,0.60741,1,0.277789,0.91135,0.0886495,6068,1457,1410,63,0,0,0,0,578,139,141,4,689,154,153,11,0,0,0,0,201,48,47,3,0,0,0,0,0,0,0,0,0,0,0,0,81.0,8.0,6.0,8.0,4.0,4.0,-438289.341423,3.0,43.0,0.0,0.0,0.0,1.0,-1.5,59.58,0.39,46.53,737.39,7.917059150335331,8.21235882595183,8.156558338605835,8.056091038628043,11.086108713609867,8.684557216771863,6.919,-12.731497583710278,1,7.94401154145
RXR_actives0000010_docked,-31.5419,10.4094,2.84607,-13.4408,-1.431,-0.977517,-39.1195,835.823,2,0.557929,2,0.30923,0.892003,0.107997,5193,1197,1162,56,203,48,48,3,361,89,91,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,5.0,4.0,4.0,2.0,3.0,-354947.83804,2.0,27.0,0.0,0.0,0.0,1.0,-1.6,33.40,0.50,50.19,602.98,7.731834488679209,7.958711754689763,7.723955340825845,7.441416482406482,6.501295161577465,7.119142404118879,7.136,-10.880476711153777,1,6.2714311059
