Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
SARS-HCoV_actives0000001_docked,-35.597,6.85433,16.5811,-19.4482,0,0,-37.5574,924.218,0,0.739429,6,0.348334,0.585737,0.414263,3228,951,940,90,483,137,146,14,445,132,142,16,0,0,0,0,0,0,0,0,0,0,0,0,150,44,47,6,0,0,0,0,0,0,0,0,0.0,22.0,52.0,0.0,4.0,39.0,-14874.4349868,0.0,28.0,1.0,0.0,1.0,0.0,-2.4,58.01,0.17,107.26,637.81,7.7234468532989125,7.870387007215002,7.101852418858919,7.12513417654567,4.164137262608467,5.180572014970024,5.934300000000003,-6.969587101474639,1,5.987654966
SARS-HCoV_actives0000002_docked,-22.3174,12.3732,18.1707,-36.1947,-1.61976,0,-36.3852,654.348,2,0.726811,2,0.394026,0.861653,0.138347,1783,532,543,49,296,88,92,8,954,280,285,27,309,92,93,6,0,0,0,0,172,51,45,4,237,68,78,8,0,0,0,0,0,0,0,0,0.0,15.0,47.0,0.0,11.0,4.0,50366.4193103,3.0,4.0,0.0,0.0,0.0,0.0,-.9,80.41,0.14,112.01,484.90,6.757509481942951,6.582107994949494,5.920299514430014,6.185137272727271,5.779677008637905,5.7693025564433436,5.180700000000002,-6.41427412667246,1,5.98757273446
SARS-HCoV_actives0000006_docked,-30.5468,10.6481,14.1661,-23.6222,0,0,-36.6592,861.16,0,0.714977,4,0.374663,0.497999,0.502001,2680,810,794,73,532,164,173,19,159,47,46,6,0,0,0,0,0,0,0,0,213,59,66,6,252,77,72,9,0,0,0,0,0,0,0,0,0.0,22.0,78.0,0.0,1.0,9.0,35781.8169861,1.0,21.0,0.0,0.0,1.0,0.0,-2.1,53.50,0.05,67.77,544.11,7.2444612729589695,7.695410638694642,7.116122607503609,7.346036127095124,5.468053480993713,5.777686900820626,5.742199999999998,-5.937938120805664,1,5.95568945499
SARS-HCoV_actives0000009_docked,-26.6482,9.22512,16.9886,-19.9992,-2.36927,0,-28.6862,712.083,2,0.696584,8,0.402345,0.915952,0.0840482,1796,531,558,50,671,196,205,21,615,184,182,15,211,63,78,9,0,0,0,0,139,41,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.0,51.0,0.0,16.0,21.0,63797.3585018,4.0,9.0,0.0,0.0,0.0,0.0,-1.1,71.36,0.21,118.77,464.79,6.79274670979993,6.056725296536796,5.748335549506051,6.167456552170057,4.564748423870118,4.995132780324682,5.587000000000001,-4.425874753905247,1,6.03052565416
SARS-HCoV_actives0000010_docked,-16.7529,10.9391,12.7034,-40.1831,-1.58622,0,-41.0083,517.296,1,0.708232,1,0.404105,0.889205,0.110795,1353,413,436,40,563,176,177,16,340,102,104,11,0,0,0,0,0,0,0,0,162,45,52,5,92,26,28,4,0,0,0,0,0,0,0,0,0.0,6.0,84.0,0.0,5.0,16.0,78040.2510043,2.0,5.0,0.0,0.0,0.0,0.0,-2.1,34.71,0.00,111.96,324.53,6.553156917715287,5.29464774758575,5.328786684093684,5.99749805000555,2.0665618496261526,4.081011704495622,4.450200000000001,-4.697347346057742,1,5.95946122865
SARS-HCoV_actives0000011_docked,-28.5788,9.36501,11.2095,-14.3981,0,-1.13637,-28.359,737.123,1,0.728141,6,0.386449,0.123756,0.876244,2279,697,694,73,542,150,157,18,430,131,127,13,0,0,0,0,0,0,0,0,325,99,92,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.0,76.0,0.0,16.0,9.0,-772.42571645,2.0,8.0,0.0,0.0,2.0,0.0,-3.5,43.43,0.31,87.99,513.86,7.499969927496457,6.92987009460801,6.933197802919306,7.050319585581079,5.3704848434791455,5.415521132210022,5.477000000000003,-5.497853063422665,1,5.95403730538
SARS-HCoV_actives0000012_docked,-35.0834,12.2799,18.9827,-10.1342,0,0,-21.1738,863.648,0,0.716265,10,0.35696,0.486532,0.513468,2913,863,844,90,628,184,187,19,120,35,37,4,390,113,108,7,0,0,0,0,221,69,77,8,179,56,50,6,0,0,0,0,0,0,0,0,0.0,19.0,70.0,0.0,4.0,22.0,-16096.8850161,1.0,10.0,0.0,0.0,2.0,0.0,-2.5,71.92,0.14,72.70,587.68,6.970657645500864,7.7211843834498834,7.337866209956713,7.31615994955045,3.6829238313771597,5.0176157527125005,5.899500000000001,-5.96889971816257,1,5.98312619297
SARS-HCoV_actives0000013_docked,-26.3614,5.19555,5.91824,0.620002,0,0,-19.0291,691.355,0,0.728308,3,0.507473,1.2346,0.2346,2292,675,715,72,409,118,126,13,40,14,19,1,0,0,0,0,0,0,0,0,456,138,149,16,28,10,12,1,0,0,0,0,0,0,0,0,0.0,10.0,63.0,0.0,2.0,13.0,34741.6051717,1.0,22.0,0.0,0.0,1.0,0.0,-2.8,57.42,0.18,67.77,620.71,6.273812224749948,7.3832807979797925,7.1343988751803735,7.15033741980242,4.205799113417124,5.551144067774947,5.811800000000002,-4.438988968439024,1,5.97398126882
SARS-HCoV_actives0000014_docked,-39.9541,12.2836,12.9493,-23.43,-1.05458,0,-47.9575,926.978,1,0.695617,7,0.352441,0.528814,0.471186,3115,919,932,91,565,170,178,19,131,40,42,4,0,0,0,0,0,0,0,0,556,166,167,19,86,27,26,3,0,0,0,0,0,0,0,0,0.0,24.0,84.0,0.0,3.0,24.0,-191995.799079,1.0,28.0,0.0,0.0,2.0,0.0,-.2,57.42,0.18,67.77,621.48,7.866262660089798,7.478350881729382,7.190552119769119,7.373210247363749,8.088664740641692,6.5189025312121185,5.953500000000003,-7.0353445262310945,1,5.98154008996
SARS-HCoV_actives0000015_docked,-17.7517,11.9395,15.4008,-47.7684,-1.00336,0,-46.0248,622.432,1,0.70706,1,0.371009,0.794505,0.205495,1631,489,493,45,152,47,48,5,660,192,201,19,283,85,91,6,0,0,0,0,166,49,46,4,89,25,30,4,0,0,0,0,0,0,0,0,0.0,10.0,43.0,0.0,3.0,5.0,20131.1985662,1.0,5.0,0.0,0.0,0.0,0.0,-2.7,62.52,0.08,66.19,400.11,5.575184525783115,5.217020657120664,4.9508873290043285,5.471072708236213,3.6816621179725164,4.376721740459092,4.252799999999998,-5.463958994744196,1,6.01070803449
