Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
SRC_actives0000001_docked,-41.0328,18.1916,18.6975,-0.778565,-1.03119,0,-15.1049,1223.5,1,0.627136,11,0.330285,0.66816,0.33184,5600,1460,1578,63,495,137,151,5,974,272,303,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,27.0,34.0,0.0,10.0,32.0,-52130.7499293,2.0,26.0,0.0,0.0,0.0,0.0,-2.3,76.04,0.31,179.41,907.88,8.03460723635447,8.078891539682536,8.017246719724723,8.132916602730607,4.192436327970587,4.768536288387225,6.941899999999999,-8.438303562955806,1,6.06209555451
SRC_actives0000002_docked,-34.8822,8.91293,14.36,-1.81137,0,-1.47402,-20.3633,1030.29,1,0.62716,7,0.334711,0.677814,0.322186,4317,1163,1240,49,853,223,236,8,736,216,215,7,0,0,0,0,0,0,0,0,0,0,0,0,111,34,35,0,0,0,0,0,0,0,0,0,3.0,37.0,36.0,0.0,9.0,4.0,-259825.645418,3.0,21.0,0.0,0.0,0.0,1.0,-.5,52.01,0.52,89.05,775.58,7.786711229814718,7.8444718312243324,7.2788920253635245,7.56022185569986,4.2578720775774155,6.44270761188929,6.592799999999998,-7.791570037867738,1,5.99956147043
SRC_actives0000003_docked,-45.0119,13.685,10.65,-11.7811,0,-0.901686,-41.3543,1013.38,1,0.612534,12,0.326966,0.708191,0.291809,4084,1009,1111,50,999,258,284,13,333,87,95,3,0,0,0,0,0,0,0,0,186,47,56,2,212,48,58,3,0,0,0,0,0,0,0,0,7.0,57.0,43.0,0.0,15.0,20.0,-220738.238101,2.0,31.0,0.0,0.0,0.0,0.0,-1.1,55.67,0.18,112.06,601.26,8.1708089419718,8.289239935120431,8.108106895437889,8.14240874425574,9.598630164476168,8.808798350989912,7.609700000000003,-9.72308271523228,1,6.0736675989
SRC_actives0000004_docked,-25.1222,3.51953,13.773,-4.884,0,-1.58567,-16.6711,840.913,2,0.630347,8,0.215236,0.618499,0.381501,2654,724,745,28,488,131,137,4,318,88,87,4,0,0,0,0,0,0,0,0,181,44,48,1,131,39,43,1,0,0,0,0,0,0,0,0,0.0,19.0,59.0,0.0,9.0,13.0,-184008.362141,4.0,10.0,0.0,0.0,1.0,0.0,2.6,37.94,0.27,71.09,415.80,5.535441394287462,7.317271750305248,6.854790053391056,6.7734605274170265,4.362009516163326,5.561837597516928,7.049100000000001,-6.570352681566628,1,5.95106297212
SRC_actives0000005_docked,-29.8454,27.9088,13.0199,-8.7569,0,0,-10.0497,1002.03,0,0.60985,3,0.330845,0.595928,0.404072,4076,1136,1173,46,805,229,235,6,174,56,58,1,0,0,0,0,0,0,0,0,93,31,30,1,0,0,0,0,0,0,0,0,0,0,0,0,27.0,5.0,67.0,0.0,16.0,11.0,-362536.388812,3.0,27.0,0.0,0.0,0.0,1.0,-1.7,52.47,0.30,100.11,717.76,6.48549316290173,7.902992452769454,7.294401124098121,7.434605391219894,6.430050353996253,7.5083663173506805,7.2407,-7.9472315766262165,1,5.97713293764
SRC_actives0000006_docked,-32.5133,9.00675,4.66814,-6.70301,-3.04011,0,-35.2522,827.259,2,0.63729,5,0.277258,0.712778,0.287222,3752,948,1056,45,726,191,221,8,203,53,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47.0,10.0,0.0,24.0,13.0,-193380.620548,2.0,30.0,0.0,0.0,1.0,0.0,-1.8,38.18,0.19,48.89,489.59,8.695855799190287,7.300137140970136,7.082427709956712,7.296922436840939,5.187786816558702,6.551709888341248,7.595800000000002,-8.662585923404066,1,6.06914962458
SRC_actives0000007_docked,-42.999,10.6278,10.1366,-8.75038,-0.972323,0,-40.0023,1139.7,1,0.628392,9,0.360824,0.741428,0.258572,5393,1401,1491,58,1281,346,369,15,626,149,158,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,51.0,36.0,0.0,12.0,16.0,-33843.5718102,0.0,42.0,0.0,0.0,1.0,0.0,-6.0,55.62,0.42,123.66,837.61,7.949982866195557,7.8163928614718605,7.829449747252759,7.813525633477632,6.9629821095591184,6.242854102924466,7.574899999999999,-10.374496558304973,1,6.12393309178
SRC_actives0000008_docked,-31.9082,40.2946,13.8627,-3.59623,-0.012201,0,-3.05464,795.086,1,0.630381,11,0.268828,0.762804,0.237196,3323,851,935,37,1374,351,389,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,62.0,15.0,0.0,32.0,8.0,-10869.1745176,3.0,25.0,0.0,0.0,0.0,0.0,1.1,32.87,0.29,98.30,433.54,7.2842518630397395,7.497026974025975,7.480277314241322,7.542356308469304,6.212718795626008,5.818701764458336,7.349899999999999,-10.179109188357955,1,6.35933287916
SRC_actives0000009_docked,-35.4076,10.5235,5.61593,-3.15193,0,0,-29.3445,1043.68,0,0.64585,8,0.28886,0.688945,0.311055,4782,1281,1361,51,798,225,232,6,348,90,97,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,34.0,30.0,0.0,4.0,21.0,22656.6324834,1.0,21.0,0.0,0.0,0.0,0.0,.7,59.40,0.44,73.44,677.15,7.864353219243658,7.946598285436789,7.984297129759134,7.923399185592182,8.44722800700266,7.1941986708429395,6.913700000000002,-10.927406721410351,1,6.07104196448
SRC_actives0000010_docked,-37.7696,9.82038,17.0212,-4.77041,-3.40213,0,-26.965,1028.55,2,0.630265,9,0.274989,0.644954,0.355046,4127,1081,1176,42,1005,270,304,11,351,92,93,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,64.0,19.0,0.0,35.0,4.0,-424449.848832,3.0,29.0,0.0,0.0,0.0,2.0,-1.9,36.55,0.48,90.46,671.21,7.990358572631005,7.786917581529584,7.839993635531132,7.724958883838392,6.408790208699612,6.209236513517694,7.376799999999999,-7.720382673723325,1,6.14803648576
SRC_actives0000011_docked,-32.1018,8.53998,17.4964,-9.12253,-1.69738,0,-21.5063,883.357,2,0.621221,4,0.306958,0.648144,0.351856,3454,950,1006,38,871,234,264,9,202,66,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,50.0,24.0,0.0,27.0,11.0,-389297.460976,5.0,13.0,0.0,0.0,1.0,1.0,-2.8,34.93,0.35,95.06,532.82,7.850481476961342,7.629003012376515,7.322066457042957,7.51156772155622,5.750154330143159,6.18913737311705,7.2735,-8.026598381159575,1,6.13838258709
SRC_actives0000012_docked,-41.021,11.9635,9.46995,-4.12807,-1.28605,0,-32.3135,1105.17,1,0.641999,8,0.287384,0.730846,0.269154,4890,1272,1386,57,847,222,246,11,203,52,57,2,0,0,0,0,0,0,0,0,154,43,45,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,49.0,23.0,0.0,24.0,15.0,13330.1141917,3.0,28.0,0.0,0.0,0.0,1.0,1.0,44.20,0.37,74.07,678.12,8.64917430025535,8.134163173881674,7.875679641303136,8.135301861749362,7.200157000099214,6.63516549516473,7.510899999999997,-9.430815241630725,1,6.1385284066
SRC_actives0000013_docked,-34.7756,10.0446,17.6597,-1.00782,0,-0.331304,-13.6876,1171.46,1,0.619926,9,0.256838,0.641864,0.358136,4901,1312,1428,50,906,235,233,10,339,89,100,3,382,98,117,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,42.0,80.0,0.0,8.0,10.0,-665801.286263,3.0,22.0,0.0,0.0,0.0,1.0,-1.4,68.80,0.33,77.99,778.16,8.21204617375994,8.146254124486617,8.075073416694417,7.861971434509931,6.09074888577061,6.229592446791446,7.5721000000000025,-8.64306888287884,1,6.3464128091
SRC_actives0000014_docked,-42.8905,53.503,18.87,-2.71891,-0.971531,0,-1.70574,1001.5,1,0.608181,4,0.316194,0.664755,0.335245,4087,1044,1146,51,1161,322,353,14,173,49,52,2,0,0,0,0,0,0,0,0,0,0,0,0,409,100,106,5,0,0,0,0,0,0,0,0,3.0,70.0,26.0,0.0,42.0,8.0,-301124.700057,3.0,31.0,0.0,0.0,0.0,1.0,-3.8,42.50,0.46,93.15,712.54,7.780688554599296,7.770128961815948,7.708108355921852,7.778339833333334,7.808737338145451,6.840787726883629,7.3283000000000005,-7.358108207502202,1,6.46045345212
SRC_actives0000015_docked,-25.1191,20.0527,13.7328,3.59122,0,0,1.65355,854.55,0,0.629225,9,0.293135,0.669198,0.330802,2612,724,754,27,1308,346,363,14,404,112,124,4,0,0,0,0,0,0,0,0,122,35,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44.0,24.0,0.0,15.0,4.0,-171390.696582,5.0,9.0,0.0,0.0,0.0,0.0,-.7,43.29,0.27,139.12,489.72,6.8948986916746975,7.803315909812403,7.472011023199022,7.059769268842266,3.422089307601577,4.781311632569403,6.698099999999999,-7.3001266100701745,1,6.06983023441
SRC_actives0000016_docked,-28.2769,5.35971,12.6648,-5.33676,0,0,-19.6517,969.371,0,0.600731,7,0.265541,0.597944,0.402056,3318,900,945,34,1109,297,306,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.0,72.0,0.0,6.0,24.0,1885.48037999,3.0,14.0,0.0,0.0,1.0,0.0,.6,34.93,0.29,72.97,561.79,6.182062253731152,7.4774131205461165,7.359596142246647,7.08377593434344,4.166797347515803,5.1398526162937825,6.6868,-7.382520016760815,1,6.03418776023
SRC_actives0000017_docked,-37.3191,8.57432,14.0514,-7.67278,0,0,-29.1091,1195.66,0,0.613412,8,0.216946,0.612016,0.387984,4703,1231,1345,54,1108,298,327,13,156,44,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,54.0,43.0,0.0,22.0,23.0,-48359.2916225,0.0,27.0,0.0,0.0,0.0,0.0,3.3,54.50,0.14,110.75,674.20,7.430749226990926,7.302888547952047,7.687967951270949,7.64806124864026,8.315636994223508,6.670000916158191,7.476600000000002,-9.6163333088613,1,6.24745283857
SRC_actives0000018_docked,-32.9856,12.6289,8.71773,-4.99108,0,-1.85424,-24.9951,928.313,2,0.614651,8,0.294131,0.730383,0.269617,4456,1140,1224,49,547,149,160,7,571,141,157,6,283,81,87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,63.0,30.0,0.0,11.0,8.0,-69736.7792603,3.0,31.0,0.0,0.0,0.0,0.0,-1.3,62.35,0.00,111.20,546.26,7.660127077067597,7.877579739593738,7.893429325396829,7.687189043290047,3.6762458568092846,5.301976501868644,6.746100000000004,-10.409345793461199,1,5.96619593532
SRC_actives0000019_docked,-36.1807,12.7659,-2.44058,1.28416,0,0,-32.1165,961.941,0,0.626176,10,0.263308,0.71645,0.28355,4710,1178,1296,56,594,168,192,5,205,57,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,44.0,21.0,0.0,21.0,5.0,170791.204731,0.0,35.0,0.0,0.0,0.0,0.0,.4,40.11,0.25,70.72,564.55,7.883275895223659,7.714935892385394,7.687118232489734,7.563723567266069,7.6185802732541195,7.501284884428345,6.811600000000002,-11.837301831641687,1,6.00475709567
SRC_actives0000020_docked,-37.1299,6.39349,14.1023,-15.0646,-1.21123,0,-35.9609,1061.3,1,0.599629,12,0.247396,0.63999,0.36001,4426,1167,1219,47,561,151,162,6,500,139,140,6,0,0,0,0,0,0,0,0,169,44,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41.0,50.0,0.0,3.0,19.0,-508233.275687,3.0,26.0,0.0,0.0,0.0,1.0,-.7,42.75,0.46,82.27,661.09,7.531529435226159,7.7981074383949425,7.872579098235097,7.635756633033631,7.576673915218187,6.979968787437991,6.976000000000003,-8.683954669609662,1,5.96061521662
SRC_actives0000021_docked,-40.2134,27.6257,16.1136,-5.93368,-0.655271,0,-16.6392,1042.76,1,0.616573,14,0.291502,0.655545,0.344455,3975,1060,1123,44,1123,295,323,13,318,87,94,3,0,0,0,0,0,0,0,0,0,0,0,0,428,102,114,5,0,0,0,0,0,0,0,0,2.0,47.0,50.0,0.0,3.0,36.0,-249538.775835,5.0,25.0,0.0,0.0,0.0,0.0,-1.8,50.67,0.26,91.41,657.58,7.518214098790684,7.980430548673543,7.9410183347763335,8.044267946608944,7.063204948194208,6.636043608158626,7.125400000000005,-8.739814787627395,1,6.36163130475
SRC_actives0000022_docked,-37.2834,11.3857,11.6411,-1.16851,0,0,-23.6512,1083.06,0,0.610826,8,0.317248,0.768609,0.231391,4754,1217,1340,51,862,221,236,11,372,96,101,3,0,0,0,0,0,0,0,0,0,0,0,0,258,72,80,2,0,0,0,0,0,0,0,0,2.0,29.0,26.0,0.0,8.0,11.0,-138439.334015,0.0,22.0,0.0,0.0,1.0,1.0,1.3,56.72,0.22,83.30,664.63,7.201097168092348,7.963373248529248,7.5693514456099456,7.914817883838386,5.468192084551573,7.136171583475245,7.329799999999997,-9.513916684452209,1,6.46496417995
SRC_actives0000023_docked,-36.6609,13.175,10.4971,-6.21575,-3.38842,0,-30.2664,879.063,2,0.633568,5,0.318832,0.743339,0.256661,3515,872,979,42,729,182,224,9,453,116,127,6,0,0,0,0,0,0,0,0,0,0,0,0,431,96,103,6,0,0,0,0,0,0,0,0,1.0,63.0,14.0,0.0,37.0,8.0,-143924.191357,4.0,27.0,0.0,0.0,0.0,0.0,-1.6,52.51,0.20,77.53,546.79,7.224560163286296,8.013802880841382,7.977409583916087,7.871701279220781,5.859670708494407,6.5750131482210294,7.3079,-8.93557642728195,1,6.1221613389
