Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
TIE2_actives0000001_docked,-45.0293,13.957,2.03133,0.0350841,0,0,-37.3706,1092.86,0,0.597711,5,0.385831,0.775741,0.224259,4950,1225,1330,17,1119,278,294,4,162,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,51.0,23.0,0.0,17.0,12.0,-262325.45644,1.0,52.0,0.0,0.0,0.0,0.0,-2.9,54.40,0.24,103.88,820.46,7.517829029435857,7.997205018759012,7.943961322074982,7.6891862030192115,10.778829461645087,8.281110478869792,7.625799999999998,-10.330265644744994,1,6.0459701992
TIE2_actives0000002_docked,-47.9622,31.8568,9.13406,-10.9732,-0.901399,0,-35.9852,1120.21,1,0.631038,9,0.321154,0.784814,0.215186,4826,1174,1262,22,974,250,260,2,176,46,47,1,618,152,157,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,59.0,44.0,0.0,25.0,15.0,-368747.134934,4.0,49.0,0.0,0.0,1.0,1.0,-5.4,69.40,0.24,83.04,754.22,7.159083943904579,8.128522631035624,8.220047975552228,7.848874160450666,8.986518469946866,7.856382647215368,8.005600000000003,-10.573340897310754,1,6.16011738986
TIE2_actives0000003_docked,-47.9568,29.7046,4.89653,-7.00375,-2.57245,0,-38.3465,1005.34,2,0.636867,5,0.335075,0.819687,0.180313,4518,1098,1189,21,984,258,273,1,358,87,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,65.0,31.0,1.0,35.0,13.0,-286299.647037,5.0,58.0,1.0,0.0,1.0,0.0,-4.7,54.51,0.19,87.64,650.46,8.220328631479688,7.812601502109004,7.9487030667110545,7.5912787576867595,9.225110165633176,8.08766059739956,7.676800000000001,-10.976091117202564,1,6.06719594988
TIE2_actives0000004_docked,-38.1383,46.4185,6.19708,2.74919,0,0,-6.60732,975.196,0,0.621921,4,0.384101,0.749588,0.250412,4826,1133,1234,28,833,208,215,5,275,73,79,0,182,40,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,26.0,31.0,0.0,10.0,11.0,-165198.77906,1.0,43.0,0.0,0.0,0.0,0.0,-.7,76.99,0.26,92.98,735.13,7.117240664487531,8.364664006438012,8.128162067099566,7.675444274447776,9.938341593780331,7.3795045590904556,7.582500000000001,-11.031935126746113,1,6.0242191103
TIE2_actives0000005_docked,-39.4569,9.91315,8.01805,-2.98401,-1.63043,0,-32.7146,978.099,1,0.591886,3,0.352423,0.775203,0.224797,4139,1028,1121,14,854,219,232,2,401,101,116,1,626,150,155,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,50.0,25.0,1.0,20.0,18.0,-214615.013387,5.0,37.0,0.0,0.0,0.0,0.0,-1.8,83.57,0.07,115.30,651.90,8.591750802502906,7.769125109057607,7.898964516289269,7.801595021978024,8.924043530394012,7.937146152476914,7.484100000000001,-10.496942538696374,1,6.02936594818
TIE2_actives0000006_docked,-28.3251,9.35453,3.28123,-9.34779,0,0,-31.1495,907.388,0,0.603385,2,0.397619,0.750468,0.249532,4262,1040,1140,18,673,159,177,3,250,68,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,14.0,25.0,1.0,2.0,13.0,-172719.13058,3.0,33.0,0.0,0.0,0.0,0.0,-2.0,59.28,0.27,101.18,707.08,7.0653215843929456,7.652603837273841,7.092289761516258,7.2213417348207285,6.210743664198633,5.182231547263561,7.215199999999999,-8.53416712367539,1,5.98448578156
TIE2_actives0000007_docked,-40.3527,32.0054,-2.47859,-6.7375,-1.02069,0,-34.8559,991.404,1,0.623729,6,0.363818,0.765297,0.234703,4571,1099,1200,20,570,141,157,1,344,88,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,43.0,26.0,2.0,11.0,17.0,-234833.948904,2.0,62.0,0.0,0.0,1.0,0.0,-6.8,51.25,0.18,76.14,675.01,7.4618013742827545,7.866736095404601,7.435088348373847,7.417838109668116,7.1958565339040135,6.9215953881902506,7.784699999999998,-10.473114238760834,1,5.96137087617
TIE2_actives0000008_docked,-37.6676,21.3306,7.5469,-5.51715,0,0,-24.9267,1112.5,0,0.577247,5,0.348357,0.776902,0.223098,4369,1072,1154,21,904,214,239,8,259,58,64,2,179,40,46,0,0,0,0,0,152,38,42,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,29.0,32.0,0.0,5.0,14.0,-370654.193373,1.0,36.0,0.0,0.0,0.0,2.0,-7.0,56.80,0.30,75.64,776.67,7.546629214117232,8.09908514030414,7.706150122044625,7.692144642135636,7.785449857171429,7.4217483767967165,7.230599999999997,-8.853453623923873,1,6.00570697719
TIE2_actives0000009_docked,-33.451,10.4344,5.60679,-2.16405,-0.760111,0,-26.2712,914.922,1,0.594252,1,0.481381,0.799842,0.200158,4113,1022,1054,11,729,185,188,3,501,114,126,2,0,0,0,0,0,0,0,0,98,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,31.0,12.0,2.0,9.0,14.0,43924.7512007,1.0,32.0,0.0,0.0,0.0,0.0,-9.9,52.91,0.30,72.84,765.43,7.193110806632594,7.701962140359645,7.179802854256853,7.275637614330117,6.613228899152717,6.742392125309984,6.9322,-6.64472635963455,1,5.96692649716
TIE2_actives0000010_docked,-30.6799,10.6102,3.77197,-6.32402,0,0,-28.9768,835.213,0,0.617668,5,0.413312,0.701186,0.298814,3945,931,1014,29,664,173,180,4,285,73,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,11.0,31.0,0.0,8.0,11.0,-65369.116975,0.0,30.0,0.0,0.0,0.0,0.0,-1.6,55.73,0.35,84.30,639.65,6.8233970164157896,7.396401098512595,6.971302264069262,7.010183789987794,6.08223742509848,5.516193841272384,7.410500000000002,-8.907965355796929,1,5.97764738099
