Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
TK_actives0000001_docked,-21.8592,4.55822,13.5784,1.61176,0,0,-4.99101,834.855,0,0.660486,9,0.410153,0.409465,0.590535,3437,1049,1120,89,309,86,90,4,451,121,133,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,11.0,17.0,0.0,0.0,21.0,7882.17565363,1.0,11.0,0.0,0.0,1.0,0.0,1.2,61.47,0.12,58.64,679.34,5.993119071850982,7.181270931901429,6.441919971903923,6.522574220057722,4.279087658730071,5.168338834242506,5.701199999999999,-6.034466320601259,1,5.99381548985
TK_actives0000002_docked,-27.8927,5.73461,12.1792,3.8268,0,0,-10.981,817.525,0,0.633291,9,0.381916,0.517115,0.482885,3631,1013,1172,54,371,101,117,3,495,128,148,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0.0,68.0,8.0,0.0,14.0,21910.9987612,2.0,25.0,0.0,0.0,0.0,0.0,-.6,50.41,0.14,58.64,610.61,6.115443351373921,7.557270895992906,6.9635500521700475,7.0006868821178845,5.567559430218888,6.295371994892682,6.015500000000002,-7.885783362290085,1,5.9538721133
TK_actives0000003_docked,-25.8612,4.97761,10.3216,8.30578,0,0,-5.76329,819.104,0,0.627821,8,0.425903,0.597442,0.402558,3399,952,1134,51,367,100,116,2,481,116,153,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,5.0,66.0,2.0,0.0,15.0,26970.7101615,1.0,25.0,0.0,0.0,0.0,0.0,-1.9,54.61,0.14,58.64,600.57,6.311628022861278,7.243342898434902,6.572968947000709,6.638568249472751,5.111351795976884,5.303492812796059,5.931799999999999,-7.990830062690341,1,5.9629672219
TK_actives0000004_docked,-27.5766,4.22609,14.0386,10.1421,0,0,-3.39206,831.274,0,0.620728,5,0.400375,0.457972,0.542028,3277,979,1096,68,257,85,83,6,365,116,116,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,2.0,31.0,4.0,1.0,39.0,-14170.2329001,1.0,20.0,0.0,0.0,0.0,0.0,.4,48.41,0.21,58.64,631.65,5.990487873452652,7.084128084304578,6.287059490176492,6.381731950826957,3.9061115040636807,5.8041941850867955,6.2273000000000005,-6.693837795285321,1,5.95514575749
TK_actives0000005_docked,-25.8517,6.61737,10.8077,-4.281,-0.416398,-0.550552,-18.0041,726.542,2,0.611078,8,0.417012,0.507185,0.492815,3050,838,993,51,332,89,103,4,439,120,140,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,52,61,1,21.0,0.0,39.0,10.0,0.0,24.0,-10007.3456512,2.0,19.0,1.0,0.0,0.0,0.0,-.2,52.62,0.08,58.64,559.26,5.40899954553011,6.860541968975471,6.2776980020404425,6.176215004662003,2.883922576357812,4.525796896456193,4.8626000000000005,-7.372334794039189,1,5.95394476542
TK_actives0000006_docked,-38.1709,7.61809,17.641,-5.84302,-1.28437,-1.47544,-24.9885,850.294,3,0.707258,12,0.342238,0.579059,0.420941,3980,1039,1183,38,379,99,116,2,703,185,213,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,35.0,66.0,3.0,0.0,30.0,-308709.048482,4.0,26.0,1.0,0.0,1.0,0.0,-3.1,45.65,0.17,75.71,532.36,8.20212665190594,7.706668420079923,7.463284993339991,7.430097663863918,6.1449395160497176,7.535507939377162,6.245799999999998,-9.686613509725667,1,6.05301391075
TK_actives0000007_docked,-32.6096,6.87951,20.6866,-8.09125,-1.45646,-0.817664,-19.3545,790.8,3,0.65729,9,0.318291,0.473984,0.526016,2774,728,801,22,380,100,114,2,760,198,223,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,39.0,38.0,0.0,2.0,27.0,-353890.766251,3.0,17.0,1.0,0.0,0.0,0.0,-2.9,26.76,0.53,75.71,452.34,7.144704345309179,7.524521960180339,6.531849964923962,6.585795164557661,5.616626948184974,7.244718474596054,5.953200000000001,-6.191346798990984,1,6.02125536418
TK_actives0000008_docked,-34.6103,6.99357,19.8413,-4.43445,-1.21926,0,-16.9665,795.923,2,0.651228,6,0.410055,0.511122,0.488878,3196,852,958,33,382,99,116,2,355,95,103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,44.0,42.0,0.0,3.0,28.0,-241307.565344,3.0,23.0,1.0,0.0,0.0,0.0,-4.4,18.97,0.70,49.41,589.90,6.777985525857086,7.049611883116888,6.420146323287824,6.701611350427351,6.908048756517975,7.269527955824216,6.006999999999998,-5.963464046433223,1,6.0457136187
TK_actives0000009_docked,-18.1584,11.8237,6.85287,-3.46636,-0.345825,0,-9.02363,623.453,1,0.626712,4,0.534091,0.573699,0.426301,2771,777,896,57,283,73,91,5,375,102,116,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,0.0,12.0,7.0,0.0,7.0,-24677.5578814,2.0,10.0,0.0,0.0,0.0,0.0,-2.2,50.62,0.14,58.64,610.82,5.917906970521956,6.269562801531789,5.827873405483402,5.952754065989569,2.2151801591444054,3.7747596489607718,5.417000000000004,-5.214436619871117,1,5.95424201209
TK_actives0000010_docked,-32.7478,36.7817,17.8187,-7.2709,-1.45784,-1.46465,-5.01841,719.447,3,0.686731,8,0.31781,0.521917,0.478083,2981,774,869,24,384,99,114,2,537,146,165,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,36.0,65.0,0.0,0.0,28.0,-354060.380706,4.0,22.0,1.0,0.0,0.0,0.0,-2.6,33.46,0.25,58.64,409.16,7.027276783201249,6.912880797702298,6.56950579359529,6.7467310918525865,6.4151555651395045,7.714637776249533,6.143600000000003,-7.7130022985223725,1,6.02411039179
TK_actives0000011_docked,-39.6759,48.053,22.2436,-7.92639,-1.52682,-1.2959,-3.15118,759.677,3,0.707647,11,0.337422,0.612779,0.387221,3107,820,909,27,589,148,180,3,561,147,163,4,0,0,0,0,0,0,0,0,0,0,0,0,120,32,40,2,0,0,0,0,0,0,0,0,20.0,38.0,47.0,5.0,1.0,33.0,-474043.378527,5.0,19.0,1.0,0.0,0.0,0.0,-4.7,40.59,0.24,78.51,457.55,7.545508345870654,7.28651169014319,7.282663802308804,7.467375626984125,6.072619293919393,6.839017839524266,6.062600000000002,-8.329520533951074,1,5.99914369458
TK_actives0000012_docked,-39.5085,51.1625,17.6465,-6.48535,-1.18831,0,-1.77798,900.47,2,0.674273,12,0.322703,0.593422,0.406578,4047,1037,1181,35,558,149,168,3,547,141,160,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,43.0,65.0,5.0,0.0,28.0,-351662.133787,5.0,33.0,1.0,0.0,1.0,0.0,-2.3,45.01,0.17,78.51,543.32,7.751831197317488,7.655588171661677,7.682827391608396,7.576979735098236,6.7023445057471704,7.42571422071566,6.342199999999999,-9.229748406859686,1,6.01906709389
